Word,Count
ek,8
ok,40
sá,10
hverr,2
sem,1
en,15
einkaván,1
þú,4
kveða,1
segja,3
einn,2
því at,12
þessi,4
fyrir,1
sǿmð,1
nú,7
traust,1
annathvárt,1
réttr,1
hǿfiligr,1
vél,2
með,4
til,1
sýna,1
eigi,7
fagr,1
skamma,1
stund,1
snotr,1
trúa,2
finna,2
at,4
þá,4
oft,5
láta,2
réttliga,1
harmr,1
ván,2
hvat,1
?,5
hvárki,1
er,1
mǽla,2
handselja,1
vit,1
vitr,1
svá,4
heldr,1
engi,4
ganga,2
þó,1
lofa,1
ef,2
geta,1
um,1
allr,1
jafnan,1
í,1
tulkr,1
lítill,1
frǽgð,1
annarr,1
hann,6
enn,1
margr,1
heðan,1
lǽvísi,1
líta,1
hér,1
kynfylgja,1
vita,1
Pamphilus,2
sinn,1
kyn,1
mikill,2
hugr,1
illska,1
kyngǫfgaðr,1
fela,1
losti,1
grimmr,1
játa,1
allmjǫk,1
efa,1
Galathea,2
víss,1
heyra,1
íðn,1
dagr,1
andvarpa,1
