Word,Count
ek,13
sár,1
ok,119
sá,21
hverr,5
eða,2
gnótt,1
sem,2
en,35
hvílíkr,1
þá,16
einkaván,1
er,5
þú,5
vǽgja,1
heldr,3
kveða,1
segja,3
einn,2
því at,23
annathvárt,2
þessi,5
fyrir,1
sǿmð,1
eigi,9
nú,8
kyssa,1
traust,1
réttr,1
hǿfiligr,1
trauðr,2
vél,3
með,5
til,1
sýna,1
fagr,2
oft,7
skamma,1
stund,1
at,13
snotr,1
trúa,2
stórr,1
finna,2
hvárt,1
af,1
láta,2
réttliga,1
harmr,1
ván,3
hvat,1
?,5
hyggja,1
hvárki,1
hrǽzla,1
hon,2
þar,1
hafna,1
mǽla,2
handselja,1
vit,1
engi,6
vitr,2
fyrr,1
svá,6
ganga,2
þó,1
koma,1
lofa,1
ef,4
þykkja,1
geta,1
um,1
allr,1
jafnan,1
draga,1
í,1
tulkr,1
né,1
lítill,2
frǽgð,1
senda,2
annarr,1
hann,7
fara,1
enn,2
margr,1
heðan,1
lǽvísi,1
líta,1
hér,1
Pamphilus,3
sǿtr,1
kynfylgja,1
kunna,1
vita,1
maðr,1
sinn,1
minn,1
kyn,1
mikill,2
hugr,1
illska,1
kyngǫfgaðr,1
fyrirmaðr,1
fela,1
losti,1
nema,1
grimmr,1
eta,1
játa,1
allmjǫk,1
efa,1
Galathea,2
víss,1
einnsaman,1
heyra,1
þinn,1
íðn,1
synd,1
dagr,1
fár,1
andvarpa,1
