AM02-0133,AM02-0162A-gamma,AM02-0162A-theta,AM02-0162D-02,AM02-0221,AM02-0237-b,AM02-0237a,AM02-0238-XXVIII,AM02-0240-XI,AM02-0241bV,AM02-0243-b-alpha,AM02-0249-h,AM02-0249-p,AM02-0249b,AM02-0249c,AM02-0249f,AM02-0249l,AM02-0249n,AM02-0315-e,AM02-0315-g,AM02-0315-k,AM02-0315b,AM02-0315c,AM02-0315d,AM02-0334,AM04-0024,AM04-0053,AM04-0134,AM04-0291,AM04-0310,AM04-0325-II,AM04-0325-IV-alpha,AM04-0325-VII,AM04-0325-VIII-4-b,AM04-0325-XI-2-e,AM04-0325-XI-2-n,AM04-0383-I,AM04-0386-I,AM04-0386-II,AM04-0519-a,AM04-0619,AM04-0623,AM04-0645,AM04-0652,AM04-0655-I,AM04-0655-II,AM04-0655-III,AM04-0655-IV,AM04-0655-IX,AM04-0655-V,AM04-0655-VI,AM04-0655-VII,AM04-0655-VIII,AM04-0655-X,AM04-0655-XII-XIII,AM04-0655-XIV,AM04-0655-XIX,AM04-0655-XV,AM04-0655-XVI,AM04-0655-XVII,AM04-0655-XVIII,AM04-0655-XXI,AM04-0655-XXIII,AM04-0655-XXIX,AM04-0655-XXVIII-a,AM04-0655-XXX,AM04-0655-XXXIII,AM04-0666-b,AM04-0673-b,AM04-0673a-I,AM04-0673a-II,AM04-0679,AM04-0680-a,AM04-0686-b,AM04-0686-c,AM04-0696-XXIV,AM04-0725,AM04-0732a-VII,AM04-0788,AM04-0795,AM04-0796,AM04-0803,AM04-0805,AM04-0826,AM04-0829,AM04-0921-IV,AM04-1056-I,GKS02-1157,GKS04-2365,JSFragm-0010,JSFragm-0017,LbsFragm-0029
Njáls saga,Egils saga Skallagrímssonar,Egils saga Skallagrímssonar,Laxdæla saga,Jóns saga helga,Bartholomeus saga postola,Predikanir,Prédikan from Acta Sebastiani,Maríu saga,Þorlákstíðir,Speculum regale,Calendarium latinum,Calendarium latinum,Rímatal (latneskt),Rímtal (latneskt),Rímtal (latneskt),Rímtal (latneskt),Rímtal (latneskt),Den ældre Gulatingslov,Nidaros Bjarkeyjarréttr,"Frostaþingslǫg: Kristinn réttr hinn

                        forni",Ýmis lagaákvæði,Grágás,Grágás,Jónsbók,Valdemar's Provincial Law of Sjælland,The Signs of the Zodiac,Jónsbók,Jómsvíkinga saga,Ólafs saga Tryggvasonar,Ágrip af Noregs konunga sǫgum,Ólafs saga helga,Ólafs saga helga,Sverris saga,Ólafs saga helga,Ólafs saga helga,Þorláks saga helga,Vita S. Thorlaci episcopi,De Sancto Thorlaco,Alexanders saga,Liber de virtutibus et vitiis,Nidrstigningar saga,Jarteinabók Þorláks Biskups,Jóns saga postola,Prédikan um skírnina,Maríu saga,Nikuláss saga erkibiskups,Silvesters saga,Plácidús saga,Erasmus saga,Basíliuss saga,Veraldar saga,Veraldar saga,Mauritius saga,Pétrs saga postola,Jóns saga postola;,The Legend of Theophilus,Benedikts saga,Pétrs saga postola,Páls saga postola,Prédikan,"Fragment of an Icelandic

                                breviary","Interpretation of David's fourth penitential

                                psalm, Miserere",Alexanders saga,Clements saga,Lækningabók,40 riddara saga,Tveggia elskanda strengleikr,Placítus drápa,Physiologus,Physiologus,"Ordo ecclesiastici usus per anni circulum
                        observandus",Ordo ecclesiastici usus,Homilier,Homilie,Fortolkning af Davids bodssalmer,Calendarium Romanum,Páskatafla,Missale de tempore,Apocalypsis beati Ioannis Apostoli,Vitæ aegyptiorum patrum,Præcepta synodalia,Calendarium Romanum,Alexandreis,Vita Karoli magni,Gregorius saga,Ólafs saga hins helga,Grágás,Eddukvæði,Antiphonarium,Antiphonarium,Antiphonarium
,,Egils saga Skallagrímssonar,,Ágústínus saga,Passio Bartholomaei,Kirkjudagsmál,,,,Konungs skuggsjá,,Talbyrðingr.,,Talbyrðingur,Talbyrðingur,Talbyrðingur,Talbyrðingur,,,,,,,Grágás,Valdemars Sjællandske lov,Dyrekredens tegn,,Viking og Hvidekrist,Tíu laga-orð Guðs,,,,Hákonar saga Sverrissonar,,,,,Legenda S. Edmundi regis,Alexanders saga,,Jóns saga postola,Clemens saga,Jakobs saga postola,,,,Vincencius saga,Blasíus saga,Silvesters saga,,,,Plácidus saga,Jakobs saga postola,Stefáns saga,,,Páls saga postola,,,,Prayers,,Ambrosius saga,,Maríu saga egipzku,Lai of Two Lovers,,,Fjallræðan,,,,,,,,,Tractatus in Apocalypsin,Vita sancti pachonii,"Sciendum est qvod proprius sacerdos dicitur
                                tripliciter",Lex Visigothorum,,Vita Hludowici imperatoris,,,,Völuspá,,,
,,Egils saga Skallagrímssonar,,,Jóns saga baptista,,,,,,,,,,,,,,,,,,,Járnsíða,,Calendar,,,Tíu undr Egiptalands,,,,,,,,,De S. Pantaleone,Ǫrvar-Odds saga,,Passio .xl. militum om de 40 riddere,Pétrs saga postola,Bartholomeus saga postola,,,,,Matheus saga postola,,,,,,Bartholomeus saga postola,,,,Pétrs saga postola,,,,,,,,,Grelent,,,Predikun,,,,,,,,,"Forum
                            Iudicum",,"Additiones from 1277, 1282, and 1283",De linage de los reyes de Navarra,,,,,,Hávamál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Calendarium,,,Ólafs saga Tryggvasonar,,,,,,,,,,Ǫrvar-Odds saga,,Blasius saga,Jakobs saga postola,Andreas saga postola,,,,,,,,,,,Matheus saga postola,,,,"Páls saga

                                    postola",,,,,,,,,Trusler og tyvekoster,,,,,,,,,,,,"Tractatus in
                Apocalypsin",,,De linage de los reyes de Aragon,,,,,,Vafþrúðnismál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,The Importance of an Oath,,,Tíu laga-orð Guðs,,,,,,,,,,"Ǫrvar-Odds
                    saga",,Alexis saga,Bartholomeus saga postola,Thómas saga postola,,,,,,,,,,,Tveggja saga postola Símons og Júdass,,,,"Pétrs saga

                                    postola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grímnismál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,,,Tíu undr Egiptalands,,,,,,,,,,"Ǫrvar-Odds
                    saga",,Septem dormientes,Matheus saga postola,Tveggja postola saga Simonis ok Jude,,,,,,,,,,,,,,,Pétrs saga postola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skírnismál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Edens Betydning,,,"Om norvagismer i islandske

                                    håndskrifter",,,,,,,,,,"Alexanders
                saga",,,Andreas saga postola,Matheus saga postola,,,,,,,,,,,,,,,Páls saga postola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hárbarðsljóð,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Four Lines of Runic Script (A proverb),,,,,,,,,,,,,,,,Páls saga postola,Matheus saga postola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlamál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes in Swedish,,,,,,,,,,,,,,,,Niþrstigningar saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hymiskviða,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,King Magnus Eriksson's National Law of Sweden,,,,,,,,,,,,,,,,Martinus saga biskups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamdismál,,,
