Model Filename,Plot Filename,K
model-1200-1325-20230811-45.n2v,kmeans-model-1200-1325-20230811-45.png,5
model-1200-1325-20230811-51.n2v,kmeans-model-1200-1325-20230811-51.png,5
model-1-1325-20230813-30.n2v,kmeans-model-1-1325-20230813-30.png,8
model-1-1325-20230813-24.n2v,kmeans-model-1-1325-20230813-24.png,13
model-1-1325-20230829-31.n2v,kmeans-model-1-1325-20230829-31.png,8
model-1-1325-20230829-25.n2v,kmeans-model-1-1325-20230829-25.png,5
model-1-1325-20230829-19.n2v,kmeans-model-1-1325-20230829-19.png,7
model-1200-1325-20230828-6.n2v,kmeans-model-1200-1325-20230828-6.png,6
model-1-1536-20230830-79.n2v,kmeans-model-1-1536-20230830-79.png,6
model-1-1536-20230830-51.n2v,kmeans-model-1-1536-20230830-51.png,5
model-1-1536-20230830-45.n2v,kmeans-model-1-1536-20230830-45.png,7
model-1200-1325-20230828-15.n2v,kmeans-model-1200-1325-20230828-15.png,6
model-1200-1325-20230828-29.n2v,kmeans-model-1200-1325-20230828-29.png,5
model-1200-1325-20230828-28.n2v,kmeans-model-1200-1325-20230828-28.png,6
model-1200-1325-20230828-14.n2v,kmeans-model-1200-1325-20230828-14.png,5
model-1-1536-20230830-44.n2v,kmeans-model-1-1536-20230830-44.png,5
model-1-1536-20230830-50.n2v,kmeans-model-1-1536-20230830-50.png,6
model-1-1536-20230830-78.n2v,kmeans-model-1-1536-20230830-78.png,7
model-1200-1325-20230828-7.n2v,kmeans-model-1200-1325-20230828-7.png,5
model-1-1325-20230829-18.n2v,kmeans-model-1-1325-20230829-18.png,5
model-1-1325-20230829-24.n2v,kmeans-model-1-1325-20230829-24.png,6
model-1-1325-20230829-30.n2v,kmeans-model-1-1325-20230829-30.png,6
model-1-1325-20230813-25.n2v,kmeans-model-1-1325-20230813-25.png,9
model-1-1325-20230813-31.n2v,kmeans-model-1-1325-20230813-31.png,7
model-1200-1325-20230811-50.n2v,kmeans-model-1200-1325-20230811-50.png,7
model-1200-1325-20230811-44.n2v,kmeans-model-1200-1325-20230811-44.png,9
model-1200-1325-20230811-52.n2v,kmeans-model-1200-1325-20230811-52.png,10
model-1200-1325-20230811-46.n2v,kmeans-model-1200-1325-20230811-46.png,7
model-1-1325-20230813-27.n2v,kmeans-model-1-1325-20230813-27.png,5
model-1-1325-20230813-33.n2v,kmeans-model-1-1325-20230813-33.png,6
model-1-1325-20230829-26.n2v,kmeans-model-1-1325-20230829-26.png,5
model-1-1325-20230829-32.n2v,kmeans-model-1-1325-20230829-32.png,6
model-1200-1325-20230828-5.n2v,kmeans-model-1200-1325-20230828-5.png,5
model-1-1536-20230830-46.n2v,kmeans-model-1-1536-20230830-46.png,6
model-1-1536-20230830-52.n2v,kmeans-model-1-1536-20230830-52.png,7
model-1200-1325-20230828-16.n2v,kmeans-model-1200-1325-20230828-16.png,8
model-1200-1325-20230828-17.n2v,kmeans-model-1200-1325-20230828-17.png,6
model-1-1536-20230830-53.n2v,kmeans-model-1-1536-20230830-53.png,10
model-1-1536-20230830-47.n2v,kmeans-model-1-1536-20230830-47.png,12
model-1200-1325-20230828-4.n2v,kmeans-model-1200-1325-20230828-4.png,5
model-1-1325-20230829-33.n2v,kmeans-model-1-1325-20230829-33.png,8
model-1-1325-20230829-27.n2v,kmeans-model-1-1325-20230829-27.png,5
model-1-1325-20230813-32.n2v,kmeans-model-1-1325-20230813-32.png,7
model-1-1325-20230813-26.n2v,kmeans-model-1-1325-20230813-26.png,16
model-1200-1325-20230811-47.n2v,kmeans-model-1200-1325-20230811-47.png,7
model-1200-1325-20230811-53.n2v,kmeans-model-1200-1325-20230811-53.png,6
model-1200-1325-20230811-57.n2v,kmeans-model-1200-1325-20230811-57.png,6
model-1200-1325-20230811-43.n2v,kmeans-model-1200-1325-20230811-43.png,9
model-1-1325-20230813-22.n2v,kmeans-model-1-1325-20230813-22.png,6
model-1-1325-20230813-36.n2v,kmeans-model-1-1325-20230813-36.png,5
model-1200-1325-20230810-17.n2v,kmeans-model-1200-1325-20230810-17.png,20
model-1-1325-20230829-23.n2v,kmeans-model-1-1325-20230829-23.png,5
model-1-1325-20230829-37.n2v,kmeans-model-1-1325-20230829-37.png,6
model-1200-1325-20230828-0.n2v,kmeans-model-1200-1325-20230828-0.png,5
model-1-1536-20230830-43.n2v,kmeans-model-1-1536-20230830-43.png,6
model-1-1536-20230830-57.n2v,kmeans-model-1-1536-20230830-57.png,13
model-1200-1325-20230828-13.n2v,kmeans-model-1200-1325-20230828-13.png,8
model-1200-1325-20230828-12.n2v,kmeans-model-1200-1325-20230828-12.png,9
