,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.7075890803706537,0.8553502436467743,0.7929797339052036,0.8633545086363255,0.7406625808949787,0.8153439528062728,0.7646884223508987,0.7532389797463181,0.8334326125815776,0.6974834150617248,0.8587695880651949,0.7819811421223173,0.7917212868758543,0.6978783488836167,0.7172525538344676,0.8707045089529025,0.8727479898416183,0.8896763540196091,0.8915416402943483,0.8707739486119606,0.8930452433267375,0.7998523318913343,0.7899782723336343,0.8774965314183962,0.8072330408889095,0.7794963456673778,0.7845329097176428,0.8428034262183468,0.8476905984517964,0.8443509788919495,0.8438974303379455,0.8473082120633628,1.0,0.8157729020734592,0.8633069741956326,0.8224170478342346
Elementa philosophiae,0.7075890803706537,0.0,0.6953993608039891,0.5502062007003266,0.6936260193202328,0.47465549748172564,0.5857022168569632,0.45221402720029447,0.4023600318488051,0.6417654495075127,0.3178752875738968,0.6808380941889081,0.5587461805445009,0.3530307813320993,0.3173969017879359,0.3509121486676072,0.7082447261309183,0.7429855167684972,0.7692313811885534,0.7770323572616362,0.7255725989299573,0.7654938475580677,0.5694004469124392,0.5167603900153827,0.7451821923029277,0.5503341563865467,0.5374594203063044,0.5350992805777401,0.670350033011623,0.6805396879874697,0.6716766676985044,0.6749266424772649,0.6803537790958205,1.0,0.5873846066257383,0.721902744668057,0.5962939110811125
Elegia,0.8553502436467743,0.6953993608039891,0.0,0.6549115616478063,0.6700620248521043,0.6585576097715933,0.7592158674793232,0.7327038886108422,0.7380018202769476,0.8118108867550511,0.6562642177483674,0.8499254931650219,0.7563320581898043,0.7828489530362819,0.666097842643782,0.6894834468724305,0.8248308186828246,0.8215703114041076,0.8419669297351252,0.8401781022677933,0.8169243508508379,0.8537009389246771,0.66122158432463,0.6360445360383562,0.7766316126146287,0.612253085398613,0.6389499075295046,0.6256885017091143,0.6537744009067059,0.6583136175832613,0.6560666644782026,0.6563851746723437,0.6617810428197017,1.0,0.62979900994601,0.7898895811126847,0.67443105920027
Alexandreis,0.7929797339052036,0.5502062007003266,0.6549115616478063,0.0,0.4932901648635505,0.5496253779878268,0.6774464551869661,0.5801605765321174,0.6313039149209019,0.683568641148647,0.4561479973053467,0.7841428295384973,0.6744615008379742,0.6777752583597236,0.5102531678742918,0.5441331072311442,0.8076489039562014,0.8113755912663785,0.8307176476870214,0.8341371022748127,0.7909905247871452,0.8419649565415619,0.523046517934211,0.4102049992210307,0.6442476247675357,0.3180477283983745,0.49359467991962436,0.4460525013225849,0.5933030684613041,0.6060803369284421,0.6049213345067792,0.6019457261647583,0.6146095640939141,1.0,0.33031187768276893,0.6947263968278478,0.4256846859758455
Bucolicum carmen,0.8633545086363255,0.6936260193202328,0.6700620248521043,0.4932901648635505,0.0,0.6350099071437598,0.7429362742187582,0.7033833409168833,0.7021732650878715,0.7802402995222584,0.5833523289746823,0.8471987884323148,0.7548554612081442,0.7727337130492142,0.6442834832112154,0.6641281333780176,0.8448878208776737,0.8490666935275395,0.8611149443908583,0.8660717992360668,0.8272650867342255,0.8746941790383511,0.5768910546654962,0.46217220757645916,0.6785801109062695,0.3397881454745574,0.5576783006542481,0.5021182225968659,0.5652065753583622,0.5753169139563972,0.5787070814824313,0.5737745478157166,0.5834363133968072,1.0,0.3586110611118508,0.7272021073082346,0.4496030810952202
Carmina Burana,0.7406625808949787,0.47465549748172564,0.6585576097715933,0.5496253779878268,0.6350099071437598,0.0,0.6167791007766654,0.5280805857451385,0.565509475338263,0.6794907508019111,0.467475055070559,0.7504824832664119,0.5944113197918754,0.6228123010571067,0.4544485069855141,0.48323934836295734,0.7506465292343968,0.7616933150943845,0.7897562515374824,0.7896460155128944,0.752809262779622,0.7998839880149488,0.5722250498351056,0.5380058741901106,0.7468166617275152,0.5563707386261671,0.5661236173406888,0.5609514701242115,0.606706955436888,0.6189272103782529,0.6159933721725894,0.6146548975108882,0.6201437032981223,1.0,0.5581331977307191,0.7037410821003512,0.5819546402158493
Rota Veneris,0.8153439528062728,0.5857022168569632,0.7592158674793232,0.6774464551869661,0.7429362742187582,0.6167791007766654,5.218048215738236e-15,0.6226067519105356,0.6403296883827871,0.7611085216625605,0.5833163280864462,0.8094188306780505,0.6969134299457846,0.7053229736733448,0.5830262074049203,0.6026794014712227,0.8327732569357474,0.8440338051348375,0.8578800002535221,0.8553388131378072,0.8283020742182878,0.8660806702604055,0.7004002278533223,0.6732985215388414,0.8193686319779452,0.6749011086843515,0.6928156329847774,0.6850746881522833,0.713151745073823,0.7226317113591226,0.7196700701908385,0.7193703187935527,0.7219454163986587,1.0,0.6788715416405442,0.8010437227589103,0.693480096137913
Ars grammatica,0.7646884223508987,0.45221402720029447,0.7327038886108422,0.5801605765321174,0.7033833409168833,0.5280805857451385,0.6226067519105356,0.0,0.5313366386571861,0.6641062223850815,0.36283139562711,0.718077147378277,0.6078381397206061,0.6034261383214385,0.4145522801586714,0.46282343845241847,0.7894734614507871,0.7929039224405878,0.8136478119636577,0.8162255074715752,0.7665090924944726,0.8179259483140391,0.6296410552376205,0.566625857053076,0.6765128354060659,0.5774826693837528,0.605669196178365,0.584250424429772,0.6912857195914203,0.6989071284859929,0.6979703747713327,0.6969639767284952,0.7007715540786053,1.0,0.5956203987167639,0.7467694117365837,0.6131136887931401
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.7532389797463181,0.4023600318488051,0.7380018202769476,0.6313039149209019,0.7021732650878715,0.565509475338263,0.6403296883827871,0.5313366386571861,0.0,0.7160087239472981,0.4066855934395932,0.6710434490136487,0.6026206052774525,0.588899560695497,0.30933681863211304,0.32862111259637905,0.7258469960370545,0.7560662466169871,0.7783733263529983,0.7859570417049381,0.7448089472879769,0.7725261461424041,0.6427618829479482,0.5640963394274463,0.7761695173725438,0.5830816450831724,0.5984199053973447,0.5903583901552387,0.721357226980606,0.7296172573832906,0.722584457582224,0.7256990542338906,0.7297058782882593,1.0,0.6332866130950286,0.7839082698851129,0.6590977570300268
De excidio Troiae historia,0.8334326125815776,0.6417654495075127,0.8118108867550511,0.683568641148647,0.7802402995222584,0.6794907508019111,0.7611085216625605,0.6641062223850815,0.7160087239472981,3.8191672047105385e-14,0.6090866489998468,0.8233616034446642,0.746910001261887,0.7432071854256743,0.5847123134690198,0.618886499349234,0.8473538896291404,0.8594526956845026,0.8710827956577821,0.87564985108974,0.8412885691503766,0.8733053576129042,0.7369982668449448,0.6851328769307368,0.8075437300499569,0.6858316729865892,0.7247037052746241,0.7188252903089862,0.7880470994873578,0.7957902178880003,0.7958619084892995,0.7940816626067454,0.7975554083757462,1.0,0.6788262655949246,0.8207465943427481,0.7119302435443962
