,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Elementa philosophiae,0.0,1.1864631111352164,1.255383374573345,1.2464961890156343,1.1897401240333159,1.0715643363669827,1.0972215391446736,0.8532512433890523,1.1458708133442796,1.200178638738396,0.9642905538322213,1.249046522629654,1.2278949584330339,1.1791417011790866,0.855623156374521,0.8103414566031881,0.8138873841630485,1.2014532338309054,1.0622128947559313,0.9911836462222307,1.2150628279348263,0.9120125873351392,1.1690184302453848,1.1782767637772145,1.1745357798871976,1.1750684950818986,1.1777285690493757,1.056717118078997,1.0464455664597647,1.0797211593183131,1.0627879521571477,1.3359205234726124,1.0738787921148232,1.1490605097150675,1.229213492583621,1.028938507367914,1.0494934959327094,1.0916186094940579,1.2119456761580183,1.102733681998613
Bucolicum carmen,1.1864631111352164,0.0,1.3208225937088371,1.3270257603496938,1.1688928594340986,1.2371646661755085,1.2279558031877524,1.1608398922342777,1.2577161891840951,1.3194647508453958,1.1942010362882998,1.3171376344117223,1.307675271271209,1.3078645853592243,1.2512443664178454,1.142746354720497,1.0914286716762334,1.3052129739574334,1.0119091902490693,1.1372114439913064,1.2918302775361648,1.1940482249912423,1.0772025888816323,1.0848205462956357,1.0840737758317058,1.0875160674281303,1.093078401069008,0.8430152618346118,1.0177582180523623,1.0879155234389644,1.0254054489683553,1.3368663040384645,1.0778565046023298,1.2155958148523665,1.1772816072758867,0.9786827361868428,1.069962733512384,0.8658056296745831,1.2163814827455222,0.9676753070824596
Heautontimorumenos,1.255383374573345,1.3208225937088371,0.0,1.1170517951026122,1.3029315757371014,1.3056892155346316,1.3145410196997125,1.2424037165087556,1.3289777347810663,1.3406660412407247,1.2847474717391423,1.0892825025100183,1.0410983964707625,1.328017513983334,1.3067859465901959,1.2203580000703724,1.2327135620666456,1.0788212290718489,1.2979895245396618,1.2646955981383063,1.1468405742656185,1.2624066887529497,1.3005918465810158,1.299342247451097,1.2981437792998212,1.2971886661534513,1.299323166964491,1.2897065773524887,1.2346968019181852,1.2534940082261972,1.2254330700888023,1.390615603705719,1.2789398690311609,1.2992673168178848,1.3292069124645065,1.27619100747678,1.2299095713291843,1.3081350511154695,1.3098064923555082,1.3235680098862257
Phormio,1.2464961890156343,1.3270257603496938,1.1170517951026122,0.0,1.3126774322802044,1.3040782856038504,1.3222216955863897,1.2368230009344585,1.3272428098594582,1.341578032959427,1.2857617354031607,1.098344992088165,1.1250855779063773,1.3238837907799414,1.3010719054173157,1.2106537769813919,1.2283964516557047,1.130427851771379,1.3035705901051118,1.2723762854135843,1.1077715104435355,1.2522457474682538,1.3149570373697452,1.313037118821979,1.3118815116811173,1.3112752528513387,1.313004401947073,1.2929784554931383,1.24158105513971,1.2648861197883985,1.2371078554110082,1.390553958147263,1.2829987103856035,1.304131116182613,1.330002201630815,1.2759666903828746,1.235469826168868,1.317382673208717,1.3204501848194263,1.332444068820941
Elegia,1.1897401240333159,1.1688928594340986,1.3029315757371014,1.3126774322802044,0.0,1.2394560103841497,1.2420983323180876,1.1839340420817592,1.282578972052113,1.3143034411221566,1.2193727074906175,1.3040968737581913,1.2884723894001078,1.3106674582839704,1.2607310166092132,1.1634304670784166,1.1566185943740925,1.2914944085373554,1.1575343687852968,1.1590083908818838,1.285710363907385,1.2241893911473107,1.154732861731452,1.1582818699227895,1.1573486253535687,1.157883527571743,1.1619246725991255,1.117586868293729,1.1311408060980919,1.1622343788565868,1.1262731322662882,1.361880872218823,1.1708889965457887,1.2398949362461338,1.2555295764546437,1.1403406140523658,1.1429283922385411,1.1334386807873544,1.2659177981518726,1.1734665674409313
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,1.0715643363669827,1.2371646661755085,1.3056892155346318,1.3040782856038504,1.2394560103841497,0.0,1.1933001877399911,1.0559132881310742,1.233005082414899,1.2590558072655744,1.1141137090142696,1.3016744063461103,1.2884260710060418,1.2561335184827451,1.182697926678907,1.0312249752093798,1.0725269108838784,1.2751417163131102,1.1732012716095515,1.1045050603679303,1.2822714057559008,1.1092612032657312,1.2215172814470427,1.2304683470743678,1.2272715406350576,1.2290545398616115,1.2303212872184055,1.1682415570831965,1.1739225121833867,1.1863780397112522,1.1677886713362056,1.3632166582172975,1.1834571261753395,1.2275116225788067,1.2838604713366628,1.1524805610170517,1.1697679238858145,1.1744895232446535,1.2634806761466968,1.1819557404379561
Rota Veneris,1.0972215391446736,1.2279558031877524,1.3145410196997127,1.3222216955863897,1.2420983323180876,1.1933001877399911,0.0,1.1107176572271125,1.244921167544722,1.2853889101849665,1.129103329803251,1.3162245978998428,1.3056873682139676,1.2812600091539366,1.2009539491285042,1.0919301637052168,1.0937031401627366,1.297895834786048,1.1769858903126451,1.1253857351586334,1.294692824154571,1.1433957853607628,1.2039785909908625,1.2118684605003278,1.2098583344238876,1.210479165726703,1.2115886844435326,1.171273109606659,1.1815897811263467,1.1951578230366622,1.1826987846212669,1.3620197908387923,1.2008460489426664,1.248319305727027,1.287812638408571,1.1721963966127296,1.1883139811344745,1.1752376493198544,1.2750365308806995,1.189486617488569
In Vergilii Georgicis comentarii,0.8532512433890523,1.1608398922342777,1.2424037165087556,1.2368230009344585,1.1839340420817592,1.0559132881310742,1.1107176572271125,0.0,1.1253914088717634,1.2071015996508432,0.9731877580739297,1.2365235711191789,1.2139213680035519,1.1321254569817372,1.0577706453612556,0.4543495126691295,0.8009831028887987,1.1969588202204946,1.055150692892911,0.9975531365223342,1.1958915187010422,0.8218108254936507,1.1659323841327682,1.1728227266015319,1.1723782743030784,1.1729595081825013,1.1762768234792382,1.029502586256745,1.0433358915677617,1.084232020040866,1.052141479926517,1.3386462595205877,1.074753190052272,1.1505788124594878,1.2061039374605533,1.0025241213553084,1.0387284670002743,1.046400898657469,1.198188263714394,1.043678259852925
De excidio Troiae historia,1.1458708133442796,1.2577161891840951,1.3289777347810663,1.3272428098594582,1.282578972052113,1.233005082414899,1.244921167544722,1.1253914088717634,0.0,1.2987648418329827,1.165269156832806,1.325574497527072,1.3167768082083968,1.2914723568965412,1.230733076316216,1.0935374550290147,1.1167447805396284,1.3085516415814147,1.1812293518403825,1.1784411856744914,1.3040580140463403,1.2069324583520555,1.2647477991645169,1.2707190679004745,1.2699023710830366,1.2716846040281065,1.2718131230366496,1.1798965844804286,1.2086687751550904,1.2239287725665566,1.2078615804532007,1.3651155808959872,1.2193826761497415,1.2701142582113905,1.27905579206696,1.1814035137165866,1.2136630653541436,1.1745855757014003,1.2894905636515241,1.2039441710852525
De contemptu mundi,1.200178638738396,1.3194647508453958,1.3406660412407247,1.341578032959427,1.3143034411221566,1.2590558072655744,1.2853889101849665,1.2071015996508432,1.2987648418329827,0.0,1.2451265145589554,1.3392442861251161,1.3269773138560326,1.3173808081944178,1.2677454995769462,1.190405365274389,1.1911368453282487,1.3258585813290236,1.2675991416137251,1.2266439811365284,1.32602556682253,1.2348825632080054,1.3054336903239794,1.3091643254663794,1.306867632407173,1.3080984702692113,1.3088526296433978,1.2764629691719913,1.260523377431164,1.2729392044145278,1.264315505713507,1.3821609719282275,1.2755552375644066,1.3019116762578662,1.3301622761133614,1.2647784192272238,1.2570572162806393,1.283231264051568,1.3207198262924813,1.2895044612332944
