,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,4.440892098500626e-16,0.20711859252380216,0.3686012337255292,0.41200723317881827,0.5568536392196068,0.2653666846504906,0.25773236466877936,0.3487530270683774,0.3909578523035576,0.2660879994865787,0.20514164878348196,0.6636488224550339,0.21857741810980258,0.42256502216325253,0.26568632292643724,0.2808916618774554,0.5562636226898392,0.6012439488297661,0.6095213640889763,0.6767180419466936,0.5351476128228051,0.6906902882637181,0.3311759586700601,0.393666339823149,0.5012591002789036,0.5156681355060915,0.32842581889605105,0.3735744870988428,0.4846026279433814,0.4991290340815798,0.4818239314455224,0.4854689514584146,0.4951756999615281,1.0,0.5252146144024867,0.3570449497217346,0.4710254864127247
Elementa philosophiae,0.20711859252380216,0.0,0.3468332364546489,0.37403824797434626,0.5147477242613827,0.23497591380057847,0.18022174071259156,0.25733090171649553,0.2743663410597681,0.21908948116503602,0.1315385718685288,0.6307361502478073,0.19310890816435777,0.27955837469736,0.19334873250675788,0.2012830142379659,0.5102589766744952,0.6067064519319281,0.5987950030608574,0.6749589699830787,0.5194296666832873,0.6668821974141731,0.29710117563494975,0.32075258911520255,0.49585699996289123,0.44975820491556295,0.31477418508551824,0.3406766496698391,0.4710018354698645,0.48633192315241225,0.46509469193148933,0.47557522722491063,0.48313111244116314,1.0,0.48206154018408276,0.3658106629552108,0.4224314651818001
Elegia,0.3686012337255292,0.3468332364546489,0.0,0.2566013677194253,0.19631377611361578,0.24066817696881393,0.24148823736296166,0.42000415342894704,0.48671718619127424,0.34653364544833765,0.2922942114706484,0.7227998292906425,0.3003718553967052,0.5227878627540492,0.3694515447889333,0.3878256523764655,0.5398700893459274,0.5726717408273069,0.571188020689332,0.6347241001930981,0.4954568922446986,0.6752047074240655,0.15317649542752665,0.20536453905233498,0.319490789983667,0.2532715541791194,0.17847550001405177,0.18241224532928035,0.16173106609876864,0.17493392333545532,0.158796305524614,0.16685715276451252,0.17736041875459085,1.0,0.2677136578300052,0.2526008171919609,0.25980041740285653
Alexandreis,0.41200723317881827,0.37403824797434626,0.2566013677194253,0.0,0.18526792936851577,0.329578436898636,0.3306619652591025,0.4027149058849667,0.5268454846414068,0.3052673784269141,0.27409332731653213,0.7435591641378791,0.3766053505650745,0.5393800186879258,0.40428070316483344,0.41756514509531106,0.6682009831553031,0.7030126180479087,0.6973946161011398,0.7508521711151438,0.6217260370238303,0.7700476289269828,0.21353955048705453,0.16042233306270626,0.2818797157828765,0.15008871556567227,0.2417611680410987,0.20390150976745047,0.3297018229934209,0.34998113644288575,0.3400645916090934,0.34085158160309037,0.3610602002863058,1.0,0.151700172840748,0.2904474240082213,0.155116927034732
Bucolicum carmen,0.5568536392196068,0.5147477242613827,0.19631377611361578,0.18526792936851577,2.220446049250313e-16,0.3943713159485017,0.40034668928655703,0.5249350511286197,0.5698480887846005,0.4385976896549,0.36907641672627,0.7939195438702005,0.47244672520656505,0.6308195299415229,0.5086707792838757,0.5169731391894683,0.6985964195702828,0.7350539112119587,0.7204777985658941,0.7739423346073092,0.6651852951031787,0.7946675814724358,0.21510491597026538,0.13191678906103055,0.2636823916241695,0.0625369391347258,0.24859172941490293,0.18715117592920238,0.1981363276800321,0.21619164151640524,0.21315965674494652,0.21031241288579483,0.2270075026332109,1.0,0.07040926860910246,0.3124872869181903,0.09151332038353754
Carmina Burana,0.2653666846504906,0.23497591380057847,0.24066817696881393,0.329578436898636,0.3943713159485017,0.0,0.18729229801131797,0.3114956246270434,0.4283449583980954,0.24767005592581393,0.2566823232232941,0.6864954320259555,0.220905933571515,0.43752804800212397,0.29958990624796855,0.3068431404031333,0.5552622212717847,0.610857278928826,0.6139536252965716,0.6727362456078407,0.5381264445925522,0.6980298252633035,0.25928634529644823,0.30730283012901394,0.4630332497325116,0.41723031105450836,0.3132672757804904,0.3350287374329538,0.33325865102505114,0.3538739204200002,0.3411235029467369,0.34419976460889734,0.3526556440940237,1.0,0.4050346899423475,0.27835159914564234,0.3515210688900722
Rota Veneris,0.25773236466877936,0.18022174071259156,0.24148823736296166,0.3306619652591025,0.40034668928655703,0.18729229801131797,0.0,0.24418659126025977,0.3484854490652429,0.2279845710642565,0.20682294162403614,0.6707217206488946,0.19205128779932323,0.40151681699148967,0.2643159332715892,0.26797110946271596,0.5871323387119882,0.6494958406397102,0.6378201572078113,0.6910466151328458,0.5573386552527213,0.7207330639902619,0.2771377712127312,0.3149884368763908,0.46616936413559695,0.4065802881785462,0.32653098997645025,0.33786694894220204,0.32667759424258347,0.3486438790707669,0.33336903420245656,0.3384454269072914,0.3441472400535992,1.0,0.3990553926536081,0.32409867435356465,0.34137687203683187
Ars grammatica,0.3487530270683774,0.25733090171649553,0.42000415342894704,0.4027149058849667,0.5249350511286197,0.3114956246270434,0.24418659126025977,0.0,0.4278605823890157,0.2591363678725006,0.1851170392300885,0.6709899763452918,0.2913618039501653,0.4501858017686934,0.3012255104552829,0.32971514151310133,0.6463234112785066,0.6809788492046652,0.6757954198634303,0.7302659607540598,0.5880001578915375,0.742007819268166,0.38613225018484165,0.38110261482994123,0.34664349018837215,0.47361308855433215,0.406721146560016,0.40238624344009755,0.499013463353407,0.5103811434421985,0.5025806865035154,0.5054605342618848,0.5107412001262176,1.0,0.4846569162933283,0.4131939132476614,0.43389027941110947
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.3909578523035576,0.2743663410597681,0.48671718619127424,0.5268454846414068,0.5698480887846005,0.4283449583980954,0.3484854490652429,0.4278605823890157,0.0,0.4365200742464155,0.303288895167824,0.6504691524764623,0.35463282627586856,0.4875144746416925,0.25016098331997816,0.23930652156233578,0.574503683953366,0.6556673012183134,0.6441632072476126,0.7113000296979604,0.5854296618869146,0.7018047619836634,0.46330127326912296,0.4370652982121229,0.5915124057995507,0.5296757040559763,0.4506475473678997,0.46432469177431157,0.5921779120478483,0.6036567064322329,0.5880290221798332,0.5966864524734359,0.6019760466967159,1.0,0.5769400126126882,0.5462138379684978,0.5488035441572992
De excidio Troiae historia,0.2660879994865787,0.21908948116503602,0.34653364544833765,0.3052673784269141,0.4385976896549,0.24767005592581393,0.2279845710642565,0.2591363678725006,0.4365200742464155,2.220446049250313e-16,0.19019649907376546,0.6771200275865019,0.2505643714256771,0.42735419343171255,0.22334100942978796,0.24062308686583733,0.5910503639310539,0.6565681514777213,0.6467399774237235,0.7107712150609381,0.5575814669272439,0.7138662408659702,0.3130175928545058,0.2897773779706182,0.38556165601099246,0.3848763842664561,0.345488928037633,0.3595989642889542,0.4506934215668882,0.470468741093067,0.46376826794312254,0.46395638258648053,0.47241827378941614,1.0,0.36520051747457605,0.3421696518442958,0.32923623221772025
De nuptiis Philologiae et Mercurii,0.20514164878348196,0.1315385718685288,0.2922942114706484,0.27409332731653213,0.36907641672627,0.2566823232232941,0.20682294162403614,0.1851170392300885,0.303288895167824,0.19019649907376546,0.0,0.6136675363634562,0.2317508207896306,0.3685269082172917,0.1625513878495184,0.18668643125331996,0.5100097920800781,0.5708372707912223,0.5674324849898713,0.6480322943975345,0.4577963738782791,0.6518373752417359,0.21980347561840885,0.21200156395074754,0.2897286091367781,0.29638615098577226,0.21624808712856747,0.2220815968114841,0.4041149397591921,0.4142078407936375,0.3998510666898957,0.40676553150985795,0.4196073907040109,1.0,0.33068742943883445,0.2876422857911277,0.2920207586913206
