,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,2.220446049250313e-15,0.7315366344169278,0.89093176199234,0.8153957168007081,0.9089966076861447,0.7821367833674467,0.8472607474516286,0.8561000780688418,0.7720109793394776,0.9170795070020631,0.6911307232924209,0.7130199143655662,0.7999961462987221,0.8249970164250542,0.7067444737662611,0.7440923521626579,0.8963307622106509,0.9079951831482725,0.9114810979348752,0.9231982526427649,0.9000394378180846,0.9130772593978504,0.8554133233880803,0.8387345512305846,0.9045700849182818,0.8190823507825173,0.8253054132294682,0.830460104044936,0.9336349507286936,0.9341936409846204,0.9317771934826411,0.932801443445112,0.9337005569959484,1.0,0.8536725304671635,0.8759647582773465,0.8828599680328667
Elementa philosophiae,0.7315366344169278,1.1102230246251565e-15,0.8592596227107465,0.7443080941051079,0.8828081031461391,0.7932837936641881,0.7525544596048813,0.6994414323299211,0.6399817126409721,0.9042417635557607,0.5184155946490533,0.5697762573326741,0.7639225618625142,0.38309337804267973,0.5539632459321622,0.5901849352635196,0.882351519515244,0.9102824959128953,0.8987932996295416,0.9260499933655721,0.8872244500880799,0.9097999408347699,0.8188936539223716,0.7639079271598493,0.8648311018757432,0.7374951012593365,0.780764621750772,0.7839053751178006,0.9281226873234252,0.9305783306686429,0.9250640632460327,0.9281396324355181,0.931019651266276,1.0,0.8139183157087683,0.8570826892058133,0.7990065691486495
Elegia,0.89093176199234,0.8592596227107465,0.0,0.6891159805284682,0.5850570282550835,0.5738131709848933,0.774594507949101,0.8413995649296127,0.8961617698369088,0.939214106893651,0.8330068911134649,0.823591167844985,0.8295278905111023,0.9034105461523322,0.8155117262719851,0.8576426423399655,0.823078256370165,0.8334132573208339,0.8286380689096835,0.8486680876761158,0.8196777180497576,0.8507295774304922,0.607833331263737,0.6859628876487569,0.7340128038852727,0.6742503754571696,0.5962823437425377,0.6025425356159844,0.6281585886320561,0.6329501088015205,0.6298936794130803,0.6309683179531753,0.6299057131057328,1.0,0.7445402565977235,0.7440919145800395,0.8030193350326924
Alexandreis,0.8153957168007081,0.7443080941051079,0.6891159805284682,0.0,0.6179746388468988,0.6493566749688597,0.8210939704491731,0.8361565905952235,0.8586257022358842,0.8282694790158835,0.6491619350790468,0.6504320662306532,0.8546708399280672,0.8280772909622023,0.6361459990112458,0.7185754691023722,0.8142849809729193,0.8296803680650158,0.8324409566715393,0.8545369810196721,0.8110698862156623,0.8387302540544266,0.5798237641944324,0.5117062592883288,0.7042457791475227,0.4096405487478406,0.5405813983381975,0.5263091870511687,0.8344183201873162,0.8389172706905803,0.8293841500496961,0.8357598888597833,0.8399440201164439,1.0,0.43916883258147965,0.6888847419687599,0.6017592116404866
Bucolicum carmen,0.9089966076861447,0.8828081031461391,0.5850570282550835,0.6179746388468988,0.0,0.5661139672508404,0.7619401719849332,0.8424641554589677,0.8852755513788243,0.9279089449273732,0.7933875564302011,0.7843820130065384,0.8616817366186832,0.8744031559236237,0.7774590336440239,0.8145126906187242,0.8271547326501101,0.8356283066148735,0.8422960857703552,0.8636626303143543,0.8275184125411363,0.8570944624784731,0.6149509621378566,0.6139942504211392,0.7543320849777063,0.5537810380270818,0.6188947196141443,0.6213567160200337,0.6297035736259962,0.6360801388705932,0.6387828548065914,0.6372336933326621,0.6307581597992236,1.0,0.5824323416124382,0.6457951156693006,0.611158827359013
Carmina Burana,0.7821367833674467,0.7932837936641881,0.5738131709848933,0.6493566749688597,0.5661139672508404,0.0,0.6926339246886144,0.7771234110678203,0.8113592842674747,0.8962961326653138,0.7607690447950175,0.7399824046021986,0.7810607848536284,0.8545004497440555,0.73278234664978,0.7840746200198052,0.79170976075839,0.810217503248507,0.8169291671900345,0.829360584005313,0.7861535973518166,0.8306663436000485,0.6446019791421433,0.6902013205855223,0.8014412105639968,0.6575271405807895,0.6528140567464233,0.6562414292459788,0.6777616247235826,0.6866702490112322,0.6838664667668021,0.6838007829585028,0.6827126480590697,1.0,0.712038185040796,0.7189834032093636,0.7671984043669007
Rota Veneris,0.8472607474516286,0.7525544596048813,0.774594507949101,0.821093970449173,0.7619401719849332,0.6926339246886144,0.0,0.7246392040780725,0.7488483695478624,0.9355810634262609,0.737590493649354,0.744544087521736,0.7951879337600859,0.8392271565921313,0.7297464235143202,0.7653263497721517,0.884397048226362,0.899651398339855,0.8994878313443988,0.9038815329461466,0.8770739630222716,0.9104547153973647,0.8352738248331822,0.8665907350384,0.9088702960898171,0.8314173017609012,0.8205879437843383,0.8215113070259977,0.7815144416550281,0.7843256313946922,0.7826699756707779,0.785647639643408,0.7795072305704783,1.0,0.8714396068768547,0.88770457193017,0.8862137608526329
Ars grammatica,0.8561000780688418,0.6994414323299211,0.8413995649296127,0.8361565905952235,0.8424641554589677,0.7771234110678203,0.7246392040780725,1.1102230246251565e-16,0.697094969301497,0.9364961245376655,0.6025113873220629,0.6767166563320524,0.751946680579542,0.7915374003882296,0.6616772900863327,0.7091927694205165,0.90544916187945,0.9198857277040918,0.9106939328418795,0.9339003377701687,0.9079318041637467,0.9185073997178279,0.8669399569682424,0.8424495202434594,0.8943847627528625,0.8324791570274559,0.8363824286915468,0.8315699131741905,0.9018841100926376,0.9104103665685396,0.9002270279855238,0.9060734349413172,0.9095430926596719,1.0,0.8784719921394327,0.9010305638668568,0.8752110298233915
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.7720109793394775,0.6399817126409721,0.8961617698369088,0.8586257022358842,0.8852755513788243,0.8113592842674747,0.7488483695478624,0.697094969301497,2.475797344914099e-14,0.9194796312538193,0.6691519505346151,0.4521663178900165,0.7428587314758253,0.786621573430176,0.4278633251116454,0.4128234307605889,0.8946852348501465,0.8998289760123656,0.9123697805974245,0.9249886818222829,0.9104425290672413,0.916529802763648,0.90701681884881,0.8650750514309674,0.9323913138051586,0.8608346328496375,0.8813568204517478,0.8803065557228766,0.9394062499986522,0.9432825502966639,0.9403216005004493,0.9406884941094611,0.9419518352363567,1.0,0.8935882122351543,0.933460799768839,0.8967728848873775
De excidio Troiae historia,0.9170795070020631,0.9042417635557607,0.939214106893651,0.8282694790158835,0.9279089449273732,0.8962961326653138,0.9355810634262609,0.9364961245376655,0.9194796312538193,0.0,0.8444824649037704,0.8156944188742437,0.9297373579734697,0.9366859967627698,0.8075348049866959,0.8712960051941371,0.9342288922458081,0.9473074781626317,0.9404356181368393,0.9559996621938902,0.9299802241395376,0.9449468902535249,0.9091086552871455,0.8685749474363782,0.9354900669621017,0.8516613162212174,0.9020155556057867,0.903804268195643,0.9634478885345586,0.9630425022772305,0.9624670212471254,0.9633525405812154,0.9631774984940434,1.0,0.8362449851043304,0.9379329918573917,0.9151235102538617
De nuptiis Philologiae et Mercurii,0.6911307232924209,0.5184155946490532,0.8330068911134649,0.6491619350790468,0.7933875564302011,0.7607690447950175,0.737590493649354,0.6025113873220629,0.6691519505346151,0.8444824649037704,0.0,0.40278659751949863,0.760826713573606,0.678232609257857,0.3919235534466873,0.4496401114133719,0.8076509535787775,0.8454013298435191,0.8350982612470235,0.8743181151494727,0.8095797812506348,0.8469941635847634,0.7068246308866781,0.6541515202497404,0.7741267887699802,0.6179321271995455,0.6661285983197376,0.6768404646808811,0.90575946732593,0.9074633740287623,0.9019254098663844,0.9061959302748588,0.9094375458882096,1.0,0.6642659303002126,0.7429302111907671,0.6642343531533609
Commentarius in Vergilii Aeneidos libros,0.7130199143655662,0.5697762573326741,0.823591167844985,0.6504320662306532,0.7843820130065384,0.7399824046021986,0.744544087521736,0.6767166563320524,0.4521663178900165,0.8156944188742437,0.40278659751949863,7.105427357601002e-15,0.6698358602546777,0.7256262363019825,0.026006239214199756,0.1980649935719997,0.8132497033367743,0.8404167497861686,0.8438313009779246,0.8757424312425509,0.8235490530019712,0.8529902952778128,0.7205819200247225,0.6492288348217543,0.7952454661677896,0.614364347098865,0.6915634462806979,0.6999540656546075,0.8993866217641296,0.9006985532640877,0.8962851345631376,0.8995461265345354,0.9027449662857971,1.0,0.586145067516435,0.7625340737257398,0.6784878066237044
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.7999961462987221,0.7639225618625142,0.8295278905111023,0.8546708399280672,0.8616817366186832,0.7810607848536284,0.7951879337600859,0.751946680579542,0.7428587314758253,0.9297373579734697,0.760826713573606,0.6698358602546777,0.0,0.8406669975691201,0.6606660917301891,0.7153708532555602,0.8954753579343397,0.9085989514443047,0.9055315617020785,0.9255491924565215,0.9002793511547913,0.9085633476509055,0.8550252376564123,0.8367093709978924,0.8923310237551353,0.8122680070932097,0.8208059881747733,0.842974600517373,0.8959665415331539,0.9000112139869896,0.8937488467863013,0.8949918168912859,0.8969064554682438,1.0,0.8763190920960742,0.896392692880828,0.8887003804465652
De philosophia,0.8249970164250542,0.38309337804267973,0.9034105461523322,0.8280772909622023,0.8744031559236237,0.8545004497440555,0.8392271565921313,0.7915374003882296,0.786621573430176,0.9366859967627698,0.678232609257857,0.7256262363019825,0.8406669975691201,4.440892098500626e-16,0.7136145119761985,0.7425389368090629,0.9227625863831448,0.9413000861930023,0.932849933757129,0.9517314683206806,0.8985057050570071,0.9387180851982351,0.8793886215314766,0.8403795004705867,0.912534772071944,0.8247483958586477,0.854620958481582,0.8563535655568075,0.9488137919456413,0.9506406504536663,0.9469992655182711,0.9490957479604719,0.9508132489412096,1.0,0.8748752283943116,0.9069009583555734,0.8655424552903813
