,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Elementa philosophiae,0.0,0.6117569397642463,0.6506604864292393,0.6290262927454587,0.5574261948035144,0.48447349398740314,0.506379268418023,0.26955456344871176,0.5794702667725637,0.6099564701166328,0.4133960498846678,0.6505254075697502,0.6241832681996585,0.5915640657751737,0.2567082620516479,0.24746527257440876,0.26234102438330775,0.5852256675970084,0.4800474625254668,0.3980948302519707,0.576872910673127,0.2752740930055414,0.5561414959603851,0.5562228664187792,0.5534499981596763,0.5512912713489514,0.5578634414285139,0.44355560062449106,0.4077406340117362,0.45098019796703004,0.42614689174115306,0.8295940541402709,0.41556224839688116,0.5061954835387457,0.6233339340549687,0.3778145000225789,0.4068421239343447,0.5606368589643373,0.6559894867227819,0.5886176447191507
Bucolicum carmen,0.6117569397642463,0.0,0.7370267045702412,0.7350854815806167,0.5852618020062479,0.6897470902646384,0.68025616402607,0.5627848462357384,0.7241528736985124,0.7762244389620827,0.6718980921567073,0.7304348867264706,0.7119222567261334,0.7712582448209745,0.6746665755741788,0.5485951785039,0.5012158854660207,0.7004886284209864,0.45019531515722677,0.5449312591240838,0.6776484051084912,0.6345014985973821,0.514974666834475,0.5235060710417456,0.5198809903043419,0.5251979266120113,0.5339855489865051,0.30930029460532393,0.4300561780062365,0.48774834053318616,0.44227638899119737,0.8456521090380938,0.4824232213197259,0.6135300982634111,0.5978559417492454,0.40886674304903736,0.4653032204177373,0.3316977222139441,0.6164049667335336,0.4224851444856508
Heautontimorumenos,0.6506604864292393,0.7370267045702412,0.0,0.4979671089267148,0.6736875370110347,0.7347700046825847,0.7417234297413636,0.6237123903007584,0.7796764806292361,0.8014908796766114,0.7097663939279776,0.48156911825450455,0.435653873880096,0.778612955662187,0.7222493053998851,0.5915037488293062,0.6133349496367644,0.46351144926929744,0.7241275130595713,0.6397107326375686,0.5225558095477953,0.6313609905329907,0.6456898983747789,0.6365390525790211,0.6356703371536769,0.6356168545593512,0.6387397759277751,0.6795145680536119,0.5747687765193072,0.6049734173542252,0.5540052423529345,0.9130145096442729,0.6256259386335563,0.6759028696530253,0.7438362041409499,0.6239125866197156,0.5606660757702691,0.749324123592056,0.7291680088444861,0.8020646865295269
Phormio,0.6290262927454587,0.7350854815806167,0.4979671089267148,0.0,0.6710783868481056,0.7282703668738499,0.736867651658599,0.6039581144118253,0.7665644011230441,0.7908005550618938,0.701568496297783,0.4703729739786423,0.487125877843398,0.7662230682705365,0.7054339206470313,0.5679656041414991,0.5941165826376968,0.500657612526833,0.7180395389357404,0.629587723454051,0.45731885891193214,0.6065064998373233,0.6454739401349459,0.6357733829635874,0.6347300246314758,0.6356492740929933,0.6385308889355716,0.6718804373956782,0.5627917274026035,0.6039373079864427,0.550212055807977,0.9086596683679644,0.6195633242393379,0.6741573847923679,0.7384521927219192,0.6105583792977712,0.5490088280548643,0.7491378872939344,0.729021198644091,0.8068576774439907
Elegia,0.5574261948035144,0.5852618020062479,0.6736875370110347,0.6710783868481056,0.0,0.6526802926353887,0.6472666056662156,0.5329694874767605,0.7230930880534161,0.736040650014878,0.6486982972056516,0.6724931882847982,0.6464187138672004,0.7389153230488241,0.6464461252888074,0.5083696466096335,0.5024642348053329,0.6365299199153807,0.5487140004607614,0.5182193308728711,0.6178910889213123,0.5755060323127417,0.5273750547207405,0.5254044669184748,0.5242997515231178,0.5237467866272862,0.5309576520243928,0.49231639970057517,0.4427470822848497,0.48309598282234256,0.4357636803697905,0.8618640499987104,0.4936019568853961,0.5801085128509964,0.6329246562577294,0.478915792594525,0.44374442640383527,0.5612023427626186,0.6577192134595278,0.6292069750445869
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.48447349398740314,0.6897470902646384,0.7347700046825847,0.7282703668738499,0.6526802926353887,0.0,0.6177916215484545,0.4430392274004453,0.6893173683301579,0.702019380983576,0.5523612118942121,0.734505915688235,0.7134464628643264,0.6894049774512592,0.584798895395271,0.42389155423004965,0.4834009686146855,0.6949094753090772,0.6181778353117615,0.5254322754898345,0.6896751454630973,0.4935481628492133,0.6199009915862951,0.6273423325838945,0.6248069849733324,0.6238209965001216,0.626925510393697,0.5928354715248517,0.579149322753624,0.5933372859231285,0.5686147884949037,0.8834652034873274,0.5790735859865277,0.6370829881365034,0.7199325140145316,0.5494191098264594,0.5688363982396725,0.6351193787453724,0.7127366376296164,0.6612007492622902
Rota Veneris,0.506379268418023,0.68025616402607,0.7417234297413636,0.736867651658599,0.6472666056662156,0.6177916215484545,0.0,0.5048554630693178,0.6974769784677308,0.7227344825695765,0.5618353512317465,0.7385438329263939,0.7222936887861264,0.7299765494269619,0.6024937834083897,0.4911663516744227,0.4855065121919778,0.7083286807701483,0.5963801030723062,0.5246069536415102,0.689398809359353,0.545522668840659,0.6217323650088696,0.6255999458711339,0.6241154522083787,0.6233806301624918,0.6265854518766059,0.5911174714851198,0.5623879260278735,0.5783015660099862,0.5610238370975063,0.870692600628369,0.5820157656640879,0.6392069991303232,0.7192371075882447,0.5692456121084153,0.5609763661128813,0.6321606362497907,0.7066242361966503,0.6667083321743139
In Vergilii Georgicis comentarii,0.26955456344871176,0.5627848462357384,0.6237123903007584,0.6039581144118253,0.5329694874767605,0.4430392274004453,0.5048554630693178,0.0,0.5361248451615316,0.6091159835634923,0.38775888647338097,0.6243450583160683,0.5935527158430527,0.5378663188876516,0.41617678074778186,0.0678567480407567,0.22539960031619588,0.5711405852629807,0.45442428389160905,0.3748084576251063,0.5382506353513177,0.22726269405917376,0.5279826504340366,0.5287856098166231,0.5286584696572949,0.5273657950724941,0.5348213001617669,0.40697884630496284,0.39536243786751146,0.44774095950385795,0.40920422327919526,0.8284715171069322,0.4093170207458654,0.5072641619280125,0.5851327948925553,0.3455773638266759,0.38825827130257284,0.48416891694046094,0.6196145842117935,0.5133058294208144
De excidio Troiae historia,0.5794702667725637,0.7241528736985124,0.7796764806292361,0.7665644011230441,0.7230930880534161,0.6893173683301579,0.6974769784677308,0.5361248451615316,0.0,0.7648568372970392,0.6144770496770134,0.7767224821568659,0.7583285348132718,0.7486096754178867,0.6615244199587206,0.5061362138580741,0.5332951565423896,0.7460886355535408,0.6190269354119784,0.60666866784967,0.7252059720090539,0.5762735952493048,0.7029004732782993,0.7079460936904906,0.7065438083468543,0.7082562268353441,0.7094929236747772,0.6105913843047047,0.6317874334197349,0.6574609586147184,0.6396148932558048,0.884530576032175,0.6354191660507809,0.6994170664359305,0.7327186603001656,0.5978858663851423,0.6343044299063432,0.6349971595472875,0.7699815546747506,0.6870222071848818
De contemptu mundi,0.6099564701166328,0.7762244389620827,0.8014908796766114,0.7908005550618938,0.736040650014878,0.702019380983576,0.7227344825695765,0.6091159835634923,0.7648568372970392,0.0,0.6925613235615586,0.8008223892578747,0.7830808005080774,0.7782914471746728,0.6923156255940786,0.5894952082976952,0.5984641685367504,0.7741414199061509,0.6964899292381037,0.6316744946366637,0.7606959131004593,0.616831710056612,0.732797345468706,0.7330789242153535,0.7306210156437111,0.7303326837194879,0.7334558376188544,0.6974536137507088,0.6625087125690261,0.6901220101570017,0.6705633296440046,0.9042218475677224,0.6780784333144874,0.728050021382962,0.7787710801354568,0.6641569542062103,0.6576312942639693,0.7497611356613691,0.7960523959257114,0.7791100972031958
