,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Elementa philosophiae,0.0,1.1061256165230036,1.140754562935654,1.1216294332313719,1.0558657062368362,0.9843510491561422,1.006359049661702,0.7342405102536038,1.0765410041169492,1.104496690910938,0.909281089525879,1.1406361449381939,1.1173032428125014,1.0877169353972242,0.7165308954284034,0.7035130028282122,0.7243493968842529,1.0818739922902387,0.9798443371528388,0.892294604098622,1.0741256078067514,0.7419893435967764,1.054648278773865,1.0547254300705344,1.0520931500201254,1.0500393053109243,1.0562797370284676,0.9418658085144883,0.9030400146302662,0.9497159553961737,0.9231975863715269,1.288094759045488,0.9116602968177272,1.0061764095214145,1.1165428196490486,0.8692692333477926,0.9020444822006934,1.0589021285882882,1.1454165065361637,1.0850047416663078
Bucolicum carmen,1.1061256165230036,0.0,1.2141060123154575,1.2125060672678156,1.0819073916063673,1.1745187016515666,1.1664100171260967,1.0609286933963045,1.203455752155868,1.2459730646864389,1.1592222324962056,1.2086644585876256,1.1932495604240971,1.241980873299353,1.161608002360834,1.0474685470250726,1.0012151471746669,1.1836288509672253,0.9488891559681997,1.0439648069966707,1.1641721566061283,1.1265003316444204,1.0148641946925097,1.023236112577847,1.0196871974329276,1.0248882149893142,1.0334268711297039,0.7865116586614751,0.9274224258731513,0.987672355119041,0.9405066602540936,1.3005015255954602,0.9822659734712851,1.107727491997348,1.0934861149088357,0.9042861748904363,0.9646794497839773,0.8144909112003488,1.1103197437977188,0.9192226547313542
Heautontimorumenos,1.140754562935654,1.2141060123154575,0.0,0.9979650383924074,1.1607648659492635,1.2122458535154215,1.2179683327093709,1.1168817218496232,1.248740550017762,1.266089159322259,1.1914414747926916,0.9813960650568645,0.933438668451392,1.2478885812940235,1.201872959509581,1.0876614811869008,1.1075513077386516,0.9628202836140856,1.2034346787917656,1.1311151423593482,1.0223070082395451,1.1237090286485831,1.1363889284701798,1.1283076287777631,1.1275374380956986,1.1274900039995,1.1302564097830148,1.1657740501944944,1.0721648907881174,1.0999758336929968,1.0526207696534784,1.3513064120652534,1.1185937051795438,1.1626718106611595,1.2197017702217088,1.1170609532337157,1.058929719830693,1.2241928962318283,1.2076158402774808,1.266542290276697
Phormio,1.1216294332313719,1.2125060672678156,0.9979650383924074,0.0,1.1585149000752328,1.2068722938852454,1.2139750011088726,1.099052423146358,1.2381957851027625,1.2576172351410735,1.1845408361874936,0.9699205884799817,0.9870419219500797,1.2379200848765186,1.187799579598584,1.0658007357297528,1.090061083277189,1.0006573964418441,1.1983651688325037,1.1221298707848204,0.9563669368103086,1.1013686937964822,1.1361988735559958,1.1276288245372266,1.126703177089239,1.1275187573544188,1.1300715808616548,1.1592070025629533,1.060935179360768,1.099033491743094,1.0490110159650115,1.3480798703103674,1.1131606570836208,1.161169569694607,1.2152795503273641,1.1050415189464629,1.047863376643099,1.224040756914654,1.2074942638738577,1.2703209653029588
Elegia,1.0558657062368362,1.0819073916063673,1.1607648659492635,1.1585149000752328,0.0,1.142523778864522,1.137775554023059,1.0324432066480462,1.2025748110229764,1.213293575368223,1.1390331840694798,1.1597354769815675,1.137030090953848,1.2156605801362654,1.137054198610626,1.0083349112365512,1.0024612060377596,1.1282995346231701,1.0475819781387492,1.0180563156060032,1.1116574012899334,1.0728523032672126,1.02701027718396,1.0250897198962399,1.0240114760324899,1.0234713348475384,1.030492748178644,0.9922866518304357,0.9410069949632279,0.9829506425272664,0.9335562975737209,1.3129082603127544,0.9935813573990295,1.0771337083677146,1.1250996900343833,0.9786887069896122,0.9420662677369196,1.0594360223842967,1.1469256414079785,1.121790510785925
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.9843510491561422,1.1745187016515666,1.2122458535154215,1.2068722938852454,1.142523778864522,0.0,1.1115679210452962,0.941317403855386,1.1741527739866024,1.1849214159458876,1.0510577642492167,1.212027982918114,1.194526234843249,1.1742273863703512,1.0814794453853225,0.9207513825454736,0.9832608693675299,1.1789058277141025,1.1119153163002327,1.025116847476031,1.1744574453449872,0.9935272143724454,1.1134639568358686,1.1201270754551906,1.1178613375310358,1.1169789581725726,1.119754893174121,1.0888851835934574,1.0762428376102149,1.0893459376370598,1.0664096665868041,1.32925934526514,1.0761724638612469,1.128789606735022,1.1999437603609089,1.0482548448029545,1.0666174555479007,1.127048693487111,1.1939318553666673,1.1499571724741615
Rota Veneris,1.006359049661702,1.1664100171260967,1.2179683327093709,1.2139750011088726,1.137775554023059,1.1115679210452962,0.0,1.0048437321985833,1.1810816893574876,1.2022765759754133,1.060033349694054,1.215354954674898,1.201909887459265,1.20828518937107,1.0977192568307959,0.9911269864896243,0.9853999311873043,1.1902341624824813,1.0921356171026182,1.0243114308073071,1.1742221334648484,1.0445311568744875,1.115107497068197,1.1185704679376427,1.1172425450262482,1.1165846409139728,1.1194511618436802,1.0873062783640393,1.0605545021618403,1.0754548488988458,1.0592675177663802,1.3196155505512717,1.078902929520664,1.1306697122770224,1.199364087830071,1.0670010422753766,1.0592227019026066,1.124420416258882,1.1888012754002726,1.15473662120363
In Vergilii Georgicis comentarii,0.7342405102536038,1.0609286933963045,1.1168817218496232,1.099052423146358,1.0324432066480462,0.941317403855386,1.0048437321985833,0.0,1.0354949011575392,1.1037354606639909,0.8806348692545248,1.1174480375535718,1.0895436804857044,1.037175316798041,0.9123341282095792,0.3683931270822141,0.6714158179790247,1.068775547309243,0.9533354959210096,0.8658042014508525,1.0375457920992226,0.6741849806384776,1.027601722881086,1.0283828176478629,1.0282591790568676,1.0270012610241177,1.0342352731964009,0.9021960389016175,0.8892271226942686,0.9462990642539407,0.9046592986082941,1.287222993196625,0.9047839750415052,1.0072379678388441,1.081788144594513,0.8313571601023156,0.8812017604415662,0.9840415813781529,1.1132067051647505,1.0132184655057719
De excidio Troiae historia,1.0765410041169492,1.203455752155868,1.248740550017762,1.2381957851027625,1.2025748110229764,1.1741527739866024,1.1810816893574876,1.0354949011575392,0.0,1.2368159420844136,1.1085820219335119,1.2463727228697825,1.2315263170662267,1.223609149538931,1.1502386012988401,1.0061175019426525,1.0327585938082586,1.2215470810031126,1.1126786916372104,1.1015159262120586,1.2043304961754502,1.0735675062607422,1.1856647698892857,1.1899126805698845,1.1887336188960658,1.1901732872446562,1.1912119237774454,1.1050713862050112,1.1240884604156056,1.1467004479067628,1.1310304091895986,1.3300605821030949,1.1273146553210953,1.1827231852263131,1.2105524856859216,1.0935134808360802,1.1263253791923755,1.1269402464615623,1.240952500843438,1.172196406055732
De contemptu mundi,1.104496690910938,1.2459730646864389,1.266089159322259,1.2576172351410735,1.213293575368223,1.1849214159458876,1.2022765759754133,1.1037354606639909,1.2368159420844136,0.0,1.1769123362099834,1.26556105285987,1.2514637833418307,1.2476309127097125,1.176703552806987,1.0858132512519723,1.0940422007735728,1.2443001405659249,1.180245677168794,1.1239879844876963,1.2334471314981246,1.1107040200312084,1.2106174833271488,1.210850052000935,1.208818444303107,1.2085798970026658,1.2111612919993973,1.1810619067182553,1.1510940122935442,1.174837869799097,1.1580702307234774,1.3447838841744932,1.1645414834298868,1.2066897044252394,1.2480152884764177,1.152525014224121,1.146848982441911,1.224549823944698,1.2617863495265091,1.2482869038833018
Ars grammatica,0.909281089525879,1.1592222324962056,1.1914414747926916,1.1845408361874936,1.1390331840694798,1.0510577642492167,1.060033349694054,0.8806348692545248,1.1085820219335119,1.1769123362099834,0.0,1.192132137573209,1.17233137570574,1.1362372083690153,1.020513406473052,0.8396121846253588,0.8049835484663704,1.1613279691676677,1.045156643892075,0.9708529504050618,1.1339230528163546,0.9365798862286075,1.1200662829811043,1.1214612393151906,1.121047349190097,1.119686703361757,1.1223086881308446,1.0392956737364483,1.0217397929213576,1.0592111475699366,1.0384118615892661,1.3138159317322964,1.0355296543781911,1.0998585380177057,1.1135010247821264,0.9967430827462037,1.025097068375915,1.0889786994374016,1.171329987970576,1.1157787363726588
Eunuchus,1.1406361449381939,1.2086644585876256,0.9813960650568645,0.9699205884799817,1.1597354769815675,1.212027982918114,1.215354954674898,1.1174480375535718,1.2463727228697825,1.26556105285987,1.192132137573209,0.0,0.9060445419750978,1.2495703443312245,1.2011914863939217,1.08951739601743,1.1059264944110525,1.0656125009845745,1.1995731627315211,1.1268939660341564,0.9645226855396728,1.1233959064366486,1.1354744284776166,1.1286662053937884,1.1274007916545545,1.1286157111238126,1.1308504813582738,1.1608503807931423,1.072929116801711,1.099335052451374,1.0537806288074552,1.3491776622437637,1.1176532568817923,1.1628596416123251,1.223213274957154,1.1130325511781742,1.060242117136424,1.2164014172998845,1.201610564970728,1.259987616496343
