,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.16129252730720578,0.2940766114183764,0.33109437999668956,0.5298604884303975,0.16879399727303412,0.15471249234128814,0.29032298259042444,0.2702737624909184,0.22454878202545292,0.17936146523518826,0.6692617606317515,0.1698814041910195,0.36655468240111544,0.2338152341767964,0.23798996928953353,0.4985587455141216,0.5979663310548485,0.6141045480358652,0.6855147643428131,0.47662882417937336,0.6162624397010679,0.2630444559676156,0.305210446939303,0.43651894927831303,0.29956886297142904,0.2221317317849517,0.3644125128035607,0.49852105283016246,0.49661893282515857,0.2769205836182155,0.33088004258182546,0.3447947651804203,0.347160888343261,0.33619235991335816,0.33942766392251433,0.33320053174615527,1.0,0.5064717184725265,0.25515499913814466,0.4341999112637921
Elementa philosophiae,0.16129252730720578,1.1102230246251565e-16,0.29224261169920596,0.30451563042062435,0.4947455870598252,0.151933921643445,0.12385523251855568,0.24232732294167791,0.16189376868870042,0.1936440065172108,0.12177615716066503,0.6497185868886692,0.16499246800016354,0.25151261441241624,0.1897964479540919,0.185320796087436,0.4458424371045727,0.6018719404582233,0.5982017701344987,0.6775901975836169,0.45231214823226185,0.580376983633794,0.24534200955787777,0.2910781134990921,0.3838745159915514,0.26494585092591505,0.20269873422148854,0.3075399266945641,0.4837622283668608,0.4470173466778884,0.26571999297311377,0.30588208716298604,0.3503946595165012,0.3526247644955316,0.33997040091534514,0.3527264556708942,0.33988524016070687,1.0,0.4727154746832608,0.26934288886923397,0.4098275206260088
Elegia,0.2940766114183764,0.29224261169920596,0.0,0.12923029668646957,0.17076353757444107,0.18508006169375824,0.20840343374181847,0.3699785235615235,0.3644478526410464,0.28420783274063155,0.22410298999719425,0.7229065400824943,0.26491120868355733,0.46517315700561546,0.3291754180883294,0.327297001656906,0.5305493684850746,0.6140837627703881,0.6249405326733589,0.6927816503634974,0.4909536999622037,0.639444633508811,0.10812504945696055,0.10452601416993401,0.2849443219944545,0.1263840324482991,0.16820350180381516,0.14600062825946436,0.30483926334193445,0.19836823121765212,0.14095388450390112,0.14026099888103882,0.09859117378559146,0.10252775415580939,0.0976453283077171,0.10537644612571084,0.09795879939852048,1.0,0.20448854462297472,0.16278645836750683,0.18419117307140231
Alexandreis,0.33109437999668956,0.30451563042062435,0.12923029668646957,0.0,0.07957436591767819,0.20893164983775314,0.21418837742833352,0.33265399055097467,0.37902514067017423,0.22679234922794766,0.19105493372918725,0.7355721435925199,0.3041344098693505,0.47018025733993607,0.3463309657548823,0.3475825501976352,0.6246453157805387,0.7013940331028856,0.6992552632379512,0.7592908010236785,0.5696008250495319,0.7139118376705695,0.09480652580949,0.07542818708760202,0.2056425857382752,0.09446995230587518,0.19846175765119678,0.06629749654735961,0.2017945355622376,0.06207116943314306,0.13237499207043857,0.09648976834716416,0.11115557708539492,0.11430717067208607,0.11933545680141877,0.11799217606038137,0.1179216843548776,1.0,0.06161636745082888,0.13962541173640342,0.06052317769796123
Bucolicum carmen,0.5298604884303975,0.4947455870598252,0.17076353757444107,0.07957436591767819,1.1102230246251565e-16,0.3672342902117177,0.38045328209751617,0.5147322642024962,0.47525904823565723,0.41460326161386407,0.33186188154159957,0.8017904905337209,0.46632255204744066,0.6019220232402209,0.49726798387734283,0.493984803648594,0.6876060658954988,0.7583458397031677,0.7477960984153721,0.800637568822751,0.6471486234355359,0.7645896909879476,0.1666736047532783,0.12028031543223128,0.2666429874926677,0.15608954426355404,0.3107106225469701,0.10126571018227792,0.24076353806534345,0.036836584252863736,0.19859759619125317,0.13917243345409824,0.13471054343161648,0.14148398376116178,0.1480927666969034,0.14377263102547555,0.14699652105720795,1.0,0.043234762709479235,0.24258747187041307,0.06675337566611217
Carmina Burana,0.16879399727303412,0.151933921643445,0.18508006169375824,0.20893164983775314,0.3672342902117177,2.220446049250313e-16,0.10015856230214759,0.24611423379964592,0.2716822189922333,0.1670904439858074,0.1691039856671651,0.6766699721813242,0.15397622030421743,0.35573582721837005,0.23416926928023096,0.221663325385402,0.5057756269435926,0.6178243671291457,0.6269033658873974,0.6995753302011346,0.4961526819422293,0.630387215521367,0.1756232450987849,0.22265780503536525,0.31065884444529146,0.20538298768793417,0.15187756729920254,0.2415422377834946,0.42870125843990536,0.37283456378127044,0.24063443758376235,0.2733948727996275,0.234992739800288,0.24856552811344368,0.2444110571668935,0.24685167132498276,0.237850018422617,1.0,0.35379881710436367,0.1390201488359707,0.28736857485247713
Rota Veneris,0.15471249234128814,0.12385523251855568,0.20840343374181847,0.21418837742833352,0.38045328209751617,0.10015856230214759,0.0,0.18678787952818332,0.23574016340709802,0.1613404800751278,0.1336404827318015,0.6684672939549139,0.12909591581995516,0.33741653297045504,0.21434706314311314,0.19736420794955856,0.5430214973618419,0.6563484065325977,0.6470259670252021,0.7171952953943497,0.5162937286646156,0.6638159175488537,0.2021592476532541,0.243703761577705,0.320035889433685,0.23112201963035517,0.1902978763818841,0.2550592685027361,0.42257896912014525,0.3685165183055149,0.25705045619562106,0.2823449371793071,0.2640212331701829,0.2812464315523967,0.27253526196415756,0.27836709847445285,0.2686229773366752,1.0,0.3468324468138466,0.17929882989706136,0.2790886291804937
Ars grammatica,0.29032298259042444,0.24232732294167791,0.3699785235615235,0.33265399055097467,0.5147322642024962,0.24611423379964592,0.18678787952818332,0.0,0.34087521314980707,0.2360220951310521,0.14931075495998747,0.6841008887503899,0.27829012628955774,0.419056162935902,0.2916161338224963,0.3095396183143905,0.6053832212927687,0.6790386520457408,0.6763241476282462,0.7320976084863706,0.524443445648748,0.6759493529022217,0.33568005707958204,0.353148864279182,0.45454333172794614,0.3442572871896331,0.3120469168870028,0.3649835382101084,0.3104738674056533,0.46930977236601534,0.354637784240766,0.3619600619982888,0.39755163661573323,0.39594763535814537,0.39798217116791246,0.40150202094411835,0.388202676946763,1.0,0.47648492766290274,0.31686871254779936,0.4264594280438745
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.2702737624909184,0.16189376868870042,0.3644478526410464,0.37902514067017423,0.47525904823565723,0.2716822189922333,0.23574016340709802,0.34087521314980707,3.3306690738754696e-16,0.3319826203725742,0.18042334068378385,0.6392572711098652,0.23891389754813708,0.373404305102228,0.18503087727292733,0.18742518619849335,0.4608993657758622,0.6258047756685725,0.6017410757168442,0.687500096858314,0.4657016388817826,0.5835873950564129,0.311496458980264,0.3306446673771991,0.446998577538009,0.3181702153033076,0.2699734593282982,0.31000759636514164,0.49920494928750414,0.43288570426097894,0.3034798233964029,0.33217928145615505,0.4156868625081299,0.4187290907034322,0.40891130601281533,0.4212407702492338,0.40768983955556104,1.0,0.4834733419052264,0.3642978435390536,0.44657182338344525
De excidio Troiae historia,0.22454878202545292,0.1936440065172108,0.28420783274063155,0.22679234922794766,0.41460326161386407,0.1670904439858074,0.1613404800751278,0.2360220951310521,0.3319826203725742,0.0,0.16535734016873826,0.6901980531738652,0.22754054845547,0.3884006808011601,0.20602423438769402,0.2067314537216356,0.5374236235465799,0.6524865678695801,0.6452177119107496,0.711684906316504,0.49248618851028514,0.6411115931413371,0.2442296345073136,0.2706927838542489,0.34138574536635446,0.26137487510894797,0.25214069093378333,0.26136179990539965,0.36091638641521007,0.37064040981525725,0.2846236368750632,0.31160286158452544,0.3142449819123878,0.3196024594025412,0.32484344770900564,0.3235052180082998,0.3133331858706542,1.0,0.34830544555450815,0.22167504160437423,0.3075799648769654
