,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.7132832777729146,0.8840016782223643,0.8057966952899649,0.9038129561768108,0.7722595007980454,0.8273015196673683,0.8373152503907504,0.7516372478713289,0.9032260759931412,0.6690776809971692,0.6924173396700541,0.7739755851344935,0.7481511013957237,0.6874948217110735,0.7263170406596129,0.8931057328995826,0.9049244411019836,0.9072085156794651,0.9207852055890838,0.8959109493517665,0.9090164451811309,0.849042220062763,0.8434474650967247,0.9389360106394448,0.8538296085851278,0.8764679375798896,0.8323380771047535,0.8984538296799383,0.8106435962611157,0.8163040354322861,0.8222102949054194,0.9288604783748119,0.929017471978818,0.9256370467393907,0.9271874007247766,0.9290429524010918,1.0,0.8450655355689817,0.8658446786996846,0.8750814368109487
Elementa philosophiae,0.7132832777729146,8.881784197001252e-16,0.8533459785756725,0.74207308349113,0.88155427921002,0.7846798592873789,0.7224194980187528,0.6774405046625049,0.6238919299035475,0.8910435526495284,0.503010410108139,0.5541218841309978,0.7400899102038603,0.1652822488401443,0.5398432752174398,0.5751722413805813,0.882007020090827,0.9099122173404378,0.8963261481710222,0.9265159416426553,0.8857026912812439,0.9082435382327028,0.823668663823988,0.8297306496401873,0.9207444663027193,0.7987020696632726,0.8318530857488133,0.7666200953956515,0.8609202607073977,0.7416532520881454,0.7866001639400169,0.7902719062214095,0.9290813773255964,0.9316997967487362,0.9248050238142425,0.928793245541828,0.9323156626723009,1.0,0.8093620305844648,0.8543650375474263,0.792157413617487
Elegia,0.8840016782223643,0.8533459785756725,0.0,0.6817009183830396,0.5673352511068601,0.5580145576342856,0.7469287182239048,0.8284915687048593,0.8939934270590715,0.9340431404593244,0.8275661046075414,0.8201672409885772,0.8160971138162454,0.8645271946094962,0.8128652474062356,0.8546246900373288,0.8215832541287355,0.8309905374282106,0.8248416195318234,0.8471366770730725,0.8155961920636441,0.8485422486552409,0.5965512192994136,0.577415381360971,0.9110831347361923,0.6536737726232047,0.6793271327428212,0.6794046584113921,0.724578641704954,0.6658422328625867,0.5843079107813165,0.5902400426110818,0.5938839013927182,0.5966991701421647,0.5915118849548975,0.5935882866523376,0.5973666581909189,1.0,0.7369150633008009,0.727179043491961,0.7947408086480947
Alexandreis,0.8057966952899649,0.74207308349113,0.6817009183830396,0.0,0.6123426072216128,0.6416396670477172,0.8082542549322891,0.8350294586069924,0.8588156761162761,0.8099172110880994,0.6486950578412694,0.6487396373468526,0.8452564999556371,0.7685199932335343,0.63604438095953,0.7162783400202997,0.8155875019804818,0.8298072364154013,0.8301471249658758,0.8553730751378448,0.8092667632825437,0.8372592126316525,0.5787713067244735,0.5569404168994669,0.8575185902488895,0.5963535557661743,0.6549650259246224,0.5097386655681888,0.6955919022096226,0.40791874827615593,0.5414833602757008,0.5270186873645862,0.8337297518363566,0.8383642161995128,0.8263331468414467,0.8345803479465916,0.8400547247382697,1.0,0.4256316138877889,0.6758979201724902,0.5876647641679024
Bucolicum carmen,0.9038129561768108,0.88155427921002,0.5673352511068601,0.6123426072216128,0.0,0.5504248198250615,0.7336425475216612,0.8358251156501455,0.8843087786447051,0.923454710759744,0.7897463436015492,0.7819546467079065,0.8526424508682133,0.8843787205743933,0.775991270209724,0.8120467721871336,0.8265199394169931,0.8340261320836749,0.8388173198977822,0.8629594851835147,0.8235367132926934,0.8551355297871102,0.610355476561806,0.6119734255470106,0.8908572277412847,0.6391544211596295,0.6746694747541119,0.6095470132255452,0.7453223377996185,0.5467626176049012,0.6138510159823161,0.6170995311441059,0.5954581034966397,0.5999592622283249,0.601880008931243,0.6009335912572015,0.5984452145534331,1.0,0.5723630706938369,0.6279164433834701,0.598363923346974
Carmina Burana,0.7722595007980454,0.7846798592873789,0.5580145576342856,0.6416396670477172,0.5504248198250615,0.0,0.6611626319183657,0.759957414113132,0.8050515315758181,0.8822638781227633,0.7520495119669495,0.7325578209430208,0.7631133199913083,0.7981800174125667,0.726558311993484,0.7778665599942778,0.7885329806559422,0.8071388736255078,0.811711825518111,0.8270165022274892,0.7801105493334384,0.8269986871794968,0.6380678628832364,0.6437423189961232,0.9091371332756936,0.6927445319830732,0.7095355660875481,0.686318846843472,0.7953341213882472,0.6514753759358993,0.6464321306635556,0.6495438852367088,0.650971744110383,0.6586797270378971,0.654247612547121,0.6547026495063086,0.6575582224467453,1.0,0.7036025974463713,0.7025973624989539,0.7585511160686556
Rota Veneris,0.8273015196673683,0.7224194980187528,0.7469287182239048,0.8082542549322891,0.7336425475216612,0.6611626319183657,9.992007221626409e-16,0.6876762256076265,0.7850993120309937,0.9232036023831791,0.7069439501632042,0.7158195581966149,0.7628311993266591,0.7575419585109248,0.7009633959715691,0.738130444815402,0.8746882115325786,0.8910372434796429,0.8894586765517558,0.8960666592481957,0.8651959882190027,0.9023440702294601,0.8239645449143019,0.8271912644687145,0.9487600343819208,0.8502291068820123,0.8613228880966769,0.858814519493188,0.8988040498642254,0.8211799831195669,0.8077653829588922,0.8094633087354942,0.746200746145532,0.7480488779878545,0.7451728625967284,0.7493013499530896,0.7458303152485863,1.0,0.8582577972526388,0.8747106152509379,0.8730319298914201
Ars grammatica,0.8373152503907504,0.6774405046625049,0.8284915687048593,0.8350294586069924,0.8358251156501455,0.759957414113132,0.6876762256076265,1.6653345369377348e-15,0.6769304354732657,0.9257408098317965,0.585608941602689,0.6595748444546223,0.7239426662517505,0.6982569264983148,0.6442736533074302,0.6888450068866121,0.9021650089947405,0.9168764865679344,0.9052776543379821,0.9319075452243153,0.9028293678371462,0.913999529409603,0.8722104142473686,0.8661086897213892,0.9596401987181886,0.8632061727041301,0.8789066471995749,0.8455567122549861,0.8842815398481212,0.8396508604693608,0.8432986624446794,0.8392752688295539,0.899649002840131,0.9096283429188088,0.897527264454321,0.9043846090588209,0.9086111742592567,1.0,0.8717022920712891,0.8987801596508683,0.8671419302865022
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.7516372478713289,0.6238919299035475,0.8939934270590715,0.8588156761162761,0.8843087786447051,0.8050515315758181,0.7850993120309937,0.6769304354732657,0.0,0.9097238764911202,0.655907545729482,0.43150734840798577,0.7219245627547883,0.7006980515303625,0.4083515911698845,0.3883409242290714,0.894543899795609,0.8992571094480296,0.9107978009675672,0.9250072566688469,0.9090228582578589,0.9156370831222405,0.9096419689774005,0.9100173559484068,0.9712600481100091,0.9006853782441056,0.9139871119843467,0.8668610531239374,0.9309743922088318,0.8634183427561365,0.8838600024734796,0.883531777578691,0.9385324365549842,0.942663873348979,0.939017304316063,0.9396683498029684,0.9415119114965783,1.0,0.8920199636951225,0.9323628700974756,0.8940613697341369
De excidio Troiae historia,0.9032260759931412,0.8910435526495284,0.9340431404593244,0.8099172110880994,0.923454710759744,0.8822638781227633,0.9232036023831791,0.9257408098317965,0.9097238764911202,0.0,0.8248438448437405,0.7945394032115891,0.9165069073855712,0.9029344744896404,0.786585157588154,0.855882684374114,0.9277331307452935,0.9417670592121238,0.9333887343197648,0.9518145889371152,0.9209730404791776,0.9385178970470844,0.900841340258005,0.895899329636978,0.9567152046456032,0.8859129873295746,0.9048084557021642,0.8555090224225305,0.9286311407250528,0.8361074511369162,0.892206127490129,0.8955644776417195,0.9610231371320516,0.9605178561857539,0.9593588280959081,0.9612647858477819,0.9612030746870046,1.0,0.8170201503503077,0.9295329332212816,0.9046122610830499
