,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,7.327471962526033e-15,0.5957164775999351,0.7266829132023709,0.688022288185671,0.7680511604539704,0.6212322453165551,0.7084342354639468,0.6780067588921315,0.6024548640411718,0.7543369689643623,0.5851016241488257,0.7658139645398755,0.6858321667625322,0.68690309842295,0.5772232760370068,0.5973319506005078,0.7656603832679193,0.7732197608069589,0.7918407999542656,0.7929445990033961,0.750690421773138,0.7866220702316657,0.6829477329650325,0.6542661660145742,0.7667111358487857,0.6910629697412987,0.6477704561347211,0.6501334767271518,0.722611573001138,0.7220013753697799,0.7174139968631352,0.7181286484509279,0.7221846464568833,1.0,0.7443895792450188,0.7865469430191733,0.7732075869415633
Elementa philosophiae,0.5957164775999351,0.0,0.5454914213865574,0.47287924830007366,0.60226906274136,0.38812608185059516,0.49315774780907695,0.3987989680415982,0.2638829725612868,0.5648890723748347,0.2513487911301936,0.5772684851957043,0.4677847719483438,0.2649182627079496,0.24065902694939423,0.26374744564634656,0.57580370907988,0.6115422438145478,0.6404694041072169,0.639147156028099,0.565935645977349,0.6248224838903795,0.4447462547529023,0.3696850198824636,0.6144455107344451,0.43999340836730916,0.3995182308208508,0.3979261715421012,0.5445058191746011,0.5437794792545145,0.5329731278160019,0.539423499134202,0.5432172634179037,1.0,0.5566978584697473,0.6450253945271188,0.5823310376502342
Elegia,0.7266829132023709,0.5454914213865574,4.440892098500626e-15,0.5370546529535445,0.5714917188088067,0.5071236600854533,0.6353762690922999,0.6357218665278896,0.5613491206624495,0.7092812490335506,0.490811707230158,0.7262347336430403,0.6331647619669922,0.6423919472806014,0.49789296186524856,0.5218164690101234,0.6249577052974064,0.6329899199953484,0.6592789033133867,0.6606288659445704,0.6045810990605367,0.6655885227219765,0.4701816045215115,0.4648132095731853,0.6192441385918217,0.4808409934362772,0.43108783357348734,0.42856876548818845,0.5106952054988109,0.5088571534673596,0.5033632488075426,0.5070909551529637,0.5127165153893627,1.0,0.5492553152934976,0.6437898346712834,0.6148434297666352
Alexandreis,0.688022288185671,0.47287924830007366,0.5370546529535445,0.0,0.4383444354131234,0.4547166949673238,0.583300509667251,0.53413871974416,0.5247143224039663,0.6083944245049278,0.37779255291106517,0.695714835926394,0.6001028095051624,0.5827382272987394,0.42360124170173397,0.4472896560800209,0.6794382137804911,0.6901218405571905,0.7097556174519892,0.7169276945623579,0.6535708135996654,0.7165568175349726,0.44567679296189744,0.36013734989899027,0.5498168460177904,0.28410777259316755,0.4160087597358937,0.38733927863226747,0.49352326666096646,0.5019657045225778,0.5029142544957488,0.4989954338360908,0.5081429633310124,1.0,0.3070595079383357,0.6131601365569952,0.4076595999299839
Bucolicum carmen,0.7680511604539704,0.60226906274136,0.5714917188088067,0.4383444354131234,0.0,0.5344985459517685,0.6683862378094028,0.6617909443664742,0.6250266280308463,0.7124689985825194,0.4918447518340222,0.7621500136906841,0.6744629087180247,0.6729417910780826,0.5425943395537642,0.5548787719299663,0.69087815181769,0.7027109226974331,0.7195761687302373,0.728095029144912,0.6740098970607766,0.7319718395490198,0.4702055197791787,0.3948350338927582,0.5880747613575843,0.2962982271841359,0.4525470958013049,0.4187188478090136,0.49627357823924934,0.5058668994534337,0.505569653189761,0.5029948158870842,0.5120142305558453,1.0,0.31728223824524804,0.5974331574432821,0.40201834006396286
Carmina Burana,0.6212322453165551,0.38812608185059516,0.5071236600854533,0.4547166949673238,0.5344985459517685,0.0,0.5114388220670122,0.4603998018788553,0.41720094353541404,0.5938064982989445,0.35818097882653965,0.6425055722045603,0.5075071139670977,0.5139355590045882,0.3420315820896903,0.36509812244499174,0.5781795456001857,0.5932367113328826,0.6246684220229533,0.6293819475179556,0.5626785437963902,0.627839932240845,0.4183353924111236,0.38907271622019346,0.6034211608539739,0.4385436700608547,0.3921188475095876,0.39406499580711496,0.47841825068152777,0.4797338364678866,0.47646713914755146,0.47713837655247826,0.4824838714381404,1.0,0.48707822836633496,0.5636441188372423,0.5413650132343242
Rota Veneris,0.7084342354639468,0.49315774780907695,0.6353762690922999,0.583300509667251,0.6683862378094028,0.5114388220670122,6.250555628639631e-14,0.5466049396548494,0.5309281680351856,0.6835672370556771,0.4715859254386352,0.7164258297914415,0.6003242289964111,0.5986441494130303,0.47993699268675616,0.49437946554217027,0.7016262211159889,0.7129827929971402,0.729980138774253,0.7332745212809234,0.6803240146668956,0.7346491350694079,0.5706215746129767,0.5583688876915691,0.7052970930804145,0.5831172809692506,0.5518332008810445,0.551340314831414,0.6124985032894994,0.6148034605007884,0.6120621704627041,0.6126359026610321,0.6154688703027744,1.0,0.6234197907056959,0.6952382017150411,0.6571434406391677
Ars grammatica,0.6780067588921315,0.3987989680415982,0.6357218665278896,0.53413871974416,0.6617909443664742,0.4603998018788553,0.5466049396548494,4.93050045236032e-13,0.4259314466613191,0.597991733931844,0.30862861831487165,0.629990875668463,0.536994947634372,0.516835264683589,0.3443113875845756,0.3811738595021079,0.6648555084616543,0.6739127060218459,0.6994429022150195,0.6984633868472585,0.6308588848337812,0.6952687662707006,0.551312631651351,0.4871607048726315,0.604379264749813,0.5338131613951236,0.5140185493761446,0.5090308424088051,0.6111035678226098,0.6104683649671456,0.6085137892469452,0.6099203066298101,0.6120146541824525,1.0,0.5872992798248651,0.6733266551248425,0.6155584573160878
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.6024548640411718,0.2638829725612868,0.5613491206624495,0.5247143224039663,0.6250266280308463,0.41720094353541404,0.5309281680351856,0.4259314466613191,0.0,0.5608660310079878,0.2618778438864483,0.5518925373283081,0.47766321411356716,0.4278724501874027,0.200916190238281,0.22085150539733278,0.5665617206193849,0.5895183575606824,0.6191416825791893,0.617561310243359,0.5296457107665582,0.6003850228107751,0.488058236025377,0.3967862043082805,0.6283194668827451,0.4815962661441625,0.42443901218510416,0.4266547922001632,0.5725769279668254,0.5701372660138522,0.560064610396531,0.5666527967319073,0.5707246781931156,1.0,0.5917064985075144,0.674454994726547,0.6368219075801416
De excidio Troiae historia,0.7543369689643623,0.5648890723748347,0.7092812490335506,0.6083944245049278,0.7124689985825194,0.5938064982989445,0.6835672370556771,0.597991733931844,0.5608660310079878,0.0,0.5201725836644366,0.7353157489510243,0.6727997600504882,0.6554122478396672,0.4928326040132015,0.5215366274710915,0.7359883183750755,0.7467946379535406,0.7662977410258704,0.7686649930548013,0.7140529832334772,0.7601885911479255,0.644414501706315,0.5843419253926048,0.7209429826285021,0.6011371165694986,0.6226058108053146,0.6182286568127292,0.6882424728601322,0.6929529049401197,0.6917417525241725,0.6911657621800118,0.694221827924296,1.0,0.6267079149045534,0.7585845580150862,0.6771187863154998
De nuptiis Philologiae et Mercurii,0.5851016241488257,0.2513487911301936,0.490811707230158,0.37779255291106517,0.4918447518340222,0.35818097882653965,0.4715859254386352,0.30862861831487165,0.2618778438864483,0.5201725836644366,1.6586731987899839e-13,0.547796564923561,0.46506307448695094,0.4069650522604248,0.18360322798098228,0.21999606472099553,0.5502482064984562,0.5647124476998033,0.6000126093120899,0.6021248390420071,0.5082960551996654,0.5909092942382272,0.3941975675213574,0.3022997070277149,0.5036350710955539,0.32548233020179995,0.3258431475366611,0.3158912221081108,0.4792078766073723,0.47721652522644153,0.47285946135496815,0.47400190952264654,0.4822105910587977,1.0,0.4154718286928164,0.5872800576977486,0.4812599786445316
