,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,2.220446049250313e-16,0.16000268672865603,0.23426641789469205,0.31877013953748057,0.462579485880136,0.15825122744471443,0.18838880283582626,0.2985711580066708,0.16301986481989406,0.24128507968595192,0.1788785918393263,0.5875652179000157,0.1928043027941132,0.172998242183947,0.1873938383337076,0.1991655153250239,0.2868044908751116,0.4263703377721453,0.3791714692199104,0.4768388891992571,0.2621935869877058,0.3502285076260876,0.23775592268255108,0.24944372170211937,0.3535580029719776,0.24484729676895556,0.21325728307621772,0.2625349016426899,0.39048948069168876,0.4100032888705303,0.23323266916855856,0.258706843604108,0.29282918060313934,0.2905828247774743,0.27971130109533915,0.2805129296515724,0.2788659240479273,1.0,0.5202050595793599,0.29356563636578903,0.488789604223993
Elementa philosophiae,0.16000268672865603,3.3306690738754696e-16,0.23041094356159808,0.2959333928053821,0.4377087304489101,0.14987322428691208,0.14134507493068693,0.23833749932445425,0.07143484546221168,0.21155196200053783,0.11123194399054426,0.5653164358422799,0.18507924974921064,0.015738434982688343,0.1474032810290965,0.14663041590888315,0.22723983442420792,0.41201322987244393,0.350001327865753,0.45275255880273113,0.22048547358689308,0.30983536529636513,0.2066534024446678,0.22376868681110706,0.30218022365882224,0.19785937101781215,0.17558911912854824,0.2134713120827687,0.37739465432068786,0.3648639519582081,0.21393951990706572,0.2341037958894755,0.3099846745621814,0.3038633745159587,0.28967519880983383,0.2987792095917834,0.2919424161838583,1.0,0.5002590274092353,0.29662702646690386,0.45988374106661056
Elegia,0.23426641789469205,0.23041094356159808,0.0,0.19024280897392942,0.23259678004098727,0.1561168153758805,0.22332904523116903,0.3821005733720356,0.23354820382098151,0.27034760358218823,0.19678480887843364,0.6247978868876853,0.2744101041892557,0.2380084184920196,0.251191847906138,0.257460216766365,0.21685571807577464,0.3774646404799531,0.31765264415638783,0.42430043825207153,0.18836501417979434,0.3000857579214896,0.08674439303309733,0.08845080015196793,0.2682737413602978,0.10314182558292218,0.10914687677655743,0.13125193871490914,0.2403956532364564,0.2188163452573394,0.09561025241791021,0.10109243176082261,0.10660300211336804,0.1049494130210622,0.0953545437918184,0.10472884093641721,0.10185892358334048,1.0,0.32863083369638235,0.19988265649776993,0.32266905376453603
Alexandreis,0.31877013953748057,0.2959333928053821,0.19024280897392942,4.440892098500626e-16,0.10292548512999189,0.20014435603798064,0.2520222833712412,0.3421251958533692,0.3493252273494738,0.2226443430951125,0.20362160721567435,0.6696754676531351,0.3337614757386248,0.28876511721325127,0.3108461060315796,0.31018835108322296,0.43723575861454833,0.5538240745384423,0.5025493595391235,0.5912909098666077,0.40349498952600094,0.5072266304059437,0.17001657285731653,0.18160649704520626,0.22703228759243888,0.16968577364939752,0.24524478246240788,0.1282946296290447,0.21561817024032526,0.0813702292718308,0.2050111105231649,0.1755463307009809,0.1705393657159161,0.1869550845003255,0.19353787319321136,0.18459222319667645,0.1872200158930274,1.0,0.09755829189195064,0.19599263265990008,0.10641982793732807
Bucolicum carmen,0.462579485880136,0.4377087304489101,0.23259678004098727,0.10292548512999189,3.3306690738754696e-16,0.3184516060125565,0.390260902854906,0.5205932929147301,0.4562819416947602,0.3756999471630088,0.3082683795000304,0.7330694375271316,0.4478830433278971,0.4285529339206613,0.4342185436493433,0.42377094545996274,0.48499324905037267,0.5995555930153429,0.5467960133113909,0.6299604328954975,0.46767766896875185,0.556319999857434,0.20300656049736576,0.20208726313897485,0.2755483219942275,0.19949147909755882,0.3042518043632211,0.15142785554776061,0.2463007612275785,0.04859314772196166,0.24371466142531983,0.1965903989268446,0.18059530164842708,0.2006968077656014,0.20384623180060935,0.1985980948403836,0.20234734131055965,1.0,0.06409092100025027,0.20618526197933695,0.06901393432251401
Carmina Burana,0.15825122744471443,0.14987322428691208,0.1561168153758805,0.20014435603798064,0.3184516060125565,0.0,0.11317536759268931,0.2412988747907766,0.18256157252501615,0.16924521364056,0.1601592148634483,0.5958489416052899,0.17949991485215133,0.15146742364347066,0.18823270716054152,0.18188264487366157,0.27064679011274595,0.423947689147243,0.37185510995623416,0.4752426721766836,0.2626809792492202,0.35612738751749173,0.15306047777513943,0.18932939754393774,0.26069863790739745,0.17238239829626634,0.14445171432455983,0.1891389061367228,0.334458790770229,0.3138544406109973,0.19385477381195138,0.21066128216229607,0.2061336079647511,0.2102149666308989,0.20693526802393625,0.20790193263854828,0.2045142193266195,1.0,0.37271800886748996,0.13615998410491648,0.33531158874578815
Rota Veneris,0.18838880283582626,0.14134507493068693,0.22332904523116903,0.2520222833712412,0.390260902854906,0.11317536759268931,4.440892098500626e-16,0.19700769148154784,0.1951263594442152,0.20703464703621632,0.1535344482815656,0.6041684764363356,0.16854006570875446,0.1418538753601366,0.20689907647264127,0.19380673247339342,0.33692864482026885,0.48498210567503164,0.41980518015609025,0.5195407194567188,0.31314525587567454,0.4233908532160312,0.21991503170073246,0.2565256127140334,0.2831142587205715,0.23748557580553753,0.19567802388972433,0.2676259876828282,0.3939853025392247,0.3727338896515745,0.2627916881131578,0.28340347549077016,0.2614801364955963,0.2682839745709187,0.2635774116535221,0.2648905897045234,0.26101608658128395,1.0,0.42309715707537854,0.2308295080175109,0.37469525753804844
Ars grammatica,0.2985711580066708,0.23833749932445425,0.3821005733720356,0.3421251958533692,0.5205932929147301,0.2412988747907766,0.19700769148154784,0.0,0.2688470743996467,0.24701201975317888,0.15868909679605914,0.6140516706415897,0.29223689121801644,0.231098919702885,0.25355926637109527,0.267265771470114,0.4231426912061692,0.5299876169861086,0.4820504708910901,0.5605863578307918,0.3611354731452535,0.4680175994600888,0.35862807841261957,0.3741062534019559,0.4167370962939765,0.3519425834267186,0.33004661868902807,0.35762261941753626,0.31407956624282796,0.46232516610042473,0.36445137936934324,0.3742515626700329,0.4156907298506213,0.4110604041253918,0.41107143487164377,0.4130470649394796,0.40459205879993665,1.0,0.5231006598355298,0.35381152162484053,0.48348371263138745
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.16301986481989406,0.07143484546221168,0.23354820382098151,0.3493252273494738,0.4562819416947602,0.18256157252501615,0.1951263594442152,0.2688470743996467,0.0,0.24909713701794178,0.12502239096313328,0.5393145878216182,0.17609371458003054,0.09239030531587944,0.1067683700465506,0.11298311500268265,0.2228104212536467,0.4137450657086479,0.34269275137425315,0.44151119385989135,0.19522246842563995,0.29395029584241084,0.22568653389350668,0.22331991842738175,0.316304391374429,0.20481800893076407,0.18631324098837487,0.20238064350619656,0.37944342807381415,0.38104600560273516,0.21207682968835606,0.23743130548442049,0.32668876772570643,0.3187133396050683,0.30166185584667193,0.3155309012142894,0.30762304948676766,1.0,0.5278551488698355,0.3281060652154534,0.5005669201393756
De excidio Troiae historia,0.24128507968595192,0.21155196200053783,0.27034760358218823,0.2226443430951125,0.3756999471630088,0.16924521364056,0.20703464703621632,0.24701201975317888,0.24909713701794178,0.0,0.1716913606087327,0.6173068856286712,0.26520259682670755,0.2147226952456157,0.19124073504993022,0.19702283323914438,0.32208082614393585,0.4749005044300024,0.4198671342632586,0.517027842986074,0.3004815216948691,0.39672621475023073,0.24808888402807616,0.26907002122152246,0.28259621243816935,0.23972619538221607,0.24027627073612734,0.225037208559296,0.3125115881653201,0.31954815165124284,0.26827742300572477,0.2830013890745333,0.28974849265085745,0.29602018169041355,0.297858839159181,0.29379367592688177,0.28935380742290107,1.0,0.3663802825257463,0.2691531380188057,0.3550249523259593
