,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,3.3306690738754696e-16,0.17356845420094613,0.2428621059631496,0.27543097409809414,0.42161755056888794,0.1629428064752304,0.18146003217186324,0.30417909960655676,0.22081705445404776,0.2633183455941215,0.16065847933658906,0.5537576829127536,0.21144247854260134,0.30423060292129156,0.18524647644402825,0.19390444837866005,0.399427314415421,0.47870615436159814,0.4700756439081786,0.5265180551678745,0.37394782316599173,0.4502797806734108,0.27145013306576293,0.26697693670960154,0.34118050253452625,0.3856670275047588,0.2463557917027801,0.2621239038870431,0.33088495090297887,0.33072434314435784,0.3215292219809991,0.32207524670470844,0.32615483435093806,1.0,0.47983880218995645,0.3425469353726869,0.47849861046502085
Elementa philosophiae,0.17356845420094613,0.0,0.2658034564003029,0.28430023706291185,0.4221479866859156,0.16934618879847152,0.15838455157803033,0.23986543016589568,0.15410834153099484,0.23558575796336823,0.12356522856983942,0.5321778777573791,0.19447909535557173,0.15875195143264564,0.14986734667827606,0.14768932717472172,0.3659710605246468,0.47831186434244655,0.4650021891767401,0.5191200212354607,0.36482450324333315,0.43570787859707427,0.25598041278159167,0.2230811584490192,0.3697468955795914,0.3530170284463595,0.2537630401229395,0.26157474934968394,0.35846160966787666,0.3582322163997548,0.34483594810530305,0.3531438142767076,0.35303887989167826,1.0,0.4752124327931837,0.3638367597278136,0.4475189962490378
Elegia,0.2428621059631496,0.2658034564003029,0.0,0.17857365488713728,0.19993278647907775,0.13609245947896065,0.20091015336074858,0.3880637244944841,0.3249743926448251,0.3258116882787181,0.20333119060693827,0.5983759482482621,0.26684168252066087,0.37850257790901953,0.2555165431769222,0.2668327997035581,0.2615868457315036,0.35180116617976465,0.33359634765664514,0.40534167008870137,0.23671524742497219,0.338610374518284,0.08115105911860343,0.14065105755132068,0.19335745087692824,0.21627634142580898,0.08027810027745608,0.08830275269285481,0.10736212069628004,0.1055977639531861,0.09773545407753836,0.10346360759543405,0.10593203373642446,1.0,0.30427862698435415,0.17175128111215499,0.33358862113308063
Alexandreis,0.27543097409809414,0.28430023706291185,0.17857365488713728,6.661338147750939e-16,0.10457896997360883,0.17901521456941383,0.21874210042572884,0.3335867797015528,0.3784783799811251,0.24800261001668045,0.1765762195284546,0.6230145866641084,0.3132710061997479,0.38385925490138273,0.27841145367345854,0.28120912403970955,0.46455435816233726,0.5356950111386478,0.5176760168789396,0.5794570375895343,0.4336372271091069,0.5241561220283911,0.18184475053459914,0.1294321386379862,0.18712427262796238,0.08733575501722013,0.19774070746347994,0.1695260525846929,0.20510770810796897,0.21995522880310492,0.22413237861648472,0.21658577844847027,0.22471771738249613,1.0,0.10258984868015764,0.23434898063571863,0.13016788662430712
Bucolicum carmen,0.42161755056888794,0.4221479866859156,0.19993278647907775,0.10457896997360883,0.0,0.26989661286138344,0.3458334246669552,0.491070722107536,0.48388079796923844,0.4008580963948096,0.28847540582968145,0.6887014903439697,0.41004779280393866,0.488423708880355,0.3951522189079373,0.39261503552626775,0.4550806076535291,0.5308106444304473,0.5088340663615566,0.5733884419074154,0.4398889277638618,0.5255171769049546,0.18165409808159672,0.13640503248156055,0.21737336186210532,0.05227322080010477,0.20838510530627585,0.17015960873989966,0.17418132509434947,0.19133982583787268,0.19307976984923958,0.18790211428577785,0.19616273120662386,1.0,0.06355195072713604,0.1936421676440646,0.08643146074215069
Carmina Burana,0.1629428064752304,0.16934618879847152,0.13609245947896065,0.17901521456941383,0.26989661286138344,1.1102230246251565e-16,0.10922793482689297,0.24399888841077033,0.2542121352329759,0.21044535731274217,0.1569429573159966,0.5589703883452346,0.17798782197762708,0.2904769488621819,0.17942226581453735,0.180251150343962,0.30450001318913755,0.3959411940091807,0.3842396752169439,0.45509400544005385,0.2932937750015311,0.38122255445302833,0.14626460842498634,0.17344832957956002,0.28417921320217177,0.28527525134461806,0.1663430814203457,0.18025706052808432,0.19320920941511388,0.1968345483425472,0.19423620252932972,0.1938816403837238,0.19625150679256753,1.0,0.33250623278619984,0.14634077113396504,0.3302724874856582
Rota Veneris,0.18146003217186324,0.15838455157803033,0.20091015336074858,0.21874210042572884,0.3458334246669552,0.10922793482689297,6.661338147750939e-16,0.21444604797040756,0.26523816166157677,0.24022884249418175,0.14845730135617852,0.5692947897956923,0.18049184984281652,0.28213701142366987,0.20132131042434143,0.19426558131235072,0.39109344675456825,0.47503419028367755,0.4533002640851558,0.5172110719198206,0.3632535162416213,0.45666127608434104,0.21657569463639992,0.25557425178527005,0.33888873886185455,0.3408322693844509,0.2396284619006538,0.2493448660153449,0.25997578789616893,0.2661081353941145,0.2628034751454166,0.2631025252058091,0.26305455661349963,1.0,0.38948809314487376,0.2549433970017899,0.3740173720265447
Ars grammatica,0.30417909960655676,0.23986543016589568,0.3880637244944841,0.3335867797015528,0.491070722107536,0.24399888841077033,0.21444604797040756,2.220446049250313e-16,0.3187147374144266,0.26747029433051983,0.17249166425113105,0.5771972025969881,0.2823756597215611,0.344516485103354,0.24078644761710455,0.2556797714385717,0.48115887979271066,0.5463538443613754,0.5369714748939722,0.5837602028763045,0.44084230927025936,0.5264388144091601,0.375551029872208,0.34290664051985265,0.3263913976016123,0.43933567146582597,0.37185644098444637,0.3741114096852658,0.4308578587556705,0.43073090874973274,0.4295065032197879,0.43119458497416474,0.4293177680825849,1.0,0.49226343119714966,0.39230182270604463,0.4676938390896226
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.22081705445404776,0.15410834153099484,0.3249743926448251,0.3784783799811251,0.48388079796923844,0.2542121352329759,0.26523816166157677,0.3187147374144266,4.440892098500626e-16,0.26813580205359144,0.1760537757201195,0.5293500665916773,0.25979873023726663,0.2925390112767301,0.14951225052901618,0.14083377194700952,0.38110433352387707,0.4744603572002486,0.45883085986717886,0.5135280830555454,0.3426696706242972,0.42770759476610176,0.34675159974869785,0.29256121528842105,0.42091509896503143,0.42935769721958084,0.31767004282744493,0.3296480879445689,0.426612814094359,0.42428687381157193,0.4122677841893855,0.4205734365685323,0.421134541217016,1.0,0.5406168818727675,0.44561910731205967,0.5410402462890341
De excidio Troiae historia,0.2633183455941215,0.23558575796336823,0.3258116882787181,0.24800261001668045,0.4008580963948096,0.21044535731274217,0.24022884249418175,0.26747029433051983,0.26813580205359144,0.0,0.18957983929957534,0.5843137844852788,0.2863200354217358,0.34905630008658983,0.19549424883368438,0.20308408056632576,0.4371946804348158,0.5177144560087277,0.5081816276151423,0.561517849974663,0.4066920207570309,0.48875150105669385,0.3220935917572839,0.26985483290277423,0.3475180749510568,0.344565080513783,0.3297552900988616,0.3328911105124053,0.3699399726883996,0.38069600629032796,0.37999716089841507,0.37796190682081254,0.37911386174272266,1.0,0.38408544815230805,0.38219777513177244,0.38534249145560684
