,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,5.551115123125783e-16,0.788301820642324,0.8685942860496587,0.8340042886566983,0.8894992382473665,0.7014102371680029,0.8026635982660546,0.8513117388331951,0.763049119491051,0.9429101037938435,0.7828399267527478,0.7722862578100749,0.7839445421639814,0.8002351596426261,0.7645266225855333,0.8023447642005328,0.9190956874885757,0.9406652777575448,0.9329361196839197,0.9514746611322589,0.9269586406476996,0.9332339303627075,0.8845763449976292,0.8767765967308752,0.9639900332580105,0.8880286358169336,0.8984566197711532,0.8659375113441841,0.9212139797434273,0.8555147979041172,0.8594088333552097,0.8664724916682739,0.9186189247384715,0.9186074690610332,0.9148697761931592,0.9190311475199908,0.919794901892218,1.0,0.8787345420962693,0.9046366378965066,0.8986944703197141
Elementa philosophiae,0.788301820642324,4.9960036108132044e-15,0.8461069023646468,0.7577522801305755,0.84937877408414,0.759258775635238,0.688853280128687,0.7134041006693921,0.5694538053017466,0.9202387587579606,0.5769395233681233,0.6072449785775514,0.7359287312916373,0.11433349573731733,0.5961580845996286,0.6070772946756722,0.9122177783572304,0.9341698655393849,0.9208574888149629,0.9463292820825666,0.9183147484545842,0.9287916233963615,0.8430342227117327,0.8559655597438476,0.9392011020767914,0.8325687949703975,0.8497696261976984,0.7677913334583341,0.8772796122794267,0.7461617592774049,0.8199176274894587,0.8182802462188041,0.9152099304560981,0.9171558700328271,0.9107629252764706,0.9152717640696598,0.9174718879038948,1.0,0.8242173272747562,0.8835522937060672,0.7702130975917361
Elegia,0.8685942860496587,0.8461069023646468,0.0,0.5913973366256218,0.5568342788254929,0.5194436254133028,0.7609912110597397,0.8465357466931147,0.8700652031779168,0.9266352145990245,0.7798273396901374,0.7803411486280335,0.712574861987708,0.8458992894367436,0.7507523265987002,0.7917790281212698,0.7467876172524188,0.7804930087336315,0.76637777748296,0.8051480548108289,0.7427250006299299,0.7961021016518118,0.43965361443838025,0.40078350338629776,0.8886754686127821,0.4938349670984403,0.5186680290355145,0.5521807514664555,0.5584613714398741,0.5527841188941462,0.4097310036836235,0.42578492323533,0.6021179708873605,0.601116075954236,0.5908477305848859,0.5986128633518417,0.6072973345421787,1.0,0.6368901955156459,0.613947159324377,0.697434312151876
Alexandreis,0.8340042886566983,0.7577522801305755,0.5913973366256218,5.88418203051333e-15,0.5542420986369077,0.559083288482614,0.7635547576363931,0.8100802056698062,0.8047649575013359,0.7902661162278374,0.6800020906505782,0.6407811636620449,0.7941393766862354,0.7639976572514012,0.5969321747181002,0.6958977467385609,0.8372783643503964,0.8588077555128489,0.8500685820412195,0.8830197722226567,0.8300798314043235,0.859292001963532,0.5658364640798587,0.574147713263111,0.8433888078726564,0.5679904678322423,0.63051557525825,0.4772348778305695,0.6723888073771425,0.3962074548771952,0.5419413989767254,0.5309472766885582,0.7556518436304279,0.7550706080456034,0.7487583788738202,0.7541719935492114,0.7593217020560803,1.0,0.3945988030492883,0.7118723584273183,0.5596405232584785
Bucolicum carmen,0.8894992382473665,0.84937877408414,0.5568342788254929,0.5542420986369077,0.0,0.5054403093451535,0.7793210358913278,0.8438694676395391,0.8513157615423411,0.9095328743205717,0.7322468421383197,0.7257829744892736,0.7797317436870967,0.8379526732645673,0.6899878123197418,0.7126045515437469,0.7654705435239538,0.7916133893181918,0.7876643196492854,0.8296573066332058,0.7574518630764888,0.8076380818641673,0.4715465639444153,0.46882836769811165,0.8380431112869536,0.48578767646640186,0.5429684539946178,0.4637100768767436,0.6212141054758578,0.4133213626630239,0.47308977649039086,0.4799794289251166,0.6767120189380156,0.6783536189506849,0.6698185135720608,0.6752286554625676,0.6817230290653704,1.0,0.4543750860100645,0.4636773638277605,0.45147226062931
Carmina Burana,0.7014102371680029,0.759258775635238,0.5194436254133028,0.559083288482614,0.5054403093451535,0.0,0.6741732387739305,0.7775464503109636,0.765134008464504,0.8779988305589396,0.6921352119853482,0.6825486553141658,0.6933664367218821,0.755711830708202,0.6558579133300859,0.7034888111768178,0.7529792115615869,0.794912563735279,0.7829468101645268,0.8301110406613335,0.7575899411888747,0.803560093575418,0.49574120827499024,0.5102903398030425,0.8581715004109702,0.5277035651549966,0.5707594024504539,0.5205188459101385,0.6580824278220838,0.5241122854256498,0.46996639039939436,0.47966751643877226,0.6825260141110412,0.6821344965757654,0.6724688839701519,0.6796637308772655,0.6840830543889258,1.0,0.6029374631292383,0.5281563265077931,0.6483102596550814
Rota Veneris,0.8026635982660546,0.688853280128687,0.7609912110597397,0.7635547576363931,0.7793210358913278,0.6741732387739305,7.771561172376096e-16,0.6947588151789712,0.734873787595752,0.9264205013135225,0.6348467411120782,0.6573168759136977,0.6957796416730657,0.703161689384405,0.6319612256030044,0.6771466980660887,0.8675498934432776,0.8899056963272903,0.8787058569550998,0.9066886768276123,0.8572598622586216,0.8898923472995005,0.7577989232471476,0.7557039505485121,0.9040106316699859,0.7581233610273024,0.7761259249405156,0.7818784884079187,0.8350201751067539,0.7650369284104206,0.7204435958618906,0.729284450089512,0.8248354128775828,0.824851987368131,0.8136734609636205,0.8235437430089074,0.8247142189298049,1.0,0.8154866512802772,0.828627495888123,0.8324829594808673
Ars grammatica,0.8513117388331951,0.7134041006693921,0.8465357466931147,0.8100802056698062,0.8438694676395391,0.7775464503109636,0.6947588151789712,3.219646771412954e-15,0.6774895878329557,0.9274616003421261,0.4992737449494553,0.6064890013649902,0.7145035355415981,0.7074929666211438,0.5917785829854759,0.6552139722511665,0.90755170592799,0.9193222242410517,0.9090206948279476,0.9343966042388354,0.900197804623869,0.9153325033403986,0.8500362000123526,0.8478897041239182,0.9494687566237645,0.8400186108564647,0.8557181228202649,0.8216500886186082,0.872091428440184,0.80980122409281,0.8210865161213577,0.8191083749472379,0.9071408325436614,0.9092194278650417,0.8934510350508976,0.9061722325068176,0.9094768739919095,1.0,0.8427086606641067,0.8673380259557903,0.8392503556779238
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.763049119491051,0.5694538053017466,0.8700652031779168,0.8047649575013359,0.8513157615423411,0.765134008464504,0.734873787595752,0.6774895878329557,1.0658141036401503e-14,0.9123891838985526,0.5903283462792261,0.4230420864030513,0.6770043088899802,0.607533004468938,0.416329123466476,0.41560807126194876,0.9119374912716224,0.922063884160331,0.9133048633144628,0.9418720574831315,0.906754850622699,0.9247642704448272,0.872760888789826,0.8742907036968416,0.9492049886005735,0.8586958931327551,0.879392718381238,0.803184783785664,0.8978630302950319,0.7956913602480937,0.8485077956554876,0.8490665919917914,0.9274474318562969,0.9283032376090595,0.9225129957329574,0.9267700844195399,0.92813168708006,1.0,0.8425615542994089,0.8957844028451082,0.8248997205154278
De excidio Troiae historia,0.9429101037938435,0.9202387587579606,0.9266352145990245,0.7902661162278374,0.9095328743205717,0.8779988305589396,0.9264205013135225,0.9274616003421261,0.9123891838985526,1.6653345369377348e-15,0.8511371940116033,0.800264021237997,0.9230331111436109,0.9227965853389604,0.7837393579509194,0.875869314477701,0.9384065572250537,0.9454725792877386,0.9449818076260508,0.9627157570726242,0.9352872740490215,0.944227588196431,0.8923843156067095,0.8930102960054183,0.9573857054463992,0.8833075622610495,0.8875145837419075,0.8434391391588096,0.9275135486388215,0.8387262102449146,0.8920196573821193,0.8881525681815827,0.9480148106203825,0.9484696405230784,0.9465211868101193,0.9485651138348766,0.9490334175988371,1.0,0.7993027327417113,0.9356202687431814,0.8965377450652792
