,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Theta-fragment of Egils saga-AM 162 A θ fol.,Zeta-fragment of Egils saga-AM 162 A ζ fol.,A fragment of Njáls saga-AM 162 B α fol,Two fragments of Njáls saga-AM 162 B θ fol,Codex Frisianus-AM 45 fol.,Alexanders saga-AM 519 a 4to,Dámusta saga-AM 557 4to,Eiríks saga rauða-AM 557 4to,Eiríks saga víðförla-AM 557 4to,Gunnlaugs saga Ormstungu-AM 557 4to,Hallfreðr saga vandraskald-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Karls þáttr vesæla-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",De xii abusivis saeculi-AM 677 4to,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Gregory’s Homilies on the Gospels-AM 677 4to,Prosper’s Epigrams-AM 677 4to,Reynistaðarbók-AM 764 4to,Pamphilus saga-DG 4-7,Völuspá in Codex Regius-GKS 2365 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Konungs skuggsjá-NKS 235 g 4to,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Stjórn-NRA norr fragm 60 A,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Brendanuss saga-NRA norr fragm 68,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,A fragment of Agǫtu saga-NRA norr fragm 70,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Maríu saga-NRA norr fragm 78,A fragment of Páls saga postula-NRA norr fragm 80,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to
A fragment of Konungs skuggsjá-AM 1056 IX 4to,0.0,0.575894065538715,0.6099810551241607,0.645109574012447,0.6107739981649356,0.6737058060493153,0.6007581520723111,0.6544881470208186,0.5700907156685671,0.67241352302455,0.6622260224553593,0.7094313051380363,0.6989786377020685,0.5906342181856437,0.5165463014959624,0.62385642236472,0.5949886343746742,0.7094593945293508,0.5818894525823161,0.6796618768268625,0.6328663205742346,0.7001145294278341,0.6282466495547598,0.6400095751769946,0.7722844768106799,0.7605318875852594,0.6677023472900239,0.5558369688719479,0.5897468138774502,0.5503654276200922,0.5835801772261173,0.6893316319572536,0.7492881203770979,0.7752571300644766,0.6574474674060596,0.5928034453258447,0.593747086032284,0.6212324718298816,0.8033489001042665,0.5605582297150121,0.531530830303615,0.678757086540013,0.6548774650857997,0.7647646894368519,0.617903303115642,0.8021897215880971,0.7463885413486384,0.6476706359183364,0.5743297375610978,0.7650961132249913,0.5920781091944135,0.6673627179196716,0.8047305893193926,0.8218233655586017,0.7647296570840788,0.7251919676021086,0.6546164537106145,0.6412762202619054,0.7096139560047732,0.7304572762482686,0.7254411475885373,0.5750607239261203,0.8371011078649975,0.7711668043606061,0.659863897695466,0.6346939346650231,0.5882755434014615
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.575894065538715,0.0,0.2377012505810039,0.3234433327499274,0.23821175985136833,0.33867088646526,0.19761312151023935,0.2865895332765408,0.13558540935721475,0.3171104356495684,0.31373821887112063,0.44689952066394145,0.40107382070239483,0.28416110741774914,0.16137612347998598,0.30703978271744914,0.25363231242152584,0.4983579344550989,0.21640094087081796,0.37419992263798496,0.3409011686247819,0.38999258738794307,0.27383940939861573,0.3081942636745819,0.48095200047767594,0.5717390134926805,0.36677329691519445,0.2176763259428638,0.2617781565056724,0.2929350970760296,0.31798004588547335,0.49381271042641206,0.6228657235346262,0.5745433556223865,0.401182786313082,0.35974352305000323,0.3080055973618574,0.2882074627818093,0.6500438059334782,0.35497667160666224,0.31353830880096456,0.38442399821293805,0.4860392267306697,0.6224567761055164,0.30364827664806426,0.6048540437183332,0.5601591147481446,0.37942402045712587,0.29558130236605895,0.5282784904152102,0.3264570687759949,0.5007332728459071,0.7189910956360972,0.6729887963505606,0.5273098284971329,0.4606447189452648,0.3886098246295895,0.3857916707375365,0.5061817975264397,0.49296692055220226,0.4922948875093345,0.3739653220142385,0.6914819843457498,0.6071555581440884,0.4306446219631985,0.36520106994392565,0.19801651029153622
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),0.6099810551241607,0.2377012505810039,0.0,0.3087314218510475,0.20590818012318035,0.3283477277834277,0.17702487220166563,0.3182396199433437,0.14793589626261627,0.3808316784560879,0.2826778987255927,0.4191178276117673,0.35256512931946593,0.1990156351678537,0.21722570592871449,0.33141515866571913,0.17378960256775777,0.4849804104206453,0.199429713117677,0.36458322903044194,0.25136916569143053,0.42732033048306106,0.30701705776210375,0.28037566989693896,0.5453193262672023,0.5434697270779385,0.3933067809907478,0.1786619521277848,0.23213738319813804,0.3793547111143626,0.3346355234762116,0.5094671883629553,0.672226686087255,0.5502062446381266,0.4173425251972178,0.46233883529036557,0.2659439176273106,0.39060665735250555,0.6189027712407591,0.37890047642511304,0.3602381441429213,0.3849762969768654,0.4994146617876313,0.5828547139128354,0.3082677871985763,0.549404252279278,0.5112974087003566,0.3646172826078947,0.39828682840531315,0.5953837044389175,0.3964319898511983,0.5098920584541082,0.7146690232310535,0.6545183386152537,0.5310770727875631,0.4669080068051339,0.391282060402405,0.35804270017098017,0.5129742806071877,0.47923682026835457,0.45141762260973994,0.42947549135786744,0.7362913889461777,0.63072807106565,0.41430544034532146,0.42754613380099626,0.1725502725611895
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),0.645109574012447,0.3234433327499274,0.3087314218510475,6.838973831690964e-14,0.3327539250249911,0.4238590283616691,0.3079887820730073,0.41438672884945305,0.2639229106986499,0.4677416941454522,0.4035476307746877,0.506772926630535,0.47344430733495346,0.3328814779028417,0.29668427415585064,0.4026574661078597,0.31801431816323045,0.567070885929704,0.31328654149763246,0.44851843028647176,0.39198955588491025,0.4851055432542566,0.3984180250840974,0.3692856917856757,0.5948287761749889,0.6036545354033457,0.47892818098092316,0.2912144157631851,0.3453271632489088,0.44131459265409123,0.431850200490953,0.5826217882504532,0.7187839679963408,0.6077471284630058,0.4922096224847444,0.5057249011530072,0.372481573904077,0.4645186370893758,0.7018450726709405,0.4600279942678728,0.43792899852477807,0.46852916030289526,0.5615579773826946,0.6454508368554461,0.3950496215229521,0.6309609059771824,0.6044866232426449,0.44430582563782606,0.46165125383283234,0.6331816196520862,0.46598470001825876,0.5791612894240405,0.7476836284101759,0.707359993784783,0.5772440232925573,0.54083081292902,0.4660412656613717,0.45342894316422266,0.5856656676220737,0.5425461884179905,0.5529345571159191,0.49429489519531256,0.7588071592851858,0.6746274760757585,0.48270917826499615,0.4951798962095676,0.30496339316676635
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),0.6107739981649356,0.23821175985136833,0.20590818012318035,0.3327539250249911,0.0,0.3566446944365371,0.21620880751817506,0.3340710145210417,0.1763353442847635,0.4048539879574665,0.32207818058781823,0.44933630665114843,0.39986305331815786,0.2464727921054618,0.20530477971205952,0.32844931853233295,0.20651178683649574,0.49547276334059176,0.2393430749084875,0.38719391393919966,0.28275933529330477,0.43476033319394713,0.31261017421453297,0.3184372547331189,0.5427586395035011,0.5617876249357681,0.41056296835001016,0.20722451613405546,0.26609407105473815,0.35812519030334633,0.3248240574847743,0.5406625911610308,0.6630905892817712,0.5699651955331473,0.4065605523836907,0.4307324119418401,0.2920535309746476,0.39698539493150486,0.6383102546146813,0.37851333548967325,0.35387138432340914,0.393729333614214,0.5072917693670056,0.604303264765802,0.32991754167742593,0.5774282286802963,0.5295286369036055,0.39343241297485776,0.37498488978070044,0.5875655585610526,0.38204131083529347,0.5213536849503346,0.7244683977277622,0.6816254847709151,0.5401918876263521,0.49311036530499075,0.4065308693059405,0.3904956863725144,0.5296343934043393,0.5267230745915022,0.47072773165130777,0.4168116390716924,0.7331527289617181,0.6263126191869419,0.4265376269960358,0.4096671581111687,0.2113515651242408
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),0.6737058060493153,0.33867088646526,0.3283477277834277,0.4238590283616691,0.3566446944365371,2.7200464103316335e-14,0.3161898295343675,0.4218684737823879,0.2855685826033617,0.47679954062600627,0.4255201541731587,0.5282051342710357,0.47057915480800483,0.3564875761325986,0.3331562162002689,0.4185550884225905,0.34570293697259846,0.5603366317893248,0.3009821209753044,0.0935340883752982,0.4110909307288708,0.4884835746169206,0.39405192247238185,0.3883612909300346,0.5549138667977915,0.6204579390479972,0.5003549007920511,0.32693396535845265,0.36870099097662956,0.4623041813127581,0.4513541732963515,0.6043813548728768,0.7228131137962492,0.6266142920574094,0.5125223109639784,0.5344426568874459,0.4086259846619624,0.461987377375899,0.6990604271281664,0.4765107178408089,0.4556718713002009,0.4718981669721306,0.5891815583775816,0.6613962941566254,0.4140805955235882,0.6353757607204422,0.6117493898066915,0.47164285268250006,0.4858227920363729,0.6329722238583597,0.49184700151928284,0.6032688125411614,0.7673284152898238,0.708811746696812,0.5972721032550716,0.5297755463228377,0.4797149089377212,0.4611914064907494,0.59765756278698,0.5560998390056864,0.5535176749847466,0.5096417565472253,0.757448669653943,0.6894868267060252,0.5113297019882401,0.5079643429590364,0.3186319901481083
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.6007581520723111,0.19761312151023935,0.17702487220166563,0.3079887820730073,0.21620880751817506,0.3161898295343675,1.1213252548714081e-14,0.311118890353308,0.14035071162780888,0.3773484856275562,0.3123364057397888,0.42411661106515364,0.36447127864758244,0.2371858414625886,0.19450438601021047,0.319669420214311,0.1934071033109852,0.48602513230543887,0.19584450019473232,0.35974889319271264,0.287205209559526,0.4004470247797829,0.28377341053619065,0.27048272536290174,0.5142492058164111,0.5505726110757765,0.3795722926194608,0.19024768625537114,0.23847877221517166,0.3512611772166142,0.32572758678728964,0.49978341651712066,0.64587250514921,0.5570473302758383,0.4026261373598723,0.42536732661765586,0.2847904386746831,0.3371883398008979,0.6164173399141912,0.3665699133074144,0.3421021726913691,0.382980393049385,0.4957778903437149,0.5976262740455119,0.2971519741589572,0.575532040671,0.536192485042105,0.3680904621266977,0.3699811025682197,0.572426316937303,0.3763326853612866,0.5014564335611906,0.7196956532947396,0.6603681148110723,0.5316894575826674,0.45236825553719096,0.37771573951154347,0.35766142509599286,0.5090768126678761,0.4878593187968615,0.4605053729406863,0.4099853524514042,0.7142373781484341,0.6180490347824465,0.41829054578585556,0.41172579126584596,0.19025832256156527
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),0.6544881470208186,0.2865895332765408,0.3182396199433437,0.41438672884945305,0.3340710145210417,0.4218684737823879,0.311118890353308,0.0,0.25836733964804615,0.4119312416569939,0.39500377713690127,0.52174773684145,0.48916086680390225,0.34338818660417914,0.2751587399011337,0.3866835901653892,0.34353387289144754,0.5628594730655282,0.3156819178125879,0.4353054267696401,0.39894533358009077,0.46694347235475386,0.361657871815681,0.4058994474190406,0.5300510129775984,0.6406343986416437,0.48483084823158173,0.31751590293373844,0.36733010302453584,0.39136519524577684,0.40066386423993594,0.5889156633087352,0.6806585598569697,0.6034940218876567,0.4560937752279888,0.42819561689029595,0.3930663791801492,0.4266038926681631,0.7134758033739179,0.42387309344316115,0.39157615272825896,0.44343534737225687,0.5774685131059688,0.6837485391321876,0.41767707654616903,0.6250178417452088,0.5969029787249094,0.457246667158027,0.38861753714814895,0.5711779014808601,0.41634893603425815,0.5920762830614404,0.7901559196927188,0.7106187033056799,0.5764620426690954,0.5341952303901093,0.4814385632559586,0.4882509140600445,0.5953825837258774,0.5391679212068874,0.5165977036745162,0.4439582490009162,0.7279912198999705,0.6373010932281596,0.4925281370392227,0.43543267220959747,0.2954520883262971
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),0.5700907156685671,0.13558540935721475,0.14793589626261627,0.2639229106986499,0.1763353442847635,0.2855685826033617,0.14035071162780888,0.25836733964804615,9.658940314238862e-15,0.32968796201556105,0.2665319149576729,0.39917983521648004,0.3477615771405719,0.1912813196275126,0.13165929195350246,0.26647913725022987,0.172749886321377,0.47103844437005316,0.1586950439475362,0.3209231332275393,0.2571019345997617,0.3591654967620742,0.24510992139029675,0.23621605161360193,0.482014926186504,0.5311779187741699,0.36143718451395657,0.1393994492882843,0.200478458126073,0.2942523265756485,0.2913888821374899,0.490996554694471,0.6442454254384313,0.511406026603479,0.35431962276216644,0.3623351051035404,0.2374678865462191,0.3130459638415988,0.6257637020266944,0.31345104771093935,0.2861678490087042,0.3398842899041594,0.47172408929937104,0.5742339739949681,0.2650610277356137,0.5491062643013465,0.5139758690599562,0.3214691309514053,0.31328327497059727,0.5272362289153381,0.3339174063966247,0.4834347345673694,0.7083618335694989,0.644006044306074,0.4886687705150231,0.4214221218856118,0.3377368898486268,0.3332425224347655,0.48645154175610317,0.4299556577445651,0.4429323736814642,0.352712578527562,0.703103254675615,0.5899562309949031,0.37132156606669886,0.35430282357318466,0.14708568271871048
Theta-fragment of Egils saga-AM 162 A θ fol.,0.67241352302455,0.3171104356495684,0.3808316784560879,0.4677416941454522,0.4048539879574665,0.47679954062600627,0.3773484856275562,0.4119312416569939,0.32968796201556105,7.438494264988549e-15,0.3221843764228046,0.5505482105003338,0.5299888019159062,0.35807377913764415,0.3269139731711681,0.4177417730010269,0.37608895599591097,0.5849497139437322,0.3531777349485479,0.4781036868194146,0.4448311671776608,0.5021402301560489,0.41091861632464144,0.4366438082536317,0.5658527777734141,0.6448809556574397,0.5017538043062924,0.3557600490139935,0.4048683449257009,0.4561266758386555,0.45375248865286644,0.6206561957968327,0.7088707830281537,0.6321445073227301,0.5047800622764393,0.4869727006631118,0.4261881184333297,0.4559336631701614,0.7027786397957414,0.4806478116218106,0.4478600308830566,0.45521511366566747,0.5941948512030646,0.687398264555972,0.4375303131942144,0.6402791811551076,0.6236474233980371,0.4963295706492493,0.43965244582643936,0.6065493208542965,0.45227623614997436,0.6122490848367319,0.7865644419531079,0.7322768251367936,0.608542854481674,0.5564015526154665,0.5131737778208453,0.49683324140773133,0.6145287263049202,0.5699858829285818,0.5666954209943427,0.4998108299310121,0.7474201062154804,0.6669377327592209,0.5326190113782249,0.48276489778743836,0.2297678343097721
