,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Theta-fragment of Egils saga-AM 162 A θ fol.,Zeta-fragment of Egils saga-AM 162 A ζ fol.,Konungs skuggsjá-AM 243 bα fol,Codex Runicus-AM 28 8vo,Codex Frisianus-AM 45 fol.,Alexanders saga-AM 519 a 4to,Dámusta saga-AM 557 4to,Eiríks saga rauða-AM 557 4to,Eiríks saga víðförla-AM 557 4to,Gunnlaugs saga Ormstungu-AM 557 4to,Hallfreðr saga vandraskald-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Karls þáttr vesæla-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",De xii abusivis saeculi-AM 677 4to,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Gregory’s Homilies on the Gospels-AM 677 4to,Prosper’s Epigrams-AM 677 4to,Reynistaðarbók-AM 764 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Völuspá in Codex Regius-GKS 2365 4to,Legenden om Barlaam och Josaphat-Holm A 49,"Various texts, including Eufemiavisorna-Holm D 4",Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Konungs skuggsjá-NKS 235 g 4to,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Stjórn-NRA norr fragm 60 A,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Thómass saga erkibyskups-NRA norr fragm 66,A fragment of Brendanuss saga-NRA norr fragm 68,A fragment of Agǫtu saga-NRA norr fragm 70,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Maríu saga-NRA norr fragm 78,A fragment of Páls saga postula-NRA norr fragm 80,Virgin Mary’s complaint-SKB A 120,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to
A fragment of Konungs skuggsjá-AM 1056 IX 4to,0.0,0.5733234150225406,0.5713651721678827,0.623227720847124,0.5653411982227989,0.6479631268296491,0.5752006967227643,0.6101626397874305,0.5429409110086609,0.6396407459660334,0.5966251201041545,0.7043231017633915,0.9431387751155058,0.5414287895988048,0.5304639723979976,0.5922299998247038,0.5471245113943439,0.6619857598970564,0.5631733683492799,0.6466227677709435,0.5568211545861128,0.6677828009817236,0.600290220471007,0.609011833729929,0.7339373341342005,0.7163514461021315,0.6508369580216979,0.5301833789514314,0.5727036501619447,0.5564661610723203,0.5735381848374163,0.6693188937459656,0.7378509292400867,0.5558216648918055,0.5724339529119612,0.5842175258478683,0.5639792294495001,0.6522973122533917,0.5866493758998699,0.5777166425547668,0.788452267563653,0.9153558070486648,0.953423367532715,0.6110946602864673,0.5388234463805744,0.5171609292148402,0.5853504839348596,0.5151782438600012,0.6871062234073033,0.6376193356572644,0.7393326422860225,0.5885929679807531,0.7081167553388846,0.6866977341974669,0.619375104660802,0.7290109908881558,0.5856374906333149,1.0,0.8210824857070111,0.818246981947136,0.7415017514632367,0.7076107957815201,0.621952696527792,0.6014565330590806,0.6932848708965726,0.7147583365594794,1.0,0.6635626569518227,0.7993752953160572,0.7320447925538243,0.8266711006772505,0.600724699200922,0.9441119888821778,0.5481693283784679
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.5733234150225406,0.0,0.1886679030882854,0.2966506276289873,0.1814314596120684,0.3089461668338215,0.18962536574248634,0.2169896437625788,0.10553155210682263,0.25416205393533153,0.23484550114404834,0.5303597912966028,0.9158193857987577,0.24521458952300934,0.19807588739922843,0.26073057944647327,0.19862236128852662,0.38961657559927054,0.1726679478059412,0.3235053129253973,0.26711508029943676,0.31922684094592824,0.22952035437110296,0.26580131120260675,0.42449422208124765,0.5294573517594588,0.33264840704545673,0.20196372404384155,0.2500404008115741,0.284731603041233,0.3332188561876719,0.48182707295802474,0.586832576608491,0.23329908078705364,0.2739150581908011,0.3458657745801589,0.2764987585001212,0.28494823911652456,0.2959478720257275,0.27512424208715525,0.6285410601717495,0.879305190224703,0.9287013056069781,0.37695417378501794,0.32801794209917967,0.2877288860583713,0.27541118213909654,0.2171620111946092,0.4320637352962421,0.460280519185576,0.588039071374227,0.28834927730306104,0.4780074618303476,0.5030719114344472,0.3699736950289977,0.5014083854176665,0.3018938935874187,0.9761423834132129,0.7494340659028278,0.6498173922174941,0.5173430286243745,0.4278762901602232,0.3522525083176794,0.35459209830021055,0.49312322470388315,0.4556993758916914,1.0,0.4192960909641146,0.6090767021641537,0.5424143994697123,0.7319266548894544,0.3077371712649437,0.9206199426854716,0.1567699936393837
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),0.5713651721678827,0.1886679030882854,6.106226635438361e-15,0.29381783694589414,0.16813671018975807,0.31479792213091684,0.14438884280890785,0.25757082900204076,0.1234829441466434,0.32473689984041054,0.23195840394802703,0.5417829747761855,0.9066457542344136,0.18422372953874422,0.208472371700281,0.28301731407184283,0.15015953345785737,0.3864596160506375,0.17766582612326165,0.3316761548839202,0.2130927608689266,0.36250531991579105,0.2667803339511028,0.25071372301553574,0.4967431987718912,0.5259074098088883,0.33426369364369646,0.17261617536630902,0.2210108599683004,0.30300414145060517,0.31731463695410445,0.4249566927105418,0.6002775959625946,0.20988913589057479,0.262677152590441,0.3673575678575106,0.22893759794558532,0.36842113761357453,0.25161904492776366,0.2629538806834961,0.5985584703043176,0.8602702983478524,0.9189804913342087,0.3718642173288187,0.29633324371487535,0.2671216847273965,0.2714860376834366,0.2128847134045989,0.4412270301222243,0.44156819878083486,0.5378983013617226,0.2736700456601049,0.466578833352124,0.4791915075234755,0.3566180545759533,0.5337292870330624,0.3122182404738829,0.9568650953260202,0.7454648985882213,0.6401599819714646,0.4980292387233749,0.4305725134018319,0.3489825352063063,0.3204543801897617,0.49425059559607776,0.44845455319096694,1.0,0.3728033264305145,0.6451625951609552,0.5409834716025319,0.7326848977629565,0.33793481418954086,0.9107412587294827,0.16049012706210453
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),0.623227720847124,0.2966506276289873,0.29381783694589414,0.0,0.30525444135068847,0.4112517172442658,0.2888741398132755,0.36477831545390027,0.2503435252190579,0.4289929195752683,0.3553137575851968,0.5989065993065246,0.9247766003172132,0.315620994214888,0.30419487899901887,0.36926138974030864,0.2964423876563178,0.4843599794215565,0.2963939329720613,0.4208936862367433,0.35251901266910635,0.444031623812396,0.37104207007496126,0.3445907467473305,0.5566055136268717,0.5842513846593202,0.4441434108474859,0.28767120147925773,0.33889268142796103,0.3984383757677312,0.42566017919556587,0.5341717128418961,0.6663111442698069,0.324033662644714,0.3747329399447682,0.44817898090021824,0.34509991210462265,0.4610865623651218,0.35023311640652466,0.36092573347349677,0.6842723398994055,0.8893487618360667,0.9365369073112824,0.43246204824167644,0.40543500654218034,0.3752288182772078,0.3674159870064535,0.31319887934951074,0.5145841419717019,0.5256059644191318,0.6112137883338288,0.37735850129800497,0.5417580145619033,0.5654508341543083,0.44399732569005834,0.5916429950373346,0.41625544611680754,0.9825324340975798,0.7789218784890704,0.6990785361504727,0.5731773900242585,0.5088602076638243,0.43164085642248295,0.4276930912549699,0.5737676332949075,0.5123678805450724,1.0,0.48710507573741546,0.6861915684450994,0.5996013245981736,0.7707844669779551,0.4274738628932466,0.9282866409577715,0.29238137490280713
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),0.5653411982227989,0.1814314596120684,0.16813671018975807,0.30525444135068847,0.0,0.3316129963087747,0.18530361132247264,0.2640352587209184,0.14928172206876789,0.334033432504925,0.25571614287983835,0.5308885508975115,0.9174452721068567,0.21246733865259892,0.19524411755988835,0.27930598576752097,0.16732787673824623,0.379931618433788,0.20997218628262682,0.34544235282082303,0.2277002222166996,0.3751056603816252,0.2695368569474248,0.28174880981518824,0.5005371862713275,0.5341349944325411,0.3532961344917275,0.19237876409804477,0.2537055275365394,0.28286899796044873,0.29843622970374006,0.42949376586322385,0.5863405084458695,0.22286270005460995,0.24649521691757414,0.3293404617239244,0.252457479163421,0.3840097741062757,0.2790743451497042,0.2592243943751076,0.6151956505058307,0.8789634231713301,0.9291971677809912,0.36255061960062407,0.29579913272784664,0.25522514169504806,0.294289794478208,0.2222356669920924,0.44845921137709266,0.42895268138475184,0.5528326497315079,0.2863905041297079,0.46946613943564475,0.4803227219571031,0.3808130843020563,0.5328577410205645,0.28134289880952024,0.976568490527902,0.7531336835228435,0.6695293586671047,0.5240880352726416,0.46031319619894007,0.35995598037607945,0.34491087606423443,0.5034231849580634,0.5024058966636682,1.0,0.3779859157414893,0.6459170347242621,0.5181848963837615,0.707433798366872,0.3032205008512323,0.9218074684612991,0.17712685045088294
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),0.6479631268296491,0.3089461668338215,0.31479792213091684,0.4112517172442658,0.3316129963087747,1.0880185641326534e-14,0.306446001354713,0.37669687746372327,0.26942153981502714,0.4322719455739724,0.38329202012341945,0.6164625929296945,0.9276883628228642,0.3368214988289683,0.3336417424145791,0.37674650776143603,0.3258067198913368,0.48398564137923294,0.2790740795628256,0.06943593873364529,0.3782565534508877,0.43512825548335266,0.36136566147581717,0.35674133067400104,0.5091834656580335,0.5930298771859939,0.45250373323382576,0.3226403245223599,0.36146875327288397,0.42280889483499173,0.44973498901039377,0.5572791791298057,0.6710874711120315,0.35211743758182923,0.4010366174024014,0.48173938380715486,0.3796230454044335,0.44006103230139393,0.381761150339476,0.3510495116171981,0.6898340990955883,0.8926447867285079,0.9372228887397426,0.466554266109949,0.4287437316370678,0.4007916269015058,0.3754426860017972,0.34180827827572624,0.5005572110191212,0.5565001614600088,0.6267919908114872,0.38615109399923364,0.5442939306463567,0.5674067548155561,0.4656802749086475,0.5869838575707675,0.44616294833775927,0.9837746746389837,0.7929173519560502,0.696001666314508,0.584091716890994,0.49078064633888485,0.44460474385627935,0.4349706236761486,0.5873787814629863,0.5178039415754185,1.0,0.503633859088367,0.6770765154626146,0.623097244233334,0.7824328850831013,0.4473254143604265,0.9310708531146822,0.30292451701496126
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.5752006967227643,0.18962536574248634,0.14438884280890807,0.2888741398132755,0.18530361132247264,0.306446001354713,1.1102230246251565e-15,0.27285522623798086,0.13135516869248975,0.3447583317626881,0.25730881200939626,0.551349788876381,0.9044902733912933,0.21051919582463274,0.20713203051524198,0.287916880085651,0.15895590663305825,0.3840899421659282,0.18077340982270895,0.33273265586143697,0.23184926379790294,0.3587304495968714,0.2722276503421096,0.23890900010310356,0.48753124135903736,0.5202156342297883,0.3389326163631864,0.1821483555498895,0.22786130479012023,0.3163549050899418,0.326239450767948,0.4336055915200743,0.6019543488135674,0.22331238959993638,0.26695535430199957,0.3798873947559799,0.24917312367283972,0.3692897581389135,0.24879898635268605,0.26188714494652987,0.6068033504003782,0.8566617881274385,0.917930079476341,0.37896329837708465,0.3089076236876206,0.28093124856955265,0.2726087536920767,0.22199071001171577,0.4443893635381396,0.44248632449222136,0.5576908046922722,0.27452813804499643,0.48036923889869265,0.48875540178973664,0.36790905443085586,0.5475425526926927,0.3279176531670236,0.9681576892700282,0.7446352163517349,0.6442648879231051,0.520787696569403,0.4308186544527801,0.3482805109703936,0.3222840973806316,0.49354009097789486,0.44642605092675636,1.0,0.3811243224613562,0.64617629195785,0.5517423782539184,0.7388670841868308,0.356120726056692,0.9088303864410054,0.17588230094855284
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),0.6101626397874305,0.2169896437625788,0.25757082900204076,0.36477831545390027,0.2640352587209184,0.37669687746372327,0.27285522623798086,0.0,0.19915707399084615,0.3398692735297718,0.3231859243668892,0.5538502431762632,0.9335377436249688,0.3047480614033248,0.25006328971967484,0.3353391224970106,0.2830816018712714,0.4535358559597459,0.2637583208195198,0.38073215870950283,0.31986160750891224,0.3896600531993012,0.3031477243963251,0.35131407247357604,0.47567267603249785,0.5946069737894615,0.4134870693433129,0.27740337629736744,0.32010516733979955,0.31876408635095055,0.3638142419741067,0.5089014938939012,0.6189463114100531,0.2624262764665478,0.2957321322923312,0.35968921931316755,0.33880389450610504,0.3720621507702808,0.3619649375451387,0.35021214303587256,0.6674189391445506,0.9076906094868353,0.9425466115144623,0.4204591038205887,0.34619517774515807,0.3082787902327315,0.3698098212499801,0.28491914153258435,0.4899055961515394,0.5011451983726848,0.621635710466008,0.36510806114383465,0.5204392572388706,0.5456975638741575,0.4320456541568235,0.5037765918434636,0.34363098332727804,0.9887460594440493,0.7954894695599259,0.6862563581941454,0.553852949859512,0.4817199953811121,0.4136816999643954,0.41851671289878156,0.5497258922927042,0.4760396952497161,1.0,0.4244757401450274,0.6221374629017618,0.5507863574809927,0.7274903904938708,0.34856891216841346,0.9384340450415831,0.25077809831731035
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),0.5429409110086609,0.10553155210682263,0.1234829441466434,0.2503435252190579,0.14928172206876789,0.26942153981502714,0.13135516869248987,0.19915707399084615,0.0,0.27681587531399543,0.2059578715332795,0.5064089222497161,0.9062866669307932,0.16768654781704484,0.149163693520859,0.21835608287159114,0.14363729759474453,0.3683636606227749,0.12604080293797615,0.27949857899672426,0.2088940827377842,0.29103765987066643,0.20863736214494344,0.19658629730950516,0.4232439871532121,0.4984675975013383,0.31588264637694585,0.13353372126034058,0.19171040316876642,0.25072083438294646,0.294095495498084,0.4404494125579821,0.5805261409975796,0.1565560445628853,0.21744404632200542,0.3172854446923675,0.2053137255655082,0.3017503805225866,0.21880617090609267,0.21649135798667318,0.6091512690803647,0.8646703954763924,0.9202538185007955,0.3196120988869544,0.2600075465131573,0.2266444556853977,0.2211454760755227,0.16451336659875504,0.39148409123207784,0.43323189080006486,0.5364271887170882,0.23754709165711818,0.4420849029099362,0.46905194569064124,0.3155428811760068,0.48097627718683056,0.28493367195696173,0.978238124073329,0.7355885795593573,0.62134624946845,0.47319308604030286,0.38246505278330845,0.2967270589212151,0.29844617416071084,0.4740180152388863,0.38942576100452986,1.0,0.3747775987607347,0.6082967070987344,0.5129036168492304,0.7168834897058358,0.28399142292270474,0.9108180246954729,0.1281780802880208
Theta-fragment of Egils saga-AM 162 A θ fol.,0.6396407459660334,0.25416205393533153,0.32473689984041054,0.4289929195752683,0.334033432504925,0.4322719455739724,0.3447583317626881,0.3398692735297718,0.27681587531399543,0.0,0.24994805499350659,0.5836840203247711,0.9343827212346713,0.316727782642921,0.2965188304940859,0.36353227754201356,0.31239333640797096,0.48115758112562934,0.30647550177707394,0.42598771036905314,0.36676376054463555,0.4299614583856801,0.3421604177060328,0.3799401895117098,0.5077828087463572,0.5984844172153178,0.42792633754180875,0.3060702404908615,0.35002709943127897,0.3842093689126862,0.4102556806817276,0.5527526747423694,0.6606621122919631,0.3332822456958844,0.37260493991909516,0.4340641840388674,0.368450911216582,0.40599399575444817,0.388576785958466,0.371900167120212,0.6799585571416418,0.9082090519428296,0.9434147565427886,0.4488773511494082,0.4002347750529476,0.3617984989035782,0.38668846817209235,0.3145174794524541,0.492255666019071,0.5308582324388158,0.6356110103918766,0.3797056323028477,0.5352173875824329,0.5629021645064631,0.4624521792441335,0.5410129361676194,0.3758709287538311,0.9883927542689731,0.7931925187780032,0.7023816262617872,0.5745341996280848,0.4968187152439485,0.44053292538229516,0.4275623039333163,0.5697146451218899,0.5256042538515342,1.0,0.47271590883555314,0.6501443803552072,0.5891809418985274,0.7624989429315778,0.40089775605380207,0.9384657260924504,0.18268862884736992
