,Breta sǫgur-AM 573 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol,Strengleikar-DG 4–7,Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Thómass saga erkibiskups-Holm perg 17 4to,De xii abusivis saeculi-AM 677 4to,De virtutibus et vitiis-AM 619 4to,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Óláfs saga ins helga (legendary version)-DG 8 II,Gregory’s Dialogues-AM 677 4to
Breta sǫgur-AM 573 4to,3.008704396734174e-14,0.21751830619731083,0.34398250377862927,0.22692781506772686,0.13420654624996153,0.11577164813969132,0.15286824750096228,0.11553049372595736,0.24483858622437105,0.2804951075176253,0.404073550135819,0.5695675995104692,0.2385534592470362,0.26147773311823097,0.5413973095218506,0.25532058229847165,0.17091872023647436,0.13311007423845522,0.08660414758454527,0.12217896190760957,0.47998563964671903,0.17743162917536903,0.13685197870704702,0.19318867280060137
Old Norwegian Homily Book-AM 619 4to,0.21751830619731083,1.63202784619898e-14,0.30751752099985685,0.2918715866727938,0.27216435502114,0.18382173160798676,0.2834376531921504,0.23906661322339906,0.20468099579481558,0.33054308858282355,0.4788076504028197,0.6265795399082761,0.28299690718201376,0.3374421909904455,0.5080079788640766,0.187690594684923,0.24395087340700694,0.2627803642766038,0.21475343842180716,0.22611065686748588,0.513516329484347,0.2556048384990093,0.24853207191728066,0.21440628346494817
Prosper’s Epigrams-AM 677 4to,0.34398250377862927,0.30751752099985685,0.0,0.3904743968913973,0.39446631157581336,0.3358412265148605,0.40312418488158863,0.325603747425505,0.21512014102723764,0.37047570555951914,0.5772951444868971,0.6656175679534937,0.30342398726455366,0.3916619046671057,0.5131813158377223,0.24039027329413576,0.257332572098954,0.39401174994420707,0.3101456522759969,0.24357810253310797,0.5504433354099447,0.363958016524936,0.33189854811124897,0.22522621385885555
Pamphilus saga-DG 4-7,0.22692781506772686,0.2918715866727938,0.3904743968913973,1.5543122344752192e-15,0.2526430568494963,0.22626322509398455,0.27650520071371065,0.2701266548848774,0.2925091975461125,0.36550642017169466,0.5024210537426413,0.622709653761202,0.3258396849614711,0.3562801178898194,0.5680056604363917,0.2897150678042091,0.26400880369264,0.26745088923410865,0.22473679356724918,0.23897245550877477,0.525021268303585,0.2969574647425518,0.25408568431964706,0.2856478890744504
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.13420654624996153,0.27216435502114,0.39446631157581336,0.2526430568494963,0.0,0.13221271434919968,0.08215209904039444,0.18227704688335045,0.30515163827683456,0.3068031349780832,0.42431199827976995,0.5399222659362555,0.2715128936616912,0.20421885428823983,0.5719485114236231,0.31694000021047264,0.1384872394712623,0.1782208074360726,0.14090379476879744,0.17964428148811795,0.4972627308973673,0.24445724900042398,0.07445780941020697,0.2561845402738673
Barlaams ok Josaphats saga-Holm perg 6 fol,0.11577164813969132,0.18382173160798676,0.3358412265148605,0.22626322509398455,0.13221271434919968,0.0,0.12460838211755043,0.1684474930832386,0.25515296621216343,0.3026074710504856,0.42363446852427455,0.5716245411635994,0.25922049487380117,0.21339124400564047,0.5417088999298062,0.2202922915580785,0.13510640846004252,0.16161031852429975,0.1463738629848339,0.16847719399002026,0.46380560122220826,0.1899489667426859,0.13056127551261432,0.2260133313632312
Strengleikar-DG 4–7,0.15286824750096228,0.2834376531921504,0.40312418488158863,0.27650520071371065,0.08215209904039444,0.12460838211755043,0.0,0.18742302279673695,0.3187975418268728,0.34474670593186973,0.45840202979976785,0.5538877821476857,0.31169989294897193,0.19392698140049247,0.5806761801132659,0.3247413773465869,0.12857789194844926,0.20466818597360348,0.16234832586727477,0.20968205289246689,0.5016726234275668,0.24471688843537998,0.09279431950291328,0.2623978012824967
Codex Frisianus-AM 45 fol.,0.11553049372595736,0.23906661322339906,0.325603747425505,0.2701266548848774,0.18227704688335045,0.1684474930832386,0.18742302279673695,4.030109579389318e-14,0.24641643599754337,0.2737356389680722,0.4159625661560642,0.5712063780953283,0.22034312414483304,0.29098021964922405,0.5224081805629734,0.2709273527035637,0.18121803318776097,0.1767169654534172,0.08087551939318693,0.15023569797440572,0.4846536386907492,0.18040967074864978,0.1507006389729838,0.18450213585005804
Gregory’s Homilies on the Gospels-AM 677 4to,0.24483858622437105,0.20468099579481558,0.21512014102723764,0.2925091975461125,0.30515163827683456,0.25515296621216343,0.3187975418268728,0.24641643599754337,0.0,0.31368878754619134,0.4863108381220881,0.6100025922969432,0.26433643023537756,0.33483825962622793,0.4621287637375773,0.17585016152322308,0.2388964931638855,0.28446837558053006,0.2126076859378705,0.15685320456480223,0.538894666942894,0.2743951715078551,0.2624142326792144,0.08011584908179792
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,0.2804951075176253,0.33054308858282355,0.37047570555951914,0.36550642017169466,0.3068031349780832,0.3026074710504856,0.34474670593186973,0.2737356389680722,0.31368878754619134,0.0,0.4880173751761304,0.6291796187552339,0.07437376562763409,0.3979699469561174,0.5942754426198565,0.33202576080448676,0.2702512687667479,0.32846273138002924,0.23485060138367142,0.279127766468932,0.516362123016939,0.34542928035433274,0.28619824761128265,0.279956922607708
