,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,Barlaams ok Josaphats saga-Holm perg 6 fol,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,Strengleikar-DG 4–7,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,Óláfs saga ins helga (legendary version)-DG 8 II,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.19621408407526397,0.263293609641974,0.3503157381206764,0.35463739432561325,0.3463993521118325,0.4183824127072454,0.34511233534294594,0.4873641520747981,0.22005716865173175,0.2692943456632909,0.4204779270595499,0.31164528682455805,0.5548405274429941,0.36902642182272916,0.28318193755790655,0.2155627999986438,0.4845295951346493,0.27012904586206143,0.5684093012681882,0.7613303258351702,0.2756065326733127,0.43904234956265964,0.26621119000425664,0.3052455988537951,0.21677716907861522,0.3223498133649464,0.3499568381804409,0.49942193171709404,0.5253896108516619,0.3887936589909917,0.3796580330694135,0.6582675360406312,0.3034116065511465,0.4833540663123582,0.3920483384324731,0.3791091451865829,0.5277708144013735,0.6453832371931036,0.30943350226771626,0.6112718715206866,0.4731035850591123,0.5370830166851444,0.40958734403511354,0.32275507212195353,0.6632650908267737,0.3264443085989678,0.33631819774073257,0.6524164630260041,0.35994723585255617,0.34024379234741087,0.757225247223339,0.5623239011631759,0.25113381418916436,0.198677926651747,0.2462488695269992,0.5403980393984602,0.6208867269947795,0.2967230318710984,0.3547287633013686,0.2710793657510986,0.27145307550253395,0.2574992382800676,0.20546084692716837,0.4439701941265496,0.48955032597581516,0.2298442682555918,0.3105866877144967
Breta sǫgur-AM 573 4to,0.19621408407526397,0.0,0.268962026987261,0.3852902243870855,0.291373143245661,0.34336182139819016,0.359693238968255,0.37533099734811615,0.4871513982684249,0.24281787894104967,0.2221852398503743,0.3934244481397111,0.3429948088988112,0.5251603663538789,0.3476799878119222,0.25195761310117126,0.1470423495133656,0.48478482401967726,0.21478639810921374,0.5500073308928867,0.740399225423966,0.24305617269080193,0.40372086304864163,0.25562444134093043,0.3457828381730963,0.15400386329083238,0.25364673229511214,0.29950405967617577,0.4455268244248214,0.4967646731420745,0.351863214613111,0.3609493738433488,0.6403796220783002,0.24921393701450145,0.48166728014624993,0.32174564852920073,0.3723551141674428,0.4952115156544362,0.66214133007222,0.2916764778372293,0.5762158641619624,0.4528878443678577,0.5022498368648134,0.4145584793382935,0.3106655947873368,0.6513282782463008,0.30700244822641576,0.2851512106642725,0.6520932547446676,0.3308307920876866,0.2866312864990175,0.7292807773557382,0.5287790065705762,0.18144342676708247,0.16735585816733078,0.16043849056717818,0.5257126024844985,0.5870143770115989,0.23318243903839053,0.30827626768603644,0.2581664898486352,0.22640407171419763,0.1957024083347081,0.181152516974458,0.5069056256201923,0.425766953311459,0.23170585884045825,0.318543824244653
Karls þáttr vesæla-AM 557 4to,0.263293609641974,0.268962026987261,1.1102230246251565e-15,0.3934058038288757,0.3796658745890118,0.38277998848540395,0.43561160428113,0.38638916118171407,0.5519383795151318,0.2805675733885623,0.3353806531206589,0.4474343905681337,0.39192681969256293,0.5745289180288329,0.4081253163529749,0.33207884934285015,0.2876602568590847,0.5163950151224725,0.3718795045824387,0.6389179265294278,0.7650713926091943,0.34464114365650755,0.4601656134963402,0.3434327474091077,0.39279952529566253,0.28722370958319,0.35522229221976764,0.3902562524930988,0.5464901983218968,0.5438359239615033,0.4499150777643792,0.40506509969670623,0.6941925600242642,0.3354070145255039,0.5182830852829992,0.4338217520955323,0.44048593004759573,0.5725316729765622,0.6628643140050574,0.37694546391425277,0.6306173647725706,0.5459203677572124,0.5550228128865885,0.46193941311324116,0.39987399146651226,0.6835315639773374,0.38360202595733617,0.37248825317144363,0.6862713462446063,0.42321092193432364,0.3961322161553815,0.7940762996464967,0.5835132048441429,0.32623920752292535,0.2576517419327009,0.28631940145203605,0.5610156007476583,0.6548392114905959,0.3752998570929291,0.3656505894113511,0.31900526932678297,0.32272507528817285,0.32744677852739723,0.2804681777272666,0.4305026574245765,0.5234664223216203,0.30965172287736176,0.3533343926686505
Hróa þáttr heimska-AM 557 4to,0.3503157381206764,0.3852902243870855,0.3934058038288757,0.0,0.5024832083422874,0.4730346849585165,0.5414045501423431,0.4457881792692858,0.6105970606305328,0.37017157526792643,0.43749533888410674,0.5578471416289634,0.4671392720939138,0.6622415573594497,0.4919681949040624,0.45475409912453857,0.39746889484207604,0.611782156096433,0.4272714525807344,0.7006759437682637,0.8111295527531819,0.45902381540682147,0.5673482327142735,0.41884971017331685,0.4694105929494019,0.4099072630134074,0.4551967066517705,0.4873930733080223,0.6546040902575607,0.6486666429909329,0.5335514803903252,0.4941665308084129,0.7249796604036333,0.44139398020110077,0.609263806836414,0.5167715420345864,0.5027932263218503,0.6488095577785784,0.6909223306468115,0.47071146163562816,0.6858763079073842,0.5787854767241738,0.6164490958268386,0.5418503581223821,0.4770703377555383,0.7415998492807283,0.4787676623266509,0.47137399381250367,0.72546759258287,0.4964498591181892,0.5023366946153733,0.8330094199606473,0.6530670571917997,0.42961134091336306,0.38825061157880647,0.4027600771835236,0.6062474551621778,0.7171623645849883,0.46173492807363203,0.4906798161780964,0.40486456294362183,0.43757263999617824,0.4138220630977817,0.3982295649418537,0.5081336020727871,0.6240791602247716,0.38875746827024515,0.4377305939655879
Old Norwegian Homily Book-AM 619 4to,0.35463739432561325,0.291373143245661,0.3796658745890118,0.5024832083422874,0.0,0.44815536166825565,0.32731426118925133,0.4564446368726046,0.5836265019194835,0.3739842645698306,0.4036933316869675,0.5527939737209022,0.4662492529170632,0.6380718687908697,0.4706450930856362,0.39611265172598065,0.2533903384014353,0.5881137227464979,0.3971092158972057,0.6368089702048765,0.6995469827662189,0.340587230415212,0.41503986023400785,0.4315108769178767,0.4742828322469774,0.33742380624892443,0.2234572603772722,0.3813286848207077,0.48827046155409015,0.5820290188669922,0.4706522253582279,0.37721101561562775,0.681274256365727,0.32843803968034013,0.5225214543983145,0.4344964691400619,0.4865694976509991,0.5399585764564707,0.6861640003191217,0.4218367633229164,0.5846380907202311,0.5983422770724647,0.6206500917256024,0.54347831420954,0.4509165750711166,0.6044538389306309,0.4056124240000909,0.24430500404085131,0.7247558787850175,0.4564769226091103,0.4001696765552387,0.7349835759107852,0.5767713708030557,0.348733738042013,0.32607574266124806,0.2919542237239062,0.5356585389738115,0.6322638480722738,0.3625995051747053,0.34080198802550943,0.4077163471587215,0.3746014213079544,0.278942646491383,0.31060873914292664,0.5819205025258569,0.48080121161970335,0.38108173631784215,0.4097892792659359
Theta-fragment of Egils saga-AM 162 A θ fol.,0.3463993521118325,0.34336182139819016,0.38277998848540395,0.4730346849585165,0.44815536166825565,1.021405182655144e-14,0.4697141651739086,0.4460242363526472,0.6001529439055426,0.30152336232620036,0.42347668351187406,0.5269410617731038,0.45839144687924005,0.6456851988239225,0.4760617655792315,0.4241024830329514,0.3542931030439238,0.5823169243711293,0.42413679737837573,0.6733663783191246,0.7877629010833989,0.41340530363989303,0.5146814107707696,0.425316338132809,0.465668366777675,0.3510052181758099,0.40817615306835886,0.44727315003404444,0.5898755182777311,0.6099750588010802,0.5091640949419813,0.4496431517717263,0.7159190898721947,0.39461915698059946,0.5788965736677536,0.4847482533344454,0.494397408631959,0.6221696337487456,0.692114725444852,0.2960806158718987,0.6480620648548492,0.5703179277206725,0.613631184579214,0.5364811340122297,0.4601431641071557,0.7238616830646527,0.44469913691385754,0.4253605487773212,0.7371140367190614,0.49739292077196573,0.4708288381806406,0.8168136710586205,0.6114797667623202,0.3900503172523222,0.21746499736151925,0.3386672178986416,0.580990991472586,0.6917969562936719,0.43295981595443345,0.4128869099724223,0.4067981466091044,0.40431446162110773,0.3666516426693055,0.3506015814547636,0.5451327263016217,0.5722765947438835,0.37513672900560313,0.39207185162411295
Prosper’s Epigrams-AM 677 4to,0.4183824127072454,0.359693238968255,0.43561160428113,0.5414045501423431,0.32731426118925133,0.4697141651739086,0.0,0.5207948792303608,0.6173822126081894,0.38636294917666547,0.46960416006196637,0.5853759759305475,0.49171957906476405,0.6829887042769762,0.5230855664711915,0.4442878299353775,0.33546026989030353,0.5995881455186978,0.4478339255643319,0.6738728353755421,0.7190503411169058,0.3888740016413369,0.47067853147064254,0.48295497741441074,0.5061552210771652,0.36621097485037357,0.22373396581577554,0.3817265616092701,0.5280414241956006,0.6112035629588486,0.5207521619900324,0.37256997639553724,0.6992871357362216,0.31480888336195456,0.5879248063740098,0.44197664123791847,0.5270251520778595,0.6260955525044667,0.7139943737768405,0.42421498888729003,0.564823923393377,0.624683267178691,0.6548548414940928,0.6076402145501444,0.47336699804396887,0.6203712466882927,0.4322787219132498,0.27352028448207544,0.7778914217234367,0.5225892617175969,0.5005927438148068,0.8029578886604506,0.5707976771364156,0.41433115072442084,0.36553394176015797,0.28237076625934365,0.556789766724967,0.6384552682809623,0.41516101612154654,0.3430928310847068,0.4304858169098825,0.40861308290736975,0.2533350347759106,0.368782027893367,0.6131212570207669,0.5234455397774167,0.40157699050508766,0.4046617695489686
Pamphilus saga-DG 4-7,0.34511233534294594,0.37533099734811615,0.38638916118171407,0.4457881792692858,0.4564446368726046,0.4460242363526472,0.5207948792303608,6.772360450213455e-15,0.6109236694747499,0.3333494124752606,0.41880345012712994,0.5836117945610202,0.48132975350627183,0.6829963686277547,0.4610470731327546,0.4816912473540056,0.3318343155356549,0.6424479327526433,0.40153865706516534,0.7207690495100949,0.8219509422141473,0.4732045870760836,0.5602619981198059,0.4612490408355844,0.4671782951021769,0.46084841094904805,0.4318440667807345,0.5197314007122051,0.6030666259728743,0.6748396956323977,0.5223159079894412,0.48714671911230367,0.6949399422163365,0.4769773230462402,0.5941635766852233,0.5427698824543501,0.5276954007403759,0.5779943304612121,0.6220796193658595,0.5095192354269753,0.667607006032184,0.568251316285179,0.650022159815753,0.5244048890781453,0.4852842903856135,0.714158810834867,0.4787605640560165,0.40578600823745736,0.7259348869202442,0.497915551785453,0.4785379823309266,0.8009523074094838,0.6306298214204442,0.39590139868424035,0.4019632159124543,0.39046673401725396,0.5380831930781576,0.6990705644944069,0.47125943065048026,0.45583563245751413,0.4337357643557983,0.4614386124751698,0.4198945777071367,0.3833663165154243,0.5134540347891099,0.5817056604693291,0.39006350218861363,0.41769265473604156
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.4873641520747981,0.4871513982684249,0.5519383795151318,0.6105970606305328,0.5836265019194835,0.6001529439055426,0.6173822126081894,0.6109236694747499,1.532107773982716e-14,0.500918622340585,0.5474369954768532,0.6573256600398734,0.5837845531473423,0.7204452103103335,0.6012086092645882,0.5508062040596149,0.5148190503806924,0.6906930281764132,0.5330547889620214,0.7370676915151992,0.8458100765213188,0.527053980808875,0.6239951488396032,0.5367864956902448,0.5634607089683834,0.5052491219682524,0.5444804379948704,0.5779369719989234,0.6562509209988974,0.6978487140908669,0.6190343320549384,0.6096085667727709,0.7683385964363852,0.5504809346488653,0.6766365495259111,0.6171138144283895,0.5745537223321564,0.7053407894979284,0.7945775918595844,0.5528014465429242,0.7464470703904702,0.6687126478942136,0.7136547449260308,0.6520952319630028,0.55637258967058,0.7867210152049352,0.5485344820548321,0.5802203578407779,0.7919338342307171,0.6113996660657315,0.5852960570979002,0.8498460976309904,0.7238246700698123,0.5205016952815248,0.48847052713010075,0.5078690484368388,0.7277734433738672,0.7608821774623166,0.554541123276022,0.5831927489029678,0.5617673912975374,0.5370460394835714,0.5139769953241373,0.4770394040423872,0.68866930738702,0.66349844881948,0.4972323505054188,0.5536392214801626
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.22005716865173175,0.24281787894104967,0.2805675733885623,0.37017157526792643,0.3739842645698306,0.30152336232620036,0.38636294917666547,0.3333494124752606,0.500918622340585,3.885780586188048e-15,0.31645586085692445,0.467643785497035,0.36197727283041037,0.5843320100359596,0.3906236301394188,0.3376393341055838,0.25896181036652066,0.5289029005644489,0.33369286327538383,0.6315025795922685,0.7596913721236431,0.3185506369645337,0.4649402501336328,0.3217729607082209,0.3488850571029405,0.28110463309477496,0.31429053364314696,0.3780292245701622,0.5235985852276561,0.5518000178820217,0.419426735108285,0.36350454568382984,0.6682867947314789,0.3235993876116884,0.5155925692259516,0.41584450283121,0.3998136011537715,0.5515772163582098,0.6546403862850954,0.30365727260144215,0.6065508558646768,0.5048370910916077,0.5617796727510855,0.4708511478000995,0.3350662390543121,0.6640973983237313,0.3091640791961977,0.3332530875284292,0.6899538249665796,0.41545218703092346,0.39865271620172393,0.7769240705083293,0.5603858502008441,0.2931781151257419,0.2082904416928687,0.24418548432459652,0.5437487193600292,0.6362227915368444,0.34910733968709184,0.34214858606374676,0.31025352489145785,0.31086873951389127,0.2707158966926594,0.24434930227884277,0.4681318447347661,0.5048806562177246,0.22500552947422237,0.2781684511001272
