,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,9.325873406851315e-15,0.1797618812959818,0.2719411551938087,0.39822319131702333,0.2958616746616868,0.4198348325349084,0.3099670509454191,0.21268155858968119,0.22050464629333044,0.1700480349338137,0.5238315922475605,0.36756108533344056,0.2746094824921198,0.27528172326920364,0.1741062611012334,0.20380334532129163,0.3993282015169155,0.3674008206259207,0.46179965783139443,0.6139621933369217,0.33011752452562115,0.4211279865706187,0.2039189561579885,0.1525009105398969,0.6251791396438977,0.24240480953321808,0.3442585178022993,0.23559726204764075,0.14523387011995492,0.21956133278787848,0.5827583593786122,0.29708609898077765,0.29062361156154737,0.552113401722623,0.1918641412252352,0.4853164749540745,0.16909012579223504,0.3294456573538104
Breta sǫgur-AM 573 4to,0.1797618812959818,1.5654144647214707e-14,0.2565887945542562,0.41373018559746677,0.2488113289033539,0.39459738614781337,0.2751055510945727,0.20084029538038273,0.20107848136325213,0.17250309339710235,0.5000413405462307,0.3435823975462404,0.23959074327215868,0.26176030374699655,0.1727408115515109,0.15712200936824638,0.3613349674063654,0.3324603459283455,0.4512188646893024,0.5871930848373768,0.295995910245467,0.4138769777271726,0.18356311953416804,0.1292810765291018,0.6114299256848539,0.21034490399582606,0.31388615468445114,0.17342780967299465,0.10874149267689703,0.16495664424607126,0.5631607549351371,0.2475911387687565,0.2730899370060361,0.5210091379536138,0.15500677280769326,0.5226877959937644,0.14365426252124647,0.31500111418901444
Karls þáttr vesæla-AM 557 4to,0.2719411551938087,0.2565887945542562,1.3988810110276972e-14,0.448910702618607,0.34997066015440614,0.4283048892066956,0.36611354327742685,0.29483723112081706,0.26717781416411457,0.24728515472322032,0.5641531280034547,0.4095765994641928,0.3554856787351489,0.346086987427382,0.2530470821238442,0.28012936726594173,0.4270728895095298,0.3892691775114284,0.5332767680211785,0.6675049194341487,0.3480308356014715,0.4718585944267658,0.2948559916906385,0.2400739198772568,0.6500724757093692,0.3038740520261872,0.38250338511214466,0.3087840133613611,0.21957025432973432,0.2523721082560949,0.6144546620128661,0.3680928400037681,0.3373118812199061,0.5865255593060188,0.27391300218286774,0.47531944734461384,0.2385097527947989,0.35977350678582776
Hróa þáttr heimska-AM 557 4to,0.39822319131702333,0.41373018559746677,0.448910702618607,0.0,0.4922938802888772,0.54289243239159,0.4833182264615913,0.43055305193120896,0.4026825735562385,0.3896491072688738,0.6609012484204388,0.5196417598666168,0.49604553275886376,0.4696115780609925,0.4060074610679113,0.4306550201376709,0.5420069784298062,0.5134843194654739,0.6202936639064817,0.7312844478775169,0.4767627209840971,0.5829487535222956,0.43820019039937474,0.38497034466592495,0.7281942394534016,0.4470313367667843,0.5079075047312755,0.4577627059498228,0.38617915914285195,0.4055581180020468,0.6929220890787082,0.4983104608295167,0.46791336273863093,0.665928073719215,0.43284187751155745,0.5756934736253725,0.3795073278260078,0.48605350001721437
Old Norwegian Homily Book-AM 619 4to,0.2958616746616868,0.2488113289033539,0.34997066015440614,0.4922938802888772,5.440092820663267e-15,0.32880942736910657,0.3163272352139065,0.3125209218314423,0.2813773637926832,0.2826538294321397,0.5920968591112907,0.43397889832745606,0.3347805260134641,0.3809164737520385,0.2899502171864786,0.2912442989564886,0.3298963316532455,0.3549385902770775,0.4692382143508961,0.6224209348319754,0.3132457640123403,0.4598059469606055,0.3088622180159889,0.2616381292562182,0.5427609841284092,0.3107752654403143,0.23481223389493056,0.2938810080664037,0.23805496857486996,0.23425618982662244,0.5771304388809104,0.33356482136807464,0.35541181855966897,0.5645351716213132,0.27925010985266796,0.5837402597426924,0.2594039983026909,0.37569902559085233
Prosper’s Epigrams-AM 677 4to,0.4198348325349084,0.39459738614781337,0.4283048892066956,0.54289243239159,0.32880942736910657,6.994405055138486e-15,0.38215397995413414,0.4194693434267295,0.32284380174790206,0.38210347262017974,0.7015135473406242,0.5005665682027751,0.4792789486655412,0.4970353861749588,0.40941449535408325,0.41760990690535016,0.3189547706729605,0.38227206072926634,0.521287467521363,0.6916994045962648,0.31264495135013237,0.5760603251672185,0.45640280993016225,0.38053135625597234,0.5413836111802568,0.4229844388522416,0.2408635433749553,0.4342961326952053,0.37261099859539526,0.2551189866557473,0.5971599119540651,0.4435788476379682,0.4052813586654038,0.5528765190041725,0.44098473483719225,0.595783800970857,0.3474574255403843,0.3991342407515752
Pamphilus saga-DG 4-7,0.3099670509454191,0.2751055510945727,0.36611354327742685,0.4833182264615913,0.3163272352139065,0.38215397995413414,0.0,0.3261867574593236,0.2643818695219231,0.3132800622703362,0.6052175129149961,0.4233386889434162,0.39944408545266286,0.3877794198248802,0.3148154377573207,0.34572874498035566,0.4089217557586885,0.3819120695417565,0.4663321356515815,0.6321553604905021,0.3334981353576567,0.5127153640820283,0.34365742195869553,0.2733900005570724,0.5922758910059905,0.35313844624654,0.2993165779793566,0.31160436390388124,0.292146697740607,0.2492925178190284,0.5724296216889215,0.3739168841431355,0.3733650446358411,0.6048563363324222,0.32873960250426626,0.5928674142264245,0.2658944653383398,0.41374567081029745
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.21268155858968119,0.20084029538038273,0.29483723112081706,0.43055305193120896,0.3125209218314423,0.4194693434267295,0.3261867574593236,4.851674617611934e-14,0.20200401359548348,0.19975296803026177,0.5429315283246687,0.38442344057961253,0.2856926933591798,0.2920104707799851,0.16408774548662586,0.23511359358557848,0.39057334140582955,0.3746385615506782,0.4689916852816206,0.6228400163736141,0.34215013798935134,0.4664037888005872,0.19055994867711856,0.15092811511879722,0.6304142499713923,0.23076102436131385,0.3645341655577,0.2494066408772504,0.15981526658183032,0.2227138688462309,0.6011242387041258,0.32186403530445273,0.33625970267806293,0.5506428155015799,0.2045404561704669,0.5448455904955111,0.1486854895979991,0.3275328404631117
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.22050464629333044,0.20107848136325213,0.26717781416411457,0.4026825735562385,0.2813773637926832,0.32284380174790206,0.2643818695219231,0.20200401359548348,0.0,0.20425094231910645,0.5503178876470802,0.3441594163000522,0.31777578434374965,0.30272554193577306,0.18391865829153775,0.25598743934023127,0.35814492584836466,0.33579135775803937,0.4464684058580112,0.63372937897528,0.2823795275458123,0.46926690421819606,0.22773834194658582,0.14396824970308675,0.5882611916185443,0.22468804554399313,0.283331748872516,0.25286657493932385,0.18494269911297934,0.15500487137663188,0.5627620689003204,0.3126052384576229,0.2919630085073772,0.553071297013336,0.23036230786752254,0.5062714556821506,0.12174242343259489,0.28399114010226567
Hallfreðr saga vandraskald-AM 557 4to,0.1700480349338137,0.17250309339710235,0.24728515472322032,0.3896491072688738,0.2826538294321397,0.38210347262017974,0.3132800622703362,0.19975296803026177,0.20425094231910645,0.0,0.5294054905639229,0.36755025982329526,0.26677133093182426,0.274610925784291,0.14284487017987346,0.19408254679115933,0.3650463599125868,0.34049264742414365,0.4732206407125884,0.6272297706820109,0.3016272058542967,0.4311624678748446,0.19612343100108798,0.13973341860198996,0.6312100060258086,0.22129670326275386,0.32906003032046094,0.2323294525881715,0.11949160627677935,0.18902744959673878,0.5887148041069166,0.29394024220572723,0.2781755130927074,0.5296682437766059,0.1845773494040568,0.46883242141834414,0.1475160753189454,0.2893748163521672
Sveinka þáttr Steinarssonar-AM 557 4to,0.5238315922475605,0.5000413405462307,0.5641531280034547,0.6609012484204388,0.5920968591112907,0.7015135473406242,0.6052175129149961,0.5429315283246687,0.5503178876470802,0.5294054905639229,2.4424906541753444e-15,0.6322962532361103,0.5676182158649082,0.5670644396603747,0.5195018910748758,0.5157671463087411,0.6536227934886399,0.648734906326877,0.6894101799304078,0.7687246740803945,0.6234876429636869,0.6603092491737671,0.5296908238454827,0.501443214567719,0.8019040979430094,0.5520363988343711,0.6312400631962218,0.542330882821067,0.49368310656151093,0.5447771014443943,0.7591899545140327,0.5744256622398484,0.5923304213038133,0.7318425945962042,0.5200683351814586,0.7174935677561014,0.5204163199557541,0.6314722250999618
Valdimars saga-AM 557 4to,0.36756108533344056,0.3435823975462404,0.4095765994641928,0.5196417598666168,0.43397889832745606,0.5005665682027751,0.4233386889434162,0.38442344057961253,0.3441594163000522,0.36755025982329526,0.6322962532361103,3.219646771412954e-15,0.45517724947472527,0.4401868739728816,0.3675197327322859,0.3834427350393196,0.5069621615420656,0.47314018411009917,0.5749845592069098,0.6895549377083194,0.4338977769212269,0.5587498721184265,0.3850927672056157,0.33248632489869356,0.6794499215453784,0.40098141476656957,0.45610470689562477,0.3786723266363268,0.33722349551639774,0.33282576777379813,0.6596494941388686,0.4397069219815112,0.4275646010438803,0.647398478186157,0.37587006694501235,0.5882981956023969,0.3392237394973229,0.4701435922929569
Hrafns saga Sveinbjarnarsonar-AM 557 4to,0.2746094824921198,0.23959074327215868,0.3554856787351489,0.49604553275886376,0.3347805260134641,0.4792789486655412,0.39944408545266286,0.2856926933591798,0.31777578434374965,0.26677133093182426,0.5676182158649082,0.45517724947472527,5.88418203051333e-15,0.3577276270140356,0.26267073435945265,0.24541807614444566,0.4404338237370595,0.4178322906572528,0.5230878245979285,0.6314402008255356,0.38861973284134343,0.4885072259145772,0.2503451363200637,0.24181334913590202,0.6495667390887332,0.27737919346542517,0.40488996992885273,0.285487978619702,0.20014094143229144,0.2924616971863533,0.6381823879229008,0.3467326164041147,0.37219849563604945,0.5877967060803777,0.2272651008379315,0.5981893140869692,0.2502597393953909,0.3885990211691468
Rögnvalldr ok Rauð-AM 557 4to,0.27528172326920364,0.26176030374699655,0.346086987427382,0.4696115780609925,0.3809164737520385,0.4970353861749588,0.3877794198248802,0.2920104707799851,0.30272554193577306,0.274610925784291,0.5670644396603747,0.4401868739728816,0.3577276270140356,2.7755575615628914e-15,0.2689889964035279,0.27794220305806083,0.4693608821531764,0.44733251352075254,0.5168264432189658,0.6568711223841792,0.4161446836669098,0.48573730770511847,0.29254010016063414,0.24282462012719352,0.6838354638218902,0.3278936518591685,0.4316974437755774,0.3114141596171489,0.23387545756136163,0.3002867895850627,0.6426772469014406,0.3765320342389573,0.37525348916473145,0.5943497318058394,0.271528344359237,0.5375034028240173,0.25511942798424303,0.4119086760963623
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),0.1741062611012334,0.1727408115515109,0.2530470821238442,0.4060074610679113,0.2899502171864786,0.40941449535408325,0.3148154377573207,0.16408774548662586,0.18391865829153775,0.14284487017987346,0.5195018910748758,0.3675197327322859,0.26267073435945265,0.2689889964035279,2.0539125955565396e-14,0.19791470256683696,0.37910947037724796,0.3519727553834259,0.46785658424137566,0.6145047602112929,0.31727744877862407,0.4291977098871649,0.17483959212119082,0.1259414382845463,0.6338687807977645,0.20753475507213304,0.3471489028877407,0.22475674473344742,0.12495873286664838,0.20024116091251165,0.5900891489193527,0.29971369260251934,0.297116772678502,0.5348459587602205,0.1811189570478191,0.4817179792865812,0.12792302114467624,0.2993327172130146
