,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Alexanders saga-AM 519 a 4to,Vǫluspá-AM 544 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,Um tíund | Om tienden-AM 60 4to,Kristinréttr hinn eldri Frostaþings | Frostatings eldre kristenrett-AM 60 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 60 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-AM 60 4to,Réttarbǿtr | Rettarbøter-AM 60 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Kristinréttr hinn eldri Borgarþings | Borgartings eldre kristenrett-AM 78 4to,Kristinréttr Jóns erkibiskups | Erkebiskop Jons kristenrett-AM 78 4to,Kristinréttr Sverris konungs | Kong Sverres kristenrett-AM 78 4to,Bǿjarlǫg Magnúss Hákonarsonar  Farmannalǫg | Magnus Lagabøtes bylog  Farmannalov-AM 78 4to,Réttarbǿtr | Rettarbøtr-AM 78 4to,Pamphilus saga-DG 4-7,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-DG 8 I,Farmannalǫg (part 1) | Farmannslova (del 1)-DG 8 I,Eddic poems-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,7.860379014346108e-14,0.2877881869844936,0.042613848126606624,0.8100491427749865,0.8217240312665104,0.06399430623766633,0.5300127882113416,0.6492016715710494,0.4626542877429456,0.611275621540985,0.3699281703892896,0.3250483345737829,0.3673206236908998,0.4159906841773813,0.7536039163044672,0.7782366266464456,0.5676143718511841,0.6627327092966784,0.7030854392305703,0.8225854630970391,0.9142969701570804,0.2470665672966984,0.1403342834131689,0.2688487550182782,0.11326141081148666,0.32385119241467264,0.791742027749881,0.35037023102990383,0.5433004400647862,0.7956540104460765,0.506999339360654,0.5863427596975277
Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,0.2877881869844936,4.107825191113079e-15,0.28006765459377414,0.8934605174016044,0.8852539463173571,0.32065241424824353,0.5855281262119839,0.7109222981678311,0.5932643152793038,0.6808231135969474,0.5479124292250422,0.4959173170131841,0.5141617661197804,0.4554943452364397,0.8757791250529496,0.8815627949271745,0.6086603487250972,0.778244616933681,0.8113883572089066,0.9141755707317738,0.9568119740480603,0.4382402357201616,0.350413752036149,0.44120410197999604,0.3465639110514134,0.3443786492383192,0.885903717172327,0.5692531586605973,0.7018369900539212,0.8481088362456337,0.6804913390845546,0.718922255374064
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,0.042613848126606624,0.28006765459377414,0.0,0.8319110809358596,0.8493035702119109,0.08019358757309014,0.5458060177221833,0.6582291589880072,0.5014390817409751,0.6242790787967079,0.4362044332495729,0.3859239518816564,0.4232706977424795,0.4408268318345506,0.7801641580634736,0.7994428272569383,0.555001298546463,0.6778175793802215,0.7285725013121123,0.8468476571249294,0.9252537372631817,0.25377413334135335,0.1731518578424902,0.30589547891647273,0.13934107478041047,0.3192314552033304,0.8132256489169349,0.3945175856561566,0.5995804828275801,0.8102498992196894,0.5506311344548811,0.5934528855197272
Alexanders saga-AM 519 a 4to,0.8100491427749865,0.8934605174016044,0.8319110809358596,2.389199948993337e-13,0.8993764909442701,0.809768968790089,0.789524914240445,0.8576105786347716,0.8538179678496751,0.894347050687782,0.8691493390168091,0.8649131934695762,0.8766620144855615,0.8998762829647322,0.5904300858927243,0.40878590717566743,0.8840060468366553,0.7230790361433551,0.29713550640318453,0.4394019172088425,0.6112135503243409,0.8526972295231814,0.8120045398435424,0.8509360924930316,0.8237228963355196,0.8863442136955585,0.44602944915496245,0.8123771431538492,0.8496735611358373,0.8669088216355777,0.8608569586209043,0.7757041926425537
Vǫluspá-AM 544 4to,0.8217240312665104,0.8852539463173571,0.8493035702119109,0.8993764909442701,0.0,0.819846255076332,0.8581593693855416,0.9064942671767082,0.8182678269377768,0.90169082247481,0.8570660535538378,0.8579257088732302,0.8735728257786541,0.8868229656791462,0.8742140629030768,0.8826111835879639,0.9454115620347141,0.8817710268316854,0.8892003341245142,0.9044492223292058,0.9512707276886953,0.8533975966205128,0.8192888102742436,0.8469088993488649,0.8348387775753698,0.8802116638101656,0.8924362390799961,0.6492262360711096,0.6084150953896084,0.8208200644146406,0.8300010080824006,0.8481948410831719
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,0.06399430623766633,0.32065241424824353,0.08019358757309014,0.809768968790089,0.819846255076332,0.0,0.5424434510177404,0.6603168763466627,0.47326057154294565,0.6165607275075595,0.4551635852791587,0.4080301084517315,0.44070292798323474,0.4670077388027204,0.7402831077640548,0.7710046971254865,0.58488877767514,0.6558297826110164,0.6981189318300156,0.8161370618750395,0.91530958745086,0.20496303514372027,0.10990656732802251,0.23364278913293834,0.07603862548822282,0.3086368625292085,0.7862369918702843,0.3314323604796864,0.5124806874017305,0.7944739807999677,0.5465521409612757,0.5758862116866006
Breta sǫgur-AM 573 4to,0.5300127882113416,0.5855281262119839,0.5458060177221833,0.789524914240445,0.8581593693855416,0.5424434510177404,1.021405182655144e-14,0.21784272505370939,0.7170909887439082,0.716014301268234,0.5965158583349174,0.5585955088958261,0.5564675222704092,0.5526424425135119,0.8799245999652305,0.8555696983629395,0.4636028329652684,0.7492790358272612,0.7253618724320376,0.8525995880109426,0.8840411650845661,0.6403627876494695,0.5303739642654315,0.5441708141256115,0.5364065682853774,0.5465344163861596,0.831877400882973,0.7600409866677226,0.7847520463316021,0.8422341302518237,0.8036889950934062,0.8153470649879857
Trójumanna saga-AM 573 4to,0.6492016715710494,0.7109222981678311,0.6582291589880072,0.8576105786347716,0.9064942671767082,0.6603168763466627,0.21784272505370939,8.215650382226158e-15,0.8435555722495011,0.807468969365671,0.6891782045834051,0.6730822043275483,0.6566400389100229,0.6834830717359754,0.917794445880128,0.8987812062356311,0.5121794639265629,0.7625661210293662,0.7731250155710968,0.9023083983401692,0.9164727019041691,0.7421872201412255,0.6487495164384769,0.6455504266606007,0.6420683846745374,0.6822442094755765,0.8706976430658614,0.8694780386589357,0.8714466081267815,0.9124307286978478,0.9058198900258334,0.9138761735194988
Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,0.4626542877429456,0.5932643152793038,0.5014390817409751,0.8538179678496751,0.8182678269377768,0.47326057154294565,0.7170909887439082,0.8435555722495011,0.0,0.5876945685114066,0.511535712957579,0.4692579867659096,0.5083174739765172,0.5562487941337435,0.8038468798068046,0.8225581470430721,0.7864229498929468,0.7947454241687457,0.8112449189453856,0.8532926377715954,0.9221347937888709,0.5010695989421426,0.44977281322691864,0.5186048273287477,0.5237152689166841,0.5684214997998798,0.8432469855755874,0.4594020567079753,0.5581059965912262,0.7921647647222654,0.5017939732544908,0.6400697432996488
Um tíund | Om tienden-AM 60 4to,0.611275621540985,0.6808231135969474,0.6242790787967079,0.894347050687782,0.90169082247481,0.6165607275075595,0.716014301268234,0.807468969365671,0.5876945685114066,3.1086244689504383e-15,0.623561756376584,0.5914100541953611,0.6278618219779365,0.6095713032235319,0.9121621903857472,0.9218698869045476,0.7113012213771202,0.8779783791907354,0.8880794948683731,0.9444770039395396,0.9720374520127392,0.6907686078484533,0.5695352176844426,0.6671422385999028,0.6387152500269508,0.6514910943839216,0.9111761894770782,0.6789973438939186,0.7366106608669964,0.8619815495345009,0.6856678883491357,0.7970567738302197
