,Konungs skuggsjá-AM 243 bα fol,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Eddic poems-GKS 2365 4to,Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol
Konungs skuggsjá-AM 243 bα fol,1.6542323066914832e-13,0.14376197378651834,0.19391933904375025,0.25738054950878264,0.25835987935948934,0.27306972769228877,0.5534155779219401,0.5895470387321686,0.26679496869751473,0.254720112987171,0.21756196494939695,0.30877818689169256,0.13940875769696348,0.1049941042466791,0.5949506977432564,0.16141679275020437,0.8136487248496043,0.23596390568250492,0.14687770074464046,0.14119361792566154
Alexanders saga-AM 519 a 4to,0.14376197378651834,1.3800072196090696e-13,0.1499565301996708,0.2050437857604147,0.24946727997290719,0.2609994420031885,0.5172769987018524,0.56799795005402,0.25899886762671676,0.17886955310805208,0.14804038411111486,0.2884815926696944,0.21676373614293276,0.1623636703106368,0.62696199872142,0.23850368454889126,0.8123098206577466,0.24824696441590233,0.1841770453051077,0.1811424344669491
Breta sǫgur-AM 573 4to,0.19391933904375025,0.1499565301996708,3.3639757646142243e-14,0.17459665914368516,0.29787500464946326,0.26560899943911853,0.48440060620687886,0.6064849298396235,0.3675521530808109,0.27932663300480853,0.2263437456627091,0.2922156683710633,0.1814912638298728,0.16115134326557368,0.6075570350688988,0.27769459316035383,0.7974943144991191,0.2821283420274685,0.15679447511973166,0.14946776999350353
Trójumanna saga-AM 573 4to,0.25738054950878264,0.2050437857604147,0.17459665914368516,0.0,0.34830916703747183,0.30974787268083337,0.4905230800277668,0.6224548898564584,0.41707184762686234,0.31902499868458567,0.26720140153700966,0.33044271913651124,0.236421530388789,0.21543267339892147,0.6341561442613337,0.33637239936051544,0.8159749488038431,0.3343998534459425,0.20189214947966438,0.19674773494614028
De virtutibus et vitiis-AM 619 4to,0.25835987935948934,0.24946727997290719,0.29787500464946326,0.34830916703747183,2.3647750424515834e-14,0.23604222872349412,0.5770554252030939,0.573325288730733,0.27607761025631217,0.2016103988776895,0.24406998389432988,0.34299769814521164,0.34871273594925223,0.2972527830711006,0.672283982101512,0.3439879138055151,0.8347507348230974,0.3184955877500597,0.3387082098177956,0.25460368907442776
Old Norwegian Homily Book-AM 619 4to,0.27306972769228877,0.2609994420031885,0.26560899943911853,0.30974787268083337,0.23604222872349412,8.770761894538737e-15,0.5487505643608178,0.5798564947867519,0.34329416423222736,0.2373929333449739,0.24823720112260605,0.35336836252124326,0.31419806648359727,0.2761097247472266,0.6598064889549603,0.3616991029638026,0.8081935369154654,0.3318063975717207,0.29743220647738755,0.2213779771232668
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.5534155779219401,0.5172769987018524,0.48440060620687886,0.4905230800277668,0.5770554252030939,0.5487505643608178,0.0,0.7651392887836287,0.6257796054831756,0.5484595825823093,0.5079847658500114,0.5794664741678062,0.520398625384672,0.5196522769141115,0.7329616465262447,0.601526425767734,0.8800419733413924,0.5443736659210825,0.48355573491716375,0.4903694437319146
1. De xii abusivis saeculi-AM 677 4to,0.5895470387321686,0.56799795005402,0.6064849298396235,0.6224548898564584,0.573325288730733,0.5798564947867519,0.7651392887836287,1.1102230246251565e-16,0.5776669356886732,0.526248781935866,0.5328109009331343,0.6397760321548516,0.6301423662002537,0.5973262679358495,0.7993124703738121,0.6549818205430353,0.9025872203573311,0.6149460645920682,0.6208772109524618,0.5989632289222642
2. Prosper’s Epigrams-AM 677 4to,0.26679496869751473,0.25899886762671676,0.3675521530808109,0.41707184762686234,0.27607761025631217,0.34329416423222736,0.6257796054831756,0.5776669356886732,0.0,0.24291909183735583,0.24827615009508275,0.42704691736056344,0.4076987546371087,0.3398106554767081,0.6909954425028408,0.3951282090678888,0.8579100629995368,0.3345193608482019,0.39808522773641897,0.3499937638584686
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.254720112987171,0.17886955310805208,0.27932663300480853,0.31902499868458567,0.2016103988776895,0.2373929333449739,0.5484595825823093,0.526248781935866,0.24291909183735583,3.008704396734174e-14,0.10432306724134499,0.34192546798040147,0.3329948869067264,0.2781617864028674,0.642660764119402,0.3443115248089619,0.8278533941110475,0.3020502580992124,0.3163499113398397,0.27722575053684895
