,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.9808200772801627,1.0753808820539312,1.164427824086359,1.0985682211156038,1.106117591055319,1.192452509073679,1.1117584032127497,1.0516905713907434,1.1574702230762597,1.1302954206461087,1.0348782520772728,1.2471881449825941,1.1728043527715397,1.0829385459328773,1.2605485114011568,1.2849543526898233,1.1857139016088112,1.0925143386495864,1.2068670793683414,1.0692063137300283,1.147906059310901,1.003651174139256,1.0885828961058384,1.2336460881285711,1.2452387317982885,1.1751320141834167,1.1631770805101385,1.3185810126800923,1.045500237936289,1.204179917649964,1.1627849894530151,1.2389152981852676,1.3184298112911383,1.076026383924969,1.294486195384827,1.2027983575642858,1.266346730352675,1.2060880468151685,1.2470545792922771,1.200561760723676,1.1187054460519035,1.1611533895956525,1.3040367948747948,1.1749003949223282,1.1365640646942943,1.3362280801151527,1.0587796880132194,0.9484320343891532,0.9685140566755139,1.2499683565096997,1.283362251583936,1.0358386189926712,1.1130559257359034,1.0936308077003127,1.1305490429969822,1.2368720532967403,0.9875014827840707,1.1983735779874576,1.213451064101585,1.0896222545749243,1.1991533894967938
Breta sǫgur-AM 573 4to,0.9808200772801627,0.0,0.9939865430932513,1.127990132284457,1.0520133745050009,1.0341990661254192,1.1367023472942988,1.0325948081516376,0.919212531883967,1.083465644990325,1.033572591203702,0.9804260534523281,1.196829335878293,1.1043074502709915,0.9907300435540489,1.2225050454398068,1.2454464794782898,1.1074031512511846,1.018068478295805,1.1468698805969297,0.9819890599753864,1.0899791274828494,0.8420332555002679,0.9717857089098579,1.1883540376000712,1.1894744607984151,1.102637595128236,1.0860670337836968,1.294198043561641,0.9114888685194981,1.1619510146387264,1.0979231471949558,1.1844002242347202,1.3035552753521704,0.9749621489548387,1.2561928873058048,1.1448150907946366,1.215999207231414,1.1618983589694794,1.1932465309518188,1.1503583582968637,1.0375581851112663,1.093610964444442,1.2816795306448103,1.0924084108854035,1.0461263175783686,1.308655318464005,0.9099715498516815,0.7878273100916755,0.773010232172291,1.2058541488579047,1.2407793121977981,0.8772790058241735,1.0119975966030135,1.0038307581211463,1.0464256594774564,1.1977756704223073,0.871810440646385,1.1906620732742257,1.1393176104487546,0.9957803236173973,1.1510406987845485
Karls þáttr vesæla-AM 557 4to,1.0753808820539312,0.9939865430932513,0.0,1.162805022514714,1.1184148341032856,1.0961808474075294,1.2046487862971804,1.1079012855932275,1.0393920973185289,1.1582583278308878,1.119577516739267,1.064825435537872,1.243001748725662,1.1647509348833467,1.089322428678424,1.2588975383591419,1.3023417129345964,1.1974630594316402,1.1315786521117046,1.1999937405486882,1.0774149393391306,1.1622811177621812,1.0253206497681682,1.0800518034244733,1.2466846026098362,1.2439164793313295,1.1849254164600789,1.1557437138829334,1.3277655882529924,1.031966750688209,1.2091683775617594,1.18386714783237,1.2451326378739302,1.3145809821764876,1.0888093165489197,1.2926722154368386,1.2152968793068397,1.2742485906676522,1.222533678042643,1.2372797793035624,1.2050331767495268,1.1406512629286638,1.1749703447338709,1.3072409611896052,1.1798253794335367,1.145003357629275,1.3426464320917748,1.0729869944276116,0.9663998838502633,0.951682410360304,1.237835263599212,1.2867266858249933,1.0574556778172113,1.0921365300695607,1.095679094722972,1.1183563811615747,1.2518330002845879,1.0060343787582118,1.1762116264922258,1.2165870947603776,1.10178271816396,1.1995401835583566
Hróa þáttr heimska-AM 557 4to,1.164427824086359,1.127990132284457,1.162805022514714,0.0,1.1970162491230572,1.1804323482911245,1.2560380737771586,1.1935512709425367,1.1577385825092723,1.2376092267593477,1.2080763599776172,1.1618295605312772,1.2985868982995403,1.2379607555590253,1.1927370775091557,1.314951222996334,1.332420220392908,1.2573804907920094,1.2226360965551937,1.274077697489815,1.1704887828791763,1.2234952511016435,1.146844591927277,1.1813223547139549,1.2991471448486778,1.3023872411014095,1.246383150836843,1.2251250691186137,1.346549123636565,1.1458467538509225,1.2724830764555024,1.237298452133887,1.2973632783785276,1.3399508085458474,1.1891993371465106,1.3268168897384416,1.2593322772206907,1.3194370769572747,1.2706203133849152,1.2841069013028874,1.2661007137114917,1.2044128799652147,1.2356593757024783,1.3377416649099039,1.2462469224054618,1.2308095942557764,1.366686831377135,1.180059757962923,1.1125521602851316,1.0946973794527188,1.2820807931820801,1.322141540518592,1.162247791598649,1.1950998815457896,1.1782003550788773,1.203330685985868,1.294929819730914,1.1474203166736716,1.239317850661266,1.2753953859054552,1.1790727338308151,1.2515284679196474
Theta-fragment of Egils saga-AM 162 A θ fol.,1.0985682211156038,1.0520133745050009,1.1184148341032856,1.1970162491230572,0.0,1.135015055513521,1.2309077938079298,1.131641134145939,1.0872609146129968,1.1807089553250005,1.1536381697684273,1.1104200867549492,1.2727515591355236,1.2047599718274267,1.1387905034475907,1.280067304810374,1.3113246404892673,1.2209588202071509,1.164686165826419,1.2345567452264663,1.1349140699623435,1.2047140861070302,1.0537416957910932,1.12584296660888,1.2640982558327598,1.2660377570891947,1.2132986678667033,1.1742514906500283,1.33103957956751,1.079910414496158,1.2476994587010353,1.2164833279029579,1.2682611180705075,1.3261111766873313,1.0342207702043933,1.2980079844610914,1.2306547050339225,1.2915322138839018,1.2382838077213718,1.261701646449886,1.2353107462497965,1.1814657144716811,1.211873951170558,1.327466443211462,1.2172230639863717,1.1889618996215459,1.353790848084478,1.119869440763184,0.9247844667177194,1.0063636756020355,1.2521274505648887,1.3023696804917342,1.0959347262208348,1.1250588599484983,1.1341399272311097,1.141023851564526,1.2719536364697215,1.0667782995138686,1.2306182190064767,1.24199162110091,1.1486536843372794,1.2257062686961722
Pamphilus saga-DG 4-7,1.106117591055319,1.0341990661254192,1.0961808474075294,1.1804323482911245,1.135015055513521,0.0,1.2105830868189993,1.1208047869755478,1.004203227441589,1.202314299388239,1.1386329515280205,1.1131091363164822,1.2769981426230552,1.176691588221558,1.1391766672870705,1.3003632783011834,1.3148495650572183,1.2148313569357567,1.1790847815484387,1.2360784964777864,1.1353578533279618,1.1866951626173148,1.1031405779508925,1.1135171837701487,1.2335973996397172,1.2787798537053265,1.1983003954347133,1.1572702165767075,1.3198397409048435,1.0599461196798978,1.2326981232164427,1.2036146916459127,1.2333859951770996,1.2970017997187981,1.1590758756970787,1.289135716825351,1.210662710563728,1.268201393726721,1.2312710205452386,1.263279966290112,1.219160617424688,1.1626573924249346,1.191765431369593,1.3250546290851706,1.1950565289021053,1.1701896235465947,1.3425695545246321,1.0896037975817636,1.0414316124961722,0.9676846774648302,1.2165827022858693,1.2818459304987435,1.084769226997694,1.0909256878379352,1.1275536146912666,1.0901299536439242,1.264235457829653,1.0752741552375753,1.2178125406653344,1.206645726115571,1.1216023781650621,1.2148472380690407
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),1.192452509073679,1.1367023472942988,1.2046487862971804,1.2560380737771586,1.2309077938079298,1.2105830868189993,0.0,0.9997578177657598,1.171859689994047,1.2554633750516726,1.2247121498614673,1.1979520854487933,1.3010756151099683,1.2557079694830624,1.2161284746368635,1.3200146367453038,1.3265014051195956,1.260248576465095,1.2247466387036436,1.2939791447789204,1.2003141328599267,1.0233966930454044,1.1551996437343264,1.1999521225303942,1.3065381232264761,1.3029900082738084,1.254300835769297,1.242068223554461,1.3469699112109454,1.1713153036585626,1.2874597302395425,1.0228232872037932,1.2995404542160505,1.3513993246030809,1.2063906815107113,1.3344855008007837,1.2831292298409207,1.3130730696256707,1.2799692583206068,1.30204121266803,1.2806837243893383,0.9876587824504846,1.0288942316533294,1.345990304738365,1.256328921039129,1.2323215187155234,1.360571347755813,1.1889638022514846,1.134904321816323,1.1175840631639127,1.3091809429444783,1.320559006519153,1.1623460397964263,1.2239907391864084,1.2099083394295143,1.228680764987381,1.307644421528286,1.1577988284416436,1.291612999078472,1.2766317229092266,0.9450163940569388,1.0998452061796353
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),1.1117584032127497,1.0325948081516376,1.1079012855932275,1.1935512709425367,1.131641134145939,1.1208047869755478,0.9997578177657598,0.0,1.0513644798640263,1.1913523584586607,1.1362375447571118,1.1107640373765648,1.2636491099692346,1.1972055945959936,1.1438169163508594,1.2928280785402109,1.302323647852826,1.2018509269806437,1.1572993968563752,1.2558578565112604,1.1235888291049243,0.9468076523362607,1.0680843206658768,1.110537912945741,1.273563618965421,1.2639293974240673,1.1944694330573449,1.1562928362561635,1.3343620032732868,1.0608155343833217,1.2434406487150096,0.9719878836596727,1.2601738543798582,1.325096280051404,1.1119444434954742,1.3007194268316904,1.2418773766143414,1.2780097688502885,1.2365471264049692,1.2539906185861285,1.2338415927182005,0.8631275804956489,0.9409355515272547,1.3262238327299083,1.200484114238985,1.1746214011206837,1.3448617331558286,1.108883011962867,1.0121711716205155,0.9679786292254468,1.2593711350087267,1.281212442192985,1.0697688815407485,1.1315250363195732,1.1222407238654313,1.1347357425466358,1.2797537721702623,1.0694004190834674,1.2372955860702326,1.2266765096084356,0.7818474942137209,0.9798882140147408
Old Norwegian Homily Book-AM 619 4to,1.0516905713907434,0.919212531883967,1.0393920973185289,1.1577385825092723,1.0872609146129968,1.004203227441589,1.171859689994047,1.0513644798640263,0.0,1.1351195542903325,1.0009793995131746,1.0427748649272852,1.236337397164152,1.1475163169397016,1.060247937792474,1.2720780819828066,1.2747039805924505,1.1219337977194572,1.085573051797089,1.1651456718504765,1.0695373285887042,1.1391177686533387,0.9774089498132164,0.9664944406308332,1.1900204746863112,1.2303462797338087,1.1435325638184257,1.0357213717432197,1.3064036416811493,0.8815995881644781,1.172407554032786,1.1533812749038512,1.198021288025285,1.2896052106561493,1.065254683836676,1.2397005019975744,1.1794695778610775,1.2235376707438024,1.204528716196401,1.2260325824375782,1.1917180420737223,1.0967955266894553,1.1332260759382056,1.3034913718924888,1.1456012193115968,1.112373520718866,1.3130933083454783,1.018975418500625,0.928199169116781,0.7965951818661635,1.1659524727032131,1.2349152251413285,0.9466424159027964,0.9879991806642222,1.0466265612763408,1.0016716745334309,1.2454089848288463,0.9859548291194368,1.2026724807749867,1.1508163202702668,1.0481089842742062,1.1624424744924622
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,1.1574702230762597,1.083465644990325,1.1582583278308878,1.2376092267593477,1.1807089553250005,1.202314299388239,1.2554633750516726,1.1913523584586607,1.1351195542903325,0.0,1.1688141164578711,1.1523876276539704,1.286137847104992,1.237804153301366,1.1487521917238845,1.2798804456038035,1.3133030668365637,1.231988943399167,1.1846443446511965,1.2459106445411678,1.1632447758716131,1.2211041279959256,1.0715198516233433,1.1506035524274933,1.2771415251461897,1.267084967320754,1.2273641336505743,1.2101724102655838,1.3415536829840775,1.1164975831458386,1.261176966611332,1.2381428075143945,1.288600294499371,1.3498517940507393,1.142654716193502,1.313200669636435,1.2573579230514336,1.3024878878999686,1.2607000398532802,1.2769347591458293,1.2467214995786489,1.202861430119735,1.2329353671150687,1.3374561489478565,1.2322537651537457,1.2021389821614916,1.3573762715879152,1.1478673694162815,1.0228788707577057,1.046554857868734,1.2898747816805483,1.3169606333019312,1.1305087318438578,1.1689370285795837,1.1629605433070842,1.1768547113009658,1.2723148002469273,1.1142930647352363,1.252089060289275,1.2623924280829086,1.1793153181460942,1.2536759451698334
