,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Theta-fragment of Egils saga-AM 162 A θ fol.,Zeta-fragment of Egils saga-AM 162 A ζ fol.,A fragment of Njáls saga-AM 162 B α fol,Two fragments of Njáls saga-AM 162 B θ fol,Codex Wormianus-AM 242 fol,Konungs skuggsjá-AM 243 bα fol,Codex Runicus-AM 28 8vo,Landslǫg Magnúss Hákonarsonar and amendments (skipan) | Magnus Lagabøtes landslov og rettarbøter (skipan)-AM 302 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Codex Frisianus-AM 45 fol.,Alexanders saga-AM 519 a 4to,Vǫluspá in Hauksbók-AM 544 4to,Dámusta saga-AM 557 4to,Eiríks saga rauða-AM 557 4to,Eiríks saga víðförla-AM 557 4to,Gunnlaugs saga Ormstungu-AM 557 4to,Hallfreðr saga vandraskald-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Karls þáttr vesæla-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,"Kristinréttir, Landslǫg Magnúss Hákonarsonar, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, 
                     Magnus Lagabøtes landslov, Magnus Lagabøtes bylov og rettarbøter-AM 60 4to",De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",De xii abusivis saeculi-AM 677 4to,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Gregory’s Homilies on the Gospels-AM 677 4to,Prosper’s Epigrams-AM 677 4to,Reynistaðarbók-AM 764 4to,"Kristinréttir, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, Magnus Lagabøtes bylov og rettarbøter-AM 78 4to",Elíss saga ok Rósamundar-DG 4–7,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Landslǫg Magnúss Hákonarsonar ok Farmannalǫg | Magnus Lagabøtes landslov og Farmannslova-DG 8 I,Óláfs saga ins helga (legendary version)-DG 8 II,Völuspá in Codex Regius-GKS 2365 4to,Legenden om Barlaam och Josaphat-Holm A 49,Birgitta Andersdotters bönbok-Holm A 80,"Various texts, including Eufemiavisorna-Holm D 4",Thómass saga erkibiskups-Holm perg 17 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Konungs skuggsjá-NKS 235 g 4to,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 A,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Stjórn-NRA norr fragm 60 A,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Thómass saga erkibyskups-NRA norr fragm 66,Thómass saga erkibyskups-NRA norr fragm 67,A fragment of Brendanuss saga-NRA norr fragm 68,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,A fragment of Agǫtu saga-NRA norr fragm 70,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Maríu saga-NRA norr fragm 78,A fragment of Páls saga postula-NRA norr fragm 80,Virgin Mary’s complaint-SKB A 120,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to
A fragment of Konungs skuggsjá-AM 1056 IX 4to,0.0,0.7485066547223611,0.7900632594118424,0.7515305593435755,0.7810958821329052,0.7776631021352017,0.8112887711549532,0.8151976893597963,0.734256533592563,0.807804018318549,0.7890793221377516,0.8563185832300316,0.8808265767035918,1.0,1.0,1.0,1.0,1.0,0.7427371802625267,0.6826419897039736,1.0,0.7831942606734431,0.7509992905766447,0.8513733678106803,0.777194071223112,0.7802338935298386,0.7993415265381479,0.8405508931949071,0.783252061516996,0.7863714489632059,0.8774543794234186,0.8779051444350036,0.8219506128270619,1.0,0.72122101003011,0.7576561496082287,1.0,0.7315675125939929,0.7561125921757673,0.8406000142081949,0.8846435687601519,0.835147464718265,0.7688878418959084,0.7523262324969745,0.741966475118458,1.0,1.0,0.7813743722169615,1.0,1.0,1.0,0.9238348483526136,1.0,1.0,1.0,1.0,1.0,0.7223635937256281,0.692344954867165,1.0,1.0,0.8253557156381677,0.8207682335900723,0.8950126518084295,0.7772512886474937,0.9042023354874321,1.0,0.8722521105721965,0.8191472518823388,0.7467466525622637,0.8811478916894034,0.7532404271549661,0.8607365190404055,0.9163954793350072,0.9216408893164336,0.8841599021293521,0.8574416286189911,0.8209356615471259,0.7983268195767702,0.86305697217536,0.8540135265126209,1.0,1.0,0.8545136295151684,0.7423275719154554,0.9273143685380693,0.8903618572511955,0.8174611621785663,0.796491520183301,1.0,0.7237036815990444
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.7485066547223611,2.4980018054066022e-14,0.4798194363312409,0.4029881419240452,0.4566299083448795,0.4368906763780416,0.5157254358176289,0.514323776971207,0.3254754863627376,0.49343249019080593,0.470940996531518,0.6505255998621136,0.7010398184241798,1.0,1.0,1.0,1.0,1.0,0.43333907353478596,0.30589755311954236,1.0,0.5023707328193765,0.41875450849250695,0.6764737479861034,0.46802466101038864,0.4647395805881772,0.5420352034179385,0.5907385102729807,0.46442177331819345,0.48562909026168743,0.6558320801790298,0.7291884067267687,0.5798999218502863,1.0,0.38172739872889694,0.4543685883221359,1.0,0.45971104736425017,0.4898591178565057,0.6751962523535723,0.7758630180011986,0.6101361986689148,0.4919513913826177,0.5056917045378386,0.44407424268672235,1.0,1.0,0.47856366409479223,1.0,1.0,1.0,0.8310821048765678,1.0,1.0,1.0,1.0,1.0,0.475731765182447,0.4170817564238911,1.0,1.0,0.5812175504623731,0.6514719625767229,0.7882448983190233,0.4897777562401099,0.756813323265316,1.0,0.7170447900442353,0.594873496560218,0.46757066376489276,0.7025763987859424,0.4837683448244666,0.7250830359425005,0.8540039023320253,0.816516713830545,0.7116216951626662,0.6478876131447955,0.6030614610306233,0.564611686858564,0.6964678617146551,0.6538539888678279,1.0,1.0,0.6601732137956366,0.509547154473428,0.8278142230426169,0.7680459376446185,0.6112932097665932,0.5487668495389024,1.0,0.3323915995951401
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),0.7900632594118424,0.4798194363312409,4.5075054799781356e-14,0.441415446503466,0.4776817319782556,0.4751516731870997,0.5438279221084272,0.574274162173289,0.38772504447014045,0.5756798694549803,0.4687246958577075,0.6684863901353176,0.7036573900385235,1.0,1.0,1.0,1.0,1.0,0.42599789967512347,0.4142474836993597,1.0,0.5645949567034594,0.4203900156693797,0.698375457284795,0.5032403126335534,0.5052161926481689,0.5338218672132532,0.6437462657768607,0.529483275268117,0.5159534135042146,0.7240087810928673,0.7377905559355916,0.6342477829757396,1.0,0.4132330119447494,0.4864464942547342,1.0,0.5668906751368039,0.5459239142105619,0.7121160071904249,0.8202207974759024,0.6252545005667451,0.550151432344654,0.6179338379612178,0.46449138054242534,1.0,1.0,0.5895249428506157,1.0,1.0,1.0,0.8324952755557439,1.0,1.0,1.0,1.0,1.0,0.5390253986372351,0.5032162638446195,1.0,1.0,0.6183176238187118,0.6931029085810017,0.7877309950205467,0.5364672146001426,0.7454445777614944,1.0,0.7214153035733378,0.5986852021326852,0.5849489002204559,0.7653791856445948,0.5749683751308272,0.7533120482403454,0.8641433581941361,0.8241933785888402,0.7390098775622294,0.6817429327570135,0.6372097167203055,0.5826708008852157,0.7264329010964246,0.6765008988927795,1.0,1.0,0.6515758511480283,0.5938567767641315,0.8665033485233345,0.7923389631497575,0.6387165584025025,0.6292298434336785,1.0,0.35640966278369723
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),0.7515305593435755,0.4029881419240452,0.441415446503466,1.6298074001497298e-13,0.42709150321163436,0.42008134407280495,0.5107861569592962,0.5357668146319229,0.326933013506312,0.5380367856922348,0.45213083528208775,0.638239345523651,0.688188761593032,1.0,1.0,1.0,1.0,1.0,0.38262739055179507,0.318758060273722,1.0,0.49634257675773585,0.3808623381044838,0.6730235694657292,0.44888619573561606,0.44391129722640355,0.506955276519869,0.5955196037407035,0.4812604006787805,0.4487227594444222,0.6821234286434604,0.7068670610736174,0.5945682104823081,1.0,0.3440095202896215,0.4328708187580924,1.0,0.4987177131251175,0.502153838032578,0.6834400555419313,0.8016750324496512,0.579719210175129,0.49584381887800866,0.5531899755602052,0.40889513436154556,1.0,1.0,0.535806609589307,1.0,1.0,1.0,0.8309041206076371,1.0,1.0,1.0,1.0,1.0,0.4853936740581216,0.43920926114742187,1.0,1.0,0.5712935624437385,0.6533842947466459,0.765800421299145,0.4792143095413214,0.7322398157716749,1.0,0.7053703423419819,0.5765497466311478,0.5214135040819944,0.7268710962366336,0.5192024151846062,0.7280796701217684,0.8464433018251647,0.8066616072461175,0.6962775618893068,0.642784180612116,0.5904836694157123,0.5448085586273199,0.7018513282455188,0.6324277560647295,1.0,1.0,0.6495338686907398,0.5358217258172235,0.8405230666135988,0.774731953037172,0.588725117765964,0.5782490081831886,1.0,0.31362359032075593
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),0.7810958821329052,0.4566299083448795,0.4776817319782556,0.42709150321163436,0.0,0.47877813902932176,0.5477790714369324,0.5741782343581966,0.39461525661929786,0.5826473701999231,0.5002083384818574,0.6774151109366193,0.7059828453583634,1.0,1.0,1.0,1.0,1.0,0.43977189499139535,0.38060593758535277,1.0,0.546436666539933,0.41984853857170756,0.6932789357536586,0.5108561291824043,0.5034289083085395,0.5357933814803209,0.6410526411514996,0.5228015570955815,0.5229214831792309,0.7116900964062342,0.7378355872936765,0.6308507757751871,1.0,0.4102543676479151,0.48952846986723,1.0,0.5356722670639876,0.5240667929667597,0.7197259898859515,0.8085351723543971,0.6282204795597646,0.5256605876274595,0.584862297947623,0.464952750066855,1.0,1.0,0.5800839966098184,1.0,1.0,1.0,0.8357816018431045,1.0,1.0,1.0,1.0,1.0,0.5223421877380428,0.4809739089048758,1.0,1.0,0.608505347425291,0.6858126750293607,0.7895914276937783,0.5369787484844167,0.7538959341160438,1.0,0.7196277395934794,0.626711206318286,0.552943749726154,0.7525144040821342,0.5506578559153961,0.7525098463303089,0.8650186926659683,0.8291082113650232,0.7346992551060259,0.6857689778325493,0.6331761657706363,0.5943648655651721,0.7270771793929073,0.6936167198159495,1.0,1.0,0.6661657729601959,0.5696107357397269,0.8597469533811687,0.7904211833090145,0.6332473444891661,0.6035902000894375,1.0,0.37273013436052105
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),0.7776631021352017,0.4368906763780416,0.4751516731870997,0.42008134407280495,0.47877813902932176,2.220446049250313e-16,0.5310108951429721,0.5558349525469237,0.36526540900047766,0.5570777267195361,0.48612902081684395,0.6631704306490345,0.6967370245091611,1.0,1.0,1.0,1.0,1.0,0.4207095706695131,0.37383068030697864,1.0,0.5269997374799615,0.42320005954051665,0.6789787354008856,0.4577885724872688,0.16950535043431103,0.5395527646680345,0.611052367263978,0.4925376851639326,0.4844014823625602,0.6627657497968613,0.725237216667926,0.6218937921494526,1.0,0.3959961531843408,0.4700151967377969,1.0,0.5307408917802003,0.5323039668837821,0.707652077870176,0.8103610560518182,0.610871158837944,0.52912776755871,0.590174208607251,0.4594073586593158,1.0,1.0,0.5481509242655238,1.0,1.0,1.0,0.8330870972239287,1.0,1.0,1.0,1.0,1.0,0.5149188854890772,0.4738705671867942,1.0,1.0,0.5784613194948119,0.68499161893998,0.7818535618632584,0.5072816785553792,0.7428887640727151,1.0,0.7185490942589998,0.6084904673372792,0.556792371121933,0.7346403306615783,0.5563144135166116,0.7512321582088909,0.86101494765719,0.8143213779912513,0.7199228098032205,0.646941020185464,0.6127819919913695,0.5657751670526256,0.7185970760927994,0.6521151164632926,1.0,1.0,0.6597606485464106,0.564102881404717,0.8464000793248108,0.7903977406939819,0.6222151970705616,0.6015347151438029,1.0,0.346794439844195
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.8112887711549532,0.5157254358176289,0.5438279221084272,0.5107861569592962,0.5477790714369324,0.5310108951429721,1.1934897514720433e-13,0.6316135234258136,0.4610172414142486,0.6285672954057944,0.5717167560939663,0.7132079778531613,0.7489198244886653,1.0,1.0,1.0,1.0,1.0,0.521221761088589,0.47152654373257785,1.0,0.6133766968959575,0.5066104313093112,0.7373087031445387,0.5653595922243945,0.5644082379236867,0.6105493221577203,0.6818634048423486,0.5848259670618258,0.5728023416856791,0.7436147531282257,0.7756174208561939,0.6733563915138918,1.0,0.4928259674162674,0.5542613489643877,1.0,0.6059666953326759,0.6003883684711081,0.7452894732132869,0.833038273941697,0.6786471497849762,0.5985751167296303,0.6474632571652661,0.5450915900921376,1.0,1.0,0.6128731967029336,1.0,1.0,1.0,0.8517146567887551,1.0,1.0,1.0,1.0,1.0,0.5929459163607075,0.5577578109684906,1.0,1.0,0.6652323916201612,0.727540694229446,0.8207593888538449,0.5884001434159887,0.7905440464420531,1.0,0.7660257336308851,0.6751471875497477,0.6210062384458939,0.7853407857059727,0.6198790538689298,0.7826394339076228,0.8831216370304641,0.8482879412867574,0.7730568497270085,0.7162356924135125,0.6765372290525237,0.6394320379448573,0.7613382708518687,0.7219210881440687,1.0,1.0,0.7137478309443757,0.6348645236544205,0.8733472571939295,0.8216085087866838,0.6865379369210487,0.6681688289337084,1.0,0.45768950926981766
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),0.8151976893597963,0.514323776971207,0.574274162173289,0.5357668146319229,0.5741782343581966,0.5558349525469237,0.6316135234258136,0.0,0.47874455810057814,0.6092817519518421,0.57660871750718,0.7283487469578583,0.7718611985624331,1.0,1.0,1.0,1.0,1.0,0.5358661342100265,0.4639439620078263,1.0,0.6049862253427527,0.5426137484598199,0.7479601211461808,0.5826263320226208,0.5672408396743533,0.6296125057382611,0.6799115554118489,0.5798232377282053,0.6032169158157493,0.7199951475101858,0.797250896485701,0.6918708206602551,1.0,0.516689240049544,0.5796850682843617,1.0,0.5836099660305929,0.5998313254073142,0.7621682004981611,0.8286947967453177,0.6749209013863139,0.5867718680764789,0.6051293428511328,0.5630301553067725,1.0,1.0,0.6186174806719926,1.0,1.0,1.0,0.87511686220393,1.0,1.0,1.0,1.0,1.0,0.5823945551992376,0.5374364631577961,1.0,1.0,0.6580898545617759,0.7432595638549866,0.8400453841933399,0.6155865762481421,0.7943672853233696,1.0,0.7710722011359142,0.682767078880629,0.5873744437001479,0.7548738226535325,0.5988329234490347,0.7980618252467172,0.9020036879863504,0.8548267257108149,0.7669915762912314,0.7263605358717893,0.695297831057952,0.6723764979717423,0.7771422237618488,0.7192877392981695,1.0,1.0,0.7115147155381534,0.6111019235362705,0.8639980206039659,0.8083357150007926,0.691164960780329,0.6402562308761028,1.0,0.4694632750221195
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),0.734256533592563,0.3254754863627376,0.38772504447014045,0.326933013506312,0.39461525661929786,0.36526540900047766,0.4610172414142486,0.47874455810057814,0.0,0.4857657555109345,0.4048513906646889,0.6077364870381998,0.6626395987576399,1.0,1.0,1.0,1.0,1.0,0.337632502973396,0.25775878943528374,1.0,0.4550939337445169,0.3352775264977581,0.6479182549463094,0.4090564017317677,0.3965293050039076,0.4716917343401149,0.5555626411421257,0.42591461738070047,0.41367034911756595,0.6323661025074274,0.6924933299232506,0.5610028479822513,1.0,0.29791616517295993,0.38981340591784086,1.0,0.4406487279288228,0.4515182109794369,0.6594646420081471,0.7794195118063565,0.5376043906682108,0.4345221033781407,0.49115949490936295,0.36763108875780837,1.0,1.0,0.47639863461800924,1.0,1.0,1.0,0.812632904963315,1.0,1.0,1.0,1.0,1.0,0.4239452210910132,0.37253338269058534,1.0,1.0,0.5327373335606971,0.6310352052197962,0.7518958134767443,0.4411051897185083,0.7099550140012756,1.0,0.6795915576332741,0.543027006154049,0.4629272845111576,0.6901460696932453,0.47011335891646877,0.7068096492541671,0.8423043040649936,0.7920901140665029,0.6774112084921289,0.6071484640348451,0.5532301999293668,0.5110122510833043,0.6741981874450116,0.5971977831282089,1.0,1.0,0.6131807890924289,0.4766623143505575,0.8271212495275753,0.7497194933290705,0.5581291194121359,0.5253151250790433,1.0,0.2575927626116088
Theta-fragment of Egils saga-AM 162 A θ fol.,0.807804018318549,0.49343249019080593,0.5756798694549803,0.5380367856922348,0.5826473701999231,0.5570777267195361,0.6285672954057944,0.6092817519518421,0.4857657555109345,3.2085445411667024e-14,0.4796237165681234,0.717659535764984,0.7663584916633654,1.0,1.0,1.0,1.0,1.0,0.49977344640766563,0.44942402881052723,1.0,0.588285875717353,0.5139783985945502,0.7369962923722468,0.5466982664859995,0.5538462951376846,0.6234805374064174,0.6683982055923838,0.5700005954258575,0.584644007173708,0.7149553392001258,0.7775132209625608,0.6714205131585756,1.0,0.49737767572292746,0.5645752098598924,1.0,0.5855716422892223,0.5936331370288328,0.7551301186530368,0.8268499133042364,0.6667061136844306,0.5838626417977746,0.6091840333762475,0.5434284354580076,1.0,1.0,0.6012862713359082,1.0,1.0,1.0,0.8592330155230761,1.0,1.0,1.0,1.0,1.0,0.5807784606578646,0.5329749853430685,1.0,1.0,0.6320524352861701,0.7293998705055711,0.8251585574396217,0.5904578843487028,0.7825903555009383,1.0,0.7623507049713094,0.67382943426695,0.5794627562475846,0.7533234271206256,0.5842606390577546,0.7890349953033866,0.8899721582706724,0.8518598492273629,0.7616747171010912,0.7130859944205747,0.6864988206474769,0.6475469656560884,0.7650204357703558,0.7110785068562593,1.0,1.0,0.7122868363777766,0.6097566786308415,0.8587145920152273,0.8049286311271944,0.6850010389977883,0.6358257536688807,1.0,0.3520254312391542
