,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,6.661338147750939e-15,0.48391006157960836,0.5379386821917429,0.49755787968294085,0.6970415989826586,0.7920227394208288,0.6174020517450893,0.5204323156099435,0.5231506610755485,0.3190563938625335,0.7599245306961095,0.6156721778284149,0.5104465733275628,0.5006930426276168,0.36760140773638783,0.5222782491934546,0.78380030710358,0.7292805353418099,0.8660532318936726,0.78582388272099,0.6900132323342896,0.6678447074008409,0.5687830657935309,0.37740614628452784,0.9091369357441181,0.5874132916855861,0.7277443307997966,0.5376723533895621,0.4592825620916202,0.4989402979847718,0.9216571424770277,0.5963424632769632,0.5056402111429077,0.8335974218520534,0.40538055866683553,0.5261964551984414,0.5044810961291626,0.5189126054460009
Breta sǫgur-AM 573 4to,0.48391006157960836,0.0,0.5210345770533382,0.5610336225522075,0.5504963848319477,0.6769938938333457,0.6251669756540679,0.4960845764577446,0.508802358401782,0.36487886427254235,0.713778011067109,0.5340101990912938,0.49664292689985745,0.4824919031803018,0.39932388532692176,0.34964537524217953,0.6815751239825995,0.6343006837046222,0.8404424593175401,0.7581453399870656,0.5839092630338854,0.646109820577629,0.5322836757151947,0.32838275240330084,0.8553644209863382,0.5017966510306879,0.6403962482670601,0.3262126025032115,0.3555688671724365,0.25940490679394934,0.8773492579934102,0.4229675116054521,0.4458547132331441,0.7829197834063849,0.3574729833729027,0.6367475084941493,0.4664505061242834,0.5026915458219439
Karls þáttr vesæla-AM 557 4to,0.5379386821917429,0.5210345770533382,0.0,0.5374809281529538,0.6648557608205796,0.7677937845198943,0.6066908178805923,0.5916193865852195,0.534118857996998,0.4306429259944097,0.7309625089463885,0.6069302523631865,0.6765889137015606,0.520493416173841,0.4514390973196738,0.5992884115550807,0.7573546322367919,0.7167048786823981,0.880513354695508,0.82991855276432,0.6765139527910069,0.6668630389624965,0.6264545518761115,0.48874360773739,0.8633457513502474,0.6219882235931,0.7203122971652405,0.56831833829203,0.5157098518478764,0.4905055117846848,0.9207665816969659,0.6700651409145745,0.5479002845823799,0.8430922497019006,0.4911809565690497,0.5122552978945532,0.5626666985161795,0.5639549441651721
Hróa þáttr heimska-AM 557 4to,0.49755787968294085,0.5610336225522075,0.5374809281529538,1.2212453270876722e-15,0.7224671506955789,0.8054018104435443,0.5385073147112385,0.5793164342033914,0.5146379512857631,0.4380191486330075,0.8006424722185594,0.6050783056644367,0.7124177035852495,0.5459670941675385,0.46211389674545233,0.6535094777053603,0.7942942520998807,0.7609174576882701,0.9069441799196303,0.7652943926227077,0.7069658218344603,0.6862134304942762,0.6397071253546125,0.481170022466919,0.9092376170153044,0.6376108395376663,0.7249303130685538,0.5978775973438396,0.5776213863339559,0.5170445623068424,0.9283266394091403,0.6805562919120494,0.5317090998271512,0.8545619517161033,0.5705426779413119,0.5059046925137576,0.5509885947138133,0.5706427327005938
Old Norwegian Homily Book-AM 619 4to,0.6970415989826586,0.5504963848319477,0.6648557608205796,0.7224671506955789,0.0,0.5671921369203352,0.7153739107938607,0.6868606808319959,0.6769908551056958,0.6107276603720078,0.8288057551085455,0.7451098371261746,0.6823910819621894,0.7152630895421364,0.6265639035182553,0.6748849279422757,0.5655945817958108,0.7051707187104044,0.8864092981762997,0.8453507786778911,0.6784445409863578,0.7012758619972781,0.7198163337409079,0.592098053480526,0.728655373236462,0.6499302754822952,0.436341881586347,0.6324032750684284,0.6246709463583017,0.5183389837775505,0.8984591161949051,0.5935220532149007,0.67643710095039,0.7983956322877063,0.5963137124938829,0.769992817075914,0.6600532272707624,0.6604912733059556
Prosper’s Epigrams-AM 677 4to,0.7920227394208288,0.6769938938333457,0.7677937845198943,0.8054018104435443,0.5671921369203352,0.0,0.7323514743352734,0.7520968103414218,0.7082248748730025,0.731390866145129,0.8825473742413555,0.7853721159156378,0.8119617654906832,0.7743438084019729,0.7316865347507551,0.7922782540433841,0.48338741673191665,0.7122386329490178,0.8511585139039117,0.8282339317857446,0.6537782569996,0.7933085927060671,0.8057200412723463,0.6740128213684244,0.7010410520015394,0.757056405454198,0.48675858055958965,0.7134974466605453,0.7604626533748231,0.5455535235066367,0.8639415653468341,0.7226456739430205,0.7762240896575162,0.6544276162290565,0.7583094838679272,0.870145618104357,0.7166863527790208,0.7508841436217673
Pamphilus saga-DG 4-7,0.6174020517450893,0.6251669756540679,0.6066908178805923,0.5385073147112385,0.7153739107938607,0.7323514743352734,0.0,0.6235728047174474,0.5012945640269186,0.5669674825733352,0.8602331786268381,0.6434376291977808,0.8315036153886041,0.6658239123257421,0.5427044611989251,0.8232534762677881,0.7745492655990114,0.8121485976594522,0.8776435642087912,0.7930997985553778,0.7536041863985051,0.7855288983036393,0.7477860724526764,0.5749057377181143,0.887730436127255,0.7150102007772581,0.6036461911178463,0.6202013776961837,0.6969845376277831,0.5367156791013563,0.9279305677070974,0.7405653785137989,0.6313983314192171,0.8553932638601356,0.6913996412254464,0.6215195103970127,0.5990689568054951,0.5962323496259769
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.5204323156099435,0.4960845764577446,0.5916193865852195,0.5793164342033914,0.6868606808319959,0.7520968103414218,0.6235728047174474,5.662137425588298e-15,0.4686310812315637,0.44561742808658256,0.8002600506232315,0.628610861019363,0.6015435168312536,0.538995686099474,0.36498557176117696,0.5780183102622334,0.7493598118652995,0.7150162402858766,0.8450204440186732,0.7485345012303284,0.6862983567503251,0.7522572613424025,0.5135938481374902,0.3518780470894094,0.8763995505486419,0.5100929404411223,0.7281539449698469,0.5370186114999769,0.4995875465684999,0.4687612290450701,0.9214149207953228,0.6282673315708576,0.5891810387567978,0.8323933104571469,0.47370123553714083,0.6615049619357547,0.4445316409785095,0.5311703856280505
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.5231506610755485,0.508802358401782,0.534118857996998,0.5146379512857631,0.6769908551056958,0.7082248748730025,0.5012945640269186,0.4686310812315637,1.3322676295501878e-15,0.45186576236631515,0.7936528122300687,0.5806315612102542,0.6826756341790784,0.5527927663588453,0.38474816150289304,0.6622115232163976,0.750410797491831,0.6936280587043012,0.8538976751360143,0.781503583503161,0.6438479046605352,0.7427737943669757,0.5994192658208045,0.3601737120792833,0.8743614545483219,0.5369805372678909,0.6550984958855195,0.5270914358940979,0.46259321575253476,0.41614217276751797,0.9092742063869733,0.6649549908618364,0.5659906162521797,0.8328309562174904,0.5477433942679502,0.5970139511264394,0.39669839246263483,0.4687101956802242
Hallfreðr saga vandraskald-AM 557 4to,0.3190563938625335,0.36487886427254235,0.4306429259944097,0.4380191486330075,0.6107276603720078,0.731390866145129,0.5669674825733352,0.44561742808658256,0.45186576236631515,0.0,0.7165315845170244,0.5692826843404193,0.5049322599262862,0.40228695819136495,0.17696031642874888,0.42983838067207436,0.7184688454635417,0.6501918513941252,0.8276008735090474,0.7344346926612717,0.61342334790955,0.6071784045559219,0.5055693705735371,0.2831918251399481,0.8821477235110363,0.5012505565525043,0.6524081236265468,0.4276987015239704,0.34404053399253653,0.3741728686405009,0.8998367304197442,0.5384544423142381,0.444495644743959,0.7950178297040761,0.3544756037053056,0.48067112493609954,0.4164885234708734,0.44232390321244575
Sveinka þáttr Steinarssonar-AM 557 4to,0.7599245306961095,0.713778011067109,0.7309625089463885,0.8006424722185594,0.8288057551085455,0.8825473742413555,0.8602331786268381,0.8002600506232315,0.7936528122300687,0.7165315845170244,0.0,0.8337863700893539,0.7903314602566456,0.7404804785157311,0.7336485189476515,0.70250189449489,0.8706915090409693,0.8800043918329249,0.9230037304374186,0.9034496056900154,0.8380341316719614,0.8379536865117654,0.8168125070837183,0.7256366431430602,0.953096972138181,0.7935320167194391,0.838831779334191,0.7791698417637489,0.7267222522789536,0.6994494536626227,0.9420983001468921,0.7716585144336137,0.7309252902512214,0.9094780290387677,0.7571943942925436,0.7909225855603914,0.7867983696842186,0.8095716885596111
