,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Eddic poems-GKS 2365 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to
Alexanders saga-AM 519 a 4to,5.4511950509095186e-14,0.13723830834193007,0.22666606292758085,0.30923919172077663,0.3523179009364218,0.6491131895329142,0.7144999251996589,0.2622383228005717,0.3381714415559116,0.4480189604866526,0.44805235097634266,0.7547836545974504,0.9586148272641831,0.29863861431525407
Breta sǫgur-AM 573 4to,0.13723830834193007,2.1649348980190553e-14,0.20535455686470538,0.37066029047185933,0.3770509811681736,0.7000353290890645,0.725206493275266,0.3582737471550618,0.3770865684675839,0.45367374841778296,0.5146525582252728,0.725512915643705,0.9523349338048824,0.3360033039845355
Trójumanna saga-AM 573 4to,0.22666606292758085,0.20535455686470538,2.4424906541753444e-15,0.4470351891591827,0.454450358451151,0.7201716782401951,0.7453261290021531,0.43189309816121035,0.4514374862127132,0.5127254999763493,0.5261466548226224,0.7555895642199334,0.9652934592926675,0.3973606706672129
De virtutibus et vitiis-AM 619 4to,0.30923919172077663,0.37066029047185933,0.4470351891591827,1.887379141862766e-15,0.3379438955436401,0.7029215884044218,0.6685676498869011,0.3119556394341366,0.3419706993862912,0.5210243437595343,0.4865246725101614,0.779660134742179,0.9669327351343223,0.39699752740056904
Old Norwegian Homily Book-AM 619 4to,0.3523179009364218,0.3770509811681736,0.454450358451151,0.3379438955436401,8.548717289613705e-15,0.6963399176230098,0.6577368526190749,0.37650173987262003,0.37127640056320466,0.5683855730698951,0.5633489143865437,0.7841959288710529,0.9344099017370674,0.4684228086393154
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.6491131895329142,0.7000353290890645,0.7201716782401951,0.7029215884044218,0.6963399176230098,0.0,0.8626611928695385,0.6133431733113962,0.7029943065785436,0.7625452730683859,0.7412861615069599,0.8649241970520551,0.9951118047880528,0.6737035048962329
1. De xii abusivis saeculi-AM 677 4to,0.7144999251996589,0.725206493275266,0.7453261290021531,0.6685676498869011,0.6577368526190749,0.8626611928695385,1.6653345369377348e-15,0.6461757594996892,0.6391850675496322,0.7677771810193885,0.8067925897457774,0.8720253335337749,0.9742583007229991,0.7204364608031645
2. Prosper’s Epigrams-AM 677 4to,0.2622383228005717,0.3582737471550618,0.43189309816121035,0.3119556394341366,0.37650173987262003,0.6133431733113962,0.6461757594996892,3.774758283725532e-15,0.3099816465371472,0.4517937179207475,0.5428684893725002,0.8069718379210398,0.9668640921607272,0.37299212409265325
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.3381714415559116,0.3770865684675839,0.4514374862127132,0.3419706993862912,0.37127640056320466,0.7029943065785436,0.6391850675496322,0.3099816465371472,1.3433698597964394e-14,0.16804593114550126,0.5853015786915283,0.7580205859108099,0.9625577333881762,0.45238257501229495
4. Gregory’s Dialogues-AM 677 4to,0.4480189604866526,0.45367374841778296,0.5127254999763493,0.5210243437595343,0.5683855730698951,0.7625452730683859,0.7677771810193885,0.4517937179207475,0.16804593114550126,0.0,0.6765775366948641,0.8248303239215843,0.9803564477567412,0.5499847257532082
Pamphilus saga-DG 4-7,0.44805235097634266,0.5146525582252728,0.5261466548226224,0.4865246725101613,0.5633489143865437,0.7412861615069599,0.8067925897457774,0.5428684893725002,0.5853015786915283,0.6765775366948641,0.0,0.7669067946733745,0.9800784461315077,0.5920164400490047
Eddic poems-GKS 2365 4to,0.7547836545974504,0.725512915643705,0.7555895642199334,0.779660134742179,0.7841959288710529,0.8649241970520551,0.8720253335337749,0.8069718379210398,0.7580205859108099,0.8248303239215843,0.7669067946733745,0.0,0.9799522403128029,0.765724762011374
Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,0.9586148272641831,0.9523349338048824,0.9652934592926675,0.9669327351343223,0.9344099017370674,0.9951118047880528,0.9742583007229991,0.9668640921607272,0.9625577333881762,0.9803564477567412,0.9800784461315077,0.9799522403128029,1.1102230246251565e-16,0.9248035974070878
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,0.29863861431525396,0.3360033039845355,0.3973606706672128,0.39699752740056904,0.4684228086393154,0.6737035048962329,0.7204364608031645,0.37299212409265325,0.45238257501229506,0.5499847257532082,0.5920164400490047,0.765724762011374,0.9248035974070878,1.9984014443252818e-15
