,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,"Kristinréttir, Landslǫg Magnúss Hákonarsonar, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, 
                     Magnus Lagabøtes landslov, Magnus Lagabøtes bylov og rettarbøter-AM 60 4to",A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Birgitta Andersdotters bönbok-Holm A 80,A fragment of Maríu saga-NRA norr fragm 78,Codex Wormianus-AM 242 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,"Kristinréttir, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, Magnus Lagabøtes bylov og rettarbøter-AM 78 4to",Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 A,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Legenden om Barlaam och Josaphat-Holm A 49,Codex Runicus-AM 28 8vo,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Thómass saga erkibyskups-NRA norr fragm 66,Landslǫg Magnúss Hákonarsonar ok Farmannalǫg | Magnus Lagabøtes landslov og Farmannslova-DG 8 I,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"Various texts, including Eufemiavisorna-Holm D 4","A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,Vǫluspá in Hauksbók-AM 544 4to,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Landslǫg Magnúss Hákonarsonar and amendments (skipan) | Magnus Lagabøtes landslov og rettarbøter (skipan)-AM 302 fol,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,Thómass saga erkibyskups-NRA norr fragm 67,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,Virgin Mary’s complaint-SKB A 120,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,6.306066779870889e-14,0.8030501276918706,0.5564997798950699,0.5831123873901067,0.8710345499846472,0.8981232691609882,0.7607580313134673,0.7754500117791573,0.9117576223328747,0.9424041406540916,0.8905406524617683,0.43571598149489976,0.7757858846343766,0.6653939784055081,0.9178148983779331,0.9003092482570102,0.9217968145001715,0.9796695608248801,0.925103001008908,0.9906943187162768,0.9007178073598328,0.8691769862951396,0.9255898481026623,0.5793420086052768,0.8600544399873152,0.5240024397934694,0.7813600948740892,0.7498941137057262,0.9193579527772324,0.8832134461310887,0.9628208192045602,0.903111686479116,0.916307216448422,0.8514285809746978,0.9712381808699438,0.9061693188267701,0.8803668016975319,0.7427762419506505,0.9785304319423378,0.9999939192009469,0.7727863213206955,0.9414677425526878,0.9121757173779957,0.9251864928998319,0.9567030640233568,0.8534671269924631,0.9878713544602713,0.9326647406681857,0.9082741825508697,0.9338140843124771,0.9457961480063627,0.9243655969511682,0.9138183507109132,0.7357250917709488,0.8232470801507054,0.908289232470249,0.9290208337051907,0.8232434091837154,0.9510217268762245,0.8673241122166775,0.9758855981876218,0.8043756782609247,0.8229468574543293,0.9455123688892809,0.9307239232488307,0.9247669263340366,0.7898855628793168,0.9154073169069362,0.8976667961033212,0.5532256233072923,0.9311137850855143,0.8680450881723287,0.9426440067801112,1.0,0.5063761283676829,0.6530528235594464,0.9233234231956109,0.7450948891737808,0.820622893141133
Breta sǫgur-AM 573 4to,0.8030501276918706,4.7628567756419216e-14,0.8392875322762398,0.866021097597055,0.8184672769562222,0.8242101450157404,0.8024009714403046,0.7824605597426986,0.8705664890398689,0.9151534287468375,0.7120325552236813,0.8157762531998191,0.9261471974047635,0.8760283969772428,0.5823746640825668,0.6456802331434426,0.9112649401477126,0.8103299532948134,0.5961326221215484,0.7062873334759655,0.8245175396979441,0.6867411927768381,0.609445345527416,0.8489063521375905,0.6651734767115371,0.8448649296823167,0.8191288183836498,0.7783401405652512,0.5805188420568983,0.7547030432574061,0.7456814122433115,0.7456475922166308,0.8777099960209125,0.8451415437692238,0.944109296659365,0.8794816404277332,0.7330755390614503,0.9083753158753887,0.616798761015018,0.9999945499308432,0.8222677896980529,0.7804768688866437,0.77615882750438,0.9169850430028568,0.9497325332031066,0.8211381679061837,0.8343629948813617,0.8967840321760505,0.8864686113130317,0.9338585858247825,0.9434216000740354,0.7702985449061457,0.6441947205355123,0.7694368465627827,0.8387360411258904,0.7872024137150253,0.7816508093472047,0.8418267812134738,0.9217995977835808,0.8628466263180103,0.966640853568639,0.5333752601943076,0.6380193101011465,0.9223680659611204,0.8115650964854308,0.9568059637522968,0.5675592169115129,0.5882420790214435,0.7347894490003491,0.8401914453128918,0.920579578430971,0.8515893331451827,0.7373340114645275,1.0,0.811756237307531,0.8644692509869089,0.8325936057145128,0.7677732615821523,0.8591336341527192
Karls þáttr vesæla-AM 557 4to,0.5564997798950699,0.8392875322762398,0.0,0.6493144537269708,0.8748003085074734,0.8934313842629078,0.7944444288384898,0.7990850620235295,0.8906744495761096,0.9515078184141247,0.8770419389631137,0.5725673658791939,0.7784238382866502,0.724119474350124,0.9222053798742232,0.891980728034516,0.9345639813400964,0.9803158019049104,0.9199775438712741,0.9928119458767808,0.9149786771842547,0.8479104382473669,0.915763190071072,0.6731970393076366,0.8565988863483516,0.6000640820511723,0.810955195593406,0.7938592666432056,0.9151765688338155,0.8689326128414516,0.9716136328701328,0.9130238267424173,0.9223345804571931,0.8670460581250424,0.9699673739384745,0.8912576608003597,0.8626357115106569,0.7478343953469087,0.9886608390874604,0.9999814809574071,0.8052981442586464,0.9353061224883177,0.8964666877374627,0.9295013844806197,0.954180461767681,0.8426626242202406,0.9893940588452317,0.9266552483534815,0.9261588652976568,0.9401414816952313,0.9537149886114387,0.9353615503678311,0.9259292416855879,0.7723512073821855,0.8510894824597766,0.9005897229053741,0.936806046953227,0.8388384811573424,0.9474525364669438,0.8842980865556295,0.9756230043077445,0.8474695172351798,0.8398715093296921,0.9356676943079006,0.9327825571033274,0.9315009191733088,0.8215433760873548,0.906836921069813,0.878338094122048,0.6182087912076184,0.9174771760164925,0.8462682812476502,0.9454891336444919,1.0,0.5866869601505159,0.6578447632675565,0.9228834903116278,0.7719880379354306,0.8400680887958858
Hróa þáttr heimska-AM 557 4to,0.5831123873901067,0.866021097597055,0.6493144537269708,2.220446049250313e-15,0.9168014608499426,0.9256541521714798,0.8134615644222457,0.8230541929355478,0.9353941444954176,0.9619873150155038,0.9261912287392914,0.6244543823901864,0.8276814435521369,0.7626873029261061,0.9428732474243964,0.9353500206235236,0.9480576949193112,0.9865157828940687,0.9518293053750622,0.9935407439318849,0.9316835344512007,0.9037586488886332,0.9472986652278788,0.7195800570987905,0.9110657883419971,0.6513436862240873,0.8330816740425586,0.8557577970350938,0.9441785408649428,0.9192045039468028,0.9788979036696828,0.9336385631324358,0.9401621320995812,0.8897126391514226,0.9815944402653705,0.9323121859596555,0.908778450874152,0.797183519469555,0.9848496399605812,0.9999944835493667,0.8264364829298493,0.9524885956667496,0.9368531852944985,0.9439820698897834,0.9646453161593416,0.9101879040053555,0.9905453554850561,0.9466932517867053,0.9406467801098108,0.9525290958867918,0.9589755735009505,0.9445835947530133,0.9435282910735768,0.8002687791635019,0.8650529157327331,0.9346444157386613,0.9475725178796888,0.8723415026137129,0.9636434114591024,0.9153737207178505,0.9822205348146034,0.8691694788629309,0.8910032978723659,0.9644783193894325,0.9475735832385602,0.9419530909238865,0.8615720081853716,0.9431243500263138,0.9217116723021563,0.6687607955674912,0.9515170362831039,0.8985637325541144,0.9565814524882023,1.0,0.6675195238640754,0.7123663094247743,0.9483603665817414,0.7999821137338532,0.8568387254613402
Theta-fragment of Egils saga-AM 162 A θ fol.,0.8710345499846472,0.8184672769562222,0.8748003085074734,0.9168014608499426,1.7430501486614958e-14,0.6929215363835131,0.8237311415420244,0.8061696015404909,0.7923504958869421,0.9310372354957701,0.8194159116638158,0.8779571084712696,0.9484338654362066,0.9161935641474078,0.9138242403070779,0.8320395761583438,0.9169792195915522,0.9649527618358164,0.8915999448722834,0.9788540255208,0.8920756428269816,0.8371804244057075,0.8833370728251115,0.8837462845073946,0.8313702037062634,0.8765998130056101,0.86230283046781,0.7791685171913028,0.8887352906545254,0.8114639967644444,0.9521997089535754,0.8906912827086458,0.919737391646148,0.892549691048413,0.9459844306949142,0.9186790167934608,0.8109650195588499,0.9021716256283813,0.9705520709984322,0.9999670533375634,0.8491931465832947,0.9248688768454064,0.8809091515373144,0.89663329445049,0.945628438326668,0.7021186209020321,0.986529848600816,0.9024416149866041,0.9011841881104224,0.9480944214775214,0.9558983161932786,0.9203237928296782,0.8501441084761654,0.8034979800087564,0.8836033005269007,0.8876799043932029,0.9256034824150245,0.851829520123716,0.9536453656637122,0.895385719682765,0.961955077113953,0.8652611537083048,0.8817337122746725,0.905133886391925,0.8360729526281803,0.9413658101815872,0.8376482739475404,0.8835601749353508,0.7677454321472685,0.8782245282705207,0.8956531345341336,0.737864293226278,0.9213731523015785,1.0,0.8335109271566357,0.9133027587396885,0.8688086032289605,0.8075635966388522,0.8928894483468329
Pamphilus saga-DG 4-7,0.8981232691609882,0.8242101450157404,0.8934313842629078,0.9256541521714798,0.6929215363835131,2.5868196473766147e-14,0.8412616929949733,0.8374315902835671,0.6691568114890079,0.9287392261966229,0.7930143910113377,0.9077064946546451,0.9510725401546446,0.9248336500695143,0.9032842785700309,0.8435277999589679,0.929532455256513,0.9581413448497569,0.8574973443589721,0.9718472702409225,0.8912035294977958,0.823866259732946,0.8440315998655945,0.9117970676339697,0.8382063582269053,0.8900131037321138,0.8787619928318898,0.8752467950091711,0.8550685256494248,0.7739863005507277,0.9459406019906972,0.8910093955224551,0.9057110301781843,0.8959814306122126,0.9474531116672991,0.9290936692091228,0.75305004972125,0.9116858365205689,0.9619037829339191,0.9999608182897584,0.8728611807025508,0.9176091089903523,0.8513862319377162,0.8724072518943473,0.9224607298629217,0.8021352507286179,0.9657975556267769,0.8697011243845627,0.8877112954375868,0.9432875500633477,0.9608906305301942,0.9263486247333715,0.8266737739523795,0.8250500196339761,0.8927917602815247,0.8612104037703762,0.9300718478872739,0.8632293278974128,0.9429893164534605,0.9167421890223624,0.9450425843511124,0.8649914331253608,0.9083079272373029,0.8807974998032722,0.7788268086214895,0.9183118897368797,0.8377533916872395,0.846121933598776,0.7003026519384864,0.8796838835942956,0.868657998120886,0.6794865056543095,0.9182418813718792,1.0,0.8566927857845175,0.9226634688281672,0.8440562317638401,0.8307039225658266,0.9100717677357713
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.7607580313134673,0.8024009714403046,0.7944444288384898,0.8134615644222457,0.8237311415420244,0.8412616929949733,2.5868196473766147e-14,0.49517294222557473,0.8542417492713581,0.9830192313147843,0.8751557965042815,0.7800351338377769,0.8975620875225336,0.8381793547310614,0.9348024398274534,0.9038175708586629,0.9246100035042043,0.9857676731128084,0.9345211416402758,0.987711946233699,0.9279709818731814,0.8486318538136135,0.9096858134361795,0.843259214794349,0.8699384251666116,0.8032934505287013,0.568023773772795,0.8455868228193972,0.9163308802437851,0.8590956169378918,0.9876196483096009,0.9024503596874259,0.9484342922867546,0.8834829733571995,0.9737528364477808,0.9276588911872855,0.8595474447933831,0.8831208437514677,0.9681895560570069,0.9999746556736944,0.5519672712448893,0.9412166433538288,0.8843998912345785,0.9188054756347848,0.9371246249925383,0.8393071034968524,0.974227810278966,0.9337958350456641,0.9274993032834372,0.936038960542976,0.955949572411742,0.9260382432221954,0.9241029250253516,0.44048282463061217,0.6027376897175106,0.9096486349782829,0.9280449709912783,0.8482266254504733,0.928936156217965,0.8818616529111513,0.9578455060643262,0.854616328388188,0.9101107378125781,0.9427871692888175,0.8832733304208034,0.9476330549644428,0.7981658534745077,0.913393142848757,0.8574549220526686,0.8195429807326124,0.9136109137367574,0.837729739496172,0.9438522632198224,1.0,0.770412702784228,0.8308874799818724,0.9080008153067181,0.43835621739641095,0.6921832862775985
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.7754500117791573,0.7824605597426986,0.7990850620235295,0.8230541929355478,0.8061696015404909,0.8374315902835671,0.49517294222557473,6.550315845288424e-14,0.8632523869686204,0.9841798972241358,0.8791113033517074,0.7935199218298306,0.9019769079430959,0.8466769369677657,0.9228104019025071,0.9051323543346717,0.9141012425650451,0.9866437420466411,0.9334174631833984,0.9884776729179859,0.9263172091948422,0.8417330714308087,0.9039522193001042,0.8673221309694882,0.8633503958554983,0.8227324423392743,0.5528336771569442,0.8559627998139382,0.9113473534046319,0.8753024910873628,0.9876188418594681,0.9094141012582772,0.9470542940570507,0.87405376658756,0.9776510319209367,0.9334930745959734,0.8706289738540648,0.8963222402607174,0.9701735927621561,0.9999790291184893,0.5732759761052368,0.9386578312320953,0.8781592397692415,0.9213963016441049,0.9320486587723915,0.8393356901202069,0.973982043104038,0.9390521042853142,0.9148799863524878,0.9436233933121577,0.9507946304952135,0.9213639325159491,0.9206598134963163,0.4197677146785914,0.6008474434369842,0.9060808896112905,0.926687565564174,0.8448203735183579,0.9273785577455538,0.8695118380590219,0.9519306970529766,0.8409123885850508,0.9005013170443056,0.9391295851632621,0.8812887062451431,0.9560166736918446,0.7993693203552441,0.9086599066495517,0.8551319803684068,0.8380680578003561,0.9204727266148823,0.8350382688414362,0.9379092187099229,1.0,0.7933603991756637,0.8148340804490353,0.9151688924391723,0.39358756274884454,0.6582942027735552
Old Norwegian Homily Book-AM 619 4to,0.9117576223328747,0.8705664890398689,0.8906744495761096,0.9353941444954176,0.7923504958869421,0.6691568114890079,0.8542417492713581,0.8632523869686204,2.877698079828406e-13,0.9641673331900036,0.7652780638820991,0.9203750240566858,0.9549230156252047,0.928073516300669,0.9130755553403226,0.8553395540398685,0.9375128270857298,0.9622273271613447,0.8544238442699716,0.9714794817244782,0.9161779455452834,0.7867783556353245,0.8369130157771855,0.9220346907054797,0.8305985093839465,0.8893258026731904,0.8951362454624119,0.9000071878393376,0.8523182324986306,0.7602451383647972,0.9659117331399293,0.895951637775102,0.9565396042356462,0.9225724783073704,0.9682288233367745,0.9371876829944492,0.7444103355296954,0.889469260924243,0.9647948021089127,0.9999367239533046,0.8829352630643049,0.903517746608922,0.8296313166720994,0.8554699614154359,0.9069024438190507,0.7608624757137498,0.978278665694963,0.8677177680579544,0.9139925831037162,0.9503383298834106,0.9756872772449179,0.9386457804731771,0.8768911630240874,0.8424396353391064,0.9151623254554534,0.838997096967266,0.9318992339165153,0.8532202204529868,0.9416487460961425,0.9409542702863211,0.9339191082411373,0.9087413338558479,0.9333708990475026,0.9027373542167907,0.8418912849175769,0.9111734797812591,0.8790592426705729,0.8401466551169645,0.6788776795555651,0.8780365072014631,0.8653974574392787,0.694411254113411,0.92640969609943,1.0,0.8544171078608628,0.9286361199460341,0.8102161559641153,0.8532122109655746,0.9212816114621154
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,0.9424041406540916,0.9151534287468375,0.9515078184141247,0.9619873150155038,0.9310372354957701,0.9287392261966229,0.9830192313147843,0.9841798972241358,0.9641673331900036,4.5075054799781356e-14,0.9330221490456104,0.9456984683963242,0.9818739850799051,0.9558946232714584,0.9103889825874855,0.9319310835287363,0.9689435874395023,0.9706338697873179,0.9057772503104392,0.97201979242638,0.9469378635010084,0.9186901074352187,0.909075416676328,0.944305172795758,0.9342317010946912,0.9533102781810759,0.9849419347412552,0.9213565727317885,0.9038429845175505,0.9537036401415776,0.939917065866171,0.9559749947924896,0.9429191730571787,0.9485386689990332,0.9679231508925331,0.953290186158926,0.9555901734654004,0.9687185943668414,0.9626402055266635,0.9999980984454566,0.9831597517312283,0.9528447980549386,0.9287974444677449,0.977071462774364,0.9895536489432433,0.9273875096251817,0.9851673020638791,0.963968112238772,0.9738276030743679,0.9775984891732725,0.7135642899606711,0.9590957795518597,0.9283062085896863,0.9809144270906162,0.9858570125164317,0.949432270182204,0.9669403179089241,0.9616867713800309,0.9816749436536284,0.9636211172713254,0.9928722138080764,0.9164053600084721,0.9228687869648949,0.45640672519753467,0.9566402855149109,0.9862158484961379,0.932707703799966,0.907400284108065,0.9278848995851701,0.9462362742762955,0.9578185580888168,0.9394573974823189,0.609187237449087,1.0,0.9388580489483698,0.9561520542585895,0.950747718386962,0.9809364130470878,0.9841486143514677
