,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,"Kristinréttir, Landslǫg Magnúss Hákonarsonar, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, 
                     Magnus Lagabøtes landslov, Magnus Lagabøtes bylov og rettarbøter-AM 60 4to",A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Birgitta Andersdotters bönbok-Holm A 80,A fragment of Maríu saga-NRA norr fragm 78,Codex Wormianus-AM 242 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,"Kristinréttir, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, Magnus Lagabøtes bylov og rettarbøter-AM 78 4to",Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 A,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Legenden om Barlaam och Josaphat-Holm A 49,Codex Runicus-AM 28 8vo,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Thómass saga erkibyskups-NRA norr fragm 66,Landslǫg Magnúss Hákonarsonar ok Farmannalǫg | Magnus Lagabøtes landslov og Farmannslova-DG 8 I,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"Various texts, including Eufemiavisorna-Holm D 4","A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,Vǫluspá in Hauksbók-AM 544 4to,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Landslǫg Magnúss Hákonarsonar and amendments (skipan) | Magnus Lagabøtes landslov og rettarbøter (skipan)-AM 302 fol,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,Thómass saga erkibyskups-NRA norr fragm 67,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,Virgin Mary’s complaint-SKB A 120,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,1.2673201077012068,1.0549879429596065,1.0799188741661303,1.3198746531278467,1.3402412239302435,1.2334974919419004,1.2453513655022759,1.3503759641914659,1.372883200169729,1.3345715810414853,0.9335052024439031,1.2456210375827725,1.1535978314868,1.3548541606961608,1.3418712667443404,1.3577899797098174,1.3997639521182883,1.3602227766134916,1.4076180722881837,1.342175701880982,1.3184665231210526,1.360580646711235,1.0764218583857186,1.3115292143046837,1.023721094628302,1.2500880727965382,1.2246584125426612,1.3559925905234098,1.3290699350531492,1.3876749037181515,1.3439580994057312,1.3537409031631114,1.3049356926490427,1.3937275062722878,1.3462312719787726,1.326926374519267,1.2188324265055168,1.3989499147163504,1.4142092625922507,1.2432106187776117,1.3722009638188724,1.3506855425137096,1.3602841562701904,1.3832592410848945,1.306496939906452,1.4056111513927279,1.3657706547354198,1.3477938882120561,1.3666119305146516,1.3753516990256558,1.3596805484754022,1.3519011433614003,1.2130334634880653,1.2831578859600405,1.3478050545017983,1.3631000210587718,1.2831550250719754,1.37914591459805,1.3170604482837482,1.3970580504672268,1.2683656241486025,1.2829238928747368,1.3751453515094088,1.364348872721961,1.3599756809105532,1.2568894644154291,1.3530759896670723,1.3399005904195467,1.051879863204268,1.3646345921788268,1.3176077475275716,1.373057906120597,1.414213562373113,1.0063559294481212,1.1428497920194607,1.3589138480386638,1.2207332953382943,1.2811111529771064
Breta sǫgur-AM 573 4to,1.2673201077012068,0.0,1.2955983422930346,1.3160707409535901,1.2794274320618884,1.283908209348127,1.2668077766104109,1.2509680729281007,1.3195199801746025,1.3528883388860076,1.193341992241692,1.2773223972042758,1.3609902258317426,1.3236528222893282,1.079235529513837,1.1363804232240613,1.3500110667307301,1.2730514155326351,1.0919089908244528,1.1885178446080367,1.284147608102707,1.1719566483254242,1.1040338269521948,1.303001421440197,1.1534066730442822,1.2998960956032828,1.2799443881541344,1.247669940781833,1.0775145864969684,1.2285788890074565,1.22121366864552,1.2211859745482132,1.3249226362478046,1.3001088752633243,1.3741246644023186,1.3262591303570677,1.2108472563138173,1.347868922318036,1.1106743546288222,1.4142097085869136,1.2823944710564326,1.2493813420142474,1.2459204047644326,1.3542415168668138,1.3782108207405108,1.281513299116456,1.2917917749242316,1.3392416004411307,1.331516887848619,1.3666444935130602,1.3736241116652248,1.2412079156258629,1.135072438688841,1.2405134796226505,1.2951726071268603,1.2547528949678157,1.250320606362394,1.2975567665527998,1.357792029571237,1.3136564439137162,1.3904250095338824,1.0328361536994226,1.1296187941967144,1.3582106360655573,1.2740212686493353,1.3833336284152928,1.0654193699304133,1.0846585444473524,1.2122618933220184,1.2962958345323143,1.356893200241626,1.3050588746452652,1.214359099660837,1.4142135623731036,1.2741712893544113,1.314891060876846,1.2904213309725734,1.239171708507022,1.3108269406391841
Karls þáttr vesæla-AM 557 4to,1.0549879429596065,1.2955983422930346,0.0,1.1395740026228722,1.3227246943392732,1.3367358634097433,1.2605113476985956,1.264187535157286,1.3346718320068085,1.3794983279541349,1.3244183168191903,1.0701096821159861,1.2477370222018966,1.2034279989680372,1.3580908510656386,1.3356501997413048,1.3671605475145003,1.400225554619604,1.3564494416463742,1.409121673863977,1.3527591634760654,1.3022368741881316,1.3533389745891073,1.1603422247833706,1.3088918109212284,1.0955036120900388,1.273542457551659,1.2600470361404759,1.3529054429883367,1.3182811633649423,1.3939968671916858,1.3513133069295151,1.3581859817102855,1.3168493141776112,1.392815403374381,1.335108730254086,1.3134958785702444,1.2229753843368114,1.4061727056713331,1.4142004673717736,1.2690927028855061,1.3677032737317745,1.3390046211549873,1.363452518044245,1.3814343717800408,1.2982007735479126,1.4066940384068654,1.361363469726921,1.3609987988955976,1.3712341023291401,1.3810973815132732,1.3677437993775035,1.3608300714531274,1.2428605773634667,1.3046758083598786,1.3420802680207917,1.368799508294187,1.295251698441132,1.376555510298746,1.3298857744600507,1.3968700757820827,1.3018982427479904,1.296049003186037,1.367967612414524,1.3658569157150362,1.3649182533568007,1.2818294551829028,1.3467270852474893,1.3253966154491341,1.1119431561079138,1.354604869337528,1.3009752351583188,1.3751284548321114,1.4142135623730794,1.0832238551199873,1.147035102573188,1.3585900708540435,1.2425683385112931,1.2962006702635815
Hróa þáttr heimska-AM 557 4to,1.0799188741661303,1.3160707409535901,1.1395740026228722,0.0,1.354105949215166,1.36062790811558,1.2755089685472536,1.2830075548768725,1.3677676297496886,1.387074125643997,1.361022577872452,1.1175458669694012,1.2866090653746645,1.2350605676857362,1.3732248522542025,1.3677353695971475,1.3769950580298476,1.4046464202026578,1.3797313545579768,1.4096387792138354,1.3650520388990306,1.3444393990723,1.3764437258586155,1.1996499965396412,1.349863540023207,1.1413533074592557,1.2907994995680245,1.3082490565906078,1.3741750549801734,1.3558794223283899,1.3992125668887418,1.3664834892031672,1.3712491619684413,1.3339510029618207,1.4011384230441968,1.3655124942377175,1.3481679797963,1.2626824774816114,1.403459753580888,1.4142096616479858,1.2856410719402533,1.3802091114514214,1.3688339455859884,1.3740320737812362,1.3889890684662294,1.3492130328493963,1.4075122418540846,1.3760038167001623,1.3716025518420458,1.3802384546785997,1.384901132572968,1.3744697848647012,1.3737017806449645,1.2651235348087226,1.31533487426794,1.3672193794257672,1.3766426681457238,1.3208644916218388,1.3882675617179145,1.3530511599476545,1.4015851988477928,1.3184608290449318,1.3349181981473317,1.3888688342598021,1.3766434420274198,1.3725546188941917,1.3126858026087438,1.3734076962257888,1.3577272718054525,1.15651268524604,1.3795050099822794,1.3405698285088365,1.38317132162882,1.4142135623730967,1.1554388983101422,1.1936216397374637,1.3772148464068583,1.264896923653305,1.3090750363988721
Theta-fragment of Egils saga-AM 162 A θ fol.,1.3198746531278467,1.2794274320618884,1.3227246943392732,1.354105949215166,0.0,1.17721836239801,1.2835350727907866,1.2697791946165402,1.2588490742635134,1.364578495723718,1.280168669874262,1.3251091339744734,1.3772682131206038,1.3536569463105605,1.3519054998830211,1.2899919194772889,1.354237216732401,1.3892103957542403,1.3353650773271069,1.3991812073642653,1.335721260463416,1.293970961348053,1.329162949246646,1.3294707853182706,1.2894729184486704,1.3240844482174254,1.313242422759628,1.2483337031349604,1.3332181296805672,1.2739419113636496,1.379999789096789,1.3346844441355035,1.3562723853608099,1.3360761138860475,1.3754885900616844,1.3554918050607825,1.2735501714174728,1.34325844544405,1.3932351352148142,1.4141902653727045,1.3032215057950005,1.3600506437963442,1.3273350379893467,1.3391290411685473,1.3752297541332328,1.1850051653069034,1.4046564338658232,1.3434594262474866,1.3425231380579072,1.3770217292966165,1.3826773421107912,1.356704678866909,1.3039510025121106,1.2676734437612232,1.329363231420896,1.3324262864363172,1.360590667625669,1.305242904691475,1.3810469692691263,1.3381970853971912,1.387050883791911,1.315493180300305,1.327956107915297,1.3454619179981364,1.2931148074538308,1.3721266779576866,1.2943324719309635,1.329330790236329,1.2391492502094008,1.3253109282508337,1.3383969026668745,1.2147956974127598,1.3574779204845964,1.4142135623731023,1.291132004991469,1.3515197066559537,1.3181870908402649,1.2708765452543391,1.3363303845582908
Pamphilus saga-DG 4-7,1.3402412239302435,1.283908209348127,1.3367358634097433,1.36062790811558,1.17721836239801,0.0,1.2971211917126122,1.294165051516685,1.1568550570310019,1.3628934119707636,1.259376346459898,1.3473726245212683,1.3791827581250053,1.3600247424731085,1.3440865140086293,1.2988670447424355,1.36347530616181,1.3842986273559377,1.3095780575124938,1.3941644596250362,1.335068185148461,1.2836403388280033,1.2992548632701033,1.3504051744820622,1.2947635755047386,1.3341762280389544,1.3257164046898327,1.3230622018704883,1.3077220848860631,1.2441754703824683,1.3754567255938752,1.3349227659474971,1.3458908055100063,1.338642170717941,1.3765559281535384,1.3631534537308196,1.2272326997934382,1.350322803273773,1.3870139025503723,1.4141858564486174,1.3212578708961775,1.3547022617463742,1.3049032392767668,1.3209142681448733,1.358278859338486,1.266598003100119,1.3898183734764027,1.3188639993453237,1.3324498455383522,1.3735265196299256,1.3862832542667434,1.361138218355046,1.2858256288878231,1.2845621975085038,1.3362572808269575,1.3124103045697328,1.3638708501080894,1.3139477370865373,1.3733093726130814,1.354062176580061,1.3748036836953266,1.3152881305062865,1.3478189249579526,1.3272509181032555,1.2480599413661893,1.355220933823626,1.2944136832459383,1.300862739568325,1.1834717165513324,1.3264116130329364,1.3180728341946006,1.165749978043584,1.3551692745719204,1.4142135623731023,1.3089635486021198,1.3584281128040423,1.2992738216125497,1.2889561067513318,1.3491269530594912
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),1.2334974919419004,1.2668077766104109,1.2605113476985956,1.2755089685472536,1.2835350727907866,1.2971211917126122,0.0,0.9951612354041733,1.3070897056219681,1.4021549353154952,1.3229934213776489,1.249027728945823,1.3398224416112166,1.2947427194088048,1.3673349551791154,1.3444832247809215,1.3598602895181513,1.4041137226826041,1.367129212357337,1.4054977383358118,1.3623296090690913,1.3027907382338086,1.3488408456419678,1.2986602440933723,1.319043915240579,1.267512091089231,1.0658553126693797,1.3004513238252342,1.3537583833489018,1.3107979378514947,1.4054320675931649,1.3434659353235663,1.3772685230460615,1.329272713446862,1.3955306062195767,1.3621005037714926,1.3111425893420197,1.329000258654191,1.3915383976427511,1.4141956411144625,1.0506828934030275,1.3720179615105852,1.3299623237026958,1.3555850955471398,1.3690322311710041,1.295613448137077,1.395870918300445,1.3665985767925095,1.3619833356421238,1.3682389853698507,1.3827144118810122,1.3609101683962697,1.3594873482495808,0.9385977036308816,1.0979414280529738,1.3488132820952659,1.3623839187184121,1.3024796546975015,1.363037898385775,1.3280524484455714,1.384084900621574,1.307376249125073,1.3491558381541136,1.3731621676178483,1.3291149915795741,1.376686641879289,1.263460211858225,1.3515865809104164,1.3095456632379365,1.2802679256566718,1.3517476937185788,1.2943954106038507,1.3739375991796854,1.4142135623730894,1.2412998854299653,1.2890985066951752,1.3475910472444532,0.9363292341867546,1.1765910812832152
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),1.2453513655022759,1.2509680729281007,1.264187535157286,1.2830075548768725,1.2697791946165402,1.294165051516685,0.9951612354041733,0.0,1.31396528642788,1.4029824640558985,1.325979866628238,1.2597776961272626,1.3431134784098546,1.3012893121575866,1.3585362725392494,1.3454607793129372,1.352110382006634,1.404737514304122,1.3663216774856104,1.4060424409795436,1.3611151378152102,1.2974845443635263,1.344583369895687,1.3170589439880758,1.314039874475284,1.2827567519520562,1.051507182245501,1.3084057473230297,1.350072111707067,1.3231042975422318,1.4054314937836672,1.348639389353796,1.3762661763314998,1.3221601768224436,1.3983211590482167,1.36637701575809,1.3195673335256168,1.3388967400518448,1.3929634544827478,1.4141987336427626,1.0707716620318666,1.3701516932311726,1.3252616645546096,1.3574949735775237,1.3653194928458388,1.2956355121099468,1.3956948399299642,1.370439421707748,1.3526862062965679,1.373771009529731,1.3789812402605235,1.3574711286181833,1.3569523304054052,0.9162616598751429,1.0962184485192652,1.3461655838798847,1.36138720837548,1.2998618184394604,1.3618946785604025,1.3187204692875856,1.3798048391370386,1.296851871714777,1.3420143941436822,1.3704959577926137,1.3276209596455995,1.3827629396913024,1.2644123697237188,1.3480800470664764,1.3077706070778672,1.2946567559012596,1.3568144505531332,1.292314411311306,1.3696052122490967,1.4142135623731098,1.2596510621403698,1.2765845686432622,1.3528997689697353,0.8872289025373609,1.1474268628314213
Old Norwegian Homily Book-AM 619 4to,1.3503759641914659,1.3195199801746025,1.3346718320068085,1.3677676297496886,1.2588490742635134,1.1568550570310019,1.3070897056219681,1.31396528642788,0.0,1.388644902910858,1.2371564685860834,1.3567424398586618,1.38197179104736,1.362404871028278,1.3513515866275034,1.3079293207509175,1.3693157613098965,1.3872471496899683,1.3072290115126737,1.3939006289721358,1.3536454081814786,1.2544148880140857,1.2937642874783648,1.3579651620756592,1.2888743223325143,1.3336609784149118,1.3380106467905983,1.3416461439883973,1.3056172735520044,1.233081618032545,1.3899005238793616,1.338619914520334,1.3831410660057522,1.358361128939937,1.3915666159669955,1.369078290671918,1.2201723939916702,1.3337685413326796,1.389096686418276,1.414168818743591,1.3288606120014324,1.3442602029436486,1.288123687129453,1.308029022166974,1.34677573769293,1.2335821624146721,1.3987699351177054,1.3173593041065659,1.3520300167554191,1.3786503036546474,1.3969160871326793,1.3701428980024628,1.3243044687866887,1.2980289945445513,1.3528949149550134,1.295374152102318,1.3652100453165696,1.3063079426024273,1.3723328649393072,1.371826716671197,1.3666887782090387,1.348140448066119,1.366287597138846,1.343679540825555,1.2976064772631781,1.3499433171665987,1.3259406040019994,1.296261281622571,1.1652275997037143,1.3251690512546628,1.315596790387838,1.1784831387113632,1.3611830854808293,1.4142135623731877,1.3072238583050537,1.3628177574027684,1.2729620229717877,1.3063018111949662,1.3574104843136057
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,1.372883200169729,1.3528883388860076,1.3794983279541349,1.387074125643997,1.364578495723718,1.3628934119707636,1.4021549353154952,1.4029824640558985,1.388644902910858,0.0,1.366032319563215,1.3752806756414198,1.4013379214735642,1.3826746712596436,1.349362058594655,1.3652333745764917,1.3920801610823463,1.3932938453803225,1.3459400063231548,1.3942882000693095,1.3761815748665076,1.3554999870420925,1.3483882353953172,1.374267203127374,1.366917481850831,1.3808043150143352,1.40352551436819,1.3574657069199392,1.3445021268242852,1.3810891644941543,1.3710704328124075,1.3827327976095076,1.3732582954835524,1.3773443062640922,1.3913469379652041,1.3807897639821562,1.3824544646861123,1.3919185280517379,1.3875447420006077,1.4142122177702814,1.4022551492016302,1.3804671658934689,1.3629361279733714,1.3979066226142474,1.4068074843014355,1.3619012516516613,1.4036860774855644,1.3885014312119355,1.395584180961067,1.3982835829496736,1.1946248699576647,1.3849879274216639,1.3625756555800523,1.4006530099140089,1.4041773481412168,1.3779929391562613,1.3906403689731914,1.3868574341871265,1.4011958775657678,1.388251502625763,1.4091644430712122,1.3538133992603905,1.358579248306858,0.9554127120751366,1.3832138558552138,1.404432873793664,1.3658021114348082,1.347145340420175,1.3622664200406427,1.375671671785339,1.3840654305984526,1.3707351293976033,1.1038000158082124,1.4142135623731134,1.370297813578052,1.3828608420651833,1.3789472204453486,1.4006687067590553,1.402960166470529
