,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Alexanders saga-AM 519 a 4to,Vǫluspá-AM 544 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,Um tíund | Om tienden-AM 60 4to,Kristinréttr hinn eldri Frostaþings | Frostatings eldre kristenrett-AM 60 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 60 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-AM 60 4to,Réttarbǿtr | Rettarbøter-AM 60 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Kristinréttr hinn eldri Borgarþings | Borgartings eldre kristenrett-AM 78 4to,Kristinréttr Jóns erkibiskups | Erkebiskop Jons kristenrett-AM 78 4to,Kristinréttr Sverris konungs | Kong Sverres kristenrett-AM 78 4to,Bǿjarlǫg Magnúss Hákonarsonar  Farmannalǫg | Magnus Lagabøtes bylog  Farmannalov-AM 78 4to,Réttarbǿtr | Rettarbøtr-AM 78 4to,Pamphilus saga-DG 4-7,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-DG 8 I,Farmannalǫg (part 1) | Farmannslova (del 1)-DG 8 I,Eddic poems-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,2.8965718712470334e-13,0.43908361617829517,0.06247740959006509,0.8171229721424379,0.9042000043975279,0.0824024988062515,0.6292158116853668,0.7507622556582652,0.5990013705405929,0.7740329611044617,0.42538977891856244,0.3410919295495589,0.40210821863596424,0.4883887424282395,0.8081443656007892,0.8390760093158313,0.7593145242042469,0.8154310422301879,0.744245483194498,0.8283170523354161,0.9076112280632675,0.3574904303291968,0.2162393124266625,0.2890182735848714,0.17023352283824422,0.4471543094809679,0.8288665023520556,0.38092705714365627,0.6249966763478971,0.9309152498152805,0.5108914696779301,0.9704323484587318,0.5888813059208422
Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,0.43908361617829517,1.021405182655144e-14,0.43418443025752973,0.9160117502068228,0.9504946419603736,0.46534852419479056,0.7410709952430459,0.8371215747098182,0.7546403557599628,0.8524845224385634,0.6660862945470296,0.6054108908533268,0.6307097600548024,0.6109477214470993,0.9192233461023965,0.9295651184120247,0.8275196666228815,0.9021462530005029,0.8679682145517256,0.930708169115703,0.9608993724895334,0.6113177821257241,0.51805423641949,0.5605328511004555,0.5075638916627004,0.5304696969087057,0.921437654508859,0.6695678474094418,0.803819505196711,0.9580812286586442,0.7447491269971993,0.9846528583582276,0.7732347558416375
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,0.06247740959006509,0.43418443025752973,0.0,0.8370660531167082,0.9177972446501333,0.09855938598613712,0.6403116334260838,0.7561571804315576,0.6254429371490287,0.7800977052125866,0.48345144441588217,0.4000803756496373,0.4544531910299714,0.5107298774890219,0.8280296808496727,0.8538871893407073,0.7523508324537247,0.8230345290253316,0.765484170356089,0.8498493964545131,0.9175623361673451,0.3628840629928344,0.2445576091974454,0.3208599668915221,0.194918719700647,0.4437171683366897,0.8447774194844798,0.4214096181088567,0.6704640230287348,0.9342976576813045,0.553084916941549,0.9723719596382144,0.5936270242223003
Alexanders saga-AM 519 a 4to,0.8171229721424379,0.9160117502068228,0.8370660531167082,0.0,0.9436280719745213,0.8168278613573037,0.80298718462747,0.8767382597145073,0.8941876375803609,0.9399643026883121,0.8814696954908833,0.8695930606495615,0.8830920408000009,0.9116335799363076,0.6894936358335761,0.5878841885089275,0.927799897155533,0.8527843093697599,0.42893870193726524,0.4865114914366909,0.6181687261547066,0.8739288995283779,0.8307332134990603,0.8570794290861564,0.8363574067411075,0.9072002034556127,0.5582876343281902,0.8224505000983703,0.8774474863367464,0.9490164548831242,0.8657520075416598,0.9816627970335144,0.7805502332920105
Vǫluspá-AM 544 4to,0.9042000043975279,0.9504946419603736,0.9177972446501333,0.9436280719745213,0.0,0.9022812965177394,0.9262564769613608,0.953617903394601,0.9244492377789834,0.9667691622625971,0.9289749514923705,0.9238442375660058,0.933513348732599,0.9450576238065015,0.9459733221341435,0.9550998869902608,0.9771097265735461,0.9675503355198656,0.9476534726761423,0.9508168467594984,0.973538473842338,0.9298226498285905,0.9089083690052325,0.9160127689185876,0.9122406115914469,0.944683024803704,0.9519524446380329,0.8215158169100614,0.8350430655198656,0.8975359935465367,0.9095539578230049,0.9942797166060361,0.9195603207175889
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,0.0824024988062515,0.46534852419479056,0.09855938598613712,0.8168278613573037,0.9022812965177394,6.931122342734852e-13,0.6361133533017153,0.7559115139752247,0.6033652031074941,0.7738863792262138,0.4975686271933175,0.4197764667154459,0.46976951188937577,0.5319165119024739,0.7984967624464392,0.8333540901548012,0.7668988129401427,0.8157239237103211,0.7417323100266537,0.8249034674174228,0.9103674975354599,0.32726243583822545,0.18988517413055128,0.26941017213459484,0.13859821085425128,0.43537074092565675,0.8242145428136082,0.3619009263346994,0.6009363727531957,0.9308677783903448,0.5503786173336638,0.9708988701978633,0.5725595295135124
Breta sǫgur-AM 573 4to,0.6292158116853668,0.7410709952430459,0.6403116334260838,0.80298718462747,0.9262564769613608,0.6361133533017153,6.916689443414725e-14,0.48206445514302465,0.8183512699618638,0.8640765134847785,0.7046446023893622,0.6553331833627376,0.6661775921730035,0.6893784228500136,0.9091244645112443,0.9004278278769531,0.7841431828066698,0.8878060174540221,0.8003800728124773,0.8660390384167838,0.8888728778180649,0.746775743515566,0.6557947808488078,0.6425210890836092,0.6470964623844633,0.7101565143961599,0.8655012341332045,0.8054112678812237,0.8551549205443171,0.951013553610585,0.8345408496701666,0.9893907396867349,0.836368303404159
Trójumanna saga-AM 573 4to,0.7507622556582652,0.8371215747098182,0.7561571804315576,0.8767382597145073,0.953617903394601,0.7559115139752247,0.48206445514302465,0.0,0.9028469447505029,0.9146158828708151,0.794157377318629,0.7708056774282919,0.7679102701107361,0.8027826047260377,0.9431656025995158,0.9380218105800116,0.8290428312465381,0.9043337684288868,0.8474081372621036,0.908616280952979,0.92046102600514,0.83588234748207,0.7664447896072595,0.7493615503327481,0.7551809339035329,0.8171402482733683,0.9053098560062187,0.9033757820145065,0.9214659690576161,0.9701359995250077,0.9254562499088504,0.9967801122433104,0.928918360454914
Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,0.5990013705405929,0.7546403557599628,0.6254429371490287,0.8941876375803609,0.9244492377789834,0.6033652031074941,0.8183512699618638,0.9028469447505029,0.0,0.7769976094795155,0.6190888872261164,0.6074854289698189,0.64456315678811,0.6984950187907952,0.8865891885260538,0.9034663756156325,0.8897749961924418,0.9182007553182814,0.8793702525116336,0.8940019097117607,0.9355251680459614,0.6541778005685847,0.5782103557534819,0.5932742172146265,0.6528011744623182,0.7288431675592935,0.9030944877616421,0.6052767081084024,0.7202717480396035,0.9456744636352179,0.6248005033179662,0.9879928811958192,0.7304768857400015
Um tíund | Om tienden-AM 60 4to,0.7740329611044617,0.8524845224385634,0.7800977052125866,0.9399643026883121,0.9667691622625971,0.7738863792262138,0.8640765134847785,0.9146158828708151,0.7769976094795155,0.0,0.7630340400016693,0.7650227526909402,0.7890544770426395,0.7981322965050148,0.9550091002061286,0.9626551888322425,0.9074498788878806,0.959847085034109,0.9420573286903021,0.9667350035044722,0.9821960640289247,0.8272152779198139,0.7510232391895388,0.7864219190916888,0.7936579027365624,0.8298074033177483,0.9556226372012496,0.8109439346022299,0.8673867113253015,0.9715361621795562,0.8137600751348896,0.992586574541874,0.8782666991583632
