,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,Alexanders saga-AM 519 a 4to,Vǫluspá-AM 544 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,Um tíund | Om tienden-AM 60 4to,Kristinréttr hinn eldri Frostaþings | Frostatings eldre kristenrett-AM 60 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 60 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-AM 60 4to,Réttarbǿtr | Rettarbøter-AM 60 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Kristinréttr hinn eldri Borgarþings | Borgartings eldre kristenrett-AM 78 4to,Kristinréttr Jóns erkibiskups | Erkebiskop Jons kristenrett-AM 78 4to,Kristinréttr Sverris konungs | Kong Sverres kristenrett-AM 78 4to,Bǿjarlǫg Magnúss Hákonarsonar  Farmannalǫg | Magnus Lagabøtes bylog  Farmannalov-AM 78 4to,Réttarbǿtr | Rettarbøtr-AM 78 4to,Pamphilus saga-DG 4-7,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-DG 8 I,Farmannalǫg (part 1) | Farmannslova (del 1)-DG 8 I,Eddic poems-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 30 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 302 fol,4.951594689828198e-14,0.18559903149913393,0.02917170885280307,0.9068593933306104,0.8918130884026836,0.06458552072068557,0.563806021646243,0.6772133600621085,0.55644229661623,0.5890297301209618,0.3905586906729489,0.3274697026436678,0.3592278137145891,0.3586044214289251,0.935151198250306,0.9320887419712611,0.5869373282432608,0.787385230930714,0.8548270909103185,0.9680693871680861,0.9717475411727092,0.23025574706724095,0.15814980249382793,0.24487039671684352,0.10805137345012483,0.2514153483496079,0.8939510783521746,0.42590539075959954,0.6488925648700459,0.8782972213473478,0.5909190580655462,0.9122569330511348,0.6412212890064175
Réttarbǿtr Eiríks Magnússonar (skipan) | Rettarbøter frå Eirik Magnusson (skipan)-AM 302 fol,0.18559903149913393,0.0,0.18572163600863967,0.9306867983822422,0.8971742907293032,0.22580263258510525,0.5577131578483681,0.6968854435425138,0.5970358845311623,0.6253282818971309,0.501120490833532,0.44265593058251584,0.45219574577720245,0.36204642902025364,0.9498708769152512,0.94558894898313,0.6012914317094672,0.7990739058291958,0.8587221533298891,0.9757625486328005,0.9792666800470192,0.34353981062221317,0.26099993358240525,0.3369377615606435,0.2544895756321359,0.1995723326429144,0.9217228951037744,0.5443228984158898,0.7170331576508067,0.8726251926304542,0.6821603729207486,0.9381924547279771,0.6951177437697338
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 305 fol,0.02917170885280307,0.18572163600863967,7.438494264988549e-15,0.9113014743247445,0.897693523291429,0.07101146631214283,0.5681979710041443,0.679715173340866,0.582203795857352,0.5978919409384065,0.4429633409419459,0.38870644824591927,0.41273329642410705,0.39464750292841033,0.9386008046463359,0.9338324825228471,0.5854139711395545,0.7872708667057817,0.8545437495072393,0.9690404085708445,0.9717685799587619,0.23670452512268092,0.17702232585568722,0.2718420209996807,0.12449731119695484,0.252299976639038,0.8987075079320617,0.45060222823389173,0.6845398971943135,0.8812422619188601,0.6270619418807653,0.9200208042182787,0.6348194462191075
Alexanders saga-AM 519 a 4to,0.9068593933306104,0.9306867983822422,0.9113014743247445,0.0,0.9349122584253703,0.9106924912032947,0.7820170697310185,0.8505844598796544,0.9433777289311789,0.9186920811898615,0.9286117327735564,0.9153926600281848,0.9186514078926209,0.9153127737640985,0.6347743613411063,0.3786136954567694,0.8935921592080474,0.774492968761022,0.275564423555532,0.27196825331436536,0.26678887929053985,0.9341202286049592,0.9083541882779177,0.9256612255851915,0.9119956048587252,0.9287900244980821,0.4465975485757814,0.9281839609543157,0.9469274184861342,0.8952836444268217,0.9622518539932287,0.9478686133735001,0.8324106749832588
Vǫluspá-AM 544 4to,0.8918130884026836,0.8971742907293032,0.897693523291429,0.9349122584253703,0.0,0.8891426545654287,0.8479278431289703,0.8954912027430126,0.8649598323964705,0.9007075702860423,0.9086627263910269,0.8896466568541532,0.9040105793881805,0.8791846314369055,0.9660301776205737,0.9605485587960675,0.9327468480353979,0.9869725788068304,0.9854865513444054,0.9779080725316316,0.9767131315784471,0.8958422866146826,0.8907193124198193,0.8939493705923615,0.897381680508098,0.8905395483567736,0.9386107385895182,0.640218702675267,0.5850884618161261,0.7751091747078104,0.8860719948658305,0.9669962202561685,0.887552798696348
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-AM 56 4to,0.06458552072068557,0.22580263258510525,0.07101146631214283,0.9106924912032947,0.8891426545654287,0.0,0.5702368772101616,0.6815530910313378,0.5651680994803243,0.5885360816293641,0.48287717976651334,0.4210828403614981,0.44137036045393996,0.4145776060722587,0.9348333867917628,0.9334868465426673,0.5992408096671895,0.8048621011312534,0.861656539613401,0.9727472229661888,0.9786870765302464,0.185920297937737,0.12248993846000511,0.21562735244679243,0.06554468860705387,0.23201239341223379,0.8937163487198142,0.40666993627560377,0.6140290216050114,0.8800692125522577,0.6519606783517111,0.916064831776163,0.6261753666990384
Breta sǫgur-AM 573 4to,0.563806021646243,0.5577131578483681,0.5681979710041443,0.7820170697310185,0.8479278431289703,0.5702368772101616,0.0,0.14292929288151557,0.778180739259888,0.6958206262389968,0.6618884016430375,0.6070949383452522,0.5999286908525121,0.5498638319136857,0.8899866429419805,0.8598844555492122,0.5666813743544725,0.7259841710073326,0.73693617576712,0.84188931123916,0.8392390484995316,0.6533782978209155,0.56976879599945,0.5683408628790674,0.5657814757061173,0.5279123598099498,0.8211765678876419,0.8225197686640118,0.8602477913501699,0.8803889674488412,0.8529664007007874,0.9613160761314653,0.830929450583318
Trójumanna saga-AM 573 4to,0.6772133600621085,0.6968854435425138,0.679715173340866,0.8505844598796544,0.8954912027430126,0.6815530910313378,0.14292929288151557,0.0,0.893352696721019,0.7903989066213348,0.7382201493637439,0.7151097437410583,0.6918654220594778,0.6872823811885249,0.9234979426680769,0.90899046451648,0.6145450840922103,0.7249955433678887,0.7638524560576242,0.8853619841742115,0.8823323664788507,0.7651364400244358,0.676546770762737,0.6665271162315758,0.6639219917016203,0.6745944676610196,0.8584664232908236,0.9330277068985792,0.9385679863575055,0.929369539754272,0.9594241148514374,0.9868065747664896,0.9535863701971261
Kristinréttr Magnúss Hákonarsonar | Magnus Lagabøtes kristenrett-AM 60 4to,0.55644229661623,0.5970358845311623,0.582203795857352,0.9433777289311789,0.8649598323964705,0.5651680994803243,0.778180739259888,0.893352696721019,0.0,0.47985287259650067,0.5068090006307747,0.5205813851717029,0.5448478257651365,0.5468923898089367,0.9589852095175107,0.959365140314836,0.7945946476403603,0.957979756296492,0.9658698596896447,0.9820419101785978,0.977293695356897,0.5310748419661999,0.4857075705935575,0.5038677174637328,0.6053144646750319,0.5797801457568679,0.9386927757901069,0.5508015541717428,0.6471376264736323,0.869718524071878,0.5838574778212953,0.9653941248511071,0.7115216961427445
Um tíund | Om tienden-AM 60 4to,0.5890297301209618,0.6253282818971309,0.5978919409384065,0.9186920811898615,0.9007075702860423,0.5885360816293641,0.6958206262389968,0.7903989066213348,0.47985287259650067,3.3306690738754696e-16,0.543757160217605,0.5624607549375825,0.5909449828294255,0.5524149810487555,0.9551894293938914,0.9571110841446429,0.7131451974459793,0.9069833390645361,0.9317725235414736,0.9902351731005534,0.992484413528011,0.6209622429042558,0.5095136670415183,0.5844312490137513,0.6095568701124254,0.5891161451730287,0.9363303516928917,0.651328480092197,0.7266552889941321,0.8764174889068798,0.6626272424567501,0.9600958997577261,0.7763873907479453
