,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,Barlaams ok Josaphats saga-Holm perg 6 fol,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,Strengleikar-DG 4–7,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Legenden om Barlaam och Josaphat-Holm A 49,Codex Runicus-AM 28 8vo,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Thómass saga erkibyskups-NRA norr fragm 66,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"Various texts, including Eufemiavisorna-Holm D 4","A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,Virgin Mary’s complaint-SKB A 120,Óláfs saga ins helga (legendary version)-DG 8 II,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.918635220176376,0.9759937080442561,1.084219758625087,1.006201557203431,1.0289159460855097,1.2058903645178132,1.0807596418212535,0.9648805388510187,0.9918810723701056,1.2097476674165473,0.9762795412252802,1.203068388401854,1.0915375686989905,1.016956505099771,0.9246404625086504,1.190514284997984,0.9593696244963444,1.2402708835064544,1.3194461815244574,1.0198271874979692,1.1506170656587447,0.980455698632349,1.1258711817211864,0.9398159804748611,1.0239155965053688,1.180012204058349,1.185680241024296,1.1177742975064169,1.0716743757230482,1.2803795773501352,0.9749358457386251,1.1182728860545914,1.049040895130628,1.356156092163776,1.371207208614813,1.1579992236186196,1.0000000000000124,1.2036047960819154,1.2756646681476518,0.9878838950186027,1.3716759335099484,1.2346020729897178,1.152317860458834,1.4136890337103307,1.201901329552184,1.1494898032554801,1.1121699289643714,1.1285924331410977,1.2850364959667713,1.0980227681982968,1.083688494560952,1.320840566026465,1.137451300320804,0.9841655899918653,0.9008470816392898,0.9452212721924039,1.2120905657048195,1.2400356883386476,0.9698929462158816,1.0415395412761927,1.0105308938814748,1.3765770777676967,0.9858395134876469,0.9079198141636192,1.1171757102420448,1.1407075531912916,1.069013391086206,1.1751639974769836
Breta sǫgur-AM 573 4to,0.918635220176376,0.0,0.8688568284932182,1.0299871012054036,0.9495901746530486,0.955689580827774,1.1664768895938966,1.0348542735569661,0.7785623479102589,0.8173073059804643,1.1528261401085218,0.9068283097946639,1.1370070095181573,0.9945809246364108,0.8944735613696889,0.6985966696841343,1.1379959194561453,0.7647804904957922,1.1940245975365404,1.2861239485643388,0.9330830308046102,1.0584830409886377,0.861896544311076,1.087079829306628,0.7436811274026844,0.8750982531877154,1.0919350524904896,1.1136988053681847,1.021217247992751,0.9629654644399802,1.2414442500244072,0.7964296796470747,1.0493900882072151,0.8765131209708944,1.3370959784561716,1.3576575375408848,1.1081075804407399,1.000000000000013,1.1344090708158334,1.249022570897506,0.8599814608539625,1.3579897080936445,1.1694363738500977,1.0781054756928818,1.413610112145403,1.127916373441468,1.0900419515617594,1.049060015899285,1.0716914990592707,1.2528634534513274,0.9912590489755678,0.9571838567411758,1.287401434634843,1.0363408393727824,0.7854445271578501,0.7141904235901454,0.7100489219459803,1.1536793502805314,1.1782389872321666,0.7727832683051258,0.8987321086430731,0.8929616511001216,1.3642512991413844,0.8116404257008286,0.7657403464460317,1.1070103388777124,1.0210046332990816,1.0029447239917884,1.1469599158564059
Karls þáttr vesæla-AM 557 4to,0.9759937080442561,0.8688568284932182,0.0,1.0431608060517799,0.9931830287124704,0.978349528766239,1.210532950158342,1.0695775000088161,0.915780230200442,0.9211987441311462,1.1869194215334617,0.9553859765840286,1.1635543022635233,1.039524214137072,0.9609491995613219,0.8743120052273143,1.1529230276132458,0.9470540384444812,1.2422372385920084,1.3015993099114667,1.01630906068362,1.1117964971947856,0.9449084997475106,1.1227452806658018,0.8972493858877297,0.9699622670183208,1.1583522739554204,1.1514094969361859,1.0991220468233451,1.0174433770600904,1.2729812709016708,0.9028314852205388,1.0838257201345092,1.0000462320764865,1.358243557648742,1.3726961859239375,1.1646533519177762,1.0000000000000082,1.1828543703616978,1.2583056261970926,0.9535410860894306,1.3719358388601444,1.2102806912717103,1.1491950615615762,1.4132982608788383,1.1674689716840974,1.1304853321435948,1.119291059080575,1.1289849123830473,1.278473189701276,1.076257570650535,1.0537507382720435,1.3198041373499798,1.0963129494147807,0.9514100301871363,0.8437865941342121,0.8661773032585746,1.1814093249492414,1.225991100754186,0.9424134899356041,0.9665636739026477,0.9596263670394178,1.378210906369994,0.9247326919308142,0.8737977084619097,1.0591423192621416,1.1059690365778463,1.067629529218781,1.1690806960749258
Hróa þáttr heimska-AM 557 4to,1.084219758625087,1.0299871012054036,1.0431608060517799,0.0,1.1048422270689573,1.0755484168185052,1.2457616279604626,1.1315200447163727,1.0596354296437758,1.0696776631146947,1.252256352066644,1.0768369034345822,1.2465484889717788,1.146293107334352,1.1097086990141476,1.0339216295357259,1.2386529013755532,1.051575363684812,1.2879239993688856,1.3349204576244111,1.1368085543400834,1.2054726588282856,1.064258571334311,1.1741939297496387,1.0564147808258493,1.0978442487055686,1.2466629893942673,1.2372476000452697,1.182281335702458,1.126741982705022,1.302651766942309,1.0526898054982772,1.1805240472330065,1.1135262327647217,1.375511815383859,1.3851930170392657,1.1973460769355984,1.0000000000000013,1.247610883573409,1.2885211981476066,1.0824721676915896,1.3845652846618326,1.262095521681754,1.199204831466996,1.4137097096016178,1.2290790022976765,1.2028996795275977,1.1684801107970693,1.1837891125314208,1.3074374062028922,1.1566342927779814,1.1591592366240873,1.3470467383339908,1.1860054063781835,1.0809143184267989,1.0226169384451391,1.033333234195123,1.2350263060301634,1.2780537353560335,1.0682936173593955,1.1117374140130154,1.0728830456841707,1.3894060465085816,1.0758497528102005,1.042331388696307,1.1479875123863996,1.1985691575041297,1.1252772526341386,1.2076671158723422
Theta-fragment of Egils saga-AM 162 A θ fol.,1.006201557203431,0.9495901746530486,0.9931830287124704,1.1048422270689573,0.0,1.03239488769074,1.241430883467147,1.1032293283887296,1.0072460722957846,0.9869061365374149,1.2190528966813035,1.0243406775928152,1.2187227663886462,1.10573086003634,1.0464250070659988,0.9483123854967911,1.2010186839105397,1.0031599526553703,1.2631846993820428,1.3156970041650453,1.072276602771606,1.146450863790039,1.0317049892167407,1.1791929168890278,0.9630743354000535,1.0303325660933493,1.1903352226546844,1.1955652297023354,1.1424224480652392,1.0566820541731143,1.284649776375243,0.9684265667212537,1.1368588766858274,1.0542836457585867,1.3696222349823746,1.3802552445980558,1.2035356312275876,1.000000000000009,1.2158341033438431,1.2712492320353626,0.8994256038708239,1.380249475389891,1.2225784002616986,1.1685011072001676,1.4138341064894957,1.2066619575650703,1.1751588658780132,1.1687573876978647,1.1764006158404947,1.29972202927316,1.1274013207550675,1.1069042402021592,1.3325851159133497,1.1260221587077583,1.0120628543495847,0.8221960952501596,0.9287401875439204,1.1958729634289935,1.251863323913498,1.0033165052518995,1.0138083866746797,1.0385688041346288,1.3853035206985058,1.0103041085536322,0.9405776167436013,1.147030790886601,1.144779368514573,1.1255187744519957,1.204866314943265
Pamphilus saga-DG 4-7,1.0289159460855097,0.955689580827774,0.978349528766239,1.0755484168185052,1.03239488769074,0.0,1.2319913706270487,1.0925489905454426,0.982409433915785,0.9477072464652397,1.2427041751481958,1.0342358955836675,1.2337816907002452,1.0804176108065435,1.0839202703138686,0.9055741178254909,1.23026233704922,0.965091587303644,1.2814892488490006,1.3274164987347814,1.1039853207579369,1.1668753849981621,1.0455604479721323,1.1575068104294501,1.0413421415713997,1.0762187357017323,1.1937211734733228,1.2268937008102685,1.1407171751893102,1.0710111817502348,1.2733475956204934,1.0268381341641526,1.1401034910627097,1.0832989252316774,1.3604532642593568,1.3748302413372253,1.1941620856850161,0.9999999999999772,1.1819078462209565,1.2296104346023156,1.062313640446435,1.374974918641181,1.2276993812929844,1.1479465147676695,1.4139779757800575,1.214721512298128,1.157782096738762,1.1533723429102964,1.160203930866673,1.2919835762986278,1.1187959455079912,1.105249383965025,1.3248957086957451,1.1278072137645023,0.9981948123039204,0.9693061344311861,0.9504363517850521,1.1601121339120974,1.2490921846514,1.0174989619656962,1.0351534867793601,1.0407101932834721,1.3791942559323356,1.0365422275672234,0.9727369731897507,1.1134904259035132,1.1365460432759296,1.1002817719474716,1.1895806806044604
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),1.2058903645178132,1.1664768895938966,1.210532950158342,1.2457616279604626,1.241430883467147,1.2319913706270484,0.0,1.0315021927833135,1.1839335761052698,1.2177460561332816,1.3015764149988334,1.2171835114426635,1.2964425328161195,1.2547462685404784,1.226922142653433,1.179301495884745,1.3041995508375035,1.1713641291257837,1.323450658097346,1.3704743877853485,1.2320665803706274,1.3004677738651873,1.1957314772682874,1.076679307950669,1.173567459097232,1.2248239717318201,1.3095080223544828,1.298252834381091,1.2569093527769608,1.2566171249459048,1.3400030849925928,1.2096787592101885,1.2728174916462207,1.23535754522736,1.3679965526577826,1.3806060872591661,1.1021206194107378,0.9999999999999313,1.3044736611511654,1.3503007872739208,1.208890052149106,1.3790588622530249,1.335221889658369,1.2848223028928643,1.4134777940323304,1.3002471789869001,1.2782855959477333,1.038380342394461,1.0810657355276418,1.3428847364581722,1.2487940778538233,1.2364674229132926,1.358862387302718,1.2862932330396222,1.2011966560897478,1.1743444591453378,1.1929314853482178,1.3244132096281462,1.3207535181957553,1.1828027511955779,1.2584138149398938,1.2099708633197803,1.3830932159934617,1.1992648736716345,1.1769420150446048,1.280163801823098,1.2789252060395324,1.0091598694397503,1.1360075504522793
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),1.0807596418212535,1.0348542735569661,1.0695775000088161,1.1315200447163727,1.1032293283887296,1.0925489905454426,1.0315021927833135,0.0,1.0634437389736968,1.0932826587009319,1.2393980600416432,1.0915779800626366,1.2381042156886697,1.1699621348390896,1.1266450070726908,1.0501026982214754,1.2442713582312184,1.0614372875339793,1.2856196795139465,1.341748112078653,1.1355665715629961,1.2467293175584302,1.0718769531699988,0.9180603091158902,1.0502289166605878,1.1293031458151872,1.26858761877848,1.2371964017322075,1.1706742429154027,1.1365021846692773,1.3062760221372602,1.0969345342895431,1.1956232036403367,1.1350340645560355,1.353433569897108,1.3690196552939902,0.9676553577717131,1.000000000000013,1.2492118268051775,1.3062591139371638,1.0709040996164112,1.367805319572183,1.2847561918657744,1.223790125551951,1.4133758319984404,1.2349333420068156,1.2056450770584746,0.8226130675398214,0.8770540689158471,1.3096144894858692,1.156538059896754,1.1513010625755236,1.333042570498743,1.2052166696612907,1.0920529834035877,1.0178261221573488,1.0523412225480115,1.2622858442675509,1.2724032022801126,1.063353084059005,1.1538446324959435,1.0788492771925742,1.3733172075963713,1.0849062600524564,1.050348784774892,1.1782115901392785,1.210367457400104,0.7270186101221345,0.920807207120022
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.9648805388510187,0.7785623479102589,0.915780230200442,1.0596354296437758,1.0072460722957846,0.982409433915785,1.1839335761052698,1.0634437389736968,0.0,0.9202860961033713,1.1668612176372992,0.9641637867105977,1.1530299676406195,1.0224436598002875,0.930180980636118,0.6829780728386048,1.1597674001569602,0.6440857867017776,1.2119045996809032,1.3083247302793721,1.008680733202946,1.1055466387064057,0.9165194601191323,1.1008560612200693,0.8325158854369367,0.9413333764744535,1.13212425581448,1.1399880472952886,1.0565574900783135,1.0298273806608749,1.2286634156085516,0.8761365002683448,1.0910392253744932,0.7841744907260123,1.333118710706001,1.358282272839498,1.1319671803076319,1.0000000000001539,1.1573282139282703,1.2617254490126202,0.9402742871447634,1.351017188672815,1.2107404272651923,1.1053722818242846,1.4137031841095906,1.152723460808695,1.1022517865114552,1.075612459325311,1.0977353198039392,1.2623562065259208,1.0282885287294476,0.9931906687809827,1.2996168023608194,1.0070363448148516,0.8698717107543564,0.7954735290727772,0.8056490230242468,1.1812871618745167,1.2031829343798541,0.8776119240172175,0.9857139489083364,0.9493245237821236,1.3644717057282814,0.6688588478532765,0.8645006701649466,1.1085487052473615,1.0820766272435431,1.033324936138523,1.1695709603600792
Old Norwegian Homily Book-AM 619 4to,0.9918810723701056,0.8173073059804643,0.9211987441311462,1.0696776631146947,0.9869061365374149,0.9477072464652397,1.2177460561332816,1.0932826587009319,0.9202860961033713,0.0,1.209764154957439,0.9659954204556264,1.1842649028853331,1.0626989711120296,0.982804881543521,0.7421641984486786,1.1779560373191633,0.8963158800491209,1.2253498340705078,1.2534026680275228,0.9740915962664567,1.0577330882054123,0.9678113160830232,1.1556239514547795,0.8807765287018275,0.903665010205751,1.1032785636461306,1.1472989760010206,1.0753295257225772,0.9115587851281496,1.2556990878151464,0.8140825970878833,1.0489857862000604,0.9230217639319649,1.3570590698845602,1.3716582914635818,1.1724584795176487,0.999999999999966,1.1382422131658987,1.2373422082414862,0.9383023916147458,1.3721318475835622,1.144279296139671,1.1284383992247016,1.4138840182708912,1.1726332837631723,1.1440085109804585,1.129528799036053,1.132993822675541,1.2788572745232352,1.0552029749026048,1.0280564888722845,1.2880769986098872,1.0362643119473898,0.9146578228415583,0.8394159481175221,0.7723107407358496,1.115373272983522,1.1870848264703535,0.8414956780418282,0.8925165169396567,0.9633557000994332,1.377706004130038,0.9021760716614657,0.8535157659943885,1.1204930587576718,1.039757013022379,1.080717842010813,1.1774869433848618
