,Konungs skuggsjá-AM 243 bα fol,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Eddic poems-GKS 2365 4to,Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol
Konungs skuggsjá-AM 243 bα fol,2.55351295663786e-15,0.43649671351977837,0.4753882573330177,0.5212786855983984,0.5045450412310925,0.5188070458161748,0.6805983843499238,0.7709516518590145,0.4995346169510947,0.4858129692804065,0.4776263048808713,0.5820265130535633,0.45902755746172863,0.46806748991091907,0.7964824389317978,0.4654334864912577,0.9099871148266884,0.47913806596761,0.4725954239059651,0.42589759698108387
Alexanders saga-AM 519 a 4to,0.43649671351977837,4.214406601477094e-13,0.17511403263699588,0.2427017271245091,0.2578097557850144,0.2857385273278761,0.5180067857109388,0.6462655106838211,0.26043496517768305,0.18363857443261755,0.1657887875387739,0.3882366795701484,0.22334802976535817,0.2191442712503333,0.7181150413746293,0.22831421810296726,0.8638196546820986,0.22460045735504242,0.2162243148749975,0.17387790668118697
Breta sǫgur-AM 573 4to,0.4753882573330177,0.17511403263699588,8.881784197001252e-15,0.22965741881704937,0.3082740708542939,0.3105683013264754,0.5184012730521488,0.6746177831077201,0.3596617549778237,0.2710765585493099,0.2284448625469676,0.39805809607442055,0.20317092802609493,0.23465007652712389,0.7131035733376674,0.27696664680312055,0.8563059985713832,0.2672224353610827,0.20424777778862846,0.1630552990190829
Trójumanna saga-AM 573 4to,0.5212786855983984,0.2427017271245091,0.22965741881704937,0.0,0.3698371318503485,0.37103950591198287,0.5386877316032499,0.6982968767514672,0.41888770753320836,0.333829530780107,0.29056915189476706,0.42364086378445065,0.2760036202515288,0.304230371868043,0.7360630905636392,0.3508676676777389,0.8736683858923885,0.33749134843375295,0.2669613702681519,0.22610156197187936
De virtutibus et vitiis-AM 619 4to,0.5045450412310925,0.2578097557850144,0.3082740708542939,0.3698371318503485,8.1601392309949e-14,0.26650987183338504,0.5590762217572729,0.642185942669979,0.28143131443569025,0.20496168478727939,0.25200563751774274,0.41459682057616576,0.3511371925245802,0.3535734557604292,0.7484861373283049,0.3524186874994062,0.8754266891879116,0.3066278063622351,0.3638835197757757,0.24991639766302487
Old Norwegian Homily Book-AM 619 4to,0.5188070458161748,0.2857385273278761,0.3105683013264754,0.37103950591198287,0.26650987183338504,0.0,0.5394776251375242,0.6368722829088084,0.3254742446969291,0.23553794902774217,0.2945956235805093,0.45516155246166756,0.3700941759615589,0.3648813643415679,0.7396933876057832,0.38715934550260034,0.8490475210877055,0.32814597852699623,0.3698530483701854,0.2553184686104073
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.6805983843499238,0.5180067857109388,0.5184012730521488,0.5386877316032499,0.5590762217572729,0.5394776251375242,0.0,0.7946298720329132,0.5664056009874683,0.5216007884467944,0.5218164764860538,0.6431695210853863,0.559956284355249,0.571086096528204,0.8004503376809107,0.5941490422612443,0.9104083275490085,0.5241491674207355,0.5494190716993126,0.5011398822275989
1. De xii abusivis saeculi-AM 677 4to,0.7709516518590145,0.6462655106838211,0.6746177831077201,0.6982968767514672,0.642185942669979,0.6368722829088084,0.7946298720329132,3.1086244689504383e-15,0.6424621186199656,0.5989264294070111,0.6289898495231273,0.7284084912805511,0.7031938641349369,0.6948993247123196,0.8687016484715161,0.7164514533335473,0.9328229634440419,0.6711685197747275,0.6979335081588467,0.656991455603343
2. Prosper’s Epigrams-AM 677 4to,0.4995346169510947,0.26043496517768305,0.3596617549778237,0.41888770753320836,0.28143131443569025,0.3254742446969291,0.5664056009874683,0.6424621186199656,0.0,0.2297672131072902,0.26665879197982834,0.5097313491105373,0.4035861447541479,0.3817896861175242,0.752442596018114,0.3772077998924759,0.8878119234511124,0.3014204341737725,0.42158119646663295,0.32224404463036693
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.4858129692804065,0.18363857443261755,0.2710765585493099,0.333829530780107,0.20496168478727939,0.23553794902774217,0.5216007884467944,0.5989264294070111,0.2297672131072902,0.0,0.1349909832229207,0.43358635605148543,0.3123063959091471,0.31580051590749336,0.7198548286808955,0.3161433566123458,0.8659453211457449,0.26628902282521616,0.33516629234819895,0.24992587694421597
