,Konungs skuggsjá-AM 243 bα fol,Alexanders saga-AM 519 a 4to,Breta sǫgur-AM 573 4to,Trójumanna saga-AM 573 4to,De virtutibus et vitiis-AM 619 4to,Old Norwegian Homily Book-AM 619 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",1. De xii abusivis saeculi-AM 677 4to,2. Prosper’s Epigrams-AM 677 4to,3. Gregory’s Homilies on the Gospels-AM 677 4to,4. Gregory’s Dialogues-AM 677 4to,Pamphilus saga-DG 4-7,Strengleikar-DG 4–7,Óláfs saga ins helga (legendary version)-DG 8 II,Eddic poems-GKS 2365 4to,Thómass saga erkibiskups-Holm perg 17 4to,Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Barlaams ok Josaphats saga-Holm perg 6 fol
Konungs skuggsjá-AM 243 bα fol,0.0,0.23934757121208006,0.28158992485162504,0.3692206591490207,0.37521023298496403,0.45630703182965504,0.7680785664991828,0.7812690523174368,0.3400847783375591,0.3861957194597323,0.3383320501558489,0.479317087857862,0.23138901463398787,0.18427692803707962,0.6980320949646244,0.24926390648086283,0.965967274025172,0.3611798644379378,0.20778117789847228,0.1807112479161298
Alexanders saga-AM 519 a 4to,0.23934757121208006,0.0,0.18194070152041097,0.27627970656411593,0.3774163313183275,0.44988376111668793,0.7292972009221795,0.7545434660894973,0.3451090622789572,0.28180877308541596,0.23682277781877537,0.5023792155002694,0.29971723759097046,0.2176840554127445,0.7479314209537793,0.3036635525620598,0.9536361990648076,0.3395383908110612,0.22349570802728225,0.25685450232196194
Breta sǫgur-AM 573 4to,0.28158992485162504,0.18194070152041097,5.440092820663267e-15,0.24432010746940658,0.3886605141792451,0.4493197999794133,0.7154564739236483,0.780015885282515,0.4136440572749637,0.3443406362152239,0.2737078739220026,0.5237703615251853,0.28146359021658074,0.2370254341190775,0.7336534638332954,0.33725028481958297,0.9534728772366214,0.34213366182913474,0.24303037839580044,0.23994856581250024
Trójumanna saga-AM 573 4to,0.3692206591490207,0.27627970656411593,0.24432010746940658,8.881784197001252e-16,0.4657178419351925,0.537242937101569,0.7234683814544454,0.7992395468817469,0.49359295755165744,0.43736140571198023,0.3556514085486989,0.5256672366897845,0.37530804582215604,0.3338804928011173,0.7662039519129037,0.4381443111046792,0.9691331965647099,0.423591546617195,0.3175861042414482,0.32379241279586934
De virtutibus et vitiis-AM 619 4to,0.37521023298496403,0.3774163313183275,0.3886605141792451,0.4657178419351925,3.4416913763379853e-15,0.32785153452448124,0.7626982913313936,0.7235308203202571,0.35050986886890545,0.2663685300486608,0.35690326575891373,0.5127626868493036,0.46996729998185605,0.44281633271865084,0.7947712210056896,0.4678619548961769,0.9634853688058095,0.46936610429149894,0.46020090900188226,0.31698244434950673
Old Norwegian Homily Book-AM 619 4to,0.45630703182965504,0.44988376111668793,0.4493197999794133,0.537242937101569,0.32785153452448124,7.882583474838611e-15,0.7894276323180729,0.7029424465404635,0.43653777299690255,0.3269115854177338,0.4514804814497444,0.6124007285962489,0.5623060736774346,0.5107823955433184,0.8097228688156248,0.5580356665802646,0.9223169343933657,0.5169947423553329,0.5336807846812486,0.3929544501543013
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",0.7680785664991828,0.7292972009221795,0.7154564739236483,0.7234683814544454,0.7626982913313936,0.7894276323180729,2.220446049250313e-16,0.9218219569209573,0.7540956079278799,0.7453573419876107,0.7182196540833492,0.8331238394622289,0.796849828873101,0.7821952180762651,0.8622566472900877,0.8014852752644845,0.994854295571922,0.704388697443695,0.7503408764814031,0.7486860011631604
1. De xii abusivis saeculi-AM 677 4to,0.7812690523174368,0.7545434660894973,0.780015885282515,0.7992395468817469,0.7235308203202571,0.7029424465404635,0.9218219569209573,2.220446049250313e-16,0.7015503224900523,0.6346766387996587,0.7008468000738959,0.8350917226688533,0.8174149575193156,0.7994519144107703,0.9040072117434821,0.832295612926012,0.9820135349253355,0.799026119175225,0.8056793931799444,0.7758036585108842
2. Prosper’s Epigrams-AM 677 4to,0.3400847783375591,0.3451090622789572,0.4136440572749637,0.49359295755165744,0.35050986886890545,0.43653777299690255,0.7540956079278799,0.7015503224900523,1.7763568394002505e-15,0.3101202716830308,0.35240912249557277,0.634334633700929,0.47825628407129706,0.4387188047730569,0.780032260231506,0.4781427225273919,0.9656505528383036,0.4455915334967723,0.4722215143515396,0.3781084617321969
3. Gregory’s Homilies on the Gospels-AM 677 4to,0.3861957194597323,0.28180877308541596,0.3443406362152239,0.43736140571198023,0.2663685300486608,0.3269115854177338,0.7453573419876107,0.6346766387996587,0.3101202716830308,7.66053886991358e-15,0.18574883026149802,0.5646732214370296,0.4167197562458095,0.3973409574674356,0.7473679694606137,0.43945874436281573,0.9527143258852977,0.44302519898008264,0.4194634468319497,0.36796897749357216
4. Gregory’s Dialogues-AM 677 4to,0.3383320501558489,0.23682277781877537,0.2737078739220026,0.3556514085486989,0.35690326575891373,0.4514804814497444,0.7182196540833492,0.7008468000738959,0.35240912249557277,0.18574883026149802,1.454392162258955e-14,0.5762816189369611,0.329970085921772,0.3088534836189226,0.7576521619553871,0.37566212922930475,0.9735470597555306,0.3987690612400683,0.34375821339495993,0.31647744742097106
Pamphilus saga-DG 4-7,0.479317087857862,0.5023792155002694,0.5237703615251853,0.5256672366897845,0.5127626868493036,0.6124007285962489,0.8331238394622289,0.8350917226688533,0.634334633700929,0.5646732214370296,0.5762816189369611,1.6653345369377348e-15,0.5189719784557492,0.5898258446676858,0.7490732330534928,0.6689717069728005,0.9746015173254519,0.6606318125340729,0.5026117106944539,0.4401436992325538
Strengleikar-DG 4–7,0.23138901463398787,0.29971723759097046,0.28146359021658074,0.37530804582215604,0.46996729998185605,0.5623060736774346,0.796849828873101,0.8174149575193156,0.47825628407129706,0.4167197562458095,0.329970085921772,0.5189719784557492,0.0,0.20166437857791286,0.6630684732628329,0.2788293733261723,0.9714796709192683,0.42244827941902285,0.20439104950243314,0.25436207598455296
Óláfs saga ins helga (legendary version)-DG 8 II,0.18427692803707962,0.2176840554127445,0.2370254341190775,0.3338804928011173,0.44281633271865084,0.5107823955433184,0.7821952180762651,0.7994519144107703,0.4387188047730569,0.3973409574674356,0.3088534836189226,0.5898258446676858,0.20166437857791286,0.0,0.7118699307305345,0.21594885422514476,0.948644657907712,0.3496322396220193,0.11045574486116405,0.2343506672803526
Eddic poems-GKS 2365 4to,0.6980320949646244,0.7479314209537793,0.7336534638332954,0.7662039519129037,0.7947712210056896,0.8097228688156248,0.8622566472900877,0.9040072117434821,0.780032260231506,0.7473679694606137,0.7576521619553871,0.7490732330534928,0.6630684732628329,0.7118699307305345,0.0,0.7671616141426953,0.984439905419471,0.7832506852206325,0.6984716992366159,0.7456923740714398
Thómass saga erkibiskups-Holm perg 17 4to,0.24926390648086283,0.3036635525620598,0.33725028481958297,0.4381443111046792,0.4678619548961769,0.5580356665802646,0.8014852752644845,0.832295612926012,0.4781427225273919,0.43945874436281573,0.37566212922930475,0.6689717069728005,0.2788293733261723,0.21594885422514476,0.7671616141426953,4.873879078104437e-14,0.9627207409747149,0.4475677826392288,0.24769828215816647,0.28006536889779554
Bǿjarlǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov-Holm perg 34 4to,0.965967274025172,0.9536361990648076,0.9534728772366214,0.9691331965647099,0.9634853688058095,0.9223169343933657,0.994854295571922,0.9820135349253355,0.9656505528383036,0.9527143258852977,0.9735470597555306,0.9746015173254519,0.9714796709192683,0.948644657907712,0.984439905419471,0.9627207409747149,9.992007221626409e-16,0.8803009177104986,0.9514153368827174,0.952749154872037
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,0.3611798644379378,0.3395383908110612,0.34213366182913474,0.423591546617195,0.46936610429149894,0.5169947423553329,0.704388697443695,0.799026119175225,0.4455915334967723,0.44302519898008264,0.3987690612400683,0.6606318125340729,0.42244827941902285,0.3496322396220193,0.7832506852206325,0.4475677826392288,0.8803009177104986,7.549516567451064e-15,0.36339247636836425,0.3802528008701147
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.20778117789847228,0.22349570802728225,0.24303037839580044,0.3175861042414482,0.46020090900188226,0.5336807846812486,0.7503408764814031,0.8056793931799444,0.4722215143515396,0.4194634468319497,0.34375821339495993,0.5026117106944539,0.20439104950243314,0.11045574486116405,0.6984716992366159,0.24769828215816647,0.9514153368827174,0.36339247636836425,3.3861802251067274e-14,0.2447958700709706
Barlaams ok Josaphats saga-Holm perg 6 fol,0.1807112479161298,0.25685450232196194,0.23994856581250024,0.32379241279586934,0.31698244434950673,0.3929544501543013,0.7486860011631604,0.7758036585108842,0.3781084617321969,0.36796897749357216,0.31647744742097106,0.4401436992325538,0.25436207598455296,0.2343506672803526,0.7456923740714398,0.28006536889779554,0.952749154872037,0.3802528008701147,0.2447958700709706,9.892087149410145e-14
