,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Barlaams ok Josaphats saga-Holm perg 6 fol,Strengleikar-DG 4–7,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Óláfs saga ins helga (legendary version)-DG 8 II,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.8992933831946246,0.8794608316581253,0.9317521232413156,0.9360901850052125,0.9531752860914311,0.939654088684941,0.9337359402343794,0.8996291615178781,0.9004530943677476,0.8588461257977354,0.9483992512208652,0.9337031243426936,0.9089551752921893,0.9258456254376095,0.8722114964713507,0.8981413316791494,0.8579728633195344,0.8660070383730244,0.9078639867502932,0.9016357974536364,0.9788775052510797,0.9796235188872328,0.8621361008530143,0.9328804410133276,0.9371743586654968,0.9197847262592542,0.9077816448730114,0.9762036079752645,0.9165981158816598,0.944433151329378,0.9752370321763343,0.9237074859425344,0.850324980888302,0.8734206105005423,0.9835652254090456,0.9136727840379905,0.9187422457952905,0.8938427383426593,0.8986055826791393,0.830209787029615,0.8923426302475694,0.8861970886563585,0.9183339183071301
Breta sǫgur-AM 573 4to,0.8992933831946246,0.0,0.8336632545665458,0.9159933752598695,0.890964240031402,0.907647968053286,0.9015863225211793,0.9240854223331748,0.8704289072588536,0.8203709626280924,0.8858861247759879,0.9170093531887101,0.8846020065283845,0.8279239347468497,0.8643805776966348,0.8998462378587054,0.8637021734934214,0.878849475339936,0.765306550700575,0.8534693364791215,0.8513371985806766,0.9525305554318871,0.9617423888963119,0.7758304167019596,0.907992943006518,0.8850400154215773,0.8974721979645007,0.8915587801953679,0.9668164745609332,0.8843548494362342,0.9005851493031843,0.9527441466748553,0.8010821761923627,0.7789122627723605,0.715176790573901,0.957164249637655,0.8183189828254878,0.8600267125195589,0.8208567587013502,0.8362565348750517,0.8405063999643523,0.9004958032049983,0.8616308872293147,0.9106988689691987
Karls þáttr vesæla-AM 557 4to,0.8794608316581253,0.8336632545665458,0.0,0.8920435119727889,0.9019037084231971,0.9323200978797996,0.9186300947715585,0.927780870560657,0.8687308814894941,0.8277950578167724,0.8493584573691273,0.871799824974543,0.8630042124247957,0.8391989597157818,0.8864382889350757,0.8949480238956816,0.8062563527335305,0.8606115672528403,0.7555024622061384,0.861479053283471,0.8351894791875188,0.9629465458161954,0.9764973755283565,0.7674126712592062,0.8816697201788491,0.881471975548045,0.8806179048066288,0.899878769074687,0.9629149266035605,0.8922618435997185,0.9170825800831844,0.9576062851009886,0.876717240157159,0.7553216031797816,0.7713954319650276,0.971365777878081,0.873364885007574,0.8412462375314886,0.7867240600146872,0.8479011141034761,0.8104033439544284,0.8243325968329268,0.8650498680041022,0.9101236050516681
Hróa þáttr heimska-AM 557 4to,0.9317521232413156,0.9159933752598695,0.8920435119727889,3.1086244689504383e-15,0.9352829009723604,0.9538458639588326,0.9375401285056403,0.9533430223742733,0.9144931844999902,0.9231769404541943,0.9269511465457465,0.9566528310953795,0.943626597236029,0.9160546810469724,0.9344406371353274,0.9480979292123172,0.9176119940558851,0.9228375559560739,0.9071787492981684,0.9068824666575608,0.9129755637346783,0.9822323375004052,0.9840946975566855,0.870869252460672,0.9449743936847702,0.9449462241620542,0.9127416673009184,0.9375069409442913,0.9779784373306124,0.9357586052031366,0.9424095727191129,0.9779954793722342,0.9359104474720302,0.8893021274164085,0.88998305510187,0.9870359831323805,0.9363537966635324,0.9286402360233432,0.9164383520693489,0.9076594034774836,0.912132599446679,0.9117871796392376,0.909635179436155,0.9384441400816783
Old Norwegian Homily Book-AM 619 4to,0.9360901850052125,0.890964240031402,0.9019037084231971,0.9352829009723604,2.9531932455029164e-14,0.7777481763625973,0.8938813322768601,0.9536624964719606,0.9101119152390456,0.9198776241466793,0.9232019184487584,0.9489941807162372,0.9456746217086566,0.7570607338212364,0.9136045897380355,0.9331363108610226,0.9216237485307851,0.9220334079828407,0.898785351635578,0.6493036166876553,0.9058540731123872,0.9741517881361311,0.9710260000628308,0.844176953903701,0.8811370976474492,0.9017013087669284,0.9338285365959359,0.9354900775237903,0.9006835719740431,0.9244893552043107,0.6776317150555813,0.9540461241517321,0.9212962912254525,0.8909022670890095,0.8440326827483008,0.983611939715221,0.8227006039700899,0.9251649542288164,0.8953981836946578,0.7615863892703886,0.9028943326449191,0.936310248149314,0.9096895509450365,0.936697380006929
Prosper’s Epigrams-AM 677 4to,0.9531752860914311,0.907647968053286,0.9323200978797996,0.9538458639588326,0.7777481763625973,0.0,0.9106852996728356,0.9653064737945785,0.92070714714126,0.929137261493664,0.9446683364400502,0.9603699547544859,0.9551846126643396,0.7550023093312632,0.917461629967796,0.9481590409966292,0.9421473166222626,0.9381463429422582,0.915053373194661,0.643422651285465,0.9184447839550169,0.9762575053032838,0.9619463151298198,0.8595635380857067,0.9171005830502827,0.9001844475009292,0.9526098607898912,0.9461039346058726,0.8908794081189018,0.9414867015031725,0.7081798964534424,0.9531117812106054,0.9305692949972247,0.9130679258647346,0.849661026760742,0.9807022311069876,0.8758117314764068,0.952313901140058,0.9058660214576356,0.7286549477251408,0.9251070253382474,0.9683873131985138,0.9202528270889393,0.9499238744515522
Pamphilus saga-DG 4-7,0.939654088684941,0.9015863225211793,0.9186300947715585,0.9375401285056403,0.8938813322768601,0.9106852996728356,0.0,0.957789264169406,0.9117792093466808,0.9328271615915894,0.9351364378472146,0.9599219266118273,0.9472529418483532,0.8728137670993299,0.9071400362046449,0.9452496496350492,0.9318155346286457,0.9350789329176169,0.9283365238650354,0.8507497724435761,0.919221312701898,0.9754608031819768,0.9740213083088726,0.8862318081591624,0.9529107417380607,0.9410875022278857,0.9460608912084317,0.9366309129646232,0.9741844674994092,0.9363302501813218,0.8648208216471857,0.9726190566666393,0.9285106322079697,0.9071398728365851,0.860599916151403,0.98463074866006,0.9213464287127331,0.9422875020825326,0.9310795429741239,0.8723677708667572,0.914738559460705,0.9498700677584474,0.9137845285294155,0.9408759513016931
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.9337359402343794,0.9240854223331748,0.927780870560657,0.9533430223742733,0.9536624964719606,0.9653064737945785,0.957789264169406,1.1024514634527804e-13,0.9056333441623065,0.9404799351587512,0.9348253315954946,0.9666893398082356,0.956735983784434,0.932953811931676,0.9449085609895115,0.9376116189891637,0.9239326383328605,0.912466338903629,0.9144112607648933,0.9282188652741669,0.9294593245101866,0.9797957980738609,0.9847244664622528,0.9045999472070606,0.9622551046388235,0.95923498845219,0.9124885985914554,0.9184314533663662,0.9814639184096957,0.9067470317598899,0.958947705623221,0.9825695292955012,0.9394701077831414,0.8901694715201441,0.9097972240664753,0.9877852578481481,0.942099962377086,0.9504396242769261,0.9251008329759889,0.921792268946893,0.9109414124194191,0.9433210459203387,0.8837977915742049,0.938330290361734
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.8996291615178781,0.8704289072588536,0.8687308814894941,0.9144931844999902,0.9101119152390456,0.92070714714126,0.9117792093466808,0.9056333441623065,1.021405182655144e-14,0.9037151004178463,0.9003105493143955,0.9350201557013997,0.9269035134270351,0.8609063818796294,0.914262906118439,0.8996894934601918,0.8971291480198615,0.8828495470310546,0.8593916763802346,0.8632049394507819,0.8706676441812269,0.9683512950072485,0.9725727255269933,0.8143117958519627,0.9397215993961354,0.927004981879049,0.8904406176488674,0.8846065575614831,0.9655611469514032,0.8550906277269873,0.9165401939190795,0.9657387288926735,0.9017973037954901,0.7323474919295979,0.8372652052902845,0.977611896085268,0.9019965690069596,0.9171956565980207,0.8939703265242234,0.8592537797838378,0.8559749082828457,0.9252932060166861,0.8248034833823114,0.879518501322529
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.9004530943677476,0.8203709626280924,0.8277950578167724,0.9231769404541943,0.9198776241466793,0.929137261493664,0.9328271615915894,0.9404799351587512,0.9037151004178463,0.0,0.8937603522581735,0.9068133187719813,0.8865861649231598,0.6843059520624388,0.4883712661145463,0.9279181250917807,0.8590684551395914,0.8804085510107412,0.764275387336382,0.8918397810898909,0.8682610662867118,0.9625296767451997,0.9072992138128065,0.7923893099005028,0.906159575981941,0.6253312142236569,0.9285580973669165,0.9132634335425628,0.9789118486106722,0.9086760121458024,0.9389465792003341,0.862099940647681,0.8663983685941455,0.7765569732634805,0.739426670960941,0.9666639026423132,0.8773250297019477,0.8539202305684117,0.5373867106338412,0.8700029455297884,0.8803775722056907,0.8673777411907796,0.8924410196527188,0.9318343349507748
