Text,Count,Total Word Count,Frequency per 1000 words
Gunnlaugs saga Ormstungu-AM 557 4to,6,7557,0.7939658594680429
Breta sǫgur-AM 573 4to,10,10460,0.9560229445506692
Karls þáttr vesæla-AM 557 4to,0,3676,0.0
Theta-fragment of Egils saga-AM 162 A θ fol.,1,3117,0.32082130253448826
Pamphilus saga-DG 4-7,13,4232,3.0718336483931945
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),3,12876,0.2329916123019571
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),2,11275,0.17738359201773835
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,66,115206,0.5728868288109994
Old Norwegian Homily Book-AM 619 4to,37,14633,2.528531401626461
Hallfreðr saga vandraskald-AM 557 4to,1,9152,0.10926573426573427
Valdimars saga-AM 557 4to,4,2344,1.7064846416382253
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,0,2685,0.0
Barlaams ok Josaphats saga-Holm perg 6 fol,126,76412,1.6489556614144374
Strengleikar-DG 4–7,101,38453,2.6265831014485217
Hrafns saga Sveinbjarnarsonar-AM 557 4to,2,3597,0.5560189046427578
Rögnvalldr ok Rauð-AM 557 4to,0,3001,0.0
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),5,9810,0.5096839959225281
Codex Frisianus-AM 45 fol.,5,11980,0.41736227045075125
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,0,11286,0.0
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,1,45243,0.022102866741816413
Thómass saga erkibiskups-Holm perg 17 4to,29,61087,0.47473275819732513
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),1,9692,0.10317787866281469
Zeta-fragment of Egils saga-AM 162 A ζ fol.,11,3839,2.865329512893983
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),22,23607,0.9319269708137417
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),4,5703,0.7013852358407856
Konungs skuggsjá-AM 243 bα fol,115,63936,1.7986736736736737
Trójumanna saga-AM 573 4to,0,3778,0.0
Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,23,38618,0.5955771919830131
Alexanders saga-AM 519 a 4to,43,46797,0.9188623202342031
Reynistaðarbók-AM 764 4to,15,35042,0.4280577592603162
A fragment of Konungs skuggsjá-NRA norr fragm 58 C,5,2991,1.671681711802073
Dámusta saga-AM 557 4to,4,2980,1.3422818791946307
Óláfs saga ins helga (legendary version)-DG 8 II,11,41142,0.26736668125030383
Eiríks saga rauða-AM 557 4to,2,7721,0.25903380391141045
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),6,19478,0.3080398398192833
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),0,2918,0.0
