Text,Count,Total Word Count,Frequency per 1000 words
Gunnlaugs saga Ormstungu-AM 557 4to,9,7557,1.1909487892020643
Breta sǫgur-AM 573 4to,41,10460,3.919694072657744
Karls þáttr vesæla-AM 557 4to,7,3676,1.9042437431991295
Theta-fragment of Egils saga-AM 162 A θ fol.,1,3117,0.32082130253448826
Pamphilus saga-DG 4-7,14,4232,3.3081285444234405
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),14,12876,1.0872941907424667
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),14,11275,1.2416851441241685
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,351,115206,3.046716316858497
Old Norwegian Homily Book-AM 619 4to,74,14633,5.057062803252922
Hallfreðr saga vandraskald-AM 557 4to,16,9152,1.7482517482517483
Valdimars saga-AM 557 4to,12,2344,5.1194539249146755
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,3,2685,1.1173184357541899
Barlaams ok Josaphats saga-Holm perg 6 fol,555,76412,7.263257080039784
Strengleikar-DG 4–7,177,38453,4.60302187085533
Hrafns saga Sveinbjarnarsonar-AM 557 4to,0,3597,0.0
Rögnvalldr ok Rauð-AM 557 4to,6,3001,1.9993335554815062
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),16,9810,1.6309887869520898
Codex Frisianus-AM 45 fol.,12,11980,1.001669449081803
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,5,11286,0.4430267588162325
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,74,45243,1.6356121388944147
Thómass saga erkibiskups-Holm perg 17 4to,578,61087,9.461914973725998
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),2,9692,0.20635575732562939
Zeta-fragment of Egils saga-AM 162 A ζ fol.,5,3839,1.3024225058609014
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),63,23607,2.668699961875715
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),6,5703,1.0520778537611783
Konungs skuggsjá-AM 243 bα fol,232,63936,3.6286286286286287
Trójumanna saga-AM 573 4to,16,3778,4.235044997353097
Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,24,38618,0.6214718525040136
Alexanders saga-AM 519 a 4to,137,46797,2.927538090048507
Reynistaðarbók-AM 764 4to,84,35042,2.3971234518577704
A fragment of Konungs skuggsjá-NRA norr fragm 58 C,7,2991,2.340354396522902
Dámusta saga-AM 557 4to,4,2980,1.3422818791946307
Óláfs saga ins helga (legendary version)-DG 8 II,79,41142,1.9201788926158183
Eiríks saga rauða-AM 557 4to,6,7721,0.7771014117342313
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),17,19478,0.872779546154636
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),6,2918,2.0562028786840303
