Text,Count,Total Word Count,Frequency per 1000 words
Gunnlaugs saga Ormstungu-AM 557 4to,18,7557,2.3818975784041285
Breta sǫgur-AM 573 4to,25,10460,2.390057361376673
Karls þáttr vesæla-AM 557 4to,4,3676,1.088139281828074
Theta-fragment of Egils saga-AM 162 A θ fol.,5,3117,1.6041065126724414
Pamphilus saga-DG 4-7,13,4232,3.0718336483931945
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),13,12876,1.0096303199751475
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),39,11275,3.458980044345898
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,181,115206,1.5710987274968318
Old Norwegian Homily Book-AM 619 4to,140,14633,9.567416114262285
Hallfreðr saga vandraskald-AM 557 4to,26,9152,2.840909090909091
Valdimars saga-AM 557 4to,10,2344,4.266211604095563
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,4,2685,1.48975791433892
Barlaams ok Josaphats saga-Holm perg 6 fol,868,76412,11.359472334188348
Strengleikar-DG 4–7,132,38453,3.4327620731802457
Hrafns saga Sveinbjarnarsonar-AM 557 4to,5,3597,1.3900472616068946
Rögnvalldr ok Rauð-AM 557 4to,7,3001,2.3325558147284235
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),28,9810,2.854230377166157
Codex Frisianus-AM 45 fol.,9,11980,0.7512520868113522
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,8,11286,0.7088428141059719
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,64,45243,1.4145834714762504
Thómass saga erkibiskups-Holm perg 17 4to,596,61087,9.756576685710543
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),3,9692,0.3095336359884441
Zeta-fragment of Egils saga-AM 162 A ζ fol.,4,3839,1.041938004688721
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),86,23607,3.6429872495446265
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),10,5703,1.7534630896019638
Konungs skuggsjá-AM 243 bα fol,401,63936,6.271896896896897
Trójumanna saga-AM 573 4to,14,3778,3.7056643726839598
Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,36,38618,0.9322077787560205
Alexanders saga-AM 519 a 4to,232,46797,4.957582751031049
Reynistaðarbók-AM 764 4to,129,35042,3.6812967296387193
A fragment of Konungs skuggsjá-NRA norr fragm 58 C,13,2991,4.346372450685389
Dámusta saga-AM 557 4to,1,2980,0.3355704697986577
Óláfs saga ins helga (legendary version)-DG 8 II,96,41142,2.333381945457197
Eiríks saga rauða-AM 557 4to,18,7721,2.331304235202694
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),48,19478,2.4643187185542663
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),7,2918,2.3989033584647017
