Text,Count,Total Word Count,Frequency per 1000 words
Gunnlaugs saga Ormstungu-AM 557 4to,1,7557,0.1323276432446738
Breta sǫgur-AM 573 4to,5,10460,0.4780114722753346
Karls þáttr vesæla-AM 557 4to,1,3676,0.2720348204570185
Theta-fragment of Egils saga-AM 162 A θ fol.,1,3117,0.32082130253448826
Pamphilus saga-DG 4-7,0,4232,0.0
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),4,12876,0.31065548306927615
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),5,11275,0.4434589800443459
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,38,115206,0.32984393173966636
Old Norwegian Homily Book-AM 619 4to,0,14633,0.0
Hallfreðr saga vandraskald-AM 557 4to,6,9152,0.6555944055944056
Valdimars saga-AM 557 4to,0,2344,0.0
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,0,2685,0.0
Barlaams ok Josaphats saga-Holm perg 6 fol,24,76412,0.31408679265036904
Strengleikar-DG 4–7,33,38453,0.8581905182950614
Hrafns saga Sveinbjarnarsonar-AM 557 4to,0,3597,0.0
Rögnvalldr ok Rauð-AM 557 4to,0,3001,0.0
Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),6,9810,0.6116207951070336
Codex Frisianus-AM 45 fol.,2,11980,0.1669449081803005
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,0,11286,0.0
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,5,45243,0.11051433370908206
Thómass saga erkibiskups-Holm perg 17 4to,63,61087,1.0313159919459134
Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),1,9692,0.10317787866281469
Zeta-fragment of Egils saga-AM 162 A ζ fol.,1,3839,0.26048450117218025
Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),2,23607,0.08472063371034017
Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),2,5703,0.3506926179203928
Konungs skuggsjá-AM 243 bα fol,24,63936,0.37537537537537535
Trójumanna saga-AM 573 4to,1,3778,0.2646903123345686
Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,3,38618,0.0776839815630017
Alexanders saga-AM 519 a 4to,18,46797,0.38464004102827104
Reynistaðarbók-AM 764 4to,7,35042,0.1997602876548142
A fragment of Konungs skuggsjá-NRA norr fragm 58 C,0,2991,0.0
Dámusta saga-AM 557 4to,0,2980,0.0
Óláfs saga ins helga (legendary version)-DG 8 II,3,41142,0.07291818579553741
Eiríks saga rauða-AM 557 4to,2,7721,0.25903380391141045
Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),3,19478,0.15401991990964164
Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31),3,2918,1.0281014393420151
