AM 238 II fol,AM 238 I fol
AM 238 II fol,NRA 70
AM 519 a 4to,AM 655 XXIX 4to
AM 824 4to,AM 826 4to
AM 655 XXVIII a 4to,AM 238 X fol
AM 645 4to,AM 652 4to
AM 645 4to,AM 656 I 4to
AM 645 4to,AM 625 4to
AM 645 4to,AM 238 II fol
AM 645 4to,JS frg 8 A
AM 645 4to,AM 656 I-II 4to
AM 652 4to,AM 656 I 4to
AM 652 4to,AM 625 4to
AM 652 4to,AM 238 II fol
AM 652 4to,JS frg 8 A
AM 652 4to,AM 656 I-II 4to
AM 656 I 4to,AM 625 4to
AM 656 I 4to,AM 238 II fol
AM 656 I 4to,JS frg 8 A
AM 656 I 4to,AM 656 I-II 4to
AM 625 4to,AM 238 II fol
AM 625 4to,JS frg 8 A
AM 625 4to,AM 656 I-II 4to
AM 238 II fol,JS frg 8 A
AM 238 II fol,AM 656 I-II 4to
JS frg 8 A,AM 656 I-II 4to
GKS 2087 4to,AM 415 4to
JS fragm 10,JS fragm 17
JS fragm 10,Lbs fragm 29
JS fragm 17,Lbs fragm 29
Holm perg 6 fol,NRA 64
Holm perg 6 fol,AM 231 VI fol
Holm perg 6 fol,AM 233 IV e 8to
Holm perg 6 fol,AM 231 II fol
Holm perg 6 fol,AM 231 III fol
Holm perg 6 fol,AM 231 V fol
Holm perg 6 fol,AM 231 VII fol
Holm perg 6 fol,AM 231 IX fol
Holm perg 6 fol,Holm perg 12 V fol
Holm perg 6 fol,Holm perg 12 VI fol
NRA 64,AM 231 VI fol
NRA 64,AM 233 IV e 8to
NRA 64,AM 231 II fol
NRA 64,AM 231 III fol
NRA 64,AM 231 V fol
NRA 64,AM 231 VII fol
NRA 64,AM 231 IX fol
NRA 64,Holm perg 12 V fol
NRA 64,Holm perg 12 VI fol
AM 231 VI fol,AM 233 IV e 8to
AM 231 VI fol,AM 231 II fol
AM 231 VI fol,AM 231 III fol
AM 231 VI fol,AM 231 V fol
AM 231 VI fol,AM 231 VII fol
AM 231 VI fol,AM 231 IX fol
AM 231 VI fol,Holm perg 12 V fol
AM 231 VI fol,Holm perg 12 VI fol
AM 233 IV e 8to,AM 231 II fol
AM 233 IV e 8to,AM 231 III fol
AM 233 IV e 8to,AM 231 V fol
AM 233 IV e 8to,AM 231 VII fol
AM 233 IV e 8to,AM 231 IX fol
AM 233 IV e 8to,Holm perg 12 V fol
AM 233 IV e 8to,Holm perg 12 VI fol
AM 231 II fol,AM 231 III fol
AM 231 II fol,AM 231 V fol
AM 231 II fol,AM 231 VII fol
AM 231 II fol,AM 231 IX fol
AM 231 II fol,Holm perg 12 V fol
AM 231 II fol,Holm perg 12 VI fol
AM 231 III fol,AM 231 V fol
AM 231 III fol,AM 231 VII fol
AM 231 III fol,AM 231 IX fol
AM 231 III fol,Holm perg 12 V fol
AM 231 III fol,Holm perg 12 VI fol
AM 231 V fol,AM 231 VII fol
AM 231 V fol,AM 231 IX fol
AM 231 V fol,Holm perg 12 V fol
AM 231 V fol,Holm perg 12 VI fol
AM 231 VII fol,AM 231 IX fol
AM 231 VII fol,Holm perg 12 V fol
AM 231 VII fol,Holm perg 12 VI fol
AM 231 IX fol,Holm perg 12 V fol
AM 231 IX fol,Holm perg 12 VI fol
Holm perg 12 V fol,Holm perg 12 VI fol
AM 645 4to,AM 652 4to
AM 645 4to,AM 655 XII-XIII 4to
AM 645 4to,AM 237 b fol
AM 645 4to,AM 656 I-II 4to
AM 652 4to,AM 655 XII-XIII 4to
AM 652 4to,AM 237 b fol
AM 652 4to,AM 656 I-II 4to
AM 655 XII-XIII 4to,AM 237 b fol
AM 655 XII-XIII 4to,AM 656 I-II 4to
AM 237 b fol,AM 656 I-II 4to
AM 238 II fol,AM 655 VI 4to
NRA 81 A,NRA 81 B
AM 623 4to,AM 655 IX 4to
AM 544 4to,TCD MS 1023 a
AM 47 fol,AM 325 VIII 4 a 4to
AM 47 fol,AM 325 VIII 4 c 4to
AM 47 fol,AM 325 VIII 4 b 4to
AM 325 VIII 4 a 4to,AM 325 VIII 4 c 4to
AM 325 VIII 4 a 4to,AM 325 VIII 4 b 4to
AM 325 VIII 4 c 4to,AM 325 VIII 4 b 4to
AM 567 II 4to,AM 580 4to
AM 241 a I fol,Holm perg 15 4to
AM 241 a I fol,NKS 32 8to
Holm perg 15 4to,NKS 32 8to
UppsUB C 564,Holm perg 2 4to
NRA 71,AM 677 4to
NRA 71,NRA 77
NRA 71,AM 921 IV 1 4to
NRA 71,NRA 72 & 76
NRA 71,NRA 72 B
NRA 71,AM 655 XV 4to
AM 677 4to,NRA 77
AM 677 4to,AM 921 IV 1 4to
AM 677 4to,NRA 72 & 76
AM 677 4to,NRA 72 B
AM 677 4to,AM 655 XV 4to
NRA 77,AM 921 IV 1 4to
NRA 77,NRA 72 & 76
NRA 77,NRA 72 B
NRA 77,AM 655 XV 4to
AM 921 IV 1 4to,NRA 72 & 76
AM 921 IV 1 4to,NRA 72 B
AM 921 IV 1 4to,AM 655 XV 4to
NRA 72 & 76,NRA 72 B
NRA 72 & 76,AM 655 XV 4to
NRA 72 B,AM 655 XV 4to
GKS 2365 4to,AM 748 I a 4to
GKS 2367 4to,DG 11
GKS 2367 4to,AM 748 I b 4to
DG 11,AM 748 I b 4to
AM 162 A theta fol,AM 162 A beta fol
AM 162 A theta fol,AM 162 A gamma fol
AM 162 A theta fol,AM 162 A delta fol
AM 162 A theta fol,AM 162 A zeta fol
AM 162 A theta fol,Holm perg 7 4to
AM 162 A beta fol,AM 162 A gamma fol
AM 162 A beta fol,AM 162 A delta fol
AM 162 A beta fol,AM 162 A zeta fol
AM 162 A beta fol,Holm perg 7 4to
AM 162 A gamma fol,AM 162 A delta fol
AM 162 A gamma fol,AM 162 A zeta fol
AM 162 A gamma fol,Holm perg 7 4to
AM 162 A delta fol,AM 162 A zeta fol
AM 162 A delta fol,Holm perg 7 4to
AM 162 A zeta fol,Holm perg 7 4to
AM 567 II 4to,AM 580 4to
AM 567 II 4to,DG 4-7 II
AM 580 4to,DG 4-7 II
AM 544 4to,GKS 1812 4to
AM 544 4to,AM 625 4to
AM 544 4to,GKS 2087 4to
AM 544 4to,AM 415 4to
AM 544 4to,AM 49 8to
AM 544 4to,AM 47 fol
AM 544 4to,AM 736 I 4to
AM 544 4to,NRA 59
AM 544 4to,AM 249 l fol
AM 544 4to,AM 732 b 4to
AM 544 4to,AM 737 II alpha 4to
GKS 1812 4to,AM 625 4to
GKS 1812 4to,GKS 2087 4to
GKS 1812 4to,AM 415 4to
GKS 1812 4to,AM 49 8to
GKS 1812 4to,AM 47 fol
GKS 1812 4to,AM 736 I 4to
GKS 1812 4to,NRA 59
GKS 1812 4to,AM 249 l fol
GKS 1812 4to,AM 732 b 4to
GKS 1812 4to,AM 737 II alpha 4to
AM 625 4to,GKS 2087 4to
AM 625 4to,AM 415 4to
AM 625 4to,AM 49 8to
AM 625 4to,AM 47 fol
AM 625 4to,AM 736 I 4to
AM 625 4to,NRA 59
AM 625 4to,AM 249 l fol
AM 625 4to,AM 732 b 4to
AM 625 4to,AM 737 II alpha 4to
GKS 2087 4to,AM 415 4to
GKS 2087 4to,AM 49 8to
GKS 2087 4to,AM 47 fol
GKS 2087 4to,AM 736 I 4to
GKS 2087 4to,NRA 59
GKS 2087 4to,AM 249 l fol
GKS 2087 4to,AM 732 b 4to
GKS 2087 4to,AM 737 II alpha 4to
AM 415 4to,AM 49 8to
AM 415 4to,AM 47 fol
AM 415 4to,AM 736 I 4to
AM 415 4to,NRA 59
AM 415 4to,AM 249 l fol
AM 415 4to,AM 732 b 4to
AM 415 4to,AM 737 II alpha 4to
AM 49 8to,AM 47 fol
AM 49 8to,AM 736 I 4to
AM 49 8to,NRA 59
AM 49 8to,AM 249 l fol
AM 49 8to,AM 732 b 4to
AM 49 8to,AM 737 II alpha 4to
AM 47 fol,AM 736 I 4to
AM 47 fol,NRA 59
AM 47 fol,AM 249 l fol
AM 47 fol,AM 732 b 4to
AM 47 fol,AM 737 II alpha 4to
AM 736 I 4to,NRA 59
AM 736 I 4to,AM 249 l fol
AM 736 I 4to,AM 732 b 4to
AM 736 I 4to,AM 737 II alpha 4to
NRA 59,AM 249 l fol
NRA 59,AM 732 b 4to
NRA 59,AM 737 II alpha 4to
AM 249 l fol,AM 732 b 4to
AM 249 l fol,AM 737 II alpha 4to
AM 732 b 4to,AM 737 II alpha 4to
AM 619 4to,Holm perg 15 4to
