,De contemptu mundi,Elegia,Alexandreis,De excidio Troiae historia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,To,W1,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.3817727603365196,0.3814495760152023,0.3806063463680612,0.38177128454096765,0.38105241210819957,0.3787566600066557,0.3812197228177131,0.38044163685151333,0.38581406779425625,0.37921220597584326,0.3848252997910775,0.3865683053011647,0.38610529791757775,0.38129043853344,0.38065361882701615,0.3801049492303425,0.38117598345926984,0.38514967839381675,0.3798882835510488,0.38655401140474493
Elegia,0.3817727603365196,0.0,0.3839846661377398,0.3817793738333259,0.38449920241626423,0.383869269397074,0.38170986716198907,0.3839812769308826,0.38326653471919414,0.3885261683456726,0.3825003438643603,0.38770443907527435,0.38930918295120537,0.38893772198216026,0.384464108172838,0.383896665422653,0.3832967012861922,0.3843483264902055,0.38798229279667057,0.3827560002692227,0.3896859939891256
Alexandreis,0.3814495760152023,0.3839846661377398,0.0,0.38209995241724054,0.3841802480657242,0.3836870260704708,0.38166528402698835,0.38381714344219353,0.38295855841233356,0.3882870243253257,0.3821909234096273,0.3876614532506045,0.38845622237583366,0.3880518535342914,0.3831445347946106,0.3825382791732003,0.3819282714944228,0.38295032117618905,0.38820701619049097,0.3821391457562916,0.38987836402072795
De excidio Troiae historia,0.3806063463680612,0.3817793738333259,0.38209995241724054,0.0,0.38192157346384475,0.38141122500678126,0.3784293428404747,0.381367317702995,0.38071929855849135,0.3857768705296611,0.3788568221622322,0.38545906657792006,0.3863122123188771,0.3859467825881978,0.38144992116378745,0.3808297728716053,0.38026517759851336,0.38125271778926734,0.38610994690003875,0.38024654149548576,0.3869554542969347
Amores,0.38177128454096765,0.38449920241626423,0.3841802480657242,0.38192157346384475,0.0,0.3851474894409886,0.38301444752665337,0.3855929352225568,0.3846761543243545,0.3895269654910937,0.383396028243926,0.3884203709223858,0.3897457303050755,0.38942081492269426,0.3840849514567743,0.38344830773439964,0.3829041900873358,0.3839304607897983,0.388562772956322,0.38346652743412285,0.3903430059571756
Epistulae (vel Heroides),0.38105241210819957,0.383869269397074,0.3836870260704708,0.38141122500678126,0.3851474894409886,0.0,0.38228167504320054,0.38491805342323326,0.3840144794163019,0.3889448313067607,0.3830172439976557,0.38802439769228914,0.3894276910604456,0.38905750987746285,0.3835778500424112,0.38294773488196415,0.3823786255886355,0.3833711607253317,0.38807202571508215,0.3827492916044417,0.38969333639384157
Medicamina faciei femineae,0.3787566600066557,0.38170986716198907,0.38166528402698835,0.3784293428404747,0.38301444752665337,0.38228167504320054,0.0,0.3832846102151097,0.3818587347729593,0.3870625071028377,0.3812935064934782,0.38582971128388033,0.3866502920870347,0.3863445284341935,0.38066162290459876,0.38007574082262735,0.37946354857730874,0.38059081527346394,0.3862732414879734,0.38108803986709894,0.38838458659338654
Ars Amatoria,0.3812197228177131,0.3839812769308826,0.38381714344219353,0.381367317702995,0.3855929352225568,0.38491805342323326,0.3832846102151097,0.0,0.3846926135834716,0.3897121506585468,0.3835751282994682,0.3883843738440204,0.3894418732602688,0.38908677995960966,0.3836252009853231,0.38297825327126234,0.38241287888295183,0.38342287838360284,0.388305034592096,0.38307803513489314,0.3901658552306323
Remedia amoris,0.38044163685151333,0.38326653471919414,0.38295855841233356,0.38071929855849135,0.3846761543243545,0.3840144794163019,0.3818587347729593,0.3846926135834716,0.0,0.38843098532202613,0.38240129492600883,0.3871074955264781,0.38857215030086434,0.3881443149456817,0.38288132561763766,0.38227727428184255,0.3817364461084598,0.3827662628699119,0.3870538418998313,0.3822813194822055,0.38886604321034424
Fasti,0.38581406779425625,0.3885261683456726,0.3882870243253257,0.3857768705296611,0.3895269654910937,0.3889448313067607,0.3870625071028377,0.3897121506585468,0.38843098532202613,0.0,0.38776329355955885,0.3931553712488017,0.39427666332183575,0.39388465024491465,0.3875484799184869,0.3869394511519409,0.3863206698873592,0.38736873139311806,0.3931517703002861,0.38751469907880803,0.3949968617841688
Ibis,0.37921220597584326,0.3825003438643603,0.3821909234096273,0.3788568221622322,0.383396028243926,0.3830172439976557,0.3812935064934782,0.3835751282994682,0.38240129492600883,0.38776329355955885,0.0,0.3869137896442791,0.3879306049351206,0.3875980088917164,0.38145420560739796,0.3808012946804706,0.3802916690120248,0.3812949901490884,0.38680042154313743,0.38106387127092056,0.38876604278138577
Metamorphoses,0.3848252997910775,0.38770443907527435,0.3876614532506045,0.38545906657792006,0.3884203709223858,0.38802439769228914,0.38582971128388033,0.3883843738440204,0.3871074955264781,0.3931553712488017,0.3869137896442791,0.0,0.39320288332615927,0.39303003401919007,0.38687452607807266,0.3862702776077461,0.38564073379875125,0.3866700249816388,0.3927263956975311,0.3862731994487772,0.3944247377654918
Ex Ponto,0.3865683053011647,0.38930918295120537,0.38845622237583366,0.3863122123188771,0.3897457303050755,0.3894276910604456,0.3866502920870347,0.3894418732602688,0.38857215030086434,0.39427666332183575,0.3879306049351206,0.39320288332615927,0.0,0.3950683922646272,0.38892236737200714,0.38833955597736686,0.3877341892365972,0.3887484318736295,0.3931033039418398,0.3878139727035171,0.3949241009612573
Tristia,0.38610529791757775,0.38893772198216026,0.3880518535342914,0.3859467825881978,0.38942081492269426,0.38905750987746285,0.3863445284341935,0.38908677995960966,0.3881443149456817,0.39388465024491465,0.3875980088917164,0.39303003401919007,0.3950683922646272,0.0,0.3885854913823276,0.3879686628444795,0.38736341316530204,0.38839281974595447,0.3928875309543493,0.38735230819151795,0.39467979202004116
B1,0.38129043853344,0.384464108172838,0.3831445347946106,0.38144992116378745,0.3840849514567743,0.3835778500424112,0.38066162290459876,0.3836252009853231,0.38288132561763766,0.3875484799184869,0.38145420560739796,0.38687452607807266,0.38892236737200714,0.3885854913823276,0.0,0.38659994888263066,0.386009061273266,0.38704520027389194,0.38685861588648346,0.38222109525315573,0.38835425710789845
P3,0.38065361882701615,0.383896665422653,0.3825382791732003,0.3808297728716053,0.38344830773439964,0.38294773488196415,0.38007574082262735,0.38297825327126234,0.38227727428184255,0.3869394511519409,0.3808012946804706,0.3862702776077461,0.38833955597736686,0.3879686628444795,0.38659994888263066,0.0,0.3854495394376962,0.38645776821397637,0.38623865882913333,0.3816587467301651,0.3877866917029792
To,0.3801049492303425,0.3832967012861922,0.3819282714944228,0.38026517759851336,0.3829041900873358,0.3823786255886355,0.37946354857730874,0.38241287888295183,0.3817364461084598,0.3863206698873592,0.3802916690120248,0.38564073379875125,0.3877341892365972,0.38736341316530204,0.386009061273266,0.3854495394376962,0.0,0.38586105013943245,0.3856008386898206,0.3810635914914003,0.38715182838431084
W1,0.38117598345926984,0.3843483264902055,0.38295032117618905,0.38125271778926734,0.3839304607897983,0.3833711607253317,0.38059081527346394,0.38342287838360284,0.3827662628699119,0.38736873139311806,0.3812949901490884,0.3866700249816388,0.3887484318736295,0.38839281974595447,0.38704520027389194,0.38645776821397637,0.38586105013943245,0.0,0.3866469908449617,0.3820674834602522,0.3881862483442525
Aeneid,0.38514967839381675,0.38798229279667057,0.38820701619049097,0.38610994690003875,0.388562772956322,0.38807202571508215,0.3862732414879734,0.388305034592096,0.3870538418998313,0.3931517703002861,0.38680042154313743,0.3927263956975311,0.3931033039418398,0.3928875309543493,0.38685861588648346,0.38623865882913333,0.3856008386898206,0.3866469908449617,0.0,0.38677685479391805,0.39505221000515284
Eclogues,0.3798882835510488,0.3827560002692227,0.3821391457562916,0.38024654149548576,0.38346652743412285,0.3827492916044417,0.38108803986709894,0.38307803513489314,0.3822813194822055,0.38751469907880803,0.38106387127092056,0.3862731994487772,0.3878139727035171,0.38735230819151795,0.38222109525315573,0.3816587467301651,0.3810635914914003,0.3820674834602522,0.38677685479391805,0.0,0.38887920551976685
Georgicon,0.38655401140474493,0.3896859939891256,0.38987836402072795,0.3869554542969347,0.3903430059571756,0.38969333639384157,0.38838458659338654,0.3901658552306323,0.38886604321034424,0.3949968617841688,0.38876604278138577,0.3944247377654918,0.3949241009612573,0.39467979202004116,0.38835425710789845,0.3877866917029792,0.38715182838431084,0.3881862483442525,0.39505221000515284,0.38887920551976685,0.0
