,Latein,Altnordisch,Anzahl
0,amo,biðja,4
1,peto,biðja,5
2,quod,biðja,3
3,ut,biðja,3
4,discedo,brott,3
5,modus,brott,3
6,frater,bróðir,3
7,lignum,eldr,5
8,dico,et,5
9,dominus,et,3
10,facio,et,3
11,meus,et,3
12,spes,fara,3
13,hinc,frá,3
14,fama,frǽgð,3
15,malatro,galathea,3
16,dolor,harmr,5
17,modus,harmr,3
18,res,hlutr,3
19,animus,hugr,3
20,mens,hyggja,3
21,mitus,hógvǽrr,3
22,menus,kvennagyðja,3
23,venus,líf,4
24,parvus,lítill,3
25,gracia,miskunn,3
26,meus,nec,3
27,loquor,non,4
28,meus,non,3
29,ut,non,3
30,simul,nos,3
31,et,rǿða,3
32,inde,rǿða,4
33,primitus,rǿða,4
34,mens,sed,3
35,modus,sed,4
36,nimis,sed,3
37,que,sed,3
38,tuus,sed,4
39,multus,sic,5
40,arsquis,starf,3
41,labor,starf,5
42,et,til,3
43,multus,ungr,3
44,soleo,vanr,3
45,cresco,vaxa,3
46,spes,venus,4
47,ut,vilja,4
48,multus,vita,3
49,causa,ván,3
50,meus,ván,3
51,spes,ván,4
52,ars,vél,5
53,amor,ást,3
54,meus,ást,3
55,mille,þúshundrað,3
