,Latein,Altnordisch,Anzahl
0,amo,biðja,4
1,peto,biðja,5
2,quod,biðja,3
3,ut,biðja,3
4,modus,brott,3
5,frater,bróðir,3
6,lignum,eldr,3
7,dico,et,3
8,dominus,et,3
9,facio,et,3
10,meus,et,3
11,tuus,et,3
12,spes,fara,3
13,et,finna,3
14,hinc,frá,3
15,fama,frǽgð,3
16,malatro,galathea,3
17,dolor,harmr,7
18,modus,harmr,3
19,tuus,heimskr,3
20,animus,hugr,3
21,mens,hyggja,3
22,mitus,hógvǽrr,3
23,menus,kvennagyðja,3
24,venus,líf,4
25,parvus,lítill,3
26,crimen,lǫstr,3
27,gracia,miskunn,3
28,que,mǽla,3
29,meus,nec,3
30,loquor,non,4
31,meus,non,3
32,ut,non,3
33,simul,nos,3
34,uerba,orð,3
35,animus,rǿða,3
36,et,rǿða,3
37,inde,rǿða,6
38,loquor,rǿða,3
39,primitus,rǿða,4
40,tuus,rǿða,3
41,dico,sed,3
42,do,sed,4
43,modus,sed,4
44,quod,sed,3
45,tuus,sed,4
46,multus,sic,5
47,labor,starf,5
48,et,til,4
49,simul,tveir,3
50,multus,ungr,3
51,spes,venus,4
52,uello,vili,3
53,non,vilja,3
54,ut,vilja,3
55,multus,vita,3
56,causa,ván,3
57,meus,ván,3
58,modus,ván,3
59,spes,ván,5
60,ars,vél,6
61,amor,ást,3
62,non,því,3
