,Latein,Altnordisch,Anzahl
0,amo,biðja,4
1,peto,biðja,5
2,quod,biðja,4
3,modus,brott,3
4,frater,bróðir,3
5,lignum,eldr,3
6,dico,et,4
7,dominus,et,3
8,facio,et,3
9,meus,et,4
10,spes,fara,3
11,hinc,frá,3
12,malatro,galathea,3
13,dolor,harmr,7
14,modus,harmr,3
15,tuus,heimskr,3
16,res,hlutr,3
17,animus,hugr,3
18,mens,hyggja,3
19,mitus,hógvǽrr,3
20,menus,kvennagyðja,3
21,venus,líf,4
22,parvus,lítill,3
23,gracia,miskunn,3
24,dico,mǽla,6
25,que,mǽla,3
26,meus,nec,3
27,bene,non,3
28,dico,non,3
29,loquor,non,5
30,meus,non,3
31,ut,non,3
32,simul,nos,3
33,uerba,orð,3
34,animus,rǿða,3
35,et,rǿða,3
36,inde,rǿða,3
37,loquor,rǿða,3
38,primitus,rǿða,4
39,tuus,rǿða,4
40,dico,sed,3
41,mens,sed,3
42,modus,sed,4
43,quod,sed,3
44,tuus,sed,4
45,multus,sic,5
46,arsquis,starf,3
47,labor,starf,5
48,meus,til,4
49,multus,ungr,3
50,soleo,vanr,3
51,spes,venus,4
52,uello,vili,3
53,ut,vilja,3
54,multus,vita,3
55,causa,ván,3
56,meus,ván,3
57,modus,ván,3
58,spes,ván,4
59,ars,vél,6
60,tuus,vél,3
61,meus,ást,3
62,mille,þúshundrað,3
