,De contemptu mundi,Elegia,Alexandreis,De excidio Troiae historia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,To,W1,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.9528561838240064,0.9415221830580391,0.9435470635428582,0.9459559944990723,0.9330896428634678,0.9892558527030884,0.9451039587791147,0.9596844922555069,0.940238467979172,0.9495959701126441,0.9481160404036572,0.9246726427309124,0.9253078191040536,0.9533080670356494,0.9511175165132347,0.9508980827025731,0.9511464069645205,0.956446810321453,0.9671620328905973,0.9666014200153824
Elegia,0.9528561838240064,0.0,0.7609508174447325,0.9251946601351083,0.7500436281952751,0.7015164273809904,0.951545652527555,0.7589897552344401,0.8566613929696896,0.7286922459251808,0.8172074397162551,0.6890460474880898,0.7222282342263644,0.7002551601576024,0.7013781084551287,0.7012248971367283,0.699704669558765,0.7006044473972233,0.712948798608457,0.8831747468877127,0.7699423407424175
Alexandreis,0.9415221830580391,0.7609508174447325,0.0,0.8519828414676371,0.6645036889221099,0.5774778423890614,0.9152595420461349,0.6462613391989076,0.83242236645325,0.530760360883503,0.685809612748034,0.3973951405283582,0.6071035074101407,0.5445619148372767,0.7109033709289635,0.7146094850766795,0.7112567494850588,0.7142410680081221,0.4188125837685135,0.8411826508073376,0.5438326119726413
De excidio Troiae historia,0.9435470635428582,0.9251946601351083,0.8519828414676371,0.0,0.8951331754119571,0.8659523444632912,0.9746452652165905,0.8825938144992194,0.9283210656654782,0.8580350996520092,0.8777295846063757,0.8408102095057928,0.863889882845748,0.8556334132388196,0.9075732762081591,0.9049969667665151,0.905046551610627,0.905888648421833,0.8442117711558607,0.9477318438364803,0.8866838650172978
Amores,0.9459559944990723,0.7500436281952751,0.6645036889221099,0.8951331754119571,0.0,0.49192185794368304,0.9166612632287909,0.5786580287121399,0.7500272218804359,0.5440958904793001,0.7151352096113481,0.5134507751430233,0.5558385724177288,0.5182257809789057,0.7064613454003583,0.7092154231176329,0.7046151166223388,0.7038569702943934,0.5640340990091829,0.7977349054556709,0.6489510846581368
Epistulae (vel Heroides),0.9330896428634678,0.7015164273809904,0.5774778423890614,0.8659523444632912,0.49192185794368304,0.0,0.9059696992301569,0.5211228256814564,0.7185876874143935,0.44821897402635813,0.6225935899682646,0.38514118010656195,0.42876674209333565,0.3842107186233814,0.6394217545165751,0.6415434455450382,0.635934421533632,0.6359732376433003,0.4446393876038085,0.751869342657592,0.5661519150636511
Medicamina faciei femineae,0.9892558527030884,0.951545652527555,0.9152595420461349,0.9746452652165905,0.9166612632287909,0.9059696992301569,0.0,0.904579890990027,0.9518212135114977,0.8933447202091729,0.9353649937831631,0.8750890597350905,0.9138691328256419,0.9047957568074843,0.9340559201546174,0.9358475389429459,0.934497433675206,0.9351433649471343,0.8868247999045994,0.9600413787057533,0.9004961450712841
Ars Amatoria,0.9451039587791147,0.7589897552344401,0.6462613391989076,0.8825938144992194,0.5786580287121399,0.5211228256814564,0.904579890990027,0.0,0.7466019662176997,0.5129925315120426,0.6896694188430054,0.48055445278797093,0.5651790870109226,0.5267387237638372,0.7049588815058396,0.707038938565188,0.7020619119895187,0.7033355212234879,0.5374293996304452,0.8139850066006247,0.6177774890099959
Remedia amoris,0.9596844922555069,0.8566613929696896,0.83242236645325,0.9283210656654782,0.7500272218804359,0.7185876874143935,0.9518212135114977,0.7466019662176997,0.0,0.7576500991048482,0.832358707768341,0.7720823709443376,0.7400732508620869,0.733141892526479,0.8340883459547845,0.8327205901828607,0.8297072825557585,0.8287572022550077,0.8037536773245719,0.8812314865050639,0.8393496744991977
Fasti,0.940238467979172,0.7286922459251808,0.530760360883503,0.8580350996520092,0.5440958904793001,0.44821897402635813,0.8933447202091729,0.5129925315120426,0.7576500991048482,0.0,0.6231946839926941,0.30044097767215017,0.49712481682988974,0.43121215657982115,0.6633613702313494,0.6678922568008374,0.6634627403334006,0.6662548504259613,0.3589016533364928,0.7888925889095196,0.4864934683876554
Ibis,0.9495959701126441,0.8172074397162551,0.685809612748034,0.8777295846063757,0.7151352096113481,0.6225935899682646,0.9353649937831631,0.6896694188430054,0.832358707768341,0.6231946839926941,0.0,0.5521220113204792,0.6402270394956333,0.6011338697251394,0.7659518944788133,0.765355664628458,0.763149154488572,0.7657618621502154,0.5993302274174539,0.8577391793559715,0.673961923254442
Metamorphoses,0.9481160404036572,0.6890460474880898,0.3973951405283582,0.8408102095057928,0.5134507751430233,0.38514118010656195,0.8750890597350905,0.48055445278797093,0.7720823709443376,0.30044097767215017,0.5521220113204792,0.0,0.4536002152616726,0.34967235130728114,0.590130421708025,0.5982279566460065,0.5933737764678619,0.5981672220617427,0.15179129221668886,0.7764918749536265,0.3163156268787012
Ex Ponto,0.9246726427309124,0.7222282342263644,0.6071035074101407,0.863889882845748,0.5558385724177288,0.42876674209333565,0.9138691328256419,0.5651790870109226,0.7400732508620869,0.49712481682988974,0.6402270394956333,0.4536002152616726,0.0,0.4023119593479354,0.6668941936753257,0.6678782920876492,0.6637116994418297,0.6627030598601821,0.5120102251517259,0.7709312458566866,0.6130115841412177
Tristia,0.9253078191040536,0.7002551601576024,0.5445619148372767,0.8556334132388196,0.5182257809789057,0.3842107186233814,0.9047957568074843,0.5267387237638372,0.733141892526479,0.43121215657982115,0.6011338697251394,0.34967235130728114,0.4023119593479354,0.0,0.6361824973454733,0.6388638387855177,0.6342634202080266,0.6343588645308471,0.41345695252673875,0.7565506264634159,0.5345172414403299
B1,0.9533080670356494,0.7013781084551287,0.7109033709289635,0.9075732762081591,0.7064613454003583,0.6394217545165751,0.9340559201546174,0.7049588815058396,0.8340883459547845,0.6633613702313494,0.7659518944788133,0.590130421708025,0.6668941936753257,0.6361824973454733,0.0,0.12907738861989493,0.12768885695100063,0.12285678774595254,0.6259157045644571,0.8611886800769888,0.6962167449755422
P3,0.9511175165132347,0.7012248971367283,0.7146094850766795,0.9049969667665151,0.7092154231176329,0.6415434455450382,0.9358475389429459,0.707038938565188,0.8327205901828607,0.6678922568008374,0.765355664628458,0.5982279566460065,0.6678782920876492,0.6388638387855177,0.12907738861989493,0.0,0.11160328301409239,0.0948408567327117,0.6341684026815091,0.8621564012036366,0.7032515009558111
To,0.9508980827025731,0.699704669558765,0.7112567494850588,0.905046551610627,0.7046151166223388,0.635934421533632,0.934497433675206,0.7020619119895187,0.8297072825557585,0.6634627403334006,0.763149154488572,0.5933737764678619,0.6637116994418297,0.6342634202080266,0.12768885695100063,0.11160328301409239,0.0,0.10389569835678603,0.6296934610288349,0.8592660481767667,0.6993343959421103
W1,0.9511464069645205,0.7006044473972233,0.7142410680081221,0.905888648421833,0.7038569702943934,0.6359732376433003,0.9351433649471343,0.7033355212234879,0.8287572022550077,0.6662548504259613,0.7657618621502154,0.5981672220617427,0.6627030598601821,0.6343588645308471,0.12285678774595254,0.0948408567327117,0.10389569835678603,0.0,0.6346403303921366,0.8592548908677072,0.7034961526427962
Aeneid,0.956446810321453,0.712948798608457,0.4188125837685135,0.8442117711558607,0.5640340990091829,0.4446393876038085,0.8868247999045994,0.5374293996304452,0.8037536773245719,0.3589016533364928,0.5993302274174539,0.15179129221668886,0.5120102251517259,0.41345695252673875,0.6259157045644571,0.6341684026815091,0.6296934610288349,0.6346403303921366,0.0,0.7857411553146997,0.3306526709613712
Eclogues,0.9671620328905973,0.8831747468877127,0.8411826508073376,0.9477318438364803,0.7977349054556709,0.751869342657592,0.9600413787057533,0.8139850066006247,0.8812314865050639,0.7888925889095196,0.8577391793559715,0.7764918749536265,0.7709312458566866,0.7565506264634159,0.8611886800769888,0.8621564012036366,0.8592660481767667,0.8592548908677072,0.7857411553146997,0.0,0.8101963740463196
Georgicon,0.9666014200153824,0.7699423407424175,0.5438326119726413,0.8866838650172978,0.6489510846581368,0.5661519150636511,0.9004961450712841,0.6177774890099959,0.8393496744991977,0.4864934683876554,0.673961923254442,0.3163156268787012,0.6130115841412177,0.5345172414403299,0.6962167449755422,0.7032515009558111,0.6993343959421103,0.7034961526427962,0.3306526709613712,0.8101963740463196,0.0
