,De contemptu mundi,Elegia,Alexandreis,De excidio Troiae historia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,To,W1,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,1.3804754136340032,1.3722406371026405,1.3737154461844534,1.3754679163827201,1.3660817273234422,1.4065957860758123,1.3748483252920525,1.3854129292420347,1.3713048297000276,1.378111729949824,1.3770374289786105,1.3599063517249952,1.3603733451550448,1.380802713667445,1.3792153686159925,1.3790562589703226,1.3792363154764626,1.3830739751162027,1.3907997935652703,1.3903966484535595
Elegia,1.3804754136340032,0.0,1.23365377431805,1.3602901603224615,1.2247804931458104,1.1844968783251055,1.379525753675884,1.232063111398466,1.3089395654266203,1.2072218072295013,1.278442364532868,1.1739216732715114,1.201855427434075,1.1834315866645027,1.1843800981569252,1.1842507311686177,1.1829663305088092,1.1837266976774548,1.1941095415486056,1.3290408171968577,1.2409209005753814
Alexandreis,1.3722406371026405,1.23365377431805,0.0,1.3053603651616723,1.1528258228561874,1.0746886455052758,1.3529667712445888,1.1368916739943533,1.2902886238769207,1.0303012771839994,1.171161485661068,0.8915101127058944,1.1019106201594475,1.0436109570498457,1.1923953798374698,1.1954994647230812,1.1926917032368132,1.1951912549947952,0.9152186446621616,1.2970602536560858,1.042911896540243
De excidio Troiae historia,1.3737154461844534,1.3602901603224615,1.3053603651616723,0.0,1.3380083522997606,1.3160184987022703,1.3961699504118985,1.3286036387871651,1.362586559206742,1.3099886256392486,1.3249374208666211,1.2967730792286483,1.3144503663857308,1.3081539765936494,1.3472737481359636,1.345360150120791,1.3453970058021008,1.346022769808759,1.2993935286557303,1.3767583984392082,1.331678538549993
Amores,1.3754679163827201,1.2247804931458104,1.1528258228561874,1.3380083522997606,0.0,0.9918889634870353,1.3540024100634402,1.0757862508065172,1.2247670977621963,1.0431643115821896,1.195939136922394,1.0133615101662459,1.0543610125737468,1.018062651293091,1.1886642464551354,1.1909789444970478,1.1871100341774183,1.1864712135525244,1.0621055493776674,1.2631190802578036,1.1392550940488864
Epistulae (vel Heroides),1.3660817273234422,1.1844968783251055,1.0746886455052758,1.3160184987022703,0.9918889634870353,0.0,1.3460829834970522,1.0209043301715217,1.1988224951295927,0.9468040705725921,1.1158795544038376,0.8776573136557317,0.9260310384575283,0.8765965076629265,1.1308596327719795,1.1327342543995487,1.1277716271778104,1.1278060450656415,0.9430157873588256,1.2262702333968456,1.0640976600516283
Medicamina faciei femineae,1.4065957860758123,1.379525753675884,1.3529667712445888,1.3961699504118985,1.3540024100634402,1.3460829834970522,0.0,1.3450501038920928,1.3797254897344338,1.336671029243381,1.3677463169631574,1.3229429766512177,1.351938706321922,1.3452105833716639,1.366788879201635,1.3680990745870403,1.3671118708249277,1.367584267931692,1.3317843668589586,1.385670508241933,1.3420105402502005
Ars Amatoria,1.3748483252920525,1.232063111398466,1.1368916739943533,1.3286036387871651,1.0757862508065172,1.0209043301715217,1.3450501038920928,0.0,1.221967238691531,1.012909207690526,1.1744525693641423,0.9803616197997115,1.063183038814088,1.0263904946597147,1.1873995801800497,1.1891500650172178,1.1849573089268288,1.1860316363601056,1.0367539723875527,1.2759192816166998,1.111555206915108
Remedia amoris,1.3854129292420347,1.3089395654266203,1.2902886238769207,1.3625865592067423,1.2247670977621963,1.1988224951295927,1.3797254897344338,1.221967238691531,0.0,1.2309753036555284,1.2902392861545409,1.2426442539557125,1.216612716407405,1.2109020542773206,1.2915791465913073,1.2905197326525775,1.2881826598396182,1.2874449131943266,1.2678751336980052,1.32757785949074,1.2956463055164376
Fasti,1.3713048297000276,1.2072218072295013,1.0303012771839994,1.3099886256392486,1.0431643115821896,0.9468040705725921,1.336671029243381,1.012909207690526,1.2309753036555284,0.0,1.1164180973029356,0.7751657599149868,0.9971206715638574,0.9286680317313735,1.1518345108837802,1.1557614432061019,1.1519225150447294,1.1543438399593413,0.8472327346564013,1.256099191074967,0.9864010020146284
Ibis,1.378111729949824,1.278442364532868,1.171161485661068,1.3249374208666211,1.195939136922394,1.1158795544038376,1.3677463169631574,1.1744525693641423,1.2902392861545409,1.1164180973029356,0.0,1.050830158798897,1.1315715085628977,1.0964797031638847,1.2377010095162775,1.237219192082349,1.2354344616276194,1.2375474634535797,1.0948335283664659,1.3097627108418755,1.1610012258860463
Metamorphoses,1.3770374289786105,1.1739216732715114,0.8915101127058944,1.2967730792286483,1.0133615101662459,0.8776573136557317,1.3229429766512177,0.9803616197997115,1.2426442539557123,0.7751657599149868,1.050830158798897,0.0,0.9524706979869311,0.8362683197484326,1.0863981053998915,1.0938262719885823,1.08937943478668,1.0937707456884616,0.550983288706297,1.2461876864693167,0.7953812002792403
Ex Ponto,1.3599063517249952,1.201855427434075,1.1019106201594475,1.3144503663857308,1.0543610125737468,0.9260310384575283,1.351938706321922,1.063183038814088,1.216612716407405,0.9971206715638574,1.1315715085628977,0.9524706979869311,0.0,0.8970083158455059,1.1548975657393812,1.1557493604477544,1.1521386196477197,1.151262836940565,1.0119389558189396,1.2417175571414878,1.1072593048977064
Tristia,1.3603733451550448,1.1834315866645027,1.0436109570498457,1.3081539765936494,1.018062651293091,0.8765965076629265,1.3452105833716639,1.0263904946597147,1.2109020542773206,0.9286680317313735,1.0964797031638847,0.8362683197484326,0.8970083158455059,0.0,1.1279915756294814,1.130366169686252,1.1262889684340263,1.1263737075508313,0.9093480659537837,1.2300818074123887,1.033941237634324
B1,1.380802713667445,1.1843800981569252,1.1923953798374698,1.3472737481359636,1.1886642464551354,1.1308596327719795,1.366788879201635,1.1873995801800497,1.2915791465913073,1.1518345108837802,1.2377010095162775,1.0863981053998915,1.1548975657393812,1.1279915756294814,0.0,0.5080893398210589,0.5053491010202843,0.4956950428357217,1.1188527200348761,1.312393751948689,1.1800141905719426
P3,1.3792153686159925,1.1842507311686177,1.1954994647230812,1.345360150120791,1.1909789444970478,1.1327342543995487,1.3680990745870403,1.1891500650172178,1.2905197326525775,1.1557614432061019,1.237219192082349,1.0938262719885823,1.1557493604477544,1.130366169686252,0.5080893398210589,0.0,0.4724474214430529,0.43552464162826277,1.1262046019101273,1.3131309159437419,1.1859607927379776
To,1.3790562589703226,1.1829663305088092,1.1926917032368132,1.3453970058021008,1.1871100341774183,1.1277716271778104,1.3671118708249277,1.1849573089268288,1.2881826598396182,1.1519225150447294,1.2354344616276194,1.08937943478668,1.1521386196477197,1.1262889684340263,0.5053491010202843,0.4724474214430529,0.0,0.4558414161894186,1.1222240961849796,1.3109279523885011,1.1826532847306894
W1,1.3792363154764626,1.1837266976774548,1.1951912549947952,1.346022769808759,1.1864712135525244,1.1278060450656415,1.367584267931692,1.1860316363601056,1.2874449131943266,1.1543438399593413,1.2375474634535797,1.0937707456884616,1.151262836940565,1.1263737075508313,0.4956950428357217,0.43552464162826277,0.4558414161894186,0.0,1.126623566585034,1.3109194413599046,1.1861670646606404
Aeneid,1.3830739751162027,1.1941095415486056,0.9152186446621616,1.2993935286557303,1.0621055493776674,0.9430157873588256,1.3317843668589586,1.0367539723875527,1.2678751336980052,0.8472327346564013,1.0948335283664659,0.550983288706297,1.0119389558189396,0.9093480659537837,1.1188527200348761,1.1262046019101273,1.1222240961849796,1.126623566585034,0.0,1.2535877753990718,0.8132068260430648
Eclogues,1.3907997935652703,1.3290408171968577,1.2970602536560858,1.3767583984392082,1.2631190802578036,1.2262702333968456,1.385670508241933,1.2759192816166995,1.32757785949074,1.256099191074967,1.3097627108418755,1.2461876864693167,1.2417175571414878,1.2300818074123887,1.312393751948689,1.3131309159437419,1.3109279523885011,1.3109194413599046,1.2535877753990718,0.0,1.272946482807764
Georgicon,1.3903966484535595,1.2409209005753814,1.042911896540243,1.331678538549993,1.1392550940488864,1.0640976600516283,1.3420105402502005,1.111555206915108,1.2956463055164376,0.9864010020146284,1.1610012258860463,0.7953812002792403,1.1072593048977064,1.033941237634324,1.1800141905719426,1.1859607927379776,1.1826532847306894,1.1861670646606404,0.8132068260430648,1.272946482807764,0.0
