,Verse,B1,P3,To,W1,Normalized
0,1,Vulneror et clausum porto sub pectore telum,Vulneror et clausum porto sub pectore telum,Vulneror et clausum porto sub pectore telum,Vulneror et clausum porto sub pectore telum,"Ek em sǽrðr ok ber ek gaflak
 undir hjarta mínu"
1,10,Cum sit consilij copia nulla michi,Cum sit consilij copia nulla mei,Cum sit consilij copia nulla michi,Cum sit consilij copia nulla mei,Gnótt er eigi ráðs mér
2,100,Siue potes pulcris pascere pasce ioci,Siue potes pulcris pascere pasce ioci,Siue potes pulcris pascere pasce ioci,Siue poteris pulcris pascere pasce ioci,ok ef þú mátt þá fǿð þú hana með orðum ok leik
3,101,Gaudia semper amat et ludrica uerba iuuentus,Gaudia semper amat et ludicra uerba iuuentus,Gaudia semper amat et ludicra uerba iuuentus,Gaudia semper amat et ludicra uerba iuuentus,"því at ǿska elskar gleði jafnan ok leikblandin
 mál"
4,102,Et iuuenum mentes hec in amore mouent,Et iuuenum mentes hec in amore mouent,Et iuuenum mentes hec in amore mouent,Et iuuenum mentes hec in amore trahunt,þá fýsir hug ǿskumanna til ástar
5,103,Nec semper semper ei te letis uultibus offer,Necnon semper ei te letis uultibus offer,Necnon semper ei te letis uultibus offer,Necnon semper ei te letis uultibus offer,sýn þik henni jafnan glaðan ok í hug góðum
6,104,Est cum leticia pulcrior omnis homo,Est cum leticia pulcrior omnis homo,Est cum leticia pulcrior omnis homo,Est cum leticia pulcrior omnis homo,"því at hverr maðr sýnisk konum
 fegri glaðr en reiðr"
7,105,Nec nimium taceas nec uerba superflua dica,Nec nimium taceas nec uerba superflua dica,Nec nimium taceas nec uerba superflua dica,Nec nimium taceas nec uerba superflua dica,eigi skalt þú mjǫk þegja ok still þó rǿðu þinni
8,106,Despicit ex nimio sepe puella uirum,Despicit e minimo sepe puella uirum,Despicit e minimo sepe puella uirum,Despicit e minimo sepe puella uirum,Oft hafnar mǽr manni fyrir litla sǫk
9,107,Excitat et nutrit facundia dulcis amorem,Incitat et nutrit facundia dulcis amorem,Excitat et nutrit facundia dulcis amorem,Excitat et nutrit facundia dulcis amorem,fǫgr rǿða nǿrir ást
10,108,Et mulcens animos mitigat feros,Et mulcens animos mitigat ipsa feros,Et mulcens animos mitigat ipsa feros,Et mulcens animos mitigat illa feros,ok fǫgr rǿða stillir grimman hug
11,109,Si locus est illi iocundis uiribus insta,Si locus est illi iocundis uiribus insta,Si locus est illi iocundis uersibus insta,Si locus est illi iocundis uiribus insta,ok ef staðr er til þá lát hana afls í leiki kenna
12,11,Sed quia multa nocent opus est michi querere multa,Sed quia multa nocent opus est michi querere multa,Sed quia multa nocent opus est michi querere multa,Sed quia multa nocent opus est michi querere multa,sem þeim er margt er at meini Þǫrf gerir margs at freista
13,110,Aut uix sperasci mox dabit ipsa tibi,Quod uix sperasci mox dabit ipsa tibi,Quod uix sperasci mox dabit ipsa tibi,Quod uix sperasci iam dabit ipsa tibi,Þá mun mǫrg þér þat veita er þik vǽnti eigi áðr
14,110,Aut uix sperasci mox dabit ipsa tibi,Quod uix sperasci mox dabit ipsa tibi,Quod uix sperasci mox dabit ipsa tibi,Quod uix sperasci iam dabit ipsa tibi,skammask stundum konur at segja vilja sinn
15,111,Non sinit interdum pudor illi promere uotum,Non sinit interdum pudor illi prodere uotum,Non sinit interdum pudor illi promere uotum,Non sinit interdum pudor illi promere uotum,
16,112,Sed quod hahere cupit hec magis ipsa negat,Sed quod hahere cupit hoc magis ipsa negat,Sed quod hahere cupit hoc magis illa negat,Sed quod hahere cupit hoc magis ipsa uetat,ok þat oft er þǽr vilja víst hafa þá munu þǽr þó nítta
17,113,Pulcrius esse putat ui perdere uirginitatem,Pulcrius esse putat ui perdere uirginitatem,Pulcrius esse putat ui perdere uirginitatem,Pulcrius esse putat ui perdere uirginitatem,stundum fegra þykkir ok meydóm at láta með afli
18,114,Quam dicat De me fac modo uelle tuum,Quam dicat De me fac modo uelle tuum,Quam dicat De me fac modo uelle tuum,Quam dicat De me fac modo uelle tuum,en segja svá ger af mér vilja þinn
19,115,Hoc nimium caueas si sit tibi certa supellex,Hoc nimium caueas si sit tibi curta supellex,Hoc nimium caueas si sit tibi parua supellex,Hoc nimium caueas si sit tibi curta supellex,þetta skalt þú ok víst varask ef þú átt fé lítit
