,A fragment of Konungs skuggsjá,Konungs skuggsjá,Alexanders saga,Old Norwegian homily book,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)",Pamphilus saga,Strengleikar,Óláfs saga ins helga (legendary version),Völuspá in Codex Regius,Thómass saga erkibiskups,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov,Barlaams ok Josaphats saga,The Kringla fragment of Óláfs saga helga
A fragment of Konungs skuggsjá,0.0,1.377020930722133,1.393746269499549,1.4086163890580996,1.4077672586608216,1.403604637095421,1.3970866222830243,1.3961361166395738,1.4074016628417936,1.3992374137805974,1.3963317583863903,1.3870783852028827,1.398639532429599,1.406717688198277
Konungs skuggsjá,1.377020930722133,0.0,1.1425164901790459,1.1999288493069555,1.3679300870547915,1.2981614043542549,0.9995142130954825,1.067706507681352,1.348276046441273,1.0408455189323904,1.228894792231344,1.1389644488772945,0.9926196060946348,1.3045259067681647
Alexanders saga,1.393746269499549,1.1425164901790459,0.0,1.3210273762463136,1.3506617252892785,1.282335899641174,1.2640410441261447,1.1948049114992843,1.376718988303978,1.2377974599602024,1.234060826256325,1.1496995304540318,1.1940798913447233,1.2607260557379985
Old Norwegian homily book,1.4086163890580996,1.1999288493069555,1.3210273762463136,0.0,1.3927260884577986,1.35262339096045,1.2310279629138827,1.2519747463861037,1.3822653012890096,1.2478361979554666,1.3629911884560166,1.331682439273829,1.1724045241898924,1.3838894996242712
"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)",1.4077672586608216,1.3679300870547915,1.3506617252892783,1.3927260884577986,0.0,1.3912946977417981,1.3767783062149042,1.377743903561603,1.395177730354233,1.3906174771275503,1.3692447890164432,1.3559898965625097,1.3741120626417203,1.3904602543381426
Pamphilus saga,1.403604637095421,1.2981614043542549,1.282335899641174,1.35262339096045,1.3912946977417981,0.0,1.334688425750834,1.3650822244379255,1.3925858715209112,1.3635071356314485,1.3119253693540003,1.2837477624159184,1.3251263976485572,1.3821372860419863
Strengleikar,1.3970866222830243,0.9995142130954825,1.2640410441261447,1.2310279629138827,1.3767783062149042,1.334688425750834,0.0,1.0220039137677581,1.3369751170432411,1.023953853528297,1.3210652934601352,1.273651317569656,1.0658243867930022,1.348176471866358
Óláfs saga ins helga (legendary version),1.3961361166395738,1.067706507681352,1.1948049114992843,1.2519747463861037,1.377743903561603,1.3650822244379255,1.0220039137677581,0.0,1.3675541417122126,1.0570282063632828,1.2836360225024384,1.2146499568941211,1.0824379634152221,1.220485330887743
Völuspá in Codex Regius,1.4074016628417936,1.348276046441273,1.376718988303978,1.3822653012890096,1.395177730354233,1.3925858715209112,1.3369751170432411,1.3675541417122126,0.0,1.3631174096579712,1.3911800757370278,1.3818848214798796,1.3509819673761854,1.397332376347757
Thómass saga erkibiskups,1.3992374137805974,1.0408455189323904,1.2377974599602024,1.2478361979554666,1.3906174771275503,1.3635071356314485,1.023953853528297,1.0570282063632828,1.3631174096579712,0.0,1.3216302705217633,1.262155535337558,1.0721311285353852,1.329359935158791
Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov,1.3963317583863903,1.228894792231344,1.234060826256325,1.3629911884560166,1.3692447890164432,1.3119253693540003,1.3210652934601352,1.2836360225024384,1.3911800757370278,1.3216302705217633,0.0,0.8406166175371206,1.2898915910315338,1.3291809074061083
Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov,1.3870783852028827,1.1389644488772945,1.1496995304540318,1.331682439273829,1.3559898965625097,1.2837477624159184,1.273651317569656,1.2146499568941211,1.3818848214798796,1.262155535337558,0.8406166175371206,0.0,1.2077208885024804,1.2921239407438185
Barlaams ok Josaphats saga,1.398639532429599,0.9926196060946348,1.1940798913447233,1.1724045241898924,1.37411206264172,1.3251263976485572,1.0658243867930022,1.0824379634152221,1.3509819673761854,1.0721311285353852,1.2898915910315338,1.2077208885024804,0.0,1.3236895186430069
The Kringla fragment of Óláfs saga helga,1.406717688198277,1.3045259067681647,1.2607260557379985,1.3838894996242712,1.3904602543381426,1.3821372860419863,1.348176471866358,1.220485330887743,1.397332376347757,1.329359935158791,1.3291809074061083,1.2921239407438185,1.3236895186430069,0.0
