,Verse,P3
0,1,"""Vulneror et clausum porto sub pectore telum"
1,10,Cum sit consilij copia nulla mei
2,100,Siue potes pulcris pascere pasce ioci
3,101,Gaudia semper amat et ludicra uerba iuuentus
4,102,Et iuuenum mentes hec in amore mouent
5,103,Necnon semper ei te letis uultibus offer
6,104,Est cum leticia pulcrior omnis homo
7,105,Nec nimium taceas nec uerba superflua dica
8,106,Despicit e minimo sepe puella uirum
9,107,Incitat et nutrit facundia dulcis amorem
10,108,Et mulcens animos mitigat ipsa feros
11,109,Si locus est illi iocundis uiribus insta
12,11,Sed quia multa nocent opus est michi querere multa
13,110,Quod uix sperasci mox dabit ipsa tibi
14,111,Non sinit interdum pudor illi prodere uotum
15,112,Sed quod hahere cupit hoc magis ipsa negat
16,113,Pulcrius esse putat ui perdere uirginitatem
17,114,Quam dicat De me fac modo uelle tuum
18,115,Hoc nimium caueas si sit tibi curta supellex
19,116,Nesciat esse tuum pauperiemque tuam
20,117,Exiguo pulcram ducit sollercia uitam
21,118,Iocundoque suas ore tegit lacrimas
22,119,Quod non es simulare potes dictis habituque
23,12,Nam solet ars dominum sepe iuuare suum
24,120,Maxima sors paruo - contigit ingenio
25,121,Plurima mundus habet sua que uicinia nescit
26,122,De quibus apta sibi plura referre potes
27,123,Credo quod interdum multis mendacia prosunt
28,124,Et quandoque nocet omnia uera loqui
29,125,Et famulos famulasque domus sibi sepe loquentes
30,126,Allice colloquijs muneribusque tuis
31,127,Vt semper referant de te bona uerba uicissim
32,128,Et pascant dominam laudibus usque tuam
33,129,Dum dubio dubias mentes in pectore uersat
34,13,Si mea plaga suos denudet in ordine uultus
35,130,An faciat uel non nescia nulle suum
36,131,Tunc illam multo temptamine sepe fatiga
37,132,Vt cicius possis uictor amore frui
38,133,Pellitur huc animus hominum uel pellitur illuc
39,134,Sepe labore breui dum manet in dubio
40,135,Et placeat uobis interpres semper utrisque
41,136,Qui caute referet hoc quod uterque cupit
42,137,Emula nam iuuenum diiudicat acta senectus
43,138,Et simul hos prohibet litigiosa loqui
44,139,Incipe Spe melius dedit et dabit omnia tempus
45,14,Et ferat unde uenit armaque quis posuit posuit
46,140,Non timor ullus erit in quibus esse times
47,141,Non tibi plus dicam uinces studiosus amicam
48,142,Inceptumque uijs mille patebit opus
49,143,Incolumis leuiter egro solacia prebet
50,144,Nec minus infirmus sentit abesse malum
51,145,Consilio Veneris michi non dolor alleuiatur
52,146,Sed meus in tristi pectore sedet amor
53,147,Hactenus auxilij michi spes fuit omnis in illa
54,148,Spes modo discessit et manet ipse dolor
55,149,Non miser euadam me nauta reliquit in undis
56,15,Perdet et ipse sue fortassis spem medicine
57,150,Et portum quero nec reperire queo
58,151,Sed modo quid faciam Nam mens modo spectat ad illam
59,152,Illi me nouiter conuenit ire loqui
60,153,Quam formosa Deus nudis uenit illa capillis
61,154,Quantus et esset ei nunc locus ire loqui
62,155,Sed subito tanti michi nunc uenere timores
63,156,Nec mea mens mecum nec mea uerba manent
64,157,Nec michi sunt uires trepidantque pedesque manusque
65,158,Attonito nullus congruus est habitus
66,159,Mentis in aspectu sibi dicere plura paraui
67,16,Spes reficit dominum fallit et ipsa suum
68,160,Sed timor excussit dicere que uolui
69,161,Non sum qui fueram uix me cognoscere possum
70,162,Nec bene uox sequitur sed tamen inde loquor
71,163,Alterius uille mea neptis mille salutes
72,164,Per me mandauit officiumque tibi
73,165,Et te cognoscit dictis et nomine tantum
74,166,Sed te si locus est ipsa uidere cupit
75,167,Illic me uoluere mei retinere parentes
76,168,De quibus electis uilla redundat ibi
77,169,Hij michi spondebant cum summa dote puellam
78,17,Si tegat ex toto faciem motusque doloris
79,170,Pluraque que non est cura referre modo
80,171,Omnia postposui tu sola michi placuisti
81,172,Respuerem pro te quicquid in orbe manet
82,173,Ludendo loquimur loquitur sic sepe iuuentus
83,174,Verbula ficta iocis iurgia nulla mouent
84,175,Sed modo dicamus cordis secreta uicissim
85,176,Dictaque preter nos nesciat alter - homo
86,177,Demus et inde fidem fieri sic Postea dicam
87,178,Primitus incepi primitus inde loquar
88,179,Nos modo concordes debemus uera fateri
89,18,Et nunquam querat plaqa salutis opem
90,180,Gracior in mundo te michi nulla manet
91,181,Vt te dilexi iam ter pertransijt annus
92,182,Vota nec ausus eram nostra referre tibi
93,183,Tempore non longo loquitur sapiencia surdo
94,184,Nosque diu frustra non licet inde loqui
95,185,Te constanter amo modo plus tibi dicere nolo
96,186,Donec tu dicas quid placet inde tibi
97,187,"""Sic multi multas multo temptamine fallunt"
98,188,Sic multas fallit ingeniosus homo
99,189,Infatuare - tuo sermone uel arte parasti
100,19,Forsitan euenient peiora prioribus illis
101,190,Quam falli uestro non decet ingenio
102,191,Quere tuis alias incestis moribus aptas
103,192,Quas tua falsa fides et dolus infatuet
104,193,"""Sepius impediunt iustos peccata malorum"
105,194,Hic nocet alterius non mea plaga michi
106,195,Sed tamen auscultet me gracia uestra benigne
107,196,Et liceat - domine pauca referre mee
108,197,Inde Deum celi testor quoque numina terre
109,198,Non loquor ista tibi fraude uel ingenio
110,199,Hoc manet in toto te non michi gracior ulla
111,2,Crescit et assidue pena dolorque michi
112,20,Et michi contingit pocius inde mori
113,200,Carius et nullam mens animusque uidet
114,201,Sed loquor incassum tua mens puerilis et etas
115,202,Quid nocet aut prodest noscere nescit adhuc
116,203,Iunior antiqua quamuis sit acucior etas
117,204,Nam cum multa senes plura uident iuuenes
118,205,Et quamuis - iuuenis fac ut cognoscere possis
119,206,Quis sim que mea res quisue meus sit amor
120,207,Cunctarum rerum prudencia discitur usu
121,208,Vsus et ars docuit quod sapit omnis homo
122,209,Ire uenire loqui necnon dare uerba uicissim
123,21,Estimo monstrari melius nam conditus ignis
124,210,Esse simul tantum deprecor ut liceat
125,211,Nec nisi colloquio cognoscimus intima cordis
126,212,Ipsa referre potes quid placet inde tibi
127,213,"""Ire uenire loqui tibi nec cuiquam prohibebo"
128,214,Quisquis ubique uias ire uiator habet
129,215,Conuenit est et honor ut det responsa petenti
130,216,Et quemcunque uidet queque puella nocet
131,217,Sed concedo satis ut tu nel quilibet alter
132,218,Ut uenias saluo semper honore meo
133,219,Auscultare licet et reddere uerba puelle uel puellis
134,22,Acrior effusus parcior esse solet
135,220,Conuenit ista tamen ut moderanter agant
136,221,Verbula si dederis ludendo uerbula reddam
137,222,Sed si forte nocent hec michi non paciar
138,223,Nos simul esse petis solos simul esse recuso
139,224,Non decet in solo nos habitare - loco
140,225,Nam loca sola nocent infamia - nascitur inde
141,226,Tucius inde loquar plebe uidente tibi
142,227,"""Non michi parua modo sed munera magna dedisti"
143,228,Nempe michi tantum sufficit alloquium
144,229,Hijs meritis dignas nequeo tibi reddere grates
145,23,Ergo loquar Veneri Venus est mors uitaque nostra
146,230,Equari uerbis non ualet hoc meritum
147,231,Sed fortassis adhuc ueniet tempusque diesque
148,232,Quo se monstrabit si quis amicus erit
149,233,Ne tibi displiceat non audeo dicere quicquam
150,234,Quamuis te peterem pauca libenter adhuc
151,235,Nos alternatim complexus basia tactus
152,236,Vt dare possimus dum locus affuerit
153,237,Quamuis illicitum complexus nutrit amorem
154,238,Et fallunt dominam basia sepe suam
155,239,Hoc solum paciar sed tu aut amplius addas
156,24,Ducenturque suis omnia consilijs
157,240,Nam cuiquam sine te talia non paterer
158,241,Sed modo de templo ueniunt utrique parentes
159,242,Et michi ne causer conuenit ire domum
160,243,Tempora sat ueniunt pariter quibus ambo loquamur
161,244,Et memor interea quisque sit alterius
162,245,"""Lecior in toto me non est nec fuit orbe"
