,Order,Verse,Facsimile
0,9.0,10,Gnoꞇꞇ er æıgı raðſ mer
1,100.0,103,"Syn þık he̅nı ıaꝼnan glaðan 

 í hug goðum"
2,105.0,106,"
Oꝼꞇ haꝼnar mǽr ma̅nı ꝼır͛
 lıꞇla ſok"
3,106.0,109,Oc eꝼ ſꞇaðr er ꞇıl þa láꞇ hana aꝼlſ ı læíkı ke̅na
4,108.0,110,"Skam̅az ſꞇunꝺu̅
 konur aꞇ ſegıa ꝩılıa ſı̅n"
5,113.0,116,"aꞇ þu Læyn hana ꝩeſolꝺ þı̅nı 

 ꝼaꞇkð"
6,114.0,117,Snoꞇr heꝼır ꝼagra meðꝼerð þo aꞇ lıꞇıꞇ æıgı
7,115.0,118,Oc þo ꝼram ꝼrır gyllꞇa rǫðo aꞇ ı brıoſꞇı gráꞇꞇ buı
8,116.0,119,"
Seg þek með oꝛðum auðgarı ꝩera"
9,120.0,123,Tru þu þuı aꞇ moꝛgum ſꞇoðar mykıꞇ aꞇ líuga
10,121.0,124,"Sꞇoꝛu̅
 ſpıllır ma̅nı ſꞇu̅nꝺum ſaꞇꞇ aꞇ ſegıa"
11,12.0,13,"En mıꞇꞇ ſár bırꞇır ſec með reꞇꞇrı ſkı
pan"
12,130.0,133,"
Oꝼꞇ re̅nr hugr ma̅nz ꞇıl 

 ꝼra"
13,136.0,"139, 140",Ger þık ꝼullhugðan
14,145.0,148,"
En nu er ꝼolgın ꝩón 

 ı broꞇꞇ ꝼarın 

 harmr í ſꞇað komı̅n"
15,146.0,149,"þuı mon ec æıgı u̅nꝺan ganga 
Mık heꝼır ſkıparı mı̅n a ꝼırðe ꝼır͛ laꞇıð"
16,149.0,152,mer hꝼır braꞇꞇ hana aꞇ ꝼınɴA
17,158.0,162,"æıgı ꝼyl
gır roꝺꝺ ne rauſꞇ en þo ꝩerð ec aꞇ rǫðA"
18,171.0,175,Segı huarꞇ auðru huaꞇ ı hıarꞇa byr
19,188.0,191,"
Ꝼın̅
 þer aðrar oſpokum ſıðom hꝼılegar"
20,197.0,200,"Oc er ſu mín huglæıðıng 

 hyggıa"
21,202.0,205,Oc þoaꞇ þu ſer ung þa haga þo ſua aꞇ þu kun̅ır ſkılıa
22,205.0,208,"Oc ꝩenıa ken̅ır þer allꞇ þaꞇ er maðr kan̅
"
23,219.0,223,En þu bæıðız aꞇ ꝩıꞇ ſem ꞇuꜹ æınſaman þuı nıꞇꞇa ec
24,225.0,229,Geꞇ ec æı þer þackaꞇ ſem ꝩerꞇ er
25,235.0,240,"Oc þeꞇꞇa mynꝺa ec 

 aungum nema þer þola"
26,236.0,241,"En nu mon ꝼra kkıu coma ꝼaðır mı̅n 

 moðır"
27,241.0,247,Mık heꝼır allbraꞇꞇ nu ſælan goꝛꞇ
28,243.0,249,Vm þoꝛꝼ ꝼra̅m bað hon aꞇ ec ſkyllꝺa hen̅ar mı̅naz
29,254.0,259,"Oll aſꞇ ꝩex með ꝩenıu 

 með ꝩenıu þuerr"
30,259.0,265,J þæıma luꞇ ſe ec mer enga hógꝩærı
31,268.0,275,"Tulkr mı̅n ſcal æígı ꝩera broðır 

 æı broður ſunr"
32,270.0,277,"Með ꞇru eða ꝼelagı kan̅
 æı
gı gǽꞇa ꝼrænꝺı ꝼrænꝺa"
33,289.0,297,"Nu ſer þu ꝩanꝺa mı̅n rað þuıſa meðal beggıa ockar 

"
34,27.0,30,hællꝺr ger þu þaꞇ er ec bæıðumz Æıgı bıð ec þec ſꞇoꝛra luꞇa
35,312.0,319,þaꞇ æína bıþ ec þık ſeg mer huaꞇ þu ꝩıll þıggıA
36,319.0,327,Nu eꝼ þu ꝩæızꞇ oꝛð mín ꝺuga
37,320.0,328,"þa bıð ec þık aꞇ húſ þíꞇꞇ ſe opıꞇ ꝼır͛
 mer heðan ıꝼRa"
38,30.0,33,"Seg aꞇ æínſ aꞇ ec ıaꞇꞇa 

 þe
gar mon ec ſæll ꝩera"
39,324.0,333,"
Oc þeſſ bıð ec þık aꞇ ꝩel þín 

 ſꞇarꝼ ꝩekızk he
ðan ıꝼra"
40,32.0,35,Eın er ſu ı grenꝺ ꝩıð mık er ec ꝩıllꝺa æıgı aꞇ mǽr ꝩærı
41,346.0,352a,Nu gǽl oꝼ marꞇ mon ec nu mællꞇ haꝩa
